Hybridization REF	TCGA-E2-A14X-01A-11R-A115-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.804
CREB3L1	-0.618
RPS11	-0.024875
PNMA1	-0.118
MMP2	0.3345
C10orf90	1.57375
ZHX3	0.0925
ERCC5	0.491
GPR98	-2.192125
RXFP3	0.4635
APBB2	0.13475
PRO0478	-0.901875
KLHL13	-1.16825
PRSSL1	-0.813333333333333
PDCL3	0.696333333333333
DECR1	1.8705
SALL1	-4.679
CADM4	1.03283333333333
RPS18	0.550357142857143
HNRPD	-0.0609166666666667
CFHR5	-0.0381666666666666
SLC10A7	0.463375
OR2K2	0.045
LMAN1	0.648125
SUHW1	-3.694
CHD8	-0.3091
SUMO1	-0.2211
GP1BA	1.9434
DDB1	0.0705
MYO9B	0.2427
MMP7	6.80325
CRNKL1	0.46675
C9orf45	-0.184333333333333
XAB2	0.29125
RTN1	1.086875
KLHL14	-0.07625
TBX10	-0.706
CENPQ	-1.382
UTY	-1.55142857142857
ZBTB12	0.486
DTNBP1	0.54875
KBTBD8	0.0623333333333333
ZEB1	-0.136
ZG16	-1.5085
MIER1	0.5529
ADAM5P	0.76
CHD9	-0.0301875
STK16	-0.698
KIAA1486	-0.589
TOB2	0.789833333333333
BANK1	4.8945
OR2V2	0.727
GRM2	0.593
PROSC	-0.7705
SPIN2B	0.075
PIR	-0.493444444444444
IPO9	-0.1387
EVC	-0.202166666666667
CXCL13	6.0985
KIAA1199	-2.3089
SORL1	0.16125
NAT10	-1.002
CHD1	-0.74425
SYN3	-0.51025
SLC22A2	-0.04225
SERPINF1	0.0278333333333333
WDR34	-0.3395
OR7A17	0.505
C9orf11	0.3915
RNF216L	-0.5384
LHB	0.1525
STK25	-0.497
TAOK3	0.38575
LOC152573	-3.25225
C3orf39	0.20775
C14orf108	0.362
CDC25B	-0.550272727272727
BMP3	0.4495
TMEM180	0.3615
MAP1LC3C	0.292
CRYGC	-1.2585
POU3F1	-1.0425
C20orf32	-1.681
CCDC95	-0.3165
HIGD1B	2.893
USP6NL	1.312125
ABCD4	-0.866333333333333
DIMT1L	0.184416666666667
TEK	1.1055
SLC25A46	-0.439
LARP7	-1.5883
CD160	0.915166666666667
MT1JP	-1.65533333333333
PHF20	-0.52575
CPNE4	0.4035
GTPBP1	0.182214285714286
RAB33B	1.13633333333333
ALDOC	0.740875
ZNF212	0.00624999999999999
NUDT1	-1.43633333333333
RFPL2	-1.228
ZNF83	-0.316333333333333
GDPD5	0.577875
PDCD4	1.36825
CEP350	0.827
OR10A2	0.09575
CST7	1.395
CIAO1	-1.08175
SELL	2.333125
OR8J3	-0.058
LTBP4	-0.0325
SIRT6	-0.3345
CCL19	4.552
PPIL1	-0.463
GBP7	-0.00900000000000003
STK17A	-0.9569
ABR	-0.68525
OR9G1	-0.1465
FOXE1	-0.58775
CNGA3	-0.81
GML	0.317
CD38	1.52975
ZDHHC6	0.153333333333333
NEFH	-2.91
CTDSP2	0.709583333333333
PGBD5	4.2755
CCNY	0.941142857142857
RMND5B	0.465666666666667
ZNF257	-1.82675
FLJ22167	0.847625
EXOSC7	-0.585166666666667
ROR2	0.652875
MAOA	-2.355375
TNNT3	1.15966666666667
GYPC	-0.9285
C7orf33	0.5185
PLIN	2.79183333333333
LOC90826	0.27975
RNF4	0.1528
F8A1	0.376333333333333
PLEKHG4	0.60925
GRB2	-0.32425
HIST1H2AD	0.1795
DUS3L	-0.408833333333333
EIF1	-0.461
RP5-1077B9.4	-0.806
FPGT	1.54575
GDF10	1.07583333333333
COQ9	0.01325
GCC2	-0.314214285714286
RARRES3	1.6465
PLXNA1	-0.2153
KIAA0100	-0.4016
PMF1	-0.057
FNDC1	5.55875
HS2ST1	0.0304166666666666
CRELD2	0.9505
C8G	-0.558
CD82	2.2345
LIM2	-0.5965
UNQ6490	-0.4455
MMP16	-0.16975
DRD3	0.2955
C5orf26	-0.71575
C11orf73	-0.20675
PTP4A2	-0.4005
OR4M2	0.4345
HPCA	0.157333333333333
SEC14L1	0.342166666666667
CHFR	0.31675
EMILIN1	0.783375
NDUFS4	-0.71625
COL18A1	-0.14025
PDZD3	0.121
C9orf16	-0.3605
ERBB2IP	0.0576666666666667
EMX2	4.3975
FUS	-0.531
TF	-3.9795
CLCN4	2.25116666666667
CXorf56	0.591
C11orf72	0.25225
ELAC2	-0.74875
NPR1	-0.04925
ASS1	-0.581666666666667
USP42	0.233875
POLR2J	-1.775
SEC23IP	0.102666666666667
UQCRC1	-0.25825
LOC729603	0.78825
C1orf71	-0.227
POLG	-1.3135
ADAM23	-4.06575
TFR2	-0.981
RICTOR	-0.9985
MGC39606	1.54125
C19orf55	-0.265375
SNAPC1	-1.43566666666667
GNA11	1.5825
CCDC52	-1.3415
FSIP1	-1.1565
UPF3A	0.912375
IGSF11	-2.169
