Hybridization REF	TCGA-A2-A04W-01A-31R-A115-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.616416666666667
CREB3L1	2.64625
RPS11	0.16425
PNMA1	-0.76825
MMP2	1.399
C10orf90	-1.94725
ZHX3	0.386333333333333
ERCC5	0.51975
GPR98	0.989375
RXFP3	0.126
APBB2	0.4135
PRO0478	-1.08725
KLHL13	-1.4875
PRSSL1	-0.777166666666667
PDCL3	0.665333333333333
DECR1	-0.562
SALL1	-1.8015
CADM4	1.33316666666667
RPS18	-0.898142857142857
HNRPD	-0.964916666666667
CFHR5	0.0366666666666667
SLC10A7	0.333375
OR2K2	-0.311
LMAN1	0.22875
SUHW1	-3.097
CHD8	0.1065
SUMO1	0.5433
GP1BA	0.047
DDB1	0.373666666666667
MYO9B	-0.0777
MMP7	5.4905
CRNKL1	0.502625
C9orf45	-1.92416666666667
XAB2	-0.2365
RTN1	0.5505
KLHL14	-1.448
TBX10	3.3145
CENPQ	-2.363
UTY	-0.805571428571429
ZBTB12	0.099
DTNBP1	-1.205375
KBTBD8	-1.258
ZEB1	1.1335
ZG16	-0.32625
MIER1	0.5927
ADAM5P	1.164
CHD9	0.0925
STK16	0.1265
KIAA1486	-0.155
TOB2	0.242083333333333
BANK1	0.5105
OR2V2	0.688
GRM2	0.149833333333333
PROSC	0.55625
SPIN2B	-0.49275
PIR	-2.50355555555556
IPO9	-0.2365
EVC	1.75483333333333
CXCL13	2.86783333333333
KIAA1199	-1.071
SORL1	0.5625
NAT10	-0.27025
CHD1	-0.95275
SYN3	-0.316
SLC22A2	-0.4135
SERPINF1	0.860333333333333
WDR34	0.286
OR7A17	0.58275
C9orf11	0.3705
RNF216L	0.4123
LHB	0.2385
STK25	-0.076875
TAOK3	0.71875
LOC152573	-3.43425
C3orf39	0.83325
C14orf108	0.1191
CDC25B	-0.708363636363636
BMP3	0.715
TMEM180	0.2175
MAP1LC3C	-0.04875
CRYGC	-0.848
POU3F1	-1.227
C20orf32	-0.8305
