Hybridization REF	TCGA-BH-A0BQ-01A-21R-A115-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.84825
CREB3L1	1.09025
RPS11	0.258875
PNMA1	-0.05175
MMP2	1.8325
C10orf90	-1.33575
ZHX3	-0.365666666666667
ERCC5	0.31575
GPR98	0.3855
RXFP3	0.0265
APBB2	0.93525
PRO0478	-1.124625
KLHL13	-0.41975
PRSSL1	-0.826666666666667
PDCL3	0.2915
DECR1	-0.1445
SALL1	-1.74883333333333
CADM4	0.519
RPS18	0.1375
HNRPD	-0.336666666666667
CFHR5	0.126166666666667
SLC10A7	0.436375
OR2K2	-0.2075
LMAN1	-0.45675
SUHW1	-3.3635
CHD8	0.0635
SUMO1	0.1022
GP1BA	1.0419
DDB1	-0.152166666666667
MYO9B	0.0162
MMP7	6.67825
CRNKL1	0.831875
C9orf45	-1.84466666666667
XAB2	0.45175
RTN1	2.44275
KLHL14	-0.813125
TBX10	-1.117
CENPQ	-1.7335
UTY	-1.11614285714286
ZBTB12	0.363
DTNBP1	-0.76675
KBTBD8	-1.61283333333333
ZEB1	1.00716666666667
ZG16	-1.289
MIER1	0.4071
ADAM5P	-0.292
CHD9	-0.1813125
STK16	0.39175
KIAA1486	-0.2825
TOB2	0.27825
BANK1	3.09525
OR2V2	0.203
GRM2	0.1995
PROSC	0.649125
SPIN2B	-0.2995
PIR	-2.502
IPO9	-0.1856
EVC	1.4535
CXCL13	3.598
KIAA1199	0.0835
SORL1	1.62725
NAT10	-0.1965
CHD1	-0.9455
SYN3	-0.23625
SLC22A2	-0.33425
SERPINF1	1.82766666666667
WDR34	-0.4845
OR7A17	0.384
C9orf11	0.0605
RNF216L	-0.6251
LHB	-0.3245
STK25	-0.0555
TAOK3	1.112
LOC152573	-2.9925
C3orf39	0.579375
C14orf108	0.2547
CDC25B	-1.65754545454545
BMP3	0.1775
TMEM180	0.299
MAP1LC3C	0.968
CRYGC	-0.707
POU3F1	-1.3909
C20orf32	-1.338
CCDC95	-0.2345
HIGD1B	3.99125
USP6NL	-0.061
ABCD4	-0.0633333333333333
DIMT1L	-0.599
TEK	1.55125
SLC25A46	-0.81225
LARP7	-1.4016
CD160	1.79633333333333
MT1JP	0.0753333333333334
PHF20	0.09175
CPNE4	-1.79075
GTPBP1	-0.111642857142857
RAB33B	1.18883333333333
ALDOC	-2.685875
ZNF212	-0.53725
NUDT1	-1.21816666666667
RFPL2	-0.1055
ZNF83	0.216
GDPD5	-1.029375
PDCD4	2.0152
CEP350	0.6405
OR10A2	0.22525
CST7	1.46975
CIAO1	-1.55225
SELL	1.90575
OR8J3	0.068
LTBP4	0.098
SIRT6	0.05025
CCL19	4.24975
PPIL1	-1.48833333333333
GBP7	1.18116666666667
STK17A	-0.5937
ABR	0.03075
OR9G1	0.5135
FOXE1	-0.786625
CNGA3	-0.042
GML	0.308
CD38	-1.72
ZDHHC6	0.0703333333333333
NEFH	-1.256
CTDSP2	1.29433333333333
PGBD5	-0.43
CCNY	0.5665
RMND5B	0.500583333333333
ZNF257	-0.5975
FLJ22167	0.701
EXOSC7	-0.617833333333333
ROR2	2.2795
MAOA	1.12375
TNNT3	1.83383333333333
GYPC	-0.8985
C7orf33	0.6055
PLIN	3.47833333333333
LOC90826	0.04125
RNF4	-0.0079
F8A1	0.0968333333333333
PLEKHG4	-2.0445
GRB2	0.1397
HIST1H2AD	1.3385
DUS3L	-0.618166666666667
EIF1	0.3375
RP5-1077B9.4	-1.25966666666667
FPGT	1.45
GDF10	1.83216666666667
COQ9	-0.574
GCC2	-0.0619285714285715
RARRES3	2.343875
PLXNA1	-0.0888
KIAA0100	-0.2271
PMF1	0.33075
FNDC1	5.01425
HS2ST1	-0.245
CRELD2	0.73275
C8G	-1.9705
CD82	1.1225
LIM2	-1.277
UNQ6490	0.0455
MMP16	0.60875
DRD3	-0.15775
C5orf26	-0.80825
C11orf73	-0.42125
PTP4A2	0.7205
OR4M2	0.2355
HPCA	-0.446166666666667
SEC14L1	-0.1765
CHFR	-0.34725
EMILIN1	1.26275
NDUFS4	-0.412
COL18A1	0.631125
PDZD3	0.0144
C9orf16	-0.23
ERBB2IP	-0.0113333333333333
EMX2	3.92725
FUS	-0.281
TF	-3.0137
CLCN4	0.221333333333333
CXorf56	0.1485
C11orf72	0.077
ELAC2	-0.774666666666667
NPR1	0.188
ASS1	-0.154333333333333
USP42	-0.12
POLR2J	-0.7935
SEC23IP	0.924
UQCRC1	-0.2065
LOC729603	-0.40025
C1orf71	-0.05575
POLG	-2.1325
ADAM23	-2.59375
TFR2	-1.2325
RICTOR	-1.0918
MGC39606	1.1155
C19orf55	-0.265
SNAPC1	-1.39483333333333
GNA11	1.224125
CCDC52	0.2475
FSIP1	5.1035
UPF3A	0.502625
IGSF11	-2.059
LAGE3	-1.128
CHST6	-1.079
UNC13B	0.845375
TTLL4	-0.56825
ZNF687	0.9195
SDC2	0.5123
COX7A2	-1.3505
LAMB4	0.4025
FAM24A	0.307
LRRTM3	-0.965333333333333
GPHB5	-0.09
OR4C13	0.1315
EIF3EIP	0.305357142857143
HABP4	-0.0315
TMEM125	3.579
CNTN2	0.355125
ASNSD1	-0.06025
FUT4	0.457625
ACF	-3.63
LOC158381	0.3135
CDH8	0.1135
AGPS	-0.4995
C4orf18	3.86325
PECI	-0.0901666666666667
UNG	-0.233875
GSTP1	-1.4245
DCUN1D5	-1.2405
DKFZP564J0863	-0.83375
SLC9A3R1	0.431625
BCDO2	-0.22175
CHMP7	0.39975
REM2	1.6065
DNHD1	-1.00175
FKBP4	-0.5845
ZNF350	1.4245
MGC11102	-0.61375
BST1	1.8885
KISS1R	-0.1585
NCR2	0.06
DEFB125	0.3625
UBE2W	0.607875
KRT15	2.16625
C10orf99	0.034
SCN11A	0.196375
GFI1	-1.59875
RDHE2	3.39983333333333
FHL1	-0.154666666666667
OSGEP	-0.5825
GATA1	-3.48066666666667
SMC6	-0.75175
TTTY14	-1.27675
LPIN3	-0.059
RPL4	0.2488
RBPMS	0.7453
PRPF3	-0.4285
EMR1	-2.014
SPATA19	0.05525
XCR1	-0.126
IRX3	1.3788
RBM6	-0.6095
KLF4	0.8388
UNC5CL	2.078
SEBOX	0.418
BTK	-0.28875
KRCC1	1.217
C6orf27	0.0405
SYTL5	-0.1335
PRND	3.37725
LOC653319	-2.141
PIGL	-2.23525
HUS1	-0.219333333333333
SFRS6	0.820666666666667
C17orf77	0.163
UIMC1	-0.659333333333333
FXYD2	-1.9413
LOC283152	2.02925
ZNF667	1.25225
ZCCHC12	-0.2445
TFEC	3.4324
ATP7B	0.802
POLD2	-0.728833333333333
RG9MTD1	-0.15
ACOT2	0.113666666666667
