Hybridization REF	TCGA-A2-A0CV-01A-31R-A115-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.02325
CREB3L1	1.0775
RPS11	0.771125
PNMA1	-0.23325
MMP2	1.11283333333333
C10orf90	-1.605
ZHX3	-0.326333333333333
ERCC5	0.027
GPR98	-0.354625
RXFP3	0.074
APBB2	0.9815
PRO0478	-1.026875
KLHL13	0.71425
PRSSL1	-0.0346666666666667
PDCL3	-0.227666666666667
DECR1	0.118
SALL1	-3.95733333333333
CADM4	0.1515
RPS18	0.423642857142857
HNRPD	-0.941833333333333
CFHR5	0.419
SLC10A7	-0.040625
OR2K2	-0.054
LMAN1	-0.831
SUHW1	-3.59625
CHD8	-0.1281
SUMO1	0.0921999999999999
GP1BA	0.8981
DDB1	-0.364333333333333
MYO9B	-0.1489
MMP7	6.282
CRNKL1	0.795875
C9orf45	-1.41366666666667
XAB2	0.312125
RTN1	1.463125
KLHL14	-0.817
TBX10	-1.446
CENPQ	-1.789
UTY	-1.07907142857143
ZBTB12	0.3535
DTNBP1	-0.671125
KBTBD8	-0.2335
ZEB1	1.13133333333333
ZG16	-1.68275
MIER1	0.635
ADAM5P	-0.0515
CHD9	0.1349375
STK16	-0.67
KIAA1486	-0.561
TOB2	0.738916666666667
BANK1	3.7605
OR2V2	0.11775
GRM2	0.353
PROSC	0.385625
SPIN2B	0.0055
PIR	-2.00422222222222
IPO9	-0.7356
EVC	0.928
CXCL13	6.816
KIAA1199	-2.6978
SORL1	1.30675
NAT10	-0.8105
CHD1	-0.35575
SYN3	-0.982
SLC22A2	-0.32075
SERPINF1	0.445666666666667
WDR34	0.1935
OR7A17	0.19375
C9orf11	-0.201
RNF216L	-0.3576
LHB	-0.3555
STK25	-0.74175
TAOK3	1.18175
LOC152573	-3.0645
C3orf39	0.827375
C14orf108	0.376
CDC25B	-1.75890909090909
BMP3	-0.0555
TMEM180	0.312
MAP1LC3C	1.19875
CRYGC	-0.378
POU3F1	-1.1488
C20orf32	-1.2035
CCDC95	-0.275
HIGD1B	4.36575
USP6NL	0.469375
ABCD4	-0.434833333333333
DIMT1L	-0.631666666666667
TEK	1.749875
SLC25A46	-0.9815
LARP7	-1.1799
CD160	0.971833333333333
MT1JP	-0.364666666666667
PHF20	0.047
CPNE4	-0.6835
GTPBP1	-0.175785714285714
RAB33B	1.27516666666667
ALDOC	-2.83375
ZNF212	-0.37125
NUDT1	-1.23633333333333
RFPL2	-0.68425
ZNF83	0.253833333333333
GDPD5	-1.08275
PDCD4	1.9112
CEP350	0.38675
OR10A2	0.30525
CST7	1.64775
CIAO1	-1.556
SELL	1.47
OR8J3	-0.257
LTBP4	0.137833333333333
SIRT6	-0.22075
CCL19	4.1145
PPIL1	-1.59
GBP7	1.23716666666667
STK17A	-0.2113
