Hybridization REF	TCGA-BH-A0E9-01B-11R-A115-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	1.41116666666667
CREB3L1	0.10275
RPS11	-0.12225
PNMA1	0.64875
MMP2	1.23783333333333
C10orf90	-1.23575
ZHX3	0.204666666666667
ERCC5	-0.0275
GPR98	-0.852875
RXFP3	-0.0505
APBB2	0.97175
PRO0478	-0.57525
KLHL13	1.07225
PRSSL1	-1.1305
PDCL3	0.664833333333333
DECR1	-0.4735
SALL1	-4.26833333333333
CADM4	0.964
RPS18	-0.408
HNRPD	-0.196666666666667
CFHR5	0.305
SLC10A7	-0.09525
OR2K2	0.164
LMAN1	-0.504875
SUHW1	-3.66675
CHD8	0.5161
SUMO1	0.1675
GP1BA	0.4173
DDB1	-0.1885
MYO9B	-0.2897
MMP7	6.62175
CRNKL1	1.47975
C9orf45	-0.61
XAB2	0.424125
RTN1	1.5605
KLHL14	-0.54975
TBX10	-1.0705
CENPQ	-1.9205
UTY	-1.38184615384615
ZBTB12	0.054
DTNBP1	-0.328
KBTBD8	-1.46166666666667
ZEB1	0.364166666666667
ZG16	-1.8105
MIER1	-0.2331
ADAM5P	1.031
CHD9	-0.0124375
STK16	-0.3895
KIAA1486	-0.5975
TOB2	0.455083333333333
BANK1	2.095
OR2V2	0.406
GRM2	0.177833333333333
PROSC	0.475125
SPIN2B	0.8485
PIR	-2.64077777777778
IPO9	-0.0206
EVC	1.3695
CXCL13	2.635
KIAA1199	-2.2353
SORL1	0.87775
NAT10	-0.2775
CHD1	-0.2495
SYN3	-0.85975
SLC22A2	-0.4935
SERPINF1	1.038
WDR34	-0.57875
OR7A17	0.202
C9orf11	0.078
RNF216L	-0.6442
LHB	-0.4285
STK25	0.416875
TAOK3	1.144625
LOC152573	-1.827
C3orf39	0.5405
C14orf108	0.7744
CDC25B	-1.27327272727273
BMP3	-0.055
TMEM180	0.268
MAP1LC3C	2.27625
CRYGC	-1.0265
POU3F1	-1.6311
C20orf32	-1.1185
CCDC95	-0.462
HIGD1B	3.542
USP6NL	0.387
ABCD4	0.193
DIMT1L	-0.76175
TEK	2.041625
SLC25A46	-0.89875
LARP7	-1.7084
CD160	0.630833333333333
MT1JP	-0.113
PHF20	0.061875
CPNE4	1.153
GTPBP1	-0.492714285714286
RAB33B	1.206
ALDOC	-2.449375
ZNF212	0.2395
NUDT1	-0.9885
RFPL2	0.46425
ZNF83	1.14666666666667
GDPD5	-0.5715
PDCD4	1.8179
CEP350	1.07125
OR10A2	-0.1335
CST7	0.59525
CIAO1	-0.9985
SELL	1.823875
OR8J3	0.323
LTBP4	0.223333333333333
SIRT6	-0.0525
CCL19	4.1375
PPIL1	-1.73566666666667
GBP7	-0.187833333333333
STK17A	-0.444
ABR	0.49625
OR9G1	0.5215
FOXE1	-0.635875
CNGA3	1.957
GML	0.3015
CD38	-1.55925
ZDHHC6	0.1635
NEFH	-0.38825
CTDSP2	1.275
PGBD5	-0.411833333333333
CCNY	0.395142857142857
RMND5B	0.3265
ZNF257	-0.8705
FLJ22167	0.670625
EXOSC7	-0.675833333333333
ROR2	1.140125
MAOA	1.315375
TNNT3	1.62216666666667
GYPC	-0.531
C7orf33	-0.088
PLIN	3.36233333333333
LOC90826	-0.072
RNF4	-0.1883
F8A1	-0.234333333333333
PLEKHG4	-1.13575
GRB2	0.19645
HIST1H2AD	0.44625
DUS3L	-0.543
EIF1	-0.000666666666666663
RP5-1077B9.4	-0.95
FPGT	1.393
GDF10	1.59
COQ9	-0.315
GCC2	0.504428571428572
RARRES3	1.797
PLXNA1	-0.1159
KIAA0100	-0.1312
PMF1	0.19475
FNDC1	4.53225
HS2ST1	-0.98275
CRELD2	0.71725
C8G	-1.8435
CD82	0.71175
LIM2	-1.2725
UNQ6490	-0.091
MMP16	1.0445
DRD3	-0.13475
C5orf26	-0.4985
C11orf73	-0.48425
PTP4A2	-0.766375
OR4M2	0.073
HPCA	-0.362833333333333
SEC14L1	-0.569666666666667
CHFR	-0.4885
EMILIN1	0.237
NDUFS4	-0.5315
COL18A1	-0.026125
PDZD3	0.0622
C9orf16	-0.755333333333333
ERBB2IP	-0.165333333333333
EMX2	2.28725
FUS	0.026
TF	-3.2989
CLCN4	0.8365
CXorf56	0.55925
C11orf72	0.00125
ELAC2	-0.825583333333333
NPR1	0.92725
ASS1	-0.765666666666667
USP42	0.04875
POLR2J	-0.7355
SEC23IP	0.708666666666667
UQCRC1	-0.581
LOC729603	0.23325
C1orf71	0.124
POLG	-1.9615
ADAM23	-2.928
TFR2	-1.524
RICTOR	-0.5397
MGC39606	0.836
C19orf55	-0.277
SNAPC1	-0.983833333333333
GNA11	1.3765
CCDC52	1.12933333333333
FSIP1	1.567
UPF3A	0.38925
IGSF11	-2.2765
LAGE3	-0.28875
CHST6	-2.586
UNC13B	1.372625
TTLL4	-0.202875
ZNF687	0.993125
SDC2	-0.4975
COX7A2	-0.401
LAMB4	-0.0445
FAM24A	0.7565
LRRTM3	-1.69083333333333
GPHB5	-0.5255
OR4C13	0.0275
EIF3EIP	-0.0384285714285714
HABP4	0.5035
TMEM125	2.19775
CNTN2	1.092625
ASNSD1	0.252
FUT4	0.603125
ACF	-3.81375
LOC158381	0.2395
CDH8	0.7665
AGPS	-2.0505
C4orf18	3.63625
PECI	-0.38325
UNG	0.263125
GSTP1	-1.092625
DCUN1D5	-1.63066666666667
DKFZP564J0863	-1.45625
SLC9A3R1	1.3065
BCDO2	-0.6875
CHMP7	0.638
REM2	1.042
DNHD1	-0.6865
FKBP4	0.1015
ZNF350	1.96625
MGC11102	-0.846625
BST1	1.23725
KISS1R	-0.93
NCR2	0.115
DEFB125	0.5795
UBE2W	0.734125
KRT15	3.135875
C10orf99	-0.24
SCN11A	0.711375
GFI1	-1.41875
RDHE2	2.73433333333333
FHL1	0.136666666666667
OSGEP	-0.465333333333333
GATA1	-3.82516666666667
SMC6	-0.2475
TTTY14	-1.5745
LPIN3	0.18075
RPL4	0.1157
RBPMS	0.7259
PRPF3	0.202833333333333
EMR1	-2.261
SPATA19	0.3715
XCR1	-0.1005
IRX3	1.8987
RBM6	-0.015
KLF4	0.9154
UNC5CL	-1.24625
SEBOX	0.1845
BTK	-0.39425
KRCC1	1.6325
C6orf27	-0.223
SYTL5	-0.398
PRND	2.588375
LOC653319	-1.8625
PIGL	-1.996375
HUS1	-0.406666666666667
SFRS6	0.7015
C17orf77	0.128
UIMC1	-0.397333333333333
FXYD2	-2.1775
LOC283152	0.53125
ZNF667	0.66325
ZCCHC12	0.1335
TFEC	2.7323
ATP7B	0.798333333333333
POLD2	-0.671833333333333
RG9MTD1	0.5385
ACOT2	0.642833333333333
HIST1H4I	-1.83175
PPARGC1A	-1.5321
ETFA	-1.0127
POLRMT	-0.3765
ZNF146	0.873125
MIA2	-1.886
KLHL6	-0.851333333333333
HOXB5	-1.02625
NENF	1.091
CUGBP1	-0.67025
PRSS22	0.657666666666667
CASC4	0.6469
CUL4B	-0.1398
CENPJ	-1.134
PITX1	1.07616666666667
FLJ31033	0.215
CELSR3	-0.648
ZNF568	1.00875
ITSN1	-0.869333333333333
EHBP1L1	-1.01266666666667
C19orf2	0.62475
DCTN1	0.822
LIN28B	-4.8295
TNKS2	0.0075
C1QBP	-0.96675
CADPS2	2.74425
SRMS	0.033
GJA9	0.442
MGC24975	-0.7195
TRIM45	0.498166666666667
TSP50	0.65575
TCP1	-0.82425
TMED7	-0.7331
CMA1	1.8715
CENPL	0.00783333333333333
PTCRA	-0.4995
FST	-2.45825
VWCE	-3.19575
PAWR	-0.38125
ABCC12	2.125
LDLR	-1.1379
ASTN2	1.106
LOC441212	-1.201875
GPATCH8	0.263
TANC2	-0.92175
KIF4A	-2.96525
C18orf18	-1.07875
PGM1	-0.61425
KIAA0258	-0.348
CPD	0.415625
SNCAIP	0.69975
DCT	-4.4795
HLA-DOA	2.46713636363636
OR11L1	-0.034
UPK1B	-0.372333333333333
DNAJB4	0.557
UGT1A8	-0.3325
HIST1H4L	-2.9065
PECR	-0.671666666666667
HSPA2	1.17325
WFIKKN1	-1.0895
SERP1	0.877125
SYDE2	0.631
TACR2	-0.057
NUP85	-0.7195
CD177	0.4045
LGR5	-1.4555
PIGG	-0.159833333333333
PTHR1	-1.45233333333333
RAB5A	0.6442
FLJ13224	-0.261
USP9Y	-2.34516666666667
C7orf53	-0.2485
LRP1B	1.436
XAF1	1.5298
ABCG8	-0.362
ANKDD1A	-0.39
DAND5	-0.16
SPAG6	0.712666666666667
LINCR	2.97175
ZDHHC22	-1.717625
CCDC60	-0.261
THOC7	-0.205833333333333
TCTA	1.1238
OR8K3	-0.123
NY-REN-7	-0.558
B2M	0.675333333333333
C6orf141	-0.7015
LPPR4	2.86575
SQLE	-0.8035
SEPHS1	-0.12925
BTBD14B	-0.168285714285714
PLRG1	-0.67875
SPG7	-0.07725
ZNF614	0.191666666666667
PARD6G	0.3355
INPP5B	-0.0448
GRPEL2	-0.71625
PPID	-0.5833
TRIM56	0.332
UBE2J1	-0.29925
IL20RA	5.8825
LOC387856	0.84975
C1orf107	1.02341666666667
UTS2R	-1.101
C19orf22	1.2035
SAFB2	-0.407125
KIAA0652	0.495
KLRG1	-0.111
MS4A8B	3.2145
FRAG1	0.8535
KIAA1546	0.36775
E2F4	-0.6215
CLEC4M	0.139
BTBD14A	-2.1725
KIAA0999	0.9394
GYPA	-4.03383333333333
TAC1	4.8102
TRAIP	-1.91716666666667
KIAA0232	0.7141
ERCC8	-0.838625
GPX4	0.476125
KIAA0368	-0.00699999999999999
GPR157	-0.996833333333333
CTAGE4	1.426
C9orf30	-0.790666666666667
OR52A1	-0.174
HSP90B3P	0.1915
ALG9	-0.5903
BTBD10	1.02075
SDK2	0.079
BAIAP3	-0.3465
RABGGTB	-1.39875
ANKRD40	0.1995
KRT74	1.092
CALCOCO2	0.904142857142857
SNCA	-1.379
TMSL8	-3.006625
C2orf53	-0.1045
ESRRB	-0.255
ARHGAP26	-1.050125
TDRD9	-1.38225
HRAS	-0.4225
KLRC4	-1.6755
JAGN1	-0.634333333333333
BSDC1	-0.1015
RNF43	-0.0158
NDUFAF1	0.8275
PHF12	0.5015
OR1L3	0.188
FOLR2	1.35716666666667
LYZL6	0.185333333333333
tcag7.1260	-1.4485
WSB1	-1.01866666666667
PROS1	0.9219
OSTN	0.034
PSMB8	-0.2605
SOCS4	0.09875
DDIT4L	1.718
MAS1	0.339
MGC34796	1.1995
CSHL1	-0.0218333333333333
TBCCD1	0.507166666666667
ZBTB7C	0.4565
AP2S1	-0.749375
P15RS	0.8887
VAT1	-0.4766
SHANK3	0.9605
TUFM	-0.405833333333333
THEG	0.32925
KRT34	-2.11825
SGSM3	-0.030125
TOMM22	-0.606625
SOCS3	1.548
CPO	1.271
POP4	0.4875
BHLHB3	2.88875
MALL	1.841
OR1B1	0.3105
PARK2	1.48283333333333
GPR124	1.403625
LCE1E	-0.065
RUVBL2	-0.50825
CGRRF1	1.1642
ACPL2	0.9935
WNT10B	-1.937875
BAIAP2L2	-2.867375
ISCA1	0.831
C1orf125	0.588625
RPAP1	-0.69125
RAI16	-0.0505
RPL27	-0.668
NLRP9	0.6155
EPN1	0.09
