Hybridization REF	TCGA-B6-A0RH-01A-21R-A115-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.400666666666667
CREB3L1	1.7575
RPS11	0.22025
PNMA1	-0.74075
MMP2	1.56483333333333
C10orf90	-1.82225
ZHX3	0.309666666666667
ERCC5	0.38875
GPR98	0.396625
RXFP3	0.585
APBB2	1.079
PRO0478	-1.305
KLHL13	-1.128
PRSSL1	-0.826166666666667
PDCL3	0.498833333333333
DECR1	-0.03975
SALL1	-3.44083333333333
CADM4	1.4765
RPS18	0.428857142857143
HNRPD	-1.53033333333333
CFHR5	0.8484
SLC10A7	-0.503625
OR2K2	1.055
LMAN1	-1.782375
SUHW1	-3.3375
CHD8	0.7339
SUMO1	0.6047
GP1BA	-0.3918
DDB1	0.220333333333333
MYO9B	0.0179
MMP7	4.5015
CRNKL1	0.8515
C9orf45	-1.867
XAB2	0.683625
RTN1	1.297125
KLHL14	-1.569375
TBX10	-0.75
CENPQ	-1.99675
UTY	-1.46264285714286
ZBTB12	0.139
DTNBP1	-0.258
KBTBD8	-2.122
ZEB1	0.0886666666666667
ZG16	-1.215
MIER1	0.156
ADAM5P	-0.7575
CHD9	-0.5881875
STK16	-0.041
KIAA1486	-0.0225
TOB2	1.41158333333333
BANK1	1.14925
OR2V2	0.02475
GRM2	0.2925
PROSC	-0.2
SPIN2B	-1.08525
PIR	-0.752555555555556
IPO9	0.289
EVC	1.22883333333333
CXCL13	3.15933333333333
KIAA1199	-1.3318
SORL1	1.4025
NAT10	-0.0965
CHD1	-0.48925
SYN3	-0.503
SLC22A2	-0.307
SERPINF1	0.593
WDR34	-0.03625
OR7A17	0.45375
C9orf11	0.1175
RNF216L	0.0252
LHB	0.061
STK25	-0.60625
TAOK3	0.609
LOC152573	-3.31675
C3orf39	0.64025
C14orf108	-0.2961
CDC25B	-1.07154545454545
BMP3	0.4565
TMEM180	0.304
MAP1LC3C	-0.53825
CRYGC	-0.99
POU3F1	-0.6282
C20orf32	-1.4935
CCDC95	0.2605
HIGD1B	3.51625
USP6NL	-0.375625
ABCD4	-0.568833333333333
DIMT1L	-1.21008333333333
TEK	0.56775
SLC25A46	-1.178
LARP7	-2.0386
CD160	0.2505
MT1JP	-0.427333333333333
PHF20	0.182375
CPNE4	-2.252
GTPBP1	0.434071428571429
RAB33B	0.294333333333333
ALDOC	-2.886875
ZNF212	-0.53775
NUDT1	-0.657
RFPL2	0.948
ZNF83	-0.4245
GDPD5	-0.67375
PDCD4	1.45445
CEP350	0.71075
OR10A2	0.204
CST7	0.324
CIAO1	-1.25125
SELL	0.355625
OR8J3	-0.1185
LTBP4	0.0196666666666666
SIRT6	0.42075
CCL19	3.0375
PPIL1	-0.8105
GBP7	2.18166666666667
STK17A	-0.7564
ABR	-0.64425
OR9G1	0.7415
FOXE1	-0.499125
CNGA3	1.385
GML	0.566
CD38	-1.0975
ZDHHC6	-0.000333333333333334
NEFH	-2.74425
CTDSP2	0.884583333333333
PGBD5	-0.975333333333333
CCNY	0.564857142857143
RMND5B	0.572833333333333
ZNF257	-2.35475
FLJ22167	-0.357875
EXOSC7	-0.881833333333333
ROR2	1.876
MAOA	-2.927875
TNNT3	0.57
GYPC	-1.45875
C7orf33	0.524
PLIN	1.005
LOC90826	-0.69275
RNF4	-0.3582
F8A1	0.344166666666667
PLEKHG4	-3.30825
GRB2	-0.5576
HIST1H2AD	0.607
DUS3L	-0.972166666666667
EIF1	0.0983333333333333
RP5-1077B9.4	-0.478333333333333
FPGT	0.78475
GDF10	-1.731
COQ9	-0.2245
GCC2	-0.219714285714286
RARRES3	3.58625
PLXNA1	-0.6375
KIAA0100	0.0393
PMF1	0.8075
FNDC1	5.3755
HS2ST1	-0.218416666666667
CRELD2	1.35325
C8G	-1.4125
CD82	1.48125
LIM2	-1.1105
UNQ6490	-0.5305
MMP16	0.08775
DRD3	-0.03275
C5orf26	-1.23125
C11orf73	-0.641125
PTP4A2	1.38575
