Hybridization REF	TCGA-C8-A12L-01A-11R-A115-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.0518333333333333
CREB3L1	-0.11525
RPS11	0.08675
PNMA1	-0.13
MMP2	-0.107333333333333
C10orf90	-2.14533333333333
ZHX3	-0.224333333333333
ERCC5	0.30625
GPR98	1.469125
RXFP3	0.012
APBB2	-0.5625
PRO0478	-0.925625
KLHL13	-0.58725
PRSSL1	-0.794833333333333
PDCL3	1.517
DECR1	0.353375
SALL1	-3.71066666666667
CADM4	0.132166666666667
RPS18	-0.824428571428571
HNRPD	0.00333333333333334
CFHR5	0.675833333333333
SLC10A7	0.32
OR2K2	-0.058
LMAN1	1.10575
SUHW1	-3.4135
CHD8	-0.1653
SUMO1	1.373
GP1BA	1.6118
DDB1	-0.642166666666667
MYO9B	-0.4084
MMP7	6.2885
CRNKL1	0.822625
C9orf45	-1.27966666666667
XAB2	0.681875
RTN1	0.683375
KLHL14	-1.26871428571429
TBX10	-0.5195
CENPQ	-0.87125
UTY	-1.20069230769231
ZBTB12	-0.4
DTNBP1	-0.588
KBTBD8	-1.07483333333333
ZEB1	-0.8585
ZG16	-0.966
MIER1	0.2609
ADAM5P	0
CHD9	0.3790625
STK16	-0.031
KIAA1486	0.537
TOB2	0.903166666666667
BANK1	3.82375
OR2V2	-0.21775
GRM2	0.326
PROSC	0.07075
SPIN2B	-0.4375
PIR	-0.440111111111111
IPO9	0.1716
EVC	0.505666666666667
CXCL13	6.09433333333333
KIAA1199	-0.0495
SORL1	-1.0405
NAT10	-1.214
CHD1	-0.67125
SYN3	-0.759
SLC22A2	-0.279
SERPINF1	-0.612666666666667
WDR34	0.08675
OR7A17	0.5235
C9orf11	-0.3335
RNF216L	-1.3369
LHB	0.149
STK25	-1.762125
TAOK3	1.2365
LOC152573	-2.48675
C3orf39	0.09
C14orf108	0.7739
CDC25B	-1.62454545454545
BMP3	1.5645
TMEM180	0.0625
MAP1LC3C	0.09275
CRYGC	-1.102
POU3F1	-1.2037
C20orf32	-1.406
CCDC95	-1.018
HIGD1B	4.0755
USP6NL	2.064875
ABCD4	-1.2625
DIMT1L	-0.6605
TEK	0.29925
SLC25A46	0.0715
LARP7	-1.3889
CD160	-0.0373333333333333
MT1JP	0.1035
PHF20	0.052875
CPNE4	-1.7665
GTPBP1	-0.166214285714286
RAB33B	0.9565
ALDOC	-3.11475
ZNF212	-1.08075
NUDT1	-0.457666666666667
RFPL2	-1.53625
ZNF83	0.6545
GDPD5	-1.035
PDCD4	-0.3411
CEP350	0.00975
OR10A2	0.3655
CST7	0.13725
CIAO1	-0.184
SELL	1.179375
OR8J3	0.00849999999999999
LTBP4	-0.997
SIRT6	0.04825
CCL19	3.66875
PPIL1	-0.9365
GBP7	-0.458
STK17A	-0.4717
ABR	-0.80725
OR9G1	0.7715
FOXE1	-0.45
CNGA3	0.243
GML	0.3045
CD38	-0.82
ZDHHC6	-0.159666666666667
NEFH	-3.16075
CTDSP2	0.66975
PGBD5	0.180333333333333
CCNY	0.471142857142857
RMND5B	-0.384166666666667
ZNF257	0.62075
FLJ22167	-0.23
EXOSC7	-0.611333333333333
ROR2	0.115875
MAOA	0.476
TNNT3	-0.192166666666667
GYPC	-2.40825
C7orf33	-0.0675
PLIN	-0.2355
LOC90826	-0.12125
RNF4	0.8467
F8A1	0.724166666666667
PLEKHG4	0.93475
GRB2	0.16165
HIST1H2AD	-1.1545
DUS3L	-0.4346
EIF1	0.357666666666667
