Hybridization REF	TCGA-E2-A14Z-01A-11R-A115-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.125416666666667
CREB3L1	1.03325
RPS11	0.185875
PNMA1	-0.08275
MMP2	0.519833333333333
C10orf90	-1.91325
ZHX3	-0.2365
ERCC5	0.065
GPR98	0.5445
RXFP3	0.2485
APBB2	2.8605
PRO0478	-0.835
KLHL13	-0.4585
PRSSL1	-0.0603333333333334
PDCL3	0.7635
DECR1	1.512625
SALL1	-3.44766666666667
CADM4	1.157
RPS18	0.460714285714286
HNRPD	-0.62425
CFHR5	0.7155
SLC10A7	0.257625
OR2K2	0.221
LMAN1	-1.46425
SUHW1	-3.10525
CHD8	0.4093
SUMO1	-0.000699999999999973
GP1BA	0.7201
DDB1	0.248
MYO9B	-0.09
MMP7	6.69475
CRNKL1	2.001125
C9orf45	-1.58133333333333
XAB2	0.213625
RTN1	1.695625
KLHL14	-0.717125
TBX10	-1.276
CENPQ	-1.63075
UTY	-1.055
ZBTB12	-0.1205
DTNBP1	0.2945
KBTBD8	-0.516833333333333
ZEB1	0.543833333333333
ZG16	-0.428
MIER1	0.5157
ADAM5P	0.358
CHD9	0.00349999999999999
STK16	0.495
KIAA1486	0.057
TOB2	0.301666666666667
BANK1	4.271
OR2V2	0.27775
GRM2	0.0646666666666667
PROSC	0.13175
SPIN2B	-0.12075
PIR	-1.73066666666667
IPO9	-0.181
EVC	0.4255
CXCL13	5.54683333333333
KIAA1199	-2.169
SORL1	1.04575
NAT10	-0.97
CHD1	-0.139
SYN3	-0.55575
SLC22A2	-0.53025
SERPINF1	0.5945
WDR34	-0.609
OR7A17	0.4435
C9orf11	0.168
RNF216L	0.1043
LHB	-0.232
STK25	-1.248875
TAOK3	1.03375
LOC152573	-2.22475
C3orf39	0.843375
C14orf108	0.3779
CDC25B	-1.35827272727273
BMP3	0.2995
TMEM180	0.1035
MAP1LC3C	-0.0965
CRYGC	-0.546
POU3F1	-1.3999
C20orf32	-1.2455
CCDC95	-0.1585
HIGD1B	3.67725
USP6NL	0.63575
ABCD4	-0.327333333333333
DIMT1L	-0.548083333333333
TEK	1.315125
SLC25A46	-0.8915
LARP7	-0.8344
CD160	0.523666666666667
MT1JP	-0.0325
PHF20	0.3505625
CPNE4	-2.09525
GTPBP1	-0.540214285714286
RAB33B	0.834833333333333
ALDOC	-2.910375
ZNF212	-0.462
NUDT1	-0.326333333333333
RFPL2	-0.0585
ZNF83	0.217166666666667
GDPD5	-1.663625
PDCD4	2.3947
CEP350	0.85675
OR10A2	0.000750000000000001
CST7	1.7175
CIAO1	-0.59025
SELL	2.791625
OR8J3	0.515
LTBP4	-0.0443333333333333
SIRT6	-0.26825
CCL19	4.5145
PPIL1	-0.5775
GBP7	1.83066666666667
STK17A	-0.3956
ABR	0.016
OR9G1	-0.6565
FOXE1	-0.78775
CNGA3	0.3105
GML	0.5155
CD38	-0.06925
ZDHHC6	0.333666666666667
NEFH	1.21725
CTDSP2	0.238416666666667
PGBD5	-1.525
CCNY	0.190428571428571
RMND5B	0.376333333333333
ZNF257	-1.0515
FLJ22167	-1.07575
EXOSC7	-0.0878333333333333
ROR2	1.20475
MAOA	1.261125
TNNT3	0.594333333333333
GYPC	-1.31775
C7orf33	0.3525
PLIN	2.891
LOC90826	0.295
RNF4	1.1494
F8A1	0.1675
PLEKHG4	-0.74625
GRB2	0.14635
HIST1H2AD	0.452
DUS3L	-1.15766666666667
EIF1	-0.342833333333333
RP5-1077B9.4	-1.272
FPGT	1.36775
GDF10	0.4975
COQ9	-0.32025
GCC2	0.251428571428571
RARRES3	3.505625
PLXNA1	-0.5405
KIAA0100	0.7638
PMF1	-0.3285
FNDC1	4.8565
HS2ST1	-0.633833333333333
CRELD2	-0.27375
C8G	-1.977
CD82	1.222
LIM2	-1.0735
UNQ6490	-0.679
MMP16	-0.24475
DRD3	0.19575
C5orf26	-1.12425
C11orf73	-0.513875
PTP4A2	0.75275
OR4M2	0.21
HPCA	-1.13316666666667
SEC14L1	-0.336666666666667
CHFR	-0.299875
EMILIN1	0.631
NDUFS4	0.11125
COL18A1	-0.2155
PDZD3	-0.0407
C9orf16	-0.436666666666667
ERBB2IP	0.383833333333333
EMX2	3.33525
FUS	-1.19825
TF	-3.9556
CLCN4	-0.3275
CXorf56	0.3755
C11orf72	0.048
ELAC2	-0.598916666666667
NPR1	-1.036
ASS1	-1.73466666666667
USP42	0.443125
POLR2J	-0.3495
SEC23IP	0.893166666666667
UQCRC1	0.25625
LOC729603	-0.43275
C1orf71	0.322375
POLG	-1.3185
ADAM23	-3.38275
TFR2	-1.42025
RICTOR	-0.3542
MGC39606	0.14825
C19orf55	-0.158625
SNAPC1	-1.364
GNA11	0.57675
CCDC52	0.463333333333333
FSIP1	4.604
UPF3A	-0.741625
IGSF11	-2.1755
LAGE3	1.03475
CHST6	-2.4925
UNC13B	-0.101875
TTLL4	-0.56325
ZNF687	-0.29725
SDC2	-1.5276
COX7A2	0.34775
LAMB4	-0.31125
FAM24A	0.021
LRRTM3	-0.983333333333333
GPHB5	0.59375
OR4C13	0.4445
EIF3EIP	-0.183571428571429
HABP4	-1.284
TMEM125	2.56025
CNTN2	0.157
ASNSD1	-0.226
FUT4	-0.151625
ACF	-3.738
LOC158381	0.6375
CDH8	0.5175
AGPS	-0.517
C4orf18	2.245625
PECI	0.19225
UNG	-0.64
GSTP1	-1.795125
DCUN1D5	-1.11083333333333
DKFZP564J0863	-0.40425
SLC9A3R1	0.440375
BCDO2	0.0825
CHMP7	-0.376625
REM2	0.1615
DNHD1	-0.4915
FKBP4	0.378625
ZNF350	2.05025
MGC11102	0.08
BST1	1.90475
KISS1R	-0.382
NCR2	0.348
DEFB125	0.3265
UBE2W	1.863
KRT15	1.763
C10orf99	0.05
SCN11A	0.37475
GFI1	-0.72675
RDHE2	3.121
FHL1	-0.9735
OSGEP	-0.314666666666667
GATA1	-3.29133333333333
SMC6	-0.54475
TTTY14	-1.02225
LPIN3	-0.18775
RPL4	-0.2609
RBPMS	0.4913
PRPF3	-0.315666666666667
EMR1	-1.1845
SPATA19	-0.118
XCR1	0.256
IRX3	1.9082
RBM6	-0.289
KLF4	-0.6473
UNC5CL	3.66025
SEBOX	-0.168
BTK	-0.299
KRCC1	0.74075
C6orf27	0.184
SYTL5	-0.261
PRND	1.64325
LOC653319	-1.318
PIGL	-0.89375
HUS1	0.0631666666666667
SFRS6	-0.0263333333333333
C17orf77	0.4275
UIMC1	-0.697166666666667
FXYD2	-1.6809
LOC283152	0.4995
ZNF667	1.3885
ZCCHC12	-0.57325
TFEC	4.5698
ATP7B	-0.1285
POLD2	-0.9665
RG9MTD1	0.44425
ACOT2	0.2745
HIST1H4I	0.154875
PPARGC1A	-2.5173
ETFA	-1.0978
POLRMT	-0.30925
ZNF146	0.183875
MIA2	-1.8445
KLHL6	0.498166666666667
HOXB5	-1.155125
NENF	1.19616666666667
CUGBP1	-0.0505
PRSS22	0.914
CASC4	1.5287
CUL4B	0.4368
CENPJ	-1.3615
PITX1	2.00466666666667
FLJ31033	1.27
CELSR3	-2.26866666666667
ZNF568	1.23475
ITSN1	-0.150333333333333
EHBP1L1	-1.11566666666667
C19orf2	0.007
DCTN1	-0.156
LIN28B	-3.87283333333333
TNKS2	0.045
C1QBP	-0.956875
CADPS2	1.031
SRMS	0.08475
GJA9	0.120833333333333
MGC24975	-0.323666666666667
TRIM45	0.830333333333333
TSP50	0.7225
TCP1	-1.0235
TMED7	0.0732
CMA1	1.603
CENPL	-0.8695
PTCRA	0.473
FST	-3.8815
VWCE	-3.2205
PAWR	-0.18175
ABCC12	0.7105
LDLR	-2.1275
ASTN2	-0.00629999999999997
LOC441212	-1.235375
GPATCH8	-0.0975
TANC2	-0.722416666666667
KIF4A	-1.466
C18orf18	-1.29525
PGM1	-2.02375
KIAA0258	0.29925
CPD	1.21475
SNCAIP	0.4625
DCT	-4.448
HLA-DOA	3.19236363636364
OR11L1	0.2085
UPK1B	-0.24
DNAJB4	-0.071
UGT1A8	-0.34375
HIST1H4L	-0.14
PECR	-1.42583333333333
HSPA2	0.82275
WFIKKN1	-2.911
SERP1	0.6395
SYDE2	2.17125
TACR2	0.4595
NUP85	-0.98525
CD177	-0.330666666666667
LGR5	-2.19833333333333
PIGG	-0.736333333333333
