Hybridization REF	TCGA-BH-A0EA-01A-11R-A115-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.604833333333333
CREB3L1	1.20275
RPS11	0.3035
PNMA1	-0.36625
MMP2	1.18716666666667
C10orf90	-1.3675
ZHX3	-0.205833333333333
ERCC5	0.168
GPR98	-0.18675
RXFP3	0.083
APBB2	1.1075
PRO0478	-0.195625
KLHL13	-0.9315
PRSSL1	-0.276666666666667
PDCL3	-0.181666666666667
DECR1	0.192
SALL1	-3.84466666666667
CADM4	0.9355
RPS18	0.562
HNRPD	-1.18508333333333
CFHR5	0.226
SLC10A7	-0.241375
OR2K2	-0.2725
LMAN1	-1.397875
SUHW1	-4.7555
CHD8	0.2867
SUMO1	-0.0489
GP1BA	0.7018
DDB1	0.00966666666666668
MYO9B	-0.0835
MMP7	5.9
CRNKL1	0.309125
C9orf45	-0.178166666666667
XAB2	0.562875
RTN1	2.3325
KLHL14	-0.57425
TBX10	-1.0755
CENPQ	-3.05775
UTY	-1.70742857142857
ZBTB12	-0.269
DTNBP1	-0.076625
KBTBD8	-1.33233333333333
ZEB1	1.43583333333333
ZG16	-1.65325
MIER1	0.7007
ADAM5P	-0.371
CHD9	0.0996875
STK16	-0.9425
KIAA1486	-0.00599999999999999
TOB2	1.36566666666667
BANK1	4.304
OR2V2	-0.16275
GRM2	-0.164166666666667
PROSC	0.020375
SPIN2B	-0.38025
PIR	-1.69066666666667
IPO9	0.0312
EVC	1.40083333333333
CXCL13	4.1775
KIAA1199	-0.8706
SORL1	1.3535
NAT10	-0.925
CHD1	0.0015
SYN3	-0.37275
SLC22A2	-0.52075
SERPINF1	1.90516666666667
WDR34	-0.1045
OR7A17	0.253
C9orf11	-1.862
RNF216L	0.3303
LHB	-0.448
STK25	-0.823875
TAOK3	0.465625
LOC152573	-1.37825
C3orf39	0.12225
C14orf108	0.429
CDC25B	-1.95527272727273
BMP3	0.36
TMEM180	-0.028
MAP1LC3C	1.40975
CRYGC	-0.6765
POU3F1	-1.4758
C20orf32	-2.1875
CCDC95	0.044
HIGD1B	4.14125
USP6NL	0.119125
ABCD4	-0.212166666666667
DIMT1L	-0.92125
TEK	1.69575
SLC25A46	-1.08275
LARP7	-1.2352
CD160	0.434333333333333
MT1JP	1.44466666666667
PHF20	-0.045875
CPNE4	-2.21625
GTPBP1	-0.1125
RAB33B	1.003
ALDOC	-1.047375
