Hybridization REF	TCGA-C8-A12M-01A-11R-A115-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.319333333333333
CREB3L1	-0.9365
RPS11	0.340125
PNMA1	0.65425
MMP2	-0.569666666666667
C10orf90	-1.891
ZHX3	-0.967333333333333
ERCC5	0.47025
GPR98	2.02171428571429
RXFP3	0.468
APBB2	1.1395
PRO0478	-0.632625
KLHL13	-0.30875
PRSSL1	-0.706833333333333
PDCL3	0.570666666666667
DECR1	-1.8035
SALL1	-3.359
CADM4	0.173833333333333
RPS18	0.749071428571429
HNRPD	-1.37733333333333
CFHR5	1.596
SLC10A7	0.223125
OR2K2	-0.5675
LMAN1	-0.41025
SUHW1	-3.48225
CHD8	1.1295
SUMO1	0.1754
GP1BA	1.103
DDB1	0.00816666666666667
MYO9B	-0.434
MMP7	1.354
CRNKL1	0.0443749999999999
C9orf45	-1.42383333333333
XAB2	0.66575
RTN1	0.111
KLHL14	0.144125
TBX10	-1.068
CENPQ	-1.35075
UTY	-0.5697
ZBTB12	0.915
DTNBP1	-0.82625
KBTBD8	-2.03383333333333
ZEB1	0.499333333333333
ZG16	-0.602
MIER1	0.5013
ADAM5P	0.0715
CHD9	0.49225
STK16	0.95075
KIAA1486	-0.1525
TOB2	0.505833333333333
BANK1	2.46775
OR2V2	0.04975
GRM2	0.203833333333333
PROSC	2.19675
SPIN2B	0.803
PIR	-1.00011111111111
IPO9	0.3302
EVC	-1.0825
CXCL13	4.31766666666667
KIAA1199	-1.8989
SORL1	0.9815
NAT10	-0.82975
CHD1	-0.92825
SYN3	0.57875
SLC22A2	-0.81475
SERPINF1	-1.24666666666667
WDR34	-0.1325
OR7A17	0.29
C9orf11	1.226
RNF216L	-1.6731
LHB	0.023
STK25	-0.63625
TAOK3	-0.233125
LOC152573	-3.2245
C3orf39	-0.53675
C14orf108	0.022
CDC25B	-2.16045454545455
BMP3	0.5025
TMEM180	0.203
MAP1LC3C	-0.227
CRYGC	-0.865
POU3F1	-0.9806
C20orf32	-2.1945
CCDC95	-0.2285
HIGD1B	4.90625
USP6NL	-0.4255
ABCD4	-0.8345
DIMT1L	-0.974083333333333
TEK	1.251
SLC25A46	-1.15375
LARP7	-0.975
CD160	0.958833333333333
MT1JP	0.226
PHF20	0.3008125
CPNE4	-1.275
GTPBP1	-0.468571428571429
RAB33B	1.81083333333333
ALDOC	-0.193375
ZNF212	0.048
NUDT1	-1.63516666666667
RFPL2	-0.74625
ZNF83	0.635333333333333
GDPD5	-1.67375
PDCD4	-0.31935
CEP350	0.25625
OR10A2	0.09
CST7	1.332
CIAO1	-0.3995
SELL	0.9255
OR8J3	-0.089
LTBP4	-0.231666666666667
SIRT6	-0.0375
CCL19	3.8145
PPIL1	-0.5025
GBP7	0.2935
STK17A	-1.5816
ABR	0.23175
OR9G1	0.612
FOXE1	-0.087125
CNGA3	-0.1685
GML	0.9595
CD38	-0.35
ZDHHC6	-0.315833333333333
NEFH	-3.8535
CTDSP2	0.595083333333333
PGBD5	-0.0795
CCNY	0.0311428571428571
RMND5B	0.666916666666667
ZNF257	-1.33125
FLJ22167	0.084375
EXOSC7	-0.341666666666667
ROR2	-0.067125
MAOA	-2.709375
TNNT3	0.189333333333333
GYPC	-1.46175
C7orf33	0.5205
PLIN	1.832
LOC90826	-0.4805
RNF4	0.1307
F8A1	-0.620833333333333
PLEKHG4	-0.8285
GRB2	0.6006
HIST1H2AD	1.72425
DUS3L	-1.0535
EIF1	0.00649999999999999
RP5-1077B9.4	-0.567
FPGT	1.04675
GDF10	-1.899
COQ9	0.13875
GCC2	0.365
RARRES3	1.676375
PLXNA1	-0.7467
KIAA0100	0.5382
PMF1	0.81175
FNDC1	3.858
HS2ST1	-0.159583333333333
CRELD2	-0.2295
C8G	-1.4915
CD82	-0.66075
LIM2	-1.1085
UNQ6490	-0.4285
MMP16	-0.04275
DRD3	-0.02375
C5orf26	0.679
C11orf73	-1.139625
PTP4A2	-0.572625
OR4M2	-0.5665
HPCA	0.49
SEC14L1	0.300333333333333
CHFR	-1.103625
EMILIN1	-0.3605
NDUFS4	-0.42475
COL18A1	0.40875
PDZD3	0.2938
C9orf16	0.705666666666667
ERBB2IP	0.0603333333333333
EMX2	1.65975
FUS	-1.3575
TF	-4.5584
CLCN4	-0.699333333333333
CXorf56	0.32575
C11orf72	0.35075
ELAC2	-0.5175
NPR1	-0.228
ASS1	-2.3525
USP42	0.41375
POLR2J	-0.2555
SEC23IP	0.742333333333333
UQCRC1	0.06275
LOC729603	-0.35875
C1orf71	-0.68775
POLG	-1.714
ADAM23	-4.86625
TFR2	-1.00525
RICTOR	0.0219
MGC39606	-0.1525
C19orf55	-0.05
SNAPC1	-1.30116666666667
GNA11	0.452125
CCDC52	-0.466
FSIP1	7.0085
UPF3A	0.325625
IGSF11	-1.55616666666667
LAGE3	-0.114
CHST6	-3.1545
UNC13B	-0.341375
TTLL4	-1.384375
ZNF687	1.226125
SDC2	-2.1337
COX7A2	0.56475
LAMB4	-0.23275
FAM24A	0.1085
LRRTM3	-0.880333333333334
GPHB5	0.42925
OR4C13	1.4735
EIF3EIP	0.0454285714285714
HABP4	-1.305
TMEM125	1.93825
CNTN2	-0.346125
ASNSD1	-0.0165
FUT4	-0.764375
ACF	-3.08175
LOC158381	0.7385
CDH8	0.84325
AGPS	-2.10216666666667
C4orf18	3.8575
PECI	0.176916666666667
UNG	-0.307
GSTP1	-3.2105
DCUN1D5	-2.88883333333333
DKFZP564J0863	-2.3465
SLC9A3R1	2.56825
BCDO2	-0.843125
CHMP7	-0.846625
REM2	0.6015
DNHD1	-0.783125
FKBP4	1.417875
ZNF350	1.83075
MGC11102	-0.833875
BST1	-0.1275
KISS1R	0.433
NCR2	-0.1035
DEFB125	0.5665
UBE2W	2.118875
KRT15	-2.659
C10orf99	0.078
SCN11A	0.066375
GFI1	-0.37775
RDHE2	-1.14366666666667
FHL1	-1.35066666666667
OSGEP	0.125
GATA1	-3.25616666666667
SMC6	-1.56575
TTTY14	-0.791
LPIN3	0.19975
RPL4	-0.1099
RBPMS	-0.8622
PRPF3	1.63166666666667
EMR1	-2.9905
SPATA19	0.477
XCR1	0.147
IRX3	1.1271
RBM6	-0.62825
KLF4	-0.8609
UNC5CL	1.126
SEBOX	-0.149
BTK	-1.6855
KRCC1	1.0095
C6orf27	0.4775
SYTL5	0.5845
PRND	3.840125
LOC653319	-0.8865
PIGL	-0.803
HUS1	-0.863166666666667
SFRS6	-1.8735
C17orf77	0.573
UIMC1	-0.152333333333333
FXYD2	-2.1198
LOC283152	-1.3915
ZNF667	-1.20025
ZCCHC12	-0.21625
TFEC	1.8868
ATP7B	-1.26766666666667
POLD2	-0.528
RG9MTD1	-0.3565
ACOT2	-0.231333333333333
HIST1H4I	-0.818125
PPARGC1A	-3.0584
ETFA	-1.5551
POLRMT	-0.4935
ZNF146	-0.0705
MIA2	-1.175
KLHL6	-0.8665
HOXB5	-1.177
NENF	-1.009
CUGBP1	-0.796
PRSS22	0.743666666666667
CASC4	1.5909
CUL4B	0.0469
CENPJ	-1.3897
PITX1	-1.2645
FLJ31033	-0.390666666666667
CELSR3	0.366666666666667
ZNF568	0.736
ITSN1	-0.488916666666667
EHBP1L1	-1.319
C19orf2	-1.15325
DCTN1	0.5185
LIN28B	-3.087
TNKS2	0.77375
C1QBP	-0.8435
CADPS2	0.1575
SRMS	-0.22025
GJA9	0.273666666666667
MGC24975	-0.101333333333333
TRIM45	-2.4335
TSP50	0.76325
TCP1	-0.6435
TMED7	0.4117
CMA1	0.623
CENPL	-1.25633333333333
PTCRA	-0.076
FST	-5.29825
VWCE	-4.3685
PAWR	0.56225
ABCC12	0.42925
LDLR	-1.6299
ASTN2	1.7904
LOC441212	-1.702
GPATCH8	-0.4125
TANC2	-0.206
KIF4A	-1.5985
C18orf18	0.584
PGM1	-2.14475
KIAA0258	-1.08825
CPD	-0.450625
SNCAIP	-2.5905
DCT	-4.88616666666667
HLA-DOA	1.841
OR11L1	0.479
UPK1B	-0.5154
DNAJB4	0.63225
UGT1A8	0.563
HIST1H4L	-1.806
PECR	-1.35733333333333
HSPA2	0.37275
WFIKKN1	0.8005
SERP1	0.017
SYDE2	4.03925
TACR2	-0.1995
NUP85	-0.979
CD177	-0.284166666666667
LGR5	-2.03233333333333
PIGG	0.105416666666667
PTHR1	-2.59466666666667
RAB5A	1.0058
FLJ13224	-0.0135
USP9Y	-1.507
C7orf53	0.0015
LRP1B	-0.36175
XAF1	0.6074
ABCG8	-0.6385
ANKDD1A	-0.806166666666667
DAND5	-1.9525
SPAG6	0.022
LINCR	0.94125
ZDHHC22	-1.27325
CCDC60	2.4875
THOC7	-1.23966666666667
TCTA	1.0281
OR8K3	0.098
NY-REN-7	-0.915
B2M	1.3505
C6orf141	0.084875
LPPR4	1.8185
SQLE	-0.153125
SEPHS1	-0.89875
BTBD14B	0.471285714285714
PLRG1	-0.90775
SPG7	-0.2753125
ZNF614	0.0535
PARD6G	0.968166666666667
INPP5B	-0.7846
GRPEL2	-0.174125
PPID	-0.3019
TRIM56	-0.0015
UBE2J1	-0.51875
IL20RA	-0.476
LOC387856	-0.75675
C1orf107	1.55358333333333
UTS2R	0.90375
C19orf22	-0.088
SAFB2	0.143375
KIAA0652	0.2045
KLRG1	-0.1735
MS4A8B	5.23133333333333
FRAG1	0.00025
KIAA1546	0.0175
E2F4	-1.4032
CLEC4M	0.209833333333333
BTBD14A	-1.904
KIAA0999	0.591
GYPA	-3.467
TAC1	0.462
TRAIP	-1.3945
KIAA0232	0.9699
ERCC8	-1.944875
GPX4	-0.00762499999999999
KIAA0368	0.755375
GPR157	-0.0408333333333334
CTAGE4	1.079
C9orf30	-1.90466666666667
OR52A1	0.1265
HSP90B3P	-0.8315
ALG9	-1.3043
BTBD10	0.30525
SDK2	0.07225
BAIAP3	2.176
RABGGTB	0.089
ANKRD40	-0.654
KRT74	0.625
CALCOCO2	1.31314285714286
SNCA	-4.2935
TMSL8	-3.3185
C2orf53	0.6815
ESRRB	-0.60225
ARHGAP26	-1.15225
TDRD9	-3.54325
HRAS	0.416666666666667
KLRC4	-1.8855
JAGN1	-0.449
BSDC1	0.42
RNF43	1.8457
NDUFAF1	0.3385
PHF12	0.537
OR1L3	0.136
FOLR2	2.02983333333333
LYZL6	0.0271666666666667
tcag7.1260	-2.6805
WSB1	-1.7175
PROS1	-1.1797
OSTN	0.0505
PSMB8	0.15825
SOCS4	-0.45575
DDIT4L	1.3615
MAS1	-0.044
MGC34796	1.944
CSHL1	0.1205
TBCCD1	0.105333333333333
ZBTB7C	0.014
AP2S1	-1.0005
P15RS	0.8614
VAT1	1.2157
SHANK3	1.33883333333333
TUFM	-0.444166666666667
THEG	-0.7335
KRT34	-2.51275
SGSM3	-0.714375
TOMM22	-1.005
SOCS3	0.260666666666667
CPO	-0.1675
POP4	-0.05575
BHLHB3	-1.2875
MALL	1.0925
OR1B1	0.425
PARK2	-0.416
GPR124	0.29325
LCE1E	0.1885
RUVBL2	-0.62225
CGRRF1	0.4502
ACPL2	0.27975
WNT10B	-2.824125
BAIAP2L2	-2.279625
ISCA1	0.63
C1orf125	0.4
RPAP1	-1.0465
RAI16	-1.26966666666667
RPL27	-0.105375
NLRP9	-0.6655
EPN1	0.3125
LOC388610	-2.886875
SLC35A1	0.6278
GAL	-5.082
SLC14A2	0.28425
RDH11	-0.626833333333333
FAM138F	-0.332
AUH	0.94475
FLJ40243	0.2465
C14orf129	0.332166666666667
MBD2	-1.251
ABHD14B	0.878375
PIGT	1.66625
ALS2CR4	-0.449875
ALAS1	0.7592
FOXO1	0.392333333333333
CRLF3	-1.06775
C20orf107	0.15
FARS2	0.57975
CCDC28A	0.038
NPHP3	-0.7285
OR13F1	0.184
TSEN54	-0.193
DEFB106B	0.0851
OR8B4	0.685
