Hybridization REF	TCGA-C8-A12W-01A-11R-A115-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.366166666666667
CREB3L1	0.64225
RPS11	0.71875
PNMA1	0.061
MMP2	0.934666666666667
C10orf90	-2.64175
ZHX3	-0.6765
ERCC5	-0.82575
GPR98	0.052375
RXFP3	0.487
APBB2	1.30025
PRO0478	-1.193625
KLHL13	-0.5845
PRSSL1	-0.8115
PDCL3	0.437166666666667
DECR1	-0.470375
SALL1	-2.89
CADM4	-0.5555
RPS18	0.107571428571429
HNRPD	-0.647166666666667
CFHR5	0.215666666666667
SLC10A7	0.49125
OR2K2	-0.5675
LMAN1	-0.256375
SUHW1	-3.9895
CHD8	0.5729
SUMO1	0.216
GP1BA	0.205
DDB1	-0.407333333333333
MYO9B	0.1042
MMP7	5.182
CRNKL1	1.871125
C9orf45	-2.20966666666667
XAB2	1.08
RTN1	1.887
KLHL14	-1.05525
TBX10	-0.023
CENPQ	-0.90925
UTY	-1.58784615384615
ZBTB12	-0.0015
DTNBP1	-0.571625
KBTBD8	-0.465833333333333
ZEB1	0.703
ZG16	0.20025
MIER1	0.3843
ADAM5P	-0.26
CHD9	-0.171625
STK16	-0.12425
KIAA1486	0.6005
TOB2	1.55383333333333
BANK1	2.20925
OR2V2	0.09525
GRM2	0.108333333333333
PROSC	0.70425
SPIN2B	-0.00275
PIR	-1.72266666666667
IPO9	-0.377888888888889
EVC	0.5735
CXCL13	3.2025
KIAA1199	0.5285
SORL1	0.656
NAT10	-0.909
CHD1	-1.3695
SYN3	0.13575
SLC22A2	-1.29
SERPINF1	1.89633333333333
WDR34	0.682
OR7A17	0.47275
C9orf11	0.539
RNF216L	-0.6926
LHB	0.208
STK25	-0.830375
TAOK3	0.24225
LOC152573	-4.96875
C3orf39	0.4265
C14orf108	0.4471
CDC25B	-1.13454545454545
BMP3	-0.1345
TMEM180	0.0335
MAP1LC3C	-0.63675
CRYGC	-1.4295
POU3F1	-0.9769
C20orf32	-0.6225
CCDC95	0.1615
HIGD1B	3.5205
USP6NL	0.134125
ABCD4	-0.7375
DIMT1L	-1.43891666666667
TEK	0.0535
SLC25A46	-0.678
LARP7	-1.1656
CD160	-0.720166666666667
MT1JP	1.15833333333333
PHF20	0.4180625
CPNE4	-1.7405
GTPBP1	0.232
RAB33B	1.279
ALDOC	-1.467375
ZNF212	-0.65475
NUDT1	-0.551
RFPL2	0.372
ZNF83	-1.954
GDPD5	-1.187875
PDCD4	1.32815
CEP350	-0.26325
OR10A2	0.07625
CST7	0.888
CIAO1	-0.65675
SELL	0.528375
OR8J3	-0.081
LTBP4	0.0165
SIRT6	-0.08575
CCL19	3.4315
PPIL1	-0.109333333333333
GBP7	0.885833333333333
STK17A	0.3226
ABR	-0.41925
OR9G1	0.847
FOXE1	-0.715
CNGA3	-0.2485
GML	0.577
CD38	0.74875
ZDHHC6	-0.246166666666667
NEFH	-2.05525
CTDSP2	0.00566666666666666
PGBD5	-0.774666666666667
CCNY	0.0693571428571428
RMND5B	0.886666666666667
ZNF257	-2.377
FLJ22167	-0.652625
EXOSC7	-0.362666666666667
ROR2	1.12775
MAOA	-0.334625
TNNT3	0.1985
GYPC	-0.77425
C7orf33	0.6645
PLIN	1.25916666666667
LOC90826	-0.43175
RNF4	-0.1099
F8A1	-0.6965
PLEKHG4	-2.733
GRB2	0.6171
HIST1H2AD	2.17
DUS3L	-0.954833333333333
EIF1	0.0625
RP5-1077B9.4	-0.915666666666667
FPGT	0.96975
GDF10	-0.768833333333333
COQ9	0.2165
GCC2	-0.142785714285714
RARRES3	2.652625
PLXNA1	-0.3222
KIAA0100	-0.0805
PMF1	0.197
FNDC1	6.11475
HS2ST1	0.13125
CRELD2	0.93475
C8G	-1.524
CD82	1.06725
LIM2	-0.9065
UNQ6490	-0.219
MMP16	-0.41975
DRD3	0.56625
C5orf26	-1.0555
C11orf73	-0.091375
PTP4A2	1.0095
OR4M2	0.463
HPCA	-0.9365
SEC14L1	0.0785
CHFR	-0.111875
EMILIN1	1.78625
NDUFS4	-0.07975
COL18A1	0.702375
PDZD3	0.0226
C9orf16	0.312666666666667
ERBB2IP	-0.443
EMX2	4.9025
FUS	-1.34425
TF	-4.0491
CLCN4	-0.234666666666667
CXorf56	0.49375
C11orf72	0.61225
ELAC2	-0.183916666666667
NPR1	-1.37325
ASS1	-2.20116666666667
USP42	-0.2585
POLR2J	-0.289
SEC23IP	0.193
UQCRC1	0.567
LOC729603	-0.3805
C1orf71	-0.028125
POLG	-1.4605
ADAM23	-3.41075
TFR2	-0.571
RICTOR	-1.6235
MGC39606	-0.326
C19orf55	0.000499999999999945
SNAPC1	-0.782
GNA11	0.24675
