Hybridization REF	TCGA-BH-A0BR-01A-21R-A115-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.399916666666667
CREB3L1	1.27325
RPS11	-0.297875
PNMA1	-0.52425
MMP2	1.39516666666667
C10orf90	-1.55125
ZHX3	-0.2735
ERCC5	-0.3845
GPR98	1.0355
RXFP3	-0.0105
APBB2	0.75725
PRO0478	-1.048125
KLHL13	-2.33675
PRSSL1	-0.138
PDCL3	0.573166666666667
DECR1	-0.719375
SALL1	-2.43616666666667
CADM4	0.473166666666667
RPS18	0.0426428571428571
HNRPD	-1.0245
CFHR5	0.7305
SLC10A7	0.212
OR2K2	-0.1835
LMAN1	0.583125
SUHW1	-2.8875
CHD8	0.0443
SUMO1	0.4354
GP1BA	0.3371
DDB1	0.231
MYO9B	-0.041
MMP7	6.73125
CRNKL1	-0.1
C9orf45	-1.322
XAB2	-0.239625
RTN1	1.07875
KLHL14	-1.22425
TBX10	1.219
CENPQ	-1.8115
UTY	-0.964071428571429
ZBTB12	-0.1395
DTNBP1	-0.227
KBTBD8	-0.618666666666667
ZEB1	1.20083333333333
ZG16	-0.905
MIER1	0.6924
ADAM5P	0.2875
CHD9	0.3385
STK16	1.018
KIAA1486	0.255
TOB2	0.868583333333333
BANK1	2.593
OR2V2	0.33025
GRM2	0.187166666666667
PROSC	-0.018
SPIN2B	-0.44925
PIR	-2.30288888888889
IPO9	-0.3785
EVC	1.274
CXCL13	4.26566666666667
KIAA1199	2.2097
SORL1	0.471
NAT10	-0.89825
CHD1	0.0565
SYN3	-0.046
SLC22A2	-0.06075
SERPINF1	2.11466666666667
WDR34	0.208
OR7A17	0.089
C9orf11	-0.295
RNF216L	-0.1274
LHB	-0.26
STK25	-0.46625
TAOK3	0.6745
LOC152573	-2.419
C3orf39	-0.084
C14orf108	0.1925
CDC25B	-1.89745454545455
BMP3	0.5115
TMEM180	0.214
MAP1LC3C	0.49325
CRYGC	-0.4585
POU3F1	-0.9684
C20orf32	-0.7885
CCDC95	0.1835
