Hybridization REF	TCGA-E2-A10A-01A-21R-A115-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.327583333333333
CREB3L1	1.93125
RPS11	-0.022375
PNMA1	-0.35775
MMP2	-0.0908333333333333
C10orf90	-1.14275
ZHX3	-1.01583333333333
ERCC5	0.205
GPR98	0.748875
RXFP3	0.351
APBB2	2.484
PRO0478	-0.660125
KLHL13	-2.03225
PRSSL1	1.04666666666667
PDCL3	0.339833333333333
DECR1	0.23025
SALL1	-2.4435
CADM4	1.30733333333333
RPS18	-0.504357142857143
HNRPD	-0.163666666666667
CFHR5	0.808833333333333
SLC10A7	0.4455
OR2K2	-0.6005
LMAN1	-0.471875
SUHW1	-2.99075
CHD8	-0.0109
SUMO1	0.5707
GP1BA	-0.0035
DDB1	0.103
MYO9B	-0.1736
MMP7	6.0065
CRNKL1	1.24875
C9orf45	-0.947666666666667
XAB2	0.656
RTN1	2.23
KLHL14	-1.4135
TBX10	-0.9125
CENPQ	-0.8985
UTY	-1.11371428571429
ZBTB12	0.011
DTNBP1	0.3385
KBTBD8	-1.3255
ZEB1	0.236666666666667
ZG16	-1.10025
MIER1	0.639
ADAM5P	-0.645
CHD9	0.511125
STK16	0.7955
KIAA1486	-0.2395
TOB2	-0.05275
BANK1	2.224
OR2V2	0.49275
GRM2	0.0778333333333333
PROSC	0.20375
SPIN2B	0.464
PIR	-1.54333333333333
IPO9	-0.1989
EVC	1.24533333333333
CXCL13	1.45966666666667
KIAA1199	0.3238
SORL1	0.9375
NAT10	-0.71025
CHD1	-0.151
SYN3	-0.06225
SLC22A2	-0.4615
SERPINF1	0.722166666666667
WDR34	-0.0545
OR7A17	0.62075
C9orf11	-0.124
RNF216L	-0.836
LHB	0.0745
STK25	-0.785625
TAOK3	0.38075
LOC152573	-3.116
C3orf39	0.079875
C14orf108	-0.0428
CDC25B	-1.10681818181818
BMP3	-0.113
TMEM180	0.205
MAP1LC3C	-0.388
CRYGC	-0.803
POU3F1	-1.3957
C20orf32	-1.395
CCDC95	-0.1245
HIGD1B	3.42375
USP6NL	0.099125
ABCD4	-1.03433333333333
DIMT1L	-0.41775
TEK	0.824125
SLC25A46	-0.29975
LARP7	-0.9063
CD160	0.257
MT1JP	-0.00633333333333334
PHF20	-0.2860625
CPNE4	-0.40275
GTPBP1	-0.386785714285714
RAB33B	1.00966666666667
ALDOC	-2.659625
ZNF212	-0.3835
NUDT1	-1.08016666666667
RFPL2	-0.69575
ZNF83	0.414
GDPD5	0.121
PDCD4	1.16245
CEP350	0.5745
OR10A2	-0.0525
CST7	-0.5275
CIAO1	-0.66825
SELL	0.68775
OR8J3	0.365
LTBP4	-0.603833333333333
SIRT6	0.22525
CCL19	1.93575
PPIL1	-0.7515
GBP7	-0.417833333333333
STK17A	-0.4992
ABR	0.64375
OR9G1	0.796
FOXE1	-0.5405
CNGA3	1.15
GML	0.7105
CD38	-2.36425
ZDHHC6	0.3545
NEFH	-2.2335
CTDSP2	1.08383333333333
PGBD5	-0.789333333333333
CCNY	-0.0316428571428571
RMND5B	0.850333333333333
ZNF257	0.22275
