Hybridization REF	TCGA-C8-A12N-01A-11R-A115-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.252833333333333
CREB3L1	1.2725
RPS11	0.428375
PNMA1	-0.44325
MMP2	2.5045
C10orf90	-1.47625
ZHX3	-0.284
ERCC5	0.25025
GPR98	1.096875
RXFP3	0.451
APBB2	1.21125
PRO0478	-0.906625
KLHL13	-2.8225
PRSSL1	0.0238333333333333
PDCL3	-0.1015
DECR1	1.034125
SALL1	-2.54383333333333
CADM4	1.21966666666667
RPS18	0.317785714285714
HNRPD	-1.32225
CFHR5	-0.045
SLC10A7	0.08075
OR2K2	-1.238
LMAN1	-1.881125
SUHW1	-3.3955
CHD8	0.9808
SUMO1	0.1485
GP1BA	-0.3713
DDB1	0.287
MYO9B	0.0786
MMP7	4.6725
CRNKL1	0.309125
C9orf45	-0.8695
XAB2	1.65025
RTN1	3.528125
KLHL14	0.30475
TBX10	-1.4745
CENPQ	-2.9975
UTY	-1.276
ZBTB12	0.576
DTNBP1	-0.655
KBTBD8	-1.28133333333333
ZEB1	0.354333333333333
ZG16	-1.09375
MIER1	0.4316
ADAM5P	1.5515
CHD9	-0.670875
STK16	0.62025
KIAA1486	0.3655
TOB2	1.27841666666667
BANK1	2.1375
OR2V2	0.249
GRM2	0.0643333333333333
PROSC	-0.212125
SPIN2B	-0.05175
PIR	-3.41411111111111
IPO9	-0.2453
EVC	1.04966666666667
CXCL13	3.94333333333333
KIAA1199	0.2818
SORL1	0.08025
NAT10	-0.402
CHD1	-0.31525
SYN3	-0.30175
SLC22A2	-0.5005
SERPINF1	1.6025
WDR34	0.3325
OR7A17	0.39225
C9orf11	0.058
RNF216L	-0.1825
LHB	-0.0885
STK25	-0.3085
TAOK3	0.69425
LOC152573	-4.94225
C3orf39	0.44325
C14orf108	0.0561
CDC25B	-2.38081818181818
BMP3	0.2315
TMEM180	0.161
MAP1LC3C	0.089
CRYGC	-1.1425
POU3F1	-1.7443
C20orf32	-1.8245
CCDC95	1.0965
HIGD1B	4.22925
USP6NL	-0.0935
ABCD4	-0.317666666666667
DIMT1L	-1.43258333333333
TEK	0.304
SLC25A46	-1.0515
LARP7	-1.3462
CD160	0.209166666666667
MT1JP	0.423166666666667
PHF20	0.0215625
CPNE4	-1.21625
GTPBP1	0.0862142857142857
RAB33B	1.25233333333333
ALDOC	-1.984
ZNF212	-0.501
NUDT1	-1.32566666666667
RFPL2	-0.47075
ZNF83	0.2085
GDPD5	-1.512875
PDCD4	2.38985
CEP350	-0.02275
OR10A2	0.25325
CST7	1.7535
CIAO1	-0.83825
SELL	1.07675
OR8J3	-0.627
LTBP4	0.413166666666667
SIRT6	1.0105
CCL19	1.00775
PPIL1	-1.03466666666667
GBP7	1.3285
STK17A	-0.6237
ABR	-0.40175
OR9G1	-1.607
FOXE1	-0.712875
CNGA3	2.4065
GML	0.835
CD38	-3.883
ZDHHC6	0.275
NEFH	-1.94025
CTDSP2	0.787166666666667
PGBD5	-1.5025
CCNY	0.4815
RMND5B	1.15891666666667
ZNF257	-1.23425
FLJ22167	-0.77625
EXOSC7	-0.8515
ROR2	1.97225
MAOA	-0.205125
TNNT3	0.3315
GYPC	-1.6
C7orf33	0.864
PLIN	3.04983333333333
LOC90826	-0.0155
RNF4	-0.1001
F8A1	0.336666666666667
PLEKHG4	-3.26225
GRB2	0.12295
HIST1H2AD	0.521
DUS3L	-1.33783333333333
EIF1	-0.7855
RP5-1077B9.4	-0.5575
FPGT	1.413
GDF10	-2.63966666666667
COQ9	-0.3795
GCC2	-0.172071428571429
RARRES3	3.249375
PLXNA1	-0.7968
KIAA0100	-0.0684
PMF1	0.31575
FNDC1	5.44425
HS2ST1	-0.383333333333333
CRELD2	0.0975
C8G	-1.616
CD82	1.259
LIM2	-1.383
UNQ6490	0.11
MMP16	0.03975
DRD3	0.51225
C5orf26	-1.0305
C11orf73	-1.05825
PTP4A2	1.431875
OR4M2	0.0985
HPCA	-0.434
SEC14L1	-0.801166666666667
CHFR	-0.261375
EMILIN1	1.08275
NDUFS4	-0.1805
COL18A1	0.15825
PDZD3	0.0396
C9orf16	1.487
ERBB2IP	0.102333333333333
EMX2	4.46575
FUS	-1.04125
TF	-4.0709
CLCN4	-0.4415
CXorf56	-0.46775
C11orf72	0.148
ELAC2	-0.466333333333333
NPR1	-1.40175
ASS1	0.634
USP42	-0.2105
POLR2J	0.1445
SEC23IP	0.835166666666667
UQCRC1	0.558
LOC729603	-0.30325
C1orf71	-0.5835
POLG	-2.804
ADAM23	-3.733
TFR2	-1.46725
RICTOR	-0.924
MGC39606	0.60775
C19orf55	0.132125
SNAPC1	-1.80933333333333
GNA11	0.629375
CCDC52	0.4275
FSIP1	4.4335
UPF3A	-0.692625
IGSF11	-2.238
LAGE3	-0.6495
CHST6	-1.2725
UNC13B	0.326625
TTLL4	-1.06875
ZNF687	0.23725
SDC2	0.1906
COX7A2	0.05475
LAMB4	-0.45425
FAM24A	0.619
LRRTM3	-2.11716666666667
GPHB5	0.30825
OR4C13	-0.036
EIF3EIP	0.356
HABP4	-0.862
TMEM125	3.5285
CNTN2	-0.533625
ASNSD1	-0.1415
FUT4	-0.063
ACF	-4.054
LOC158381	0.152
CDH8	-0.1705
AGPS	-0.6555
C4orf18	2.8015
PECI	-0.598833333333333
UNG	-1.183125
GSTP1	-1.1145
DCUN1D5	-1.687
DKFZP564J0863	-0.8835
SLC9A3R1	1.519625
BCDO2	0.6105
CHMP7	-0.498375
REM2	0.9725
DNHD1	-0.300875
FKBP4	0.727
ZNF350	1.972
MGC11102	0.0555
BST1	1.36575
KISS1R	0.4605
NCR2	-0.1645
DEFB125	0.953
UBE2W	1.10925
KRT15	3.314125
C10orf99	0.093
SCN11A	-0.2
GFI1	-3.359
RDHE2	2.69966666666667
FHL1	-0.950166666666667
OSGEP	0.0538333333333333
GATA1	-3.71866666666667
SMC6	-1.061
TTTY14	-1.105
LPIN3	0.10175
RPL4	-0.696
RBPMS	0.4679
PRPF3	0.474833333333333
EMR1	-2.256
SPATA19	-0.08425
XCR1	1.25
IRX3	1.8848
RBM6	-0.73725
KLF4	-1.735
UNC5CL	0.9825
SEBOX	-0.484
BTK	-0.60175
KRCC1	0.41625
C6orf27	0.6605
SYTL5	-0.073
PRND	1.841625
LOC653319	-1.2435
PIGL	-0.918125
HUS1	-0.374666666666667
SFRS6	1.10666666666667
C17orf77	0.3535
UIMC1	-1.05366666666667
FXYD2	-2.0677
LOC283152	2.781
ZNF667	-0.64725
ZCCHC12	-1.12175
TFEC	3.5113
ATP7B	1.203
POLD2	-0.844166666666667
RG9MTD1	-0.2915
ACOT2	0.486333333333333
HIST1H4I	-0.398
PPARGC1A	-3.1883
ETFA	-2.4935
POLRMT	0.081
ZNF146	-0.787875
MIA2	-2.028
KLHL6	-1.5815
HOXB5	-0.238375
NENF	0.7475
CUGBP1	-0.40425
PRSS22	1.85966666666667
CASC4	1.7285
CUL4B	-0.2315
CENPJ	-2.0225
PITX1	1.67633333333333
FLJ31033	1.25066666666667
CELSR3	-1.64933333333333
ZNF568	0.93275
ITSN1	-0.748166666666667
EHBP1L1	-0.8945
C19orf2	-0.65275
DCTN1	1.2545
LIN28B	-4.4995
TNKS2	-0.19675
C1QBP	-0.96875
CADPS2	2.014
SRMS	0.24925
GJA9	0.226166666666667
MGC24975	0.0691666666666667
TRIM45	-0.297833333333333
TSP50	-0.123
TCP1	-1.40175
TMED7	-0.0629
CMA1	0.835
CENPL	-2.138
PTCRA	0.026
FST	-2.01425
VWCE	-4.213
PAWR	-0.0345
ABCC12	1.60466666666667
LDLR	-2.1654
ASTN2	0.888
LOC441212	-0.852625
GPATCH8	0.34475
TANC2	-1.0795
KIF4A	-2.62225
C18orf18	-1.24125
PGM1	-1.227
KIAA0258	0.62875
CPD	0.267
SNCAIP	-1.65575
DCT	-4.794
HLA-DOA	3.07181818181818
OR11L1	0.2945
UPK1B	-0.483666666666667
DNAJB4	-0.805125
UGT1A8	-0.20425
HIST1H4L	-0.9255
PECR	-1.1885
HSPA2	2.537
WFIKKN1	-1.37
SERP1	0.076625
SYDE2	2.25825
TACR2	0.6215
NUP85	-0.78325
CD177	2.66133333333333
LGR5	-3.8506
PIGG	-0.00283333333333334
PTHR1	-0.0618333333333333
RAB5A	-0.3139
FLJ13224	0.195
USP9Y	-2.70583333333333
C7orf53	-1.1855
LRP1B	-0.92925
XAF1	3.1412
ABCG8	-0.2705
ANKDD1A	-0.888
DAND5	-1.595
SPAG6	-0.597166666666667
LINCR	0.883
ZDHHC22	-1.51725
CCDC60	0.0595
THOC7	-0.857666666666667
TCTA	1.7863
OR8K3	0.211
NY-REN-7	-0.78075
B2M	1.129
C6orf141	-2.221125
LPPR4	0.971
SQLE	-2.581125
SEPHS1	-0.842
BTBD14B	0.598857142857143
PLRG1	-0.30175
SPG7	-0.742125
ZNF614	-0.209166666666667
PARD6G	0.7915
INPP5B	-0.8384
GRPEL2	-0.9495
PPID	-0.7728
TRIM56	0.0115
UBE2J1	-0.37825
IL20RA	4.5205
LOC387856	0.42575
C1orf107	0.175583333333333
UTS2R	0.81275
C19orf22	0.91775
SAFB2	-0.262125
KIAA0652	0.588125
KLRG1	-1.33266666666667
MS4A8B	2.809
FRAG1	1.265
KIAA1546	0.631
E2F4	-1.2116
CLEC4M	0.0915
BTBD14A	-1.52
KIAA0999	1.2565
GYPA	-4.286
TAC1	0.6074
TRAIP	-1.94466666666667
KIAA0232	0.6153
ERCC8	-1.615
GPX4	1.29175
KIAA0368	-0.314625
GPR157	-0.946
CTAGE4	0.97
C9orf30	-1.5685
OR52A1	-0.2085
HSP90B3P	-1.277
ALG9	-0.2098
BTBD10	0.3035
SDK2	0.189
BAIAP3	1.49025
RABGGTB	-0.885
ANKRD40	-0.296
KRT74	-0.2605
CALCOCO2	0.0882857142857143
SNCA	-4.2915
TMSL8	-5.15725
C2orf53	0.651
ESRRB	-0.54
ARHGAP26	-0.695875
TDRD9	-3.01075
HRAS	0.380833333333333
KLRC4	-2.051
JAGN1	-0.4855
BSDC1	0.36775
RNF43	-0.4129
NDUFAF1	0.1075
PHF12	0.6785
OR1L3	0.432
FOLR2	1.20858333333333
LYZL6	0.197833333333333
tcag7.1260	-1.746
WSB1	-1.33633333333333
PROS1	-1.6591
OSTN	0.6145
PSMB8	1.21125
SOCS4	-0.479
DDIT4L	0.99775
MAS1	0.6395
MGC34796	2.2705
CSHL1	0.329833333333333
TBCCD1	0.449833333333333
ZBTB7C	0.393
AP2S1	0.602125
P15RS	-0.384
VAT1	-0.3807
SHANK3	1.16233333333333
