Hybridization REF	TCGA-D8-A146-01A-31R-A115-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.287083333333333
CREB3L1	1.81775
RPS11	-0.2945
PNMA1	0.599
MMP2	1.728
C10orf90	-1.671
ZHX3	-0.2
ERCC5	0.012
GPR98	-2.014625
RXFP3	0.1785
APBB2	1.384
PRO0478	-0.676125
KLHL13	-1.42675
PRSSL1	-1.11683333333333
PDCL3	-0.111833333333333
DECR1	-0.085625
SALL1	-2.419
CADM4	0.923333333333333
RPS18	-0.374928571428571
HNRPD	-0.786083333333333
CFHR5	1.209
SLC10A7	0.0675
OR2K2	0.3125
LMAN1	-0.491375
SUHW1	-3.35775
CHD8	0.1683
SUMO1	-0.3431
GP1BA	1.1532
DDB1	0.09
MYO9B	0.00800000000000001
MMP7	6.1865
CRNKL1	0.872375
C9orf45	-1.15716666666667
XAB2	0.565125
RTN1	2.887
KLHL14	-1.02325
TBX10	-1.178
CENPQ	-1.79575
UTY	-0.960142857142857
ZBTB12	0.329
DTNBP1	-0.0296250000000001
KBTBD8	-0.862666666666667
ZEB1	0.787666666666667
ZG16	-1.46525
MIER1	0.0671
ADAM5P	0.0415
CHD9	-0.0205625
STK16	-0.382
KIAA1486	-0.1555
TOB2	0.794166666666667
BANK1	4.64675
OR2V2	0.4775
GRM2	0.282166666666667
PROSC	0.253875
SPIN2B	-0.1825
PIR	-1.97555555555556
IPO9	-0.2536
EVC	1.29416666666667
CXCL13	5.018
KIAA1199	0.7798
SORL1	1.59125
NAT10	-1.40725
CHD1	-0.91725
SYN3	-0.144
SLC22A2	-0.571
SERPINF1	1.8535
WDR34	-0.12825
OR7A17	0.253
C9orf11	-0.0945
RNF216L	-0.1348
LHB	0.2445
STK25	-0.405375
TAOK3	0.91225
LOC152573	-2.25875
C3orf39	0.526625
C14orf108	0.9099
CDC25B	-1.82372727272727
BMP3	-0.15
TMEM180	0.0505
MAP1LC3C	0.70425
CRYGC	-1.1125
POU3F1	-1.4591
C20orf32	-1.397
CCDC95	-0.1295
HIGD1B	4.0985
USP6NL	-0.118
ABCD4	-0.171
DIMT1L	-1.1065
TEK	1.278625
SLC25A46	-0.8885
LARP7	-1.4163
CD160	0.413666666666667
MT1JP	-0.493166666666667
PHF20	0.1109375
CPNE4	-1.48425
GTPBP1	-0.406642857142857
RAB33B	0.867666666666667
ALDOC	-2.815625
ZNF212	-0.2645
NUDT1	-1.31066666666667
RFPL2	-0.9835
ZNF83	0.539333333333333
GDPD5	-0.344625
PDCD4	1.18565
CEP350	0.65925
OR10A2	0.43825
CST7	1.309
CIAO1	-1.1565
SELL	1.58925
OR8J3	0.185
LTBP4	0.2495
SIRT6	0.07975
CCL19	4.29125
PPIL1	-1.40033333333333
GBP7	-0.1615
STK17A	-0.3586
ABR	0.005
OR9G1	-0.3365
FOXE1	-0.541875
CNGA3	0.2675
GML	0.164
CD38	-2.18175
ZDHHC6	0.24
NEFH	-1.861
CTDSP2	0.708416666666667
PGBD5	-0.473833333333333
CCNY	0.079
RMND5B	0.816583333333333
ZNF257	-1.4775
FLJ22167	-0.488
EXOSC7	-0.754
ROR2	1.484
MAOA	2.85825
TNNT3	0.936333333333333
GYPC	-0.84625
C7orf33	0.161
PLIN	3.98766666666667
LOC90826	0.27975
RNF4	0.1666
F8A1	0.334666666666667
PLEKHG4	-1.90425
GRB2	0.2584
HIST1H2AD	0.53125
DUS3L	-0.5125
EIF1	-0.382666666666667
RP5-1077B9.4	-0.964166666666667
FPGT	1.5855
GDF10	1.04983333333333
COQ9	-0.4745
GCC2	0.192428571428571
RARRES3	2.52625
PLXNA1	0.068
KIAA0100	-0.5887
PMF1	0.1405
FNDC1	5.3845
HS2ST1	-0.202583333333333
CRELD2	0.53575
C8G	-1.3685
CD82	0.44025
LIM2	-0.946
UNQ6490	0.198
MMP16	0.15725
DRD3	-0.239
C5orf26	-1.124
C11orf73	-0.259125
PTP4A2	0.84075
OR4M2	0.1675
HPCA	-1.16233333333333
SEC14L1	-0.511666666666667
CHFR	-0.118125
EMILIN1	1.315625
NDUFS4	0.4215
COL18A1	1.047875
PDZD3	-0.1395
C9orf16	0.0175
ERBB2IP	0.00583333333333333
EMX2	3.361
FUS	-0.33475
TF	-3.4936
CLCN4	-0.386833333333333
CXorf56	0.1935
C11orf72	-0.04875
ELAC2	-1.17391666666667
NPR1	0.19025
ASS1	-2.21133333333333
USP42	0.145375
POLR2J	-0.219
SEC23IP	1.23033333333333
UQCRC1	-0.03475
LOC729603	-0.35625
C1orf71	-0.053
POLG	-2.419
ADAM23	-2.471
TFR2	-1.70525
RICTOR	-0.9053
MGC39606	0.524
C19orf55	-0.246625
SNAPC1	-1.49083333333333
GNA11	1.050125
CCDC52	0.3775
FSIP1	5.0105
UPF3A	-0.04625
IGSF11	-2.294
LAGE3	-0.17
CHST6	-0.7065
UNC13B	-0.2895
TTLL4	-1.16775
