Hybridization REF	TCGA-E2-A159-01A-11R-A115-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.456083333333333
CREB3L1	0.4765
RPS11	-0.69175
PNMA1	-1.132
MMP2	1.19283333333333
C10orf90	0.40675
ZHX3	0.0543333333333333
ERCC5	-0.083
GPR98	-0.981875
RXFP3	0.4425
APBB2	-0.1215
PRO0478	-1.159625
KLHL13	-3.06575
PRSSL1	-0.6225
PDCL3	1.10733333333333
DECR1	0.531375
SALL1	-3.32883333333333
CADM4	0.8575
RPS18	-0.266714285714286
HNRPD	-1.14316666666667
CFHR5	-0.0593333333333333
SLC10A7	-0.3145
OR2K2	0.107
LMAN1	-0.698625
SUHW1	-3.558
CHD8	-0.0746
SUMO1	-0.1317
GP1BA	1.88
DDB1	0.3825
MYO9B	0.223
MMP7	5.542
CRNKL1	0.990875
C9orf45	0.182
XAB2	0.448
RTN1	1.711
KLHL14	-2.114
TBX10	0.8645
CENPQ	-1.0015
UTY	-1.85607692307692
ZBTB12	0.253
DTNBP1	-0.15925
KBTBD8	-0.460833333333333
ZEB1	-0.571333333333333
ZG16	-1.265
MIER1	0.4163
ADAM5P	0.1
CHD9	-0.467
STK16	-0.01225
KIAA1486	-0.9375
TOB2	0.1465
BANK1	4.577
OR2V2	0.692
GRM2	0.196333333333333
PROSC	0.746125
SPIN2B	-0.601
PIR	-0.976333333333333
IPO9	0.643111111111111
EVC	0.606166666666667
CXCL13	7.28016666666667
KIAA1199	-0.378
SORL1	0.615
NAT10	-1.24825
CHD1	-0.75225
SYN3	-0.11575
SLC22A2	-1.1305
SERPINF1	0.876333333333334
WDR34	0.93425
OR7A17	0.2675
C9orf11	0.2945
RNF216L	-0.2593
LHB	0.1225
STK25	-0.473
TAOK3	0.05175
LOC152573	-3.646
C3orf39	-0.192125
C14orf108	0.2597
CDC25B	0.851
BMP3	0.971
TMEM180	0.341
MAP1LC3C	0.03875
CRYGC	-1.0875
POU3F1	-0.9127
C20orf32	-1.1715
CCDC95	-0.3585
HIGD1B	3.5035
USP6NL	2.46775
ABCD4	-0.998666666666666
DIMT1L	-1.0935
TEK	0.559
SLC25A46	-0.85925
LARP7	-1.7737
CD160	1.06666666666667
MT1JP	-0.766666666666667
PHF20	0.517
CPNE4	0.886
GTPBP1	-0.370357142857143
RAB33B	1.33383333333333
ALDOC	-1.693875
ZNF212	-0.485
NUDT1	-0.247166666666667
RFPL2	1.22275
