Hybridization REF	TCGA-BH-A0B7-01A-12R-A115-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.83325
CREB3L1	1.4275
RPS11	0.018625
PNMA1	-0.3125
MMP2	1.44316666666667
C10orf90	-1.78375
ZHX3	-0.806
ERCC5	-0.26825
GPR98	0.69075
RXFP3	0.501
APBB2	2.073
PRO0478	-1.37225
KLHL13	-1.8325
PRSSL1	-0.606166666666667
PDCL3	0.654
DECR1	-0.595375
SALL1	-3.44233333333333
CADM4	1.55233333333333
RPS18	-0.320642857142857
HNRPD	-0.840583333333333
CFHR5	-0.5035
SLC10A7	0.5415
OR2K2	0.4365
LMAN1	-0.9315
SUHW1	-2.61725
CHD8	-0.1466
SUMO1	0.588
GP1BA	2.3891
DDB1	0.129166666666667
MYO9B	0.1083
MMP7	6.5285
CRNKL1	0.610875
C9orf45	-1.0155
XAB2	0.156
RTN1	1.134
KLHL14	-0.08975
TBX10	3.4455
CENPQ	-2.23925
UTY	-2.257
ZBTB12	-0.327
DTNBP1	-0.678
KBTBD8	-0.581333333333333
ZEB1	0.4015
ZG16	-1.165
MIER1	0.4276
ADAM5P	-0.476
CHD9	-0.3703125
STK16	0.13025
KIAA1486	-0.837
TOB2	0.124083333333333
BANK1	5.24725
OR2V2	0.4575
GRM2	0.233333333333333
PROSC	-0.346375
SPIN2B	-0.1595
PIR	-1.603
IPO9	-0.00609999999999999
EVC	0.747333333333333
CXCL13	6.27483333333333
KIAA1199	-1.9996
SORL1	1.9045
NAT10	-0.9145
CHD1	-0.863
SYN3	-0.35925
SLC22A2	-0.10975
SERPINF1	1.43616666666667
WDR34	0.33325
OR7A17	0.0025
C9orf11	0.016
RNF216L	0.1816
LHB	-0.153
STK25	0.317875
TAOK3	0.260625
LOC152573	-1.7395
C3orf39	-0.023875
C14orf108	0.7745
CDC25B	-0.103181818181818
BMP3	1.174
TMEM180	0.302
MAP1LC3C	1.65575
CRYGC	-1.265
POU3F1	-1.3069
C20orf32	-0.9855
CCDC95	-0.2055
HIGD1B	4.11625
USP6NL	0.511375
ABCD4	-0.492666666666667
DIMT1L	-0.951333333333333
TEK	1.853125
SLC25A46	-1.1795
LARP7	-1.4071
CD160	1.37883333333333
MT1JP	0.572833333333333
PHF20	0.1023125
CPNE4	-0.7385
GTPBP1	-0.420785714285714
RAB33B	1.335
ALDOC	-2.54925
ZNF212	-1.11175
NUDT1	-0.04
RFPL2	0.84475
ZNF83	0.147666666666667
GDPD5	-0.279375
PDCD4	0.6895
CEP350	0.51175
OR10A2	0.38775
CST7	2.224
CIAO1	-0.60975
SELL	2.887375
OR8J3	0.802
LTBP4	0.158166666666667
SIRT6	-0.1965
CCL19	4.49275
PPIL1	-1.07183333333333
GBP7	0.813666666666667
STK17A	0.2295
ABR	-0.1375
OR9G1	0.682
FOXE1	-0.37875
CNGA3	-0.619
GML	0.438
CD38	-0.48975
ZDHHC6	-0.3375
NEFH	0.101
CTDSP2	0.316333333333333
PGBD5	-0.445666666666667
CCNY	0.1625
RMND5B	0.730833333333333
ZNF257	-0.684
FLJ22167	-0.449375
EXOSC7	-0.7035
ROR2	1.215125
MAOA	1.560375
TNNT3	1.633
GYPC	-0.51825
C7orf33	1.049
PLIN	4.20666666666667
LOC90826	0.022
RNF4	0.3401
F8A1	-0.485166666666667
PLEKHG4	-2.2815
GRB2	0.51885
HIST1H2AD	1.496
DUS3L	-1.14516666666667
EIF1	-0.262666666666667
RP5-1077B9.4	-1.1745
FPGT	1.12925
GDF10	2.49316666666667
COQ9	-0.125
GCC2	0.0637857142857143
RARRES3	2.561125
PLXNA1	-0.2579
KIAA0100	0.1379
PMF1	0.01075
FNDC1	5.22275
HS2ST1	0.290333333333333
CRELD2	0.13575
C8G	-1.7605
CD82	1.65725
LIM2	-0.766
UNQ6490	-0.426
MMP16	-0.253
DRD3	-0.01225
C5orf26	-1.701
C11orf73	-0.56025
PTP4A2	0.381875
OR4M2	-0.144
HPCA	0.3575
SEC14L1	-0.309166666666667
CHFR	0.02025
EMILIN1	0.908625
NDUFS4	0.47
COL18A1	0.479375
PDZD3	-0.0724
C9orf16	0.514333333333333
ERBB2IP	-0.227833333333333
EMX2	3.56725
FUS	-0.3935
TF	-3.8998
CLCN4	0.455166666666667
CXorf56	0.6245
C11orf72	0.11325
ELAC2	-0.625916666666667
NPR1	0.863
ASS1	-0.981333333333333
USP42	0.26075
POLR2J	-0.453
SEC23IP	0.934833333333333
UQCRC1	0.014
LOC729603	-0.25975
C1orf71	0.063
POLG	-1.3595
ADAM23	-3.608
TFR2	-1.35
RICTOR	-1.5521
MGC39606	0.48725
C19orf55	-0.4205
SNAPC1	-1.28433333333333
GNA11	0.472625
CCDC52	-0.463666666666667
FSIP1	3.6745
UPF3A	-0.923625
IGSF11	-2.8895
