Hybridization REF	TCGA-BH-A0BW-01A-11R-A115-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.854833333333333
CREB3L1	-0.11825
RPS11	-0.299125
PNMA1	-0.706
MMP2	-0.0185
C10orf90	-0.94225
ZHX3	-0.661666666666667
ERCC5	-0.43525
GPR98	0.00485714285714289
RXFP3	0.525
APBB2	0.9235
PRO0478	-0.9005
KLHL13	-0.70575
PRSSL1	-0.601
PDCL3	0.8545
DECR1	0.18475
SALL1	-3.937
CADM4	-0.124333333333333
RPS18	-0.711428571428571
HNRPD	0.60425
CFHR5	0.5524
SLC10A7	0.907625
OR2K2	-0.3955
LMAN1	0.213375
SUHW1	-1.52075
CHD8	-0.7273
SUMO1	0.9708
GP1BA	1.0662
DDB1	-0.1645
MYO9B	-0.2616
MMP7	5.40675
CRNKL1	0.1205
C9orf45	-1.27383333333333
XAB2	0.08225
RTN1	1.2485
KLHL14	-1.599625
TBX10	-0.5825
CENPQ	-1.04875
UTY	-2.5505
ZBTB12	-0.844
DTNBP1	0.29925
KBTBD8	-0.392166666666667
ZEB1	-2.393
ZG16	-0.93725
MIER1	-0.3008
ADAM5P	0.443
CHD9	0.3226875
STK16	1.05925
KIAA1486	-1.0455
TOB2	0.632833333333333
BANK1	3.5235
OR2V2	0.35275
GRM2	0.209
PROSC	-0.375875
SPIN2B	0.46175
PIR	1.00277777777778
IPO9	-0.3571
EVC	1.12366666666667
CXCL13	6.943
KIAA1199	-2.1263
SORL1	0.931
NAT10	-0.44425
CHD1	-0.87225
SYN3	-0.499
SLC22A2	-0.24775
SERPINF1	0.1805
WDR34	-0.05125
OR7A17	0.3145
C9orf11	-0.2345
RNF216L	-0.8233
LHB	0.232
STK25	0.497375
TAOK3	0.6435
LOC152573	-4.21433333333333
C3orf39	-0.22575
C14orf108	0.1896
CDC25B	-0.554181818181818
BMP3	0.717
TMEM180	0.585
MAP1LC3C	1.18775
CRYGC	-1.4915
POU3F1	-1.2645
C20orf32	-1.389
CCDC95	-0.3155
HIGD1B	2.119
USP6NL	1.579125
ABCD4	-1.44383333333333
DIMT1L	-1.05625
TEK	0.743625
SLC25A46	-0.70625
LARP7	-0.558
CD160	1.012
MT1JP	0.5355
PHF20	-0.5411875
CPNE4	-2.2215
GTPBP1	0.236428571428571
RAB33B	1.1955
ALDOC	-2.854
ZNF212	-1.12825
NUDT1	-1.44866666666667
RFPL2	-0.77975
ZNF83	0.0746666666666667
GDPD5	-0.1835
PDCD4	0.86835
CEP350	-0.25225
OR10A2	0.5455
CST7	2.23925
CIAO1	-0.39875
SELL	3.055625
OR8J3	-0.245
LTBP4	-0.708666666666667
SIRT6	-0.0815
CCL19	3.70175
PPIL1	0.19
GBP7	3.571
STK17A	-0.3054
ABR	-0.31125
OR9G1	-0.7705
