Hybridization REF	TCGA-A7-A0DA-01A-31R-A115-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.494
CREB3L1	0.622
RPS11	-0.528125
PNMA1	0.13025
MMP2	1.5885
C10orf90	1.7255
ZHX3	-0.437666666666667
ERCC5	0.94825
GPR98	-1.5445
RXFP3	0.167
APBB2	-0.075
PRO0478	-0.608
KLHL13	-2.051
PRSSL1	-0.789833333333333
PDCL3	1.29383333333333
DECR1	-0.085
SALL1	-1.95233333333333
CADM4	0.791166666666667
RPS18	-0.614071428571429
HNRPD	-0.783
CFHR5	0.00399999999999999
SLC10A7	-0.431875
OR2K2	-0.308
LMAN1	-1.349875
SUHW1	-1.24875
CHD8	0.6726
SUMO1	-0.2272
GP1BA	-0.2532
DDB1	0.176333333333333
MYO9B	0.7532
MMP7	5.9475
CRNKL1	0.763875
C9orf45	-0.188833333333333
XAB2	0.09525
RTN1	0.4885
KLHL14	-1.861125
TBX10	-0.3505
CENPQ	-1.27325
UTY	-1.17635714285714
ZBTB12	-0.2765
DTNBP1	0.145375
KBTBD8	-1.42983333333333
ZEB1	-0.310833333333333
ZG16	-0.9925
MIER1	0.0629
ADAM5P	-0.575
CHD9	-0.299125
STK16	-0.65425
KIAA1486	-0.377
TOB2	0.207166666666667
BANK1	1.32575
OR2V2	0.18725
GRM2	0.146333333333333
PROSC	0.308375
SPIN2B	0.12275
PIR	-1.29611111111111
IPO9	-0.0909
EVC	1.58116666666667
CXCL13	1.70066666666667
KIAA1199	-0.3249
SORL1	0.77475
NAT10	-0.37375
CHD1	-1.64725
SYN3	-0.28825
SLC22A2	-0.31325
SERPINF1	1.142
WDR34	-0.5495
OR7A17	0.257
C9orf11	0.3645
RNF216L	-0.4503
LHB	0.004
STK25	-0.28275
TAOK3	1.154375
LOC152573	-3.532
C3orf39	0.60475
C14orf108	0.3689
CDC25B	-0.531818181818182
BMP3	0.25
TMEM180	0.2735
MAP1LC3C	-0.1215
CRYGC	-1.6225
POU3F1	-1.2118
C20orf32	-1.4295
CCDC95	-0.808
HIGD1B	3.2115
USP6NL	0.958875
ABCD4	-1.04933333333333
DIMT1L	-1.31016666666667
TEK	0.17825
SLC25A46	-1.75325
LARP7	-2.0018
CD160	0.0179999999999999
MT1JP	-0.313
PHF20	-0.7635
CPNE4	-1.2105
GTPBP1	0.193357142857143
RAB33B	1.42133333333333
ALDOC	-1.499625
ZNF212	0.18725
NUDT1	-0.908333333333333
RFPL2	-0.35325
ZNF83	0.4105
GDPD5	1.124
PDCD4	1.32175
