Hybridization REF	TCGA-A2-A0ES-01A-11R-A115-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.11025
CREB3L1	0.60725
RPS11	0.475875
PNMA1	0.46025
MMP2	1.234
C10orf90	-1.5215
ZHX3	-0.0966666666666667
ERCC5	0.424
GPR98	0.648375
RXFP3	-0.073
APBB2	1.20375
PRO0478	-0.866375
KLHL13	1.69825
PRSSL1	-0.868333333333333
PDCL3	0.423166666666667
DECR1	-0.1155
SALL1	-4.01
CADM4	0.709666666666667
RPS18	0.218428571428571
HNRPD	-0.24025
CFHR5	0.1632
SLC10A7	0.340125
OR2K2	1.3355
LMAN1	-1.027375
SUHW1	-4.72566666666667
CHD8	-0.1465
SUMO1	0.2942
GP1BA	0.7494
DDB1	-0.515666666666667
MYO9B	-0.7096
MMP7	6.8125
CRNKL1	0.75525
C9orf45	-0.382
XAB2	0.380875
RTN1	2.62625
KLHL14	-0.766875
TBX10	-1.455
CENPQ	-1.82625
UTY	-1.50375
ZBTB12	-0.237
DTNBP1	-0.0765
KBTBD8	-1.381
ZEB1	0.526
ZG16	-2.49133333333333
MIER1	0.3435
ADAM5P	-0.728
CHD9	0.0931875
STK16	-0.12825
KIAA1486	-0.957
TOB2	0.55375
BANK1	3.5095
OR2V2	-0.33475
GRM2	0.298
PROSC	0.98725
SPIN2B	0.14475
PIR	-1.961
IPO9	-0.9504
EVC	1.299
CXCL13	3.94916666666667
KIAA1199	-3.4028
SORL1	1.6175
NAT10	-0.9435
CHD1	-0.54825
SYN3	-0.522
SLC22A2	-1.42866666666667
SERPINF1	1.21316666666667
WDR34	-0.883
OR7A17	0.20975
C9orf11	2.056
RNF216L	-0.5826
LHB	-0.4345
STK25	-0.509125
TAOK3	1.05975
LOC152573	-1.75775
C3orf39	0.635875
C14orf108	0.5576
CDC25B	-2.299
BMP3	1.2605
TMEM180	-0.3
MAP1LC3C	2.51175
CRYGC	-1.0465
POU3F1	-1.8757
C20orf32	-1.8155
CCDC95	-0.684
HIGD1B	4.73175
USP6NL	0.042375
ABCD4	0.216833333333333
DIMT1L	-0.622
TEK	1.637625
SLC25A46	-0.58175
LARP7	-1.3451
CD160	1.1758
MT1JP	1.99933333333333
PHF20	-0.1728125
CPNE4	-2.03925
GTPBP1	-0.0826428571428571
RAB33B	1.21766666666667
ALDOC	-2.068625
ZNF212	-0.31725
NUDT1	-1.41016666666667
RFPL2	-0.62
ZNF83	0.269833333333333
GDPD5	-0.886375
PDCD4	2.18185
CEP350	0.07475
OR10A2	0.04725
CST7	0.9875
CIAO1	-1.6155
SELL	1.6745
OR8J3	-1.461
LTBP4	0.339333333333333
SIRT6	-0.55225
CCL19	4.4585
PPIL1	-1.511
GBP7	0.133333333333333
STK17A	-0.3213
ABR	0.61475
OR9G1	0.302
FOXE1	-1.171625
CNGA3	1.133
GML	0.1185
CD38	-2.3665
ZDHHC6	0.06
NEFH	-0.0375
CTDSP2	1.24291666666667
PGBD5	-1.95733333333333
CCNY	0.303142857142857
RMND5B	0.0519166666666667
ZNF257	-1.09
FLJ22167	-0.009
EXOSC7	-0.221166666666667
ROR2	1.35025
MAOA	2.42625
TNNT3	3.1205
GYPC	-0.278
C7orf33	-0.253
PLIN	4.192
LOC90826	0.20075
RNF4	-0.1544
F8A1	-0.263
PLEKHG4	-1.2565
GRB2	-0.3692
HIST1H2AD	-0.89825
DUS3L	-1.028
EIF1	-0.0481666666666667
RP5-1077B9.4	-1.39766666666667
FPGT	1.27275
GDF10	4.07366666666667
COQ9	-0.50175
GCC2	0.492357142857143
RARRES3	2.598375
PLXNA1	-0.3658
KIAA0100	0.00190000000000005
PMF1	-0.387
FNDC1	4.96975
HS2ST1	-0.466166666666667
CRELD2	0.304
C8G	-3.1565
CD82	1.007
LIM2	-2.1495
UNQ6490	-0.7455
MMP16	-1.12875
DRD3	-0.0125
C5orf26	-0.159
C11orf73	-0.578875
PTP4A2	0.501125
OR4M2	1.9425
HPCA	-0.9985
SEC14L1	-0.196
CHFR	-0.929875
EMILIN1	0.925375
NDUFS4	-0.20425
COL18A1	0.275
PDZD3	-0.0598
C9orf16	-0.4275
ERBB2IP	-0.0026666666666667
EMX2	5.36775
FUS	-0.94575
TF	-3.4861
CLCN4	0.825666666666667
CXorf56	0.65425
C11orf72	-0.0855
ELAC2	-0.83975
NPR1	0.7835
ASS1	-1.68333333333333
USP42	-0.28625
POLR2J	-1.28
SEC23IP	0.6155
UQCRC1	-0.61025
LOC729603	-0.3935
C1orf71	-0.166625
POLG	-2.658
ADAM23	-3.0135
TFR2	-1.79575
RICTOR	-0.3806
MGC39606	2.035
C19orf55	-0.599
SNAPC1	-1.11733333333333
GNA11	0.920125
CCDC52	0.285166666666667
FSIP1	3.5725
UPF3A	0.036375
IGSF11	-2.9305
LAGE3	-1.321
CHST6	-2.237
UNC13B	0.415375
TTLL4	-1.40375
ZNF687	0.074625
SDC2	0.3713
COX7A2	-0.3505
LAMB4	-0.1955
FAM24A	0.178
LRRTM3	-1.9584
GPHB5	0.37675
OR4C13	2.8245
EIF3EIP	0.391571428571428
HABP4	-0.067
TMEM125	3.44425
CNTN2	0.751125
ASNSD1	0.008
FUT4	0.304875
ACF	-4.07125
LOC158381	0.6175
CDH8	1.286
AGPS	-0.544666666666667
C4orf18	3.021375
PECI	0.271166666666667
UNG	-0.701375
GSTP1	-0.342375
DCUN1D5	-1.84566666666667
DKFZP564J0863	-1.25025
