Hybridization REF	TCGA-AO-A12A-01A-21R-A115-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.113916666666667
CREB3L1	1.9195
RPS11	1.1905
PNMA1	-0.25975
MMP2	1.03533333333333
C10orf90	-1.48
ZHX3	-0.426
ERCC5	0.4035
GPR98	0.219125
RXFP3	0.507
APBB2	0.43125
PRO0478	-0.463625
KLHL13	0.15175
PRSSL1	-0.401
PDCL3	-0.327
DECR1	-0.37025
SALL1	-3.501
CADM4	0.632166666666667
RPS18	1.03528571428571
HNRPD	-1.07841666666667
CFHR5	0.3196
SLC10A7	0.00312500000000002
OR2K2	0.015
LMAN1	-0.973375
SUHW1	-4.29475
CHD8	0.029
SUMO1	0.4451
GP1BA	0.7104
DDB1	0.108166666666667
MYO9B	-0.1064
MMP7	6.12675
CRNKL1	0.2635
C9orf45	-1.21416666666667
XAB2	1.037125
RTN1	2.9265
KLHL14	-1.52825
TBX10	-1.3975
CENPQ	-1.32475
UTY	-1.63091666666667
ZBTB12	0.098
DTNBP1	-0.00912500000000002
KBTBD8	-1.68833333333333
ZEB1	-0.785166666666667
ZG16	-1.65175
MIER1	-0.2388
ADAM5P	0.5405
CHD9	-0.023125
STK16	-0.07175
KIAA1486	0.0735
TOB2	1.0135
BANK1	3.211
OR2V2	-0.40625
GRM2	0.102333333333333
PROSC	0.19225
SPIN2B	-0.14675
PIR	-2.64077777777778
IPO9	-0.2623
EVC	1.25583333333333
CXCL13	3.86833333333333
KIAA1199	-2.4386
SORL1	0.88775
NAT10	-0.11375
CHD1	-0.05025
SYN3	-0.924
SLC22A2	-0.404
SERPINF1	1.62366666666667
WDR34	0.093
OR7A17	-0.37225
C9orf11	0.042
RNF216L	-0.4532
LHB	-0.0975
STK25	-0.48475
TAOK3	0.999625
LOC152573	-3.0965
C3orf39	0.609375
C14orf108	0.1288
CDC25B	-1.54418181818182
BMP3	0.221
TMEM180	-0.269
MAP1LC3C	0.574
CRYGC	-0.973
POU3F1	-1.4564
C20orf32	-1.737
CCDC95	0.5115
HIGD1B	4.51775
USP6NL	0.304875
ABCD4	-0.2435
DIMT1L	-0.655333333333333
TEK	1.24725
SLC25A46	-0.8255
LARP7	-1.0015
CD160	0.6775
MT1JP	-0.182166666666667
PHF20	0.0975625
CPNE4	-2.4685
GTPBP1	-0.0270714285714286
RAB33B	0.652
ALDOC	-2.341875
ZNF212	-0.50675
NUDT1	-1.04683333333333
RFPL2	-0.65575
ZNF83	0.251166666666667
GDPD5	-0.6575
PDCD4	3.3333
CEP350	-0.018
OR10A2	-0.14525
CST7	1.162
CIAO1	-1.289
SELL	1.512
OR8J3	0.456
LTBP4	0.304333333333333
SIRT6	0.29275
CCL19	4.2245
PPIL1	-1.044
GBP7	-0.0996666666666667
STK17A	-1.0733
ABR	0.4335
OR9G1	0.496
FOXE1	-1.407375
CNGA3	1.082
GML	0.193
CD38	-2.2205
ZDHHC6	0.0528333333333333
NEFH	-1.10375
CTDSP2	0.601666666666667
PGBD5	-1.53233333333333
CCNY	0.267785714285714
