Hybridization REF	TCGA-C8-A12O-01A-11R-A115-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.619833333333333
CREB3L1	1.4655
RPS11	0.045625
PNMA1	0.13625
MMP2	1.08166666666667
C10orf90	-2.0775
ZHX3	-0.329
ERCC5	-0.902
GPR98	-0.4895
RXFP3	0.2435
APBB2	0.975
PRO0478	-1.255875
KLHL13	-1.90375
PRSSL1	-0.106166666666667
PDCL3	-0.0228333333333333
DECR1	0.557375
SALL1	-1.99533333333333
CADM4	-0.0983333333333333
RPS18	-0.214357142857143
HNRPD	-1.08533333333333
CFHR5	1.14466666666667
SLC10A7	0.481375
OR2K2	0.2205
LMAN1	0.093
SUHW1	-2.58675
CHD8	-0.4256
SUMO1	-0.1078
GP1BA	0.2203
DDB1	0.740166666666667
MYO9B	0.1394
MMP7	4.88975
CRNKL1	0.839
C9orf45	-1.922
XAB2	0.4235
RTN1	0.82325
KLHL14	-1.363375
TBX10	-0.1875
CENPQ	-1.50025
UTY	-1.59123076923077
ZBTB12	0.0505
DTNBP1	-0.74575
KBTBD8	-0.0936666666666667
ZEB1	-0.7575
ZG16	-1.12725
MIER1	-0.4143
ADAM5P	0.179
CHD9	-0.2455
STK16	-0.541
KIAA1486	0.0485
TOB2	1.35883333333333
BANK1	2.893
OR2V2	0.118
GRM2	-0.0853333333333333
PROSC	1.38375
SPIN2B	-0.385
PIR	-0.345777777777778
IPO9	-0.5989
EVC	1.31883333333333
CXCL13	4.5465
KIAA1199	0.555
SORL1	0.9825
NAT10	-0.76175
CHD1	-0.82775
SYN3	-0.072
SLC22A2	-0.54275
SERPINF1	1.16283333333333
WDR34	-0.16925
OR7A17	0.55025
C9orf11	-0.135
RNF216L	-0.5557
LHB	0.3955
STK25	-0.785125
TAOK3	0.837875
LOC152573	0.49125
C3orf39	0.931375
C14orf108	0.8093
CDC25B	-0.467454545454546
BMP3	0.8695
TMEM180	0.2745
MAP1LC3C	-0.16
CRYGC	-0.0845
POU3F1	-1.1985
C20orf32	-1.1375
CCDC95	0.1115
HIGD1B	3.13425
USP6NL	0.505
ABCD4	-0.371
DIMT1L	-1.38608333333333
TEK	1.289375
SLC25A46	0.045
LARP7	-1.8108
CD160	0.530666666666667
MT1JP	1.02766666666667
PHF20	-0.3620625
CPNE4	2.78875
GTPBP1	0.390214285714286
RAB33B	1.0475
ALDOC	-2.406375
ZNF212	-0.42475
NUDT1	-0.495666666666667
RFPL2	2.7885
ZNF83	-0.962666666666667
GDPD5	-1.000875
PDCD4	1.443
CEP350	0.06475
OR10A2	0.456
CST7	0.438
CIAO1	-0.465
SELL	1.251625
OR8J3	-0.1185
LTBP4	-0.0461666666666667
SIRT6	-0.1055
CCL19	3.56825
PPIL1	-0.9915
GBP7	0.307333333333333
STK17A	-0.2303
ABR	-0.0775
OR9G1	0.2315
FOXE1	-0.10125
CNGA3	-0.1285
GML	0.6445
CD38	-0.23925
ZDHHC6	-0.292
NEFH	0.8755
CTDSP2	0.574583333333333
PGBD5	-1.13683333333333
CCNY	0.191357142857143
RMND5B	0.199166666666667
ZNF257	-1.39
FLJ22167	-0.361625
EXOSC7	-0.4495
ROR2	1.4035
MAOA	2.09325
TNNT3	-0.300666666666667
GYPC	-1.11425
C7orf33	0.6555
PLIN	1.00716666666667
LOC90826	0.2485
RNF4	0.2636
F8A1	0.525666666666667
PLEKHG4	-2.868
GRB2	-0.34335
HIST1H2AD	-0.45625
DUS3L	-0.671166666666667
EIF1	0.439166666666667
RP5-1077B9.4	-1.00666666666667
FPGT	1.0915
GDF10	-0.447166666666667
COQ9	-0.13775
GCC2	-0.199857142857143
RARRES3	2.45125
PLXNA1	-0.1992
KIAA0100	-0.0974
PMF1	0.048
FNDC1	4.9665
HS2ST1	0.37525
CRELD2	1.374
C8G	-1.9195
CD82	0.74275
LIM2	-0.317
UNQ6490	0.4955
MMP16	0.0485
DRD3	-0.1185
C5orf26	-1.552
C11orf73	-0.0445
PTP4A2	1.26775
OR4M2	-0.0275
HPCA	-0.4615
SEC14L1	0.684666666666667
CHFR	0.449375
EMILIN1	1.6955
NDUFS4	-1.36925
COL18A1	1.09
PDZD3	0.1452
C9orf16	0.180166666666667
ERBB2IP	0.287833333333333
EMX2	3.24125
FUS	-1.2105
TF	-2.0153
CLCN4	-0.361
CXorf56	0.38675
C11orf72	0.2885
ELAC2	-0.873
NPR1	-1.02525
ASS1	-2.54383333333333
USP42	-0.513125
POLR2J	-0.155
SEC23IP	0.5215
UQCRC1	0.35375
LOC729603	-0.3655
C1orf71	-0.287125
POLG	-1.0495
ADAM23	-2.9595
TFR2	-0.68875
RICTOR	-1.3242
MGC39606	0.5095
C19orf55	-0.26075
SNAPC1	-1.41683333333333
GNA11	0.245
CCDC52	-0.480833333333333
FSIP1	4.545
UPF3A	-1.267
IGSF11	-1.54533333333333
LAGE3	0.088
CHST6	-1.184
UNC13B	0.050375
TTLL4	-1.108
ZNF687	0.391
SDC2	1.9092
COX7A2	-0.69925
LAMB4	-0.46775
FAM24A	0.6245
LRRTM3	-0.9295
GPHB5	0.47125
OR4C13	0.108
EIF3EIP	0.666642857142857
HABP4	-0.739
TMEM125	3.873
CNTN2	0.154375
