Hybridization REF	TCGA-C8-A12Z-01A-11R-A115-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.638833333333333
CREB3L1	3.00975
RPS11	-0.053875
PNMA1	-0.333
MMP2	0.587
C10orf90	-2.30775
ZHX3	-0.0246666666666667
ERCC5	-0.00525
GPR98	1.25614285714286
RXFP3	0.621
APBB2	0.88475
PRO0478	-1.43725
KLHL13	-3.21875
PRSSL1	-0.356
PDCL3	0.2655
DECR1	-0.5675
SALL1	-3.07183333333333
CADM4	0.373666666666667
RPS18	0.986214285714286
HNRPD	-0.724833333333333
CFHR5	0.7425
SLC10A7	0.556875
OR2K2	-0.002
LMAN1	0.248375
SUHW1	-3.61825
CHD8	-0.0691
SUMO1	0.3895
GP1BA	0.0756
DDB1	0.389333333333333
MYO9B	-0.3313
MMP7	5.5545
CRNKL1	1.113125
C9orf45	-0.550833333333333
XAB2	0.4315
RTN1	0.9875
KLHL14	-1.14514285714286
TBX10	0.513
CENPQ	-1.76075
UTY	-1.591
ZBTB12	-0.8655
DTNBP1	-0.66125
KBTBD8	-1.80566666666667
ZEB1	-1.309
ZG16	-0.5865
MIER1	0.4492
ADAM5P	0.271
CHD9	-0.8578125
STK16	0.24675
KIAA1486	0.2085
TOB2	1.11675
BANK1	1.2795
OR2V2	-0.43725
GRM2	0.0858333333333334
PROSC	-0.171
SPIN2B	-0.463
PIR	-1.56577777777778
IPO9	0.068
EVC	0.629333333333333
CXCL13	2.8645
KIAA1199	-0.3851
SORL1	0.919
NAT10	-0.657
CHD1	-0.2945
SYN3	-0.8715
SLC22A2	-0.36075
SERPINF1	0.344666666666667
WDR34	-0.58775
OR7A17	0.5355
C9orf11	-1.105
RNF216L	-0.9156
LHB	0.1525
STK25	-0.62425
TAOK3	-0.133625
LOC152573	-3.16675
C3orf39	-0.079
C14orf108	0.7899
CDC25B	-1.49981818181818
BMP3	-0.042
TMEM180	0.271
MAP1LC3C	-0.35475
CRYGC	-0.9675
POU3F1	-1.1132
C20orf32	-2.265
CCDC95	-0.4355
HIGD1B	3.30925
USP6NL	1.134125
ABCD4	-0.7645
DIMT1L	-0.675333333333333
TEK	0.415375
SLC25A46	0.0545
LARP7	-1.7376
CD160	0.382166666666667
MT1JP	-0.853
PHF20	0.228125
CPNE4	-0.44225
GTPBP1	0.403642857142857
RAB33B	1.41666666666667
ALDOC	-1.762375
ZNF212	-0.617
NUDT1	-0.6815
RFPL2	-0.12825
ZNF83	-0.613333333333333
GDPD5	-0.645625
PDCD4	0.7798
CEP350	0.44125
OR10A2	0.38925
CST7	-0.1795
CIAO1	-0.32175
SELL	0.188625
OR8J3	0.111
LTBP4	-0.361833333333333
SIRT6	-0.213
CCL19	3.556
PPIL1	-0.863833333333333
GBP7	0.2845
