Hybridization REF	TCGA-D8-A13Y-01A-11R-A115-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.740333333333333
CREB3L1	-0.269
RPS11	-0.708875
PNMA1	0.81075
MMP2	-0.941
C10orf90	-2.4835
ZHX3	0.743
ERCC5	-0.45
GPR98	0.657625
RXFP3	0.3865
APBB2	1.1145
PRO0478	-0.533375
KLHL13	-3.2795
PRSSL1	-0.715
PDCL3	-0.755166666666667
DECR1	-0.3115
SALL1	-3.44183333333333
CADM4	-0.4845
RPS18	-1.06728571428571
HNRPD	-0.5445
CFHR5	1.0548
SLC10A7	-0.430875
OR2K2	-0.017
LMAN1	-0.257625
SUHW1	-3.31375
CHD8	0.2877
SUMO1	-0.1389
GP1BA	-0.5572
DDB1	0.234333333333333
MYO9B	-0.6887
MMP7	1.6925
CRNKL1	1.050625
C9orf45	-0.0336666666666667
XAB2	-0.087625
RTN1	2.995
KLHL14	1.21475
TBX10	-0.229
CENPQ	-0.996
UTY	-1.31675
ZBTB12	0.0955
DTNBP1	-0.414375
KBTBD8	-0.106166666666667
ZEB1	-0.907666666666667
ZG16	-0.5735
MIER1	1.0709
ADAM5P	null
CHD9	0.18175
STK16	-0.87175
KIAA1486	-0.1785
TOB2	0.22975
BANK1	4.77025
OR2V2	-0.645
GRM2	0.645833333333333
PROSC	0.29775
SPIN2B	-0.07475
PIR	-1.56422222222222
IPO9	0.2946
EVC	0.257333333333333
CXCL13	3.71566666666667
KIAA1199	-0.94
SORL1	1.758
NAT10	-1.12075
CHD1	-0.04525
SYN3	-1.7405
SLC22A2	-1.50975
SERPINF1	-0.690666666666667
WDR34	1.64125
OR7A17	0.29875
C9orf11	-0.4635
RNF216L	-0.1396
LHB	0.058
STK25	-1.419
TAOK3	-0.09575
LOC152573	-3.6525
C3orf39	1.1895
C14orf108	0.9082
CDC25B	0.335363636363636
BMP3	0.5255
TMEM180	0.264
MAP1LC3C	-1.2555
CRYGC	-1.4775
POU3F1	-0.7964
C20orf32	-2.0945
CCDC95	-0.085
HIGD1B	4.0685
USP6NL	0.009
ABCD4	-0.973
DIMT1L	-1.36883333333333
TEK	-0.3165
SLC25A46	0.1495
LARP7	-1.6752
CD160	0.41
MT1JP	-0.397
PHF20	-0.334
CPNE4	4.747
GTPBP1	-0.281142857142857
RAB33B	0.822166666666667
ALDOC	-1.101625
ZNF212	-0.248
NUDT1	-0.7105
RFPL2	1.83575
ZNF83	-0.494166666666667
GDPD5	0.997
PDCD4	-0.0056
CEP350	0.6815
OR10A2	0.80125
CST7	-1.64333333333333
CIAO1	-1.1635
SELL	-0.716875
