Hybridization REF	TCGA-BH-A0DE-01A-11R-A115-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.34225
CREB3L1	1.042
RPS11	0.401125
PNMA1	-0.0385
MMP2	0.871166666666667
C10orf90	-1.31425
ZHX3	-0.4555
ERCC5	0.5595
GPR98	-2.557125
RXFP3	0.00750000000000001
APBB2	1.64275
PRO0478	-0.962625
KLHL13	-1.49675
PRSSL1	-0.328333333333333
PDCL3	0.178666666666667
DECR1	-0.4595
SALL1	-2.893
CADM4	0.649333333333333
RPS18	-0.416
HNRPD	-0.37575
CFHR5	0.6174
SLC10A7	0.5415
OR2K2	-0.2705
LMAN1	-0.836
SUHW1	-3.49075
CHD8	0.0961
SUMO1	0.7654
GP1BA	0.1888
DDB1	-0.6635
MYO9B	-0.215
MMP7	6.862
CRNKL1	0.679375
C9orf45	-1.6425
XAB2	0.3955
RTN1	2.426
KLHL14	-0.81
TBX10	-1.616
CENPQ	-2.32825
UTY	-1.20563636363636
ZBTB12	0.074
DTNBP1	0.30625
KBTBD8	-0.742333333333333
ZEB1	-0.00316666666666666
ZG16	-0.47075
MIER1	0.5439
ADAM5P	1.208
CHD9	-0.1420625
STK16	-0.433
KIAA1486	-0.2315
TOB2	0.7025
BANK1	3.47625
OR2V2	0.601
GRM2	-0.0321666666666667
PROSC	0.088
SPIN2B	0.14025
PIR	-2.01177777777778
IPO9	-0.715
EVC	0.772166666666667
CXCL13	2.81966666666667
KIAA1199	0.0896
SORL1	1.12725
NAT10	-0.87075
CHD1	0.08575
SYN3	-0.164
SLC22A2	-0.93375
SERPINF1	1.762
WDR34	-0.60175
OR7A17	0.31125
C9orf11	-1.363
RNF216L	-0.1653
LHB	0.0465
STK25	-0.294
TAOK3	0.599
LOC152573	-2.30775
C3orf39	0.61475
C14orf108	0.3597
CDC25B	-1.88718181818182
BMP3	0.482
TMEM180	0.1785
MAP1LC3C	0.40575
CRYGC	-1.4165
POU3F1	-1.2513
C20orf32	-1.9265
CCDC95	-0.0305
HIGD1B	4.327
USP6NL	-0.205125
ABCD4	-0.630333333333333
DIMT1L	-0.550833333333333
TEK	2.656875
SLC25A46	-0.478
LARP7	-1.1964
CD160	0.5428
MT1JP	-0.237
PHF20	-0.3200625
CPNE4	-0.4315
GTPBP1	0.268714285714286
RAB33B	0.96
ALDOC	-1.8595
ZNF212	-0.2475
NUDT1	-0.68
RFPL2	0.124
ZNF83	-0.330166666666667
GDPD5	-0.32325
PDCD4	1.54475
CEP350	-0.11975
OR10A2	-0.1065
CST7	1.41675
CIAO1	-1.295
SELL	1.467
OR8J3	0.5255
LTBP4	-0.0376666666666667
SIRT6	-0.0415
CCL19	4.65825
PPIL1	-1.445
GBP7	2.2482
STK17A	-0.9853
ABR	0.7635
OR9G1	0.3205
FOXE1	-0.442375
CNGA3	1.5875
GML	0.3615
CD38	-2.51925
ZDHHC6	0.0706666666666667
NEFH	-1.18625
CTDSP2	1.05108333333333
PGBD5	-1.09066666666667
CCNY	0.00607142857142858
RMND5B	0.690666666666667
ZNF257	-1.826
FLJ22167	-0.553875
EXOSC7	-0.454333333333333
ROR2	1.126375
MAOA	2.460875
TNNT3	1.924
GYPC	-0.52525
C7orf33	1.6345
PLIN	4.36733333333333
LOC90826	-0.3885
RNF4	0.0575
F8A1	0.412666666666667
PLEKHG4	-1.42975
GRB2	0.43875
HIST1H2AD	1.644
DUS3L	-0.953666666666667
EIF1	1.02416666666667
RP5-1077B9.4	-0.9865
FPGT	1.20025
GDF10	1.14566666666667
COQ9	-0.8215
GCC2	0.263928571428571
RARRES3	1.80175
PLXNA1	-0.164
KIAA0100	0.1612
PMF1	-0.134
FNDC1	5.36475
HS2ST1	0.303333333333333
CRELD2	0.76125
C8G	-1.824
CD82	0.667
LIM2	-0.694
UNQ6490	-0.4725
MMP16	0.35875
DRD3	-0.223
C5orf26	0.0185
C11orf73	-0.546375
PTP4A2	0.956
OR4M2	0.9795
HPCA	-0.986166666666667
SEC14L1	-0.388666666666667
CHFR	-0.3965
EMILIN1	1.2515
NDUFS4	-0.3385
COL18A1	1.104375
PDZD3	-0.1932
C9orf16	-0.043
ERBB2IP	0.435833333333333
EMX2	3.32275
FUS	-0.515
TF	-3.0321
CLCN4	-0.927666666666667
CXorf56	0.0135
C11orf72	-0.00850000000000001
ELAC2	-0.695916666666667
NPR1	0.77375
ASS1	-1.42566666666667
USP42	0.1445
POLR2J	-0.37
SEC23IP	0.2785
UQCRC1	-0.1265
LOC729603	-0.97575
C1orf71	-0.79225
POLG	-2.3695
ADAM23	-2.697
TFR2	-1.56675
RICTOR	-0.8562
MGC39606	0.08625
C19orf55	-0.52425
SNAPC1	-1.33133333333333
GNA11	0.95675
CCDC52	0.259666666666667
FSIP1	5.049
UPF3A	-0.17875
IGSF11	-2.1905
LAGE3	0.11175
CHST6	-0.569
UNC13B	-0.06
TTLL4	-1.268
ZNF687	0.54775
SDC2	-0.4858
COX7A2	-0.53025
LAMB4	-0.46575
FAM24A	-0.703
