Hybridization REF	TCGA-AR-A0TS-01A-11R-A115-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.0124166666666667
CREB3L1	-0.556
RPS11	0.84525
PNMA1	0.28125
MMP2	-0.520166666666667
C10orf90	-2.023
ZHX3	-0.3645
ERCC5	-0.296
GPR98	-2.324375
RXFP3	0.4045
APBB2	-0.63
PRO0478	-0.818875
KLHL13	-1.03225
PRSSL1	-0.022
PDCL3	0.355166666666667
DECR1	0.276375
SALL1	-5.1775
CADM4	0.275166666666667
RPS18	0.971
HNRPD	-0.65775
CFHR5	-0.0355
SLC10A7	-0.223
OR2K2	0.8145
LMAN1	-0.385
SUHW1	-2.851
CHD8	-0.7297
SUMO1	0.7558
GP1BA	4.0867
DDB1	0.011
MYO9B	0.2327
MMP7	5.65075
CRNKL1	0.13975
C9orf45	-0.0806666666666667
XAB2	0.018
RTN1	2.208875
KLHL14	0.3595
TBX10	-1.369
CENPQ	-0.82975
UTY	-1.77557142857143
ZBTB12	-0.25
DTNBP1	0.321125
KBTBD8	1.0315
ZEB1	-1.2425
ZG16	-1.335
MIER1	0.0874
ADAM5P	0.6585
CHD9	-0.247125
STK16	-0.82225
KIAA1486	-0.575
TOB2	0.750416666666667
BANK1	5.18325
OR2V2	0.115
GRM2	0.0533333333333333
PROSC	-0.076
SPIN2B	-0.3635
PIR	-2.09511111111111
IPO9	-0.4599
EVC	0.0211666666666667
CXCL13	6.757
KIAA1199	0.9803
SORL1	1.04925
NAT10	-0.69075
CHD1	-0.833
SYN3	-0.52575
SLC22A2	-0.0985
SERPINF1	0.938333333333333
WDR34	-0.03975
OR7A17	0.179
C9orf11	0.097
RNF216L	-1.0062
LHB	0.0035
STK25	-0.198875
TAOK3	0.669375
LOC152573	0.6985
C3orf39	0.032
C14orf108	0.5225
CDC25B	-0.0181818181818182
BMP3	0.298
TMEM180	0.29
MAP1LC3C	1.66525
CRYGC	-1.0745
POU3F1	-1.0147
C20orf32	-1.417
CCDC95	-0.023
HIGD1B	3.28525
USP6NL	1.124
ABCD4	-0.792833333333333
DIMT1L	-0.692916666666667
TEK	1.220125
SLC25A46	-0.36725
LARP7	-1.4721
CD160	1.66366666666667
MT1JP	0.245333333333333
PHF20	-0.27075
CPNE4	-0.6235
GTPBP1	0.559857142857143
RAB33B	0.839
ALDOC	-2.211
ZNF212	-0.598
NUDT1	-0.419166666666667
RFPL2	-0.94175
ZNF83	0.4895
GDPD5	0.286
PDCD4	0.97315
CEP350	-0.0575
OR10A2	0.225
CST7	1.72975
CIAO1	0.10825
SELL	3.3405
OR8J3	-0.3185
LTBP4	0.3275
SIRT6	-0.18875
CCL19	4.27275
PPIL1	0.594666666666667
GBP7	-0.4535
STK17A	-0.3935
ABR	-0.33575
OR9G1	0.3835
FOXE1	0.0515
CNGA3	0.4575
GML	0.2145
CD38	0.83375
ZDHHC6	-0.3175
NEFH	-2.9905
CTDSP2	0.239583333333333
PGBD5	2.82083333333333
CCNY	0.746714285714286
RMND5B	1.13166666666667
ZNF257	-0.849
FLJ22167	0.3585
EXOSC7	-0.526
ROR2	-0.39275
MAOA	0.343
TNNT3	1.41483333333333
GYPC	0.321
C7orf33	0.847
PLIN	3.597
LOC90826	-0.3715
RNF4	0.0159
F8A1	1.42233333333333
PLEKHG4	0.09025
GRB2	-0.09075
HIST1H2AD	1.73775
DUS3L	-0.9725
EIF1	0.228166666666667
RP5-1077B9.4	-0.3855
FPGT	1.46175
GDF10	1.58033333333333
COQ9	-0.0955
GCC2	-0.516714285714286
RARRES3	1.479375
PLXNA1	-0.3671
KIAA0100	-0.1219
PMF1	0.2725
FNDC1	4.90475
HS2ST1	0.439166666666667
CRELD2	0.68875
C8G	-0.3595
CD82	2.2115
LIM2	-1.05
UNQ6490	-0.1375
MMP16	-1.238
DRD3	0.1115
C5orf26	-0.6915
C11orf73	0.121875
PTP4A2	0.75475
OR4M2	-0.0325
HPCA	-0.624333333333333
SEC14L1	-0.399
CHFR	0.5095
EMILIN1	1.60675
NDUFS4	-0.77125
COL18A1	0.071875
PDZD3	0.0198
C9orf16	0.431666666666667
ERBB2IP	0.3415
EMX2	3.5725
FUS	-0.8745
TF	-3.2871
CLCN4	1.69983333333333
CXorf56	0.099
C11orf72	0.119
ELAC2	-0.589416666666667
NPR1	-0.01875
ASS1	-0.225333333333333
USP42	-0.51725
POLR2J	-0.454
SEC23IP	0.198666666666667
UQCRC1	-0.695
LOC729603	-0.5565
C1orf71	0.04525
POLG	-0.9285
ADAM23	-3.6565
TFR2	-1.03575
RICTOR	-0.7178
MGC39606	0.83675
C19orf55	-0.22075
SNAPC1	-1.33266666666667
GNA11	0.307125
CCDC52	-0.394333333333333
FSIP1	-0.5345
UPF3A	-0.627
IGSF11	-2.0975
LAGE3	1.461
CHST6	1.0325
UNC13B	0.12625
TTLL4	-0.383375
ZNF687	0.6715
SDC2	-1.3698
COX7A2	-1.23525
LAMB4	-0.91775
FAM24A	0.0395
LRRTM3	-1.50416666666667
GPHB5	0.03275
OR4C13	0.3175
EIF3EIP	0.242142857142857
HABP4	0.1
TMEM125	3.7715
CNTN2	0.514875
ASNSD1	-0.57
FUT4	0.87325
ACF	-3.7105
LOC158381	0.96
CDH8	-0.836
AGPS	-1.179
C4orf18	1.28
PECI	-1.3685
UNG	0.26875
GSTP1	0.0665
DCUN1D5	-0.400333333333333
DKFZP564J0863	0.02375
SLC9A3R1	0.507625
BCDO2	-0.2085
CHMP7	0.004375
REM2	0.495
DNHD1	-0.25575
FKBP4	-0.86725
ZNF350	1.673
MGC11102	-0.125625
BST1	1.59075
KISS1R	0.1635
NCR2	0.139
DEFB125	-0.1075
UBE2W	0.811875
KRT15	3.240625
C10orf99	0.1365
SCN11A	0.1785
GFI1	-0.58775
RDHE2	1.7445
FHL1	1.64683333333333
OSGEP	0.136
GATA1	-3.57883333333333
SMC6	-0.011
TTTY14	-1.11925
LPIN3	-0.11425
RPL4	-0.0129
RBPMS	0.3153
PRPF3	0.2645
EMR1	-0.8945
SPATA19	0.05625
XCR1	0.218
IRX3	2.337
RBM6	-0.9315
KLF4	-0.6257
UNC5CL	2.37275
SEBOX	0.3245
BTK	1.17175
KRCC1	2.30075
C6orf27	0.457
SYTL5	-1.0475
PRND	2.465375
LOC653319	-0.839
PIGL	-1.51925
HUS1	-0.161833333333333
SFRS6	-0.7735
C17orf77	0.386
UIMC1	-0.2635
FXYD2	-1.0827
LOC283152	0.30425
ZNF667	-0.0605
ZCCHC12	0.16375
TFEC	3.9022
ATP7B	-1.72616666666667
POLD2	-0.79
RG9MTD1	0.00825
ACOT2	-0.075
HIST1H4I	0.606625
PPARGC1A	-1.9959
ETFA	-0.5126
POLRMT	0.0415
ZNF146	-0.137375
MIA2	-3.223
KLHL6	0.688333333333333
HOXB5	-1.450125
NENF	0.760333333333333
CUGBP1	-0.03
PRSS22	1.76233333333333
CASC4	0.6891
CUL4B	0.3806
CENPJ	-1.8794
PITX1	1.36283333333333
FLJ31033	0.620166666666667
CELSR3	-0.908666666666667
ZNF568	0.22175
ITSN1	-0.60225
EHBP1L1	0.106333333333333
C19orf2	-0.40375
DCTN1	0.295
LIN28B	-4.13
TNKS2	-1.833
C1QBP	-1.34225
CADPS2	-0.88875
SRMS	0.0665
GJA9	0.1845
MGC24975	-1.31816666666667
TRIM45	-0.819666666666667
TSP50	0.87025
TCP1	-1.063
TMED7	0.5518
CMA1	0.9425
CENPL	-0.178166666666667
PTCRA	1.9765
FST	-4.08975
VWCE	-3.366
PAWR	-0.80825
ABCC12	0.0625
LDLR	-2.5618
ASTN2	-0.4489
LOC441212	-0.48
