Hybridization REF	TCGA-AO-A12D-01A-11R-A115-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.602416666666667
CREB3L1	2.9135
RPS11	0.063125
PNMA1	-0.63575
MMP2	1.84966666666667
C10orf90	-2.04675
ZHX3	-0.4465
ERCC5	0.6855
GPR98	1.625875
RXFP3	0.517
APBB2	0.9055
PRO0478	-0.8035
KLHL13	-2.96925
PRSSL1	-0.972833333333333
PDCL3	1.363
DECR1	-0.774
SALL1	-3.398
CADM4	0.893
RPS18	-0.7205
HNRPD	-0.709583333333333
CFHR5	0.46
SLC10A7	2.467125
OR2K2	0.3905
LMAN1	-0.136375
SUHW1	-3.3545
CHD8	-0.192
SUMO1	0.3433
GP1BA	1.3581
DDB1	-0.4505
MYO9B	-0.2927
MMP7	6.9065
CRNKL1	0.723375
C9orf45	-0.9785
XAB2	-0.196875
RTN1	1.487875
KLHL14	-0.748375
TBX10	-0.821
CENPQ	-1.301
UTY	-1.51053846153846
ZBTB12	-0.3705
DTNBP1	-0.163375
KBTBD8	-0.236
ZEB1	-0.424
ZG16	0.4145
MIER1	0.0645
ADAM5P	0.791
CHD9	-0.4508125
STK16	-0.5805
KIAA1486	-0.7905
TOB2	0.0777499999999999
BANK1	3.825
OR2V2	0.4005
GRM2	0.061
PROSC	-0.081625
SPIN2B	0.212
PIR	-2.39711111111111
IPO9	0.00569999999999999
EVC	0.9975
CXCL13	6.93866666666667
KIAA1199	0.3452
SORL1	0.518
NAT10	-0.9
CHD1	-0.58225
SYN3	-0.2745
SLC22A2	-0.8975
SERPINF1	1.49516666666667
WDR34	-1.54575
OR7A17	0.633
C9orf11	-0.775
RNF216L	-0.8426
LHB	0.257
STK25	-0.37575
TAOK3	1.073
LOC152573	-2.92975
C3orf39	0.1185
C14orf108	0.6103
CDC25B	-1.84454545454545
BMP3	0.9225
TMEM180	0.1185
MAP1LC3C	0.31375
CRYGC	-1.9915
POU3F1	-1.3181
C20orf32	-0.9825
CCDC95	-0.6495
HIGD1B	4.2085
USP6NL	1.134
ABCD4	-0.170666666666667
DIMT1L	-0.295916666666667
TEK	1.246625
SLC25A46	-0.18125
LARP7	-1.2487
CD160	1.1455
MT1JP	-1.18933333333333
PHF20	-0.036125
CPNE4	-0.20475
GTPBP1	0.0133571428571429
RAB33B	0.867833333333333
ALDOC	-2.459
ZNF212	-0.875
NUDT1	-0.391166666666667
RFPL2	-0.08125
ZNF83	0.594166666666667
GDPD5	-0.453375
PDCD4	1.6541
CEP350	0.2385
OR10A2	0.39275
CST7	1.32525
CIAO1	-1.3705
SELL	2.52575
OR8J3	-0.2005
LTBP4	-0.5665
SIRT6	-0.0945
CCL19	3.895
PPIL1	-0.766
GBP7	0.551166666666667
STK17A	0.1957
ABR	0.35925
OR9G1	0.286
FOXE1	-0.8135
CNGA3	0.055
GML	0.488
CD38	1.40825
ZDHHC6	0.372833333333333
NEFH	-2.607
CTDSP2	1.33433333333333
PGBD5	0.943166666666667
CCNY	0.177714285714286
RMND5B	-0.232916666666667
ZNF257	-1.2035
FLJ22167	-1.42275
EXOSC7	0.340166666666667
ROR2	0.977
MAOA	-1.197
TNNT3	-0.235333333333333
GYPC	-1.0715
C7orf33	0.445
PLIN	1.32216666666667
LOC90826	0.11725
RNF4	-0.2946
F8A1	0.407166666666667
PLEKHG4	-1.28725
GRB2	-0.47825
HIST1H2AD	0.715
DUS3L	-1.43183333333333
EIF1	-0.9905
RP5-1077B9.4	-0.752333333333333
FPGT	1.89425
GDF10	-1.17766666666667
COQ9	0.1815
GCC2	0.708571428571429
RARRES3	3.31
PLXNA1	-0.6341
KIAA0100	1.6354
PMF1	-0.185
FNDC1	6.12475
HS2ST1	-0.874916666666667
CRELD2	1.39575
C8G	-2.1805
CD82	0.6755
LIM2	-1.262
UNQ6490	-0.2915
MMP16	-0.84025
DRD3	0.06125
C5orf26	-2.53525
C11orf73	0.034625
PTP4A2	-0.711625
OR4M2	-0.7855
HPCA	-0.424166666666667
SEC14L1	-0.697833333333333
CHFR	0.376625
EMILIN1	0.917375
NDUFS4	-0.513
COL18A1	0.750375
PDZD3	0.1896
C9orf16	-0.278
ERBB2IP	-0.193
EMX2	4.03925
FUS	-0.87125
TF	-3.4793
CLCN4	-0.4645
CXorf56	-0.2765
C11orf72	0.31725
ELAC2	-0.628333333333333
NPR1	-0.8745
ASS1	0.919
USP42	0.182125
POLR2J	-1.741
SEC23IP	0.713666666666667
UQCRC1	0.361
LOC729603	-0.871
C1orf71	-0.397375
POLG	-0.7835
ADAM23	-3.29875
TFR2	-1.54975
RICTOR	-0.5447
MGC39606	0.78475
C19orf55	-0.735
SNAPC1	-1.25916666666667
GNA11	-0.44425
CCDC52	1.37433333333333
FSIP1	1.777
UPF3A	0.153375
IGSF11	-1.27783333333333
LAGE3	-0.8715
CHST6	-1.713
UNC13B	0.953875
TTLL4	-1.076875
ZNF687	0.459125
SDC2	0.6956
COX7A2	-0.1235
LAMB4	0.271333333333333
FAM24A	0.0175
LRRTM3	-1.55616666666667
GPHB5	-0.1145
OR4C13	-0.052
EIF3EIP	0.537142857142857
HABP4	-0.369
TMEM125	3.7775
CNTN2	0.296
ASNSD1	-0.35375
FUT4	-0.1585
ACF	-3.8195
LOC158381	1.1325
CDH8	-0.50325
AGPS	-1.445
C4orf18	2.673
PECI	-2.32533333333333
UNG	-0.4465
GSTP1	-1.800875
DCUN1D5	-1.188
DKFZP564J0863	-1.07625
SLC9A3R1	0.4195
BCDO2	-0.14
CHMP7	0.6505
REM2	0.2795
DNHD1	0.30075
FKBP4	-0.479875
ZNF350	1.75225
MGC11102	-0.352125
BST1	2.23175
KISS1R	-0.627
NCR2	0.309
DEFB125	-1.169
UBE2W	1.803
