Hybridization REF	TCGA-C8-A12P-01A-11R-A115-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.56375
CREB3L1	1.2845
RPS11	-0.2225
PNMA1	0.108
MMP2	1.15883333333333
C10orf90	-2.39825
ZHX3	-0.345166666666667
ERCC5	-0.76775
GPR98	0.28875
RXFP3	0.4935
APBB2	0.63525
PRO0478	-1.633
KLHL13	0.8815
PRSSL1	-0.333333333333333
PDCL3	0.875
DECR1	-0.706375
SALL1	-2.949
CADM4	0.0371666666666667
RPS18	-0.623571428571429
HNRPD	-0.969333333333333
CFHR5	0.5795
SLC10A7	0.06025
OR2K2	-0.065
LMAN1	-0.735625
SUHW1	-1.24325
CHD8	0.8661
SUMO1	0.7913
GP1BA	0.5316
DDB1	0.5935
MYO9B	-0.0889
MMP7	5.50275
CRNKL1	0.83975
C9orf45	-2.43983333333333
XAB2	0.480625
RTN1	0.692625
KLHL14	-1.648125
TBX10	-0.767
CENPQ	-0.4095
UTY	-1.39014285714286
ZBTB12	0.2135
DTNBP1	-0.413375
KBTBD8	-0.604666666666667
ZEB1	-1.506
ZG16	2.0665
MIER1	-0.846
ADAM5P	-0.1265
CHD9	-0.867125
STK16	-0.56275
KIAA1486	-0.567
TOB2	0.513333333333333
BANK1	2.32475
OR2V2	0.37725
GRM2	0.266
PROSC	0.769625
SPIN2B	-0.10375
PIR	-0.841222222222222
IPO9	-0.4199
EVC	0.917
CXCL13	5.25166666666667
KIAA1199	0.1174
SORL1	1.926
NAT10	-0.85475
CHD1	-0.69025
SYN3	-0.36825
SLC22A2	-0.59425
SERPINF1	1.01583333333333
WDR34	0.09275
OR7A17	0.48925
C9orf11	0.514
RNF216L	0.1184
LHB	0.291
STK25	-0.45325
TAOK3	0.782875
LOC152573	-3.2275
C3orf39	0.177125
C14orf108	1.5158
CDC25B	-0.360818181818182
BMP3	0.3745
TMEM180	0.515
MAP1LC3C	0.32525
CRYGC	-0.793
POU3F1	-1.047
C20orf32	-1.426
CCDC95	-0.1735
HIGD1B	4.05525
USP6NL	0.65825
ABCD4	-0.2465
DIMT1L	-0.271
TEK	1.02925
SLC25A46	0.27825
LARP7	-1.7259
CD160	0.173333333333333
MT1JP	-0.520166666666667
PHF20	0.188625
CPNE4	-1.6375
GTPBP1	0.154071428571429
RAB33B	1.1785
ALDOC	-2.25875
ZNF212	-0.3425
NUDT1	-0.103333333333333
RFPL2	-0.4535
ZNF83	-0.573333333333333
GDPD5	1.530125
PDCD4	2.3631
CEP350	-0.2845
OR10A2	0.48125
CST7	0.7935
CIAO1	0.22025
SELL	1.223875
OR8J3	0.0315
