Hybridization REF	TCGA-E2-A14O-01A-31R-A115-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.272833333333333
CREB3L1	1.0165
RPS11	0.2675
PNMA1	0.0075
MMP2	0.7625
C10orf90	-1.88575
ZHX3	0.333666666666667
ERCC5	-0.103
GPR98	0.15175
RXFP3	0.206
APBB2	2.19475
PRO0478	-1.461
KLHL13	-3.21625
PRSSL1	-0.531666666666667
PDCL3	-0.0325
DECR1	-0.685875
SALL1	-4.2715
CADM4	0.735
RPS18	-0.104
HNRPD	-0.905
CFHR5	1.537
SLC10A7	0.48525
OR2K2	0.48
LMAN1	-1.34025
SUHW1	-2.904
CHD8	0.5427
SUMO1	0.8593
GP1BA	0.7948
DDB1	-0.502
MYO9B	-0.5171
MMP7	6.50175
CRNKL1	0.93025
C9orf45	-2.0545
XAB2	0.31425
RTN1	2.069
KLHL14	-1.585625
TBX10	-1.202
CENPQ	-0.6355
UTY	-1.29461538461538
ZBTB12	0.631
DTNBP1	0.308625
KBTBD8	-2.79016666666667
ZEB1	-2.48166666666667
ZG16	0.03175
MIER1	-0.7595
ADAM5P	0.773
CHD9	-0.4746875
STK16	0.7475
KIAA1486	-0.2465
TOB2	0.674333333333333
BANK1	0.9165
OR2V2	0.07575
GRM2	0.348833333333333
PROSC	1.05025
SPIN2B	0.01375
PIR	-1.37766666666667
IPO9	-0.1409
EVC	0.271333333333333
CXCL13	1.96683333333333
KIAA1199	-2.6727
SORL1	-0.05825
NAT10	0.61275
CHD1	-0.134
SYN3	-0.7055
SLC22A2	-0.237
SERPINF1	0.085
WDR34	-0.128
OR7A17	0.2215
C9orf11	-0.6995
RNF216L	-0.1198
LHB	0.542
STK25	-0.345125
TAOK3	0.76325
LOC152573	-3.96175
C3orf39	1.348125
C14orf108	-0.229
CDC25B	-1.20472727272727
BMP3	-0.487
TMEM180	0.5625
MAP1LC3C	-0.51525
CRYGC	-0.141
POU3F1	-0.7634
C20orf32	-1.595
CCDC95	0.9495
HIGD1B	3.79175
USP6NL	-0.03375
ABCD4	0.009
DIMT1L	-0.913
TEK	0.184875
SLC25A46	-0.97575
LARP7	-1.3153
CD160	0.716833333333333
MT1JP	-1.097
PHF20	0.2874375
CPNE4	-2.162
GTPBP1	-0.646928571428571
RAB33B	-0.11
ALDOC	-0.575125
ZNF212	0.00975
NUDT1	0.0185
RFPL2	-1.413
ZNF83	-0.973
GDPD5	-1.53275
PDCD4	3.0316
CEP350	-0.19175
OR10A2	0.71375
CST7	0.506
CIAO1	-0.8325
SELL	0.09425
OR8J3	0.665
LTBP4	-0.219666666666667
SIRT6	1.0475
CCL19	4.84725
PPIL1	-0.833333333333333
GBP7	0.734166666666667
STK17A	-1.0305
ABR	-0.27425
OR9G1	-0.1945
FOXE1	-0.528
CNGA3	-0.459
GML	0.362
CD38	-2.8225
ZDHHC6	0.184333333333333
NEFH	-1.3185
CTDSP2	-0.282166666666667
PGBD5	-1.84216666666667
CCNY	0.0972142857142857
RMND5B	0.997
ZNF257	-3.9935
FLJ22167	-0.356
EXOSC7	0.510666666666667
ROR2	1.773
MAOA	1.481125
TNNT3	0.105833333333333
GYPC	-1.44575
C7orf33	0.992
PLIN	2.54466666666667
LOC90826	-0.40575
RNF4	-0.7765
F8A1	0.303333333333333
PLEKHG4	-2.79775
GRB2	0.3701
HIST1H2AD	0.751
DUS3L	-0.618666666666667
EIF1	-0.604833333333333
RP5-1077B9.4	-0.304166666666667
FPGT	1.14025
GDF10	-1.70033333333333
COQ9	0.52625
GCC2	-0.897428571428572
RARRES3	3.221125
PLXNA1	-1.1335
KIAA0100	-1.1722
PMF1	1.19875
FNDC1	5.179
HS2ST1	-0.64075
CRELD2	0.65425
C8G	-0.6345
CD82	0.79525
LIM2	-1.0055
UNQ6490	-0.276
MMP16	0.0835
DRD3	0.2145
C5orf26	-0.3225
