Hybridization REF	TCGA-A6-2683-01A-01R-0821-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.77
CREB3L1	0.74125
RPS11	1.564
PNMA1	-2.98425
MMP2	-1.56883333333333
C10orf90	-1.246
ZHX3	-0.6345
ERCC5	0.50575
GPR98	-1.175625
RXFP3	0.7845
APBB2	-1.32025
PRO0478	-0.96775
KLHL13	-2.39025
PRSSL1	0.220833333333333
PDCL3	0.252166666666667
DECR1	0.38025
SALL1	-2.61516666666667
CADM4	-0.120333333333333
RPS18	1.35042857142857
HNRPD	-1.83475
CFHR5	1.4275
SLC10A7	0.885375
OR2K2	0.8135
LMAN1	-1.486625
SUHW1	-1.21375
CHD8	-1.9865
SUMO1	0.1011
GP1BA	0.3364
DDB1	-1.51016666666667
MYO9B	-0.9297
MMP7	4.919
CRNKL1	-0.341875
C9orf45	-1.74933333333333
XAB2	-0.251
RTN1	0.239571428571429
KLHL14	-0.79075
TBX10	2.184
CENPQ	1.154
UTY	1.703
ZBTB12	0.4065
DTNBP1	-0.101
KBTBD8	1.732
ZEB1	-1.245
ZG16	1.42625
MIER1	1.0034
ADAM5P	-0.6935
CHD9	-0.390625
STK16	0.899
KIAA1486	0.2155
TOB2	-0.380583333333333
BANK1	2.07
OR2V2	0.266
GRM2	0.391666666666667
PROSC	0.79375
SPIN2B	0.378
PIR	-0.715333333333333
IPO9	-0.3815
EVC	-1.81666666666667
CXCL13	0.463166666666667
KIAA1199	0.9654
SORL1	-0.49225
NAT10	-0.394
CHD1	-0.56725
SYN3	-0.054
SLC22A2	0.18
SERPINF1	-2.06316666666667
WDR34	-1.09975
OR7A17	0.40575
C9orf11	-0.0925
RNF216L	-0.4202
LHB	0.197
STK25	-1.02
TAOK3	0.135375
LOC152573	-0.56625
C3orf39	-0.587
C14orf108	0.1316
CDC25B	-0.893
BMP3	0.5315
TMEM180	0.2915
MAP1LC3C	0.15375
CRYGC	0.242
POU3F1	-0.3249
C20orf32	-0.2955
CCDC95	0.121
HIGD1B	1.7135
USP6NL	0.256875
ABCD4	-0.391333333333333
DIMT1L	0.666666666666667
TEK	0.096375
SLC25A46	0.70075
LARP7	-1.6776
CD160	0.172166666666667
MT1JP	-1.42383333333333
PHF20	0.033625
CPNE4	-0.57425
GTPBP1	-1.43307142857143
RAB33B	0.0364999999999999
ALDOC	-1.858375
ZNF212	-1.37025
NUDT1	-0.881333333333333
RFPL2	-0.67725
ZNF83	-0.206833333333333
GDPD5	-1.007875
PDCD4	0.07195
CEP350	-0.34025
OR10A2	0.265
CST7	-0.00499999999999999
CIAO1	0.30275
SELL	0.769375
OR8J3	0.991
LTBP4	-0.3085
SIRT6	0.34025
CCL19	1.32175
PPIL1	2.59733333333333
GBP7	0.313833333333333
STK17A	-1.1194
ABR	-0.73575
OR9G1	0.701
FOXE1	0.248875
CNGA3	0.817
GML	0.2565
CD38	-1.171
ZDHHC6	1.3925
NEFH	-4.203
CTDSP2	-0.239083333333333
PGBD5	-1.72116666666667
CCNY	0.0372857142857142
RMND5B	0.00225
ZNF257	-2.2125
FLJ22167	-0.233
EXOSC7	0.3055
ROR2	-0.315375
MAOA	2.30275
TNNT3	0.3425
GYPC	-1.43625
C7orf33	1.312
PLIN	0.509
LOC90826	-0.38575
RNF4	-0.8774
F8A1	-1.48216666666667
PLEKHG4	-0.68925
GRB2	-0.94955
HIST1H2AD	-0.14075
DUS3L	-0.0678333333333333
EIF1	-0.201333333333333
RP5-1077B9.4	-0.642666666666667
FPGT	2.2605
GDF10	-0.698333333333333
COQ9	0.54125
