Hybridization REF	TCGA-AA-A00W-01A-01R-A002-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.430916666666667
CREB3L1	0.799
RPS11	0.422
PNMA1	-3.00025
MMP2	-2.113
C10orf90	-2.61025
ZHX3	0.212333333333333
ERCC5	1.131
GPR98	-1.38475
RXFP3	0.318
APBB2	-0.12025
PRO0478	-0.56125
KLHL13	-3.79175
PRSSL1	-0.809333333333333
PDCL3	0.820166666666667
DECR1	0.320625
SALL1	-2.71066666666667
CADM4	-0.512
RPS18	0.337642857142857
HNRPD	0.100666666666667
CFHR5	0.00383333333333337
SLC10A7	0.68525
OR2K2	0.295
LMAN1	-1.54375
SUHW1	-3.61325
CHD8	-1.0891
SUMO1	0.2954
GP1BA	-0.1986
DDB1	-0.225166666666667
MYO9B	-0.1993
MMP7	6.5285
CRNKL1	0.72475
C9orf45	-0.641
XAB2	0.021125
RTN1	-0.183125
KLHL14	-1.891625
TBX10	1.7035
CENPQ	-1
UTY	-0.772214285714286
ZBTB12	0.2755
DTNBP1	0.444875
KBTBD8	0.9865
ZEB1	-1.12133333333333
ZG16	2.653
MIER1	0.6304
ADAM5P	0.064
CHD9	-0.01725
STK16	0.544
KIAA1486	-0.538
TOB2	0.278916666666667
BANK1	4.62475
OR2V2	0.39075
GRM2	-0.0375
PROSC	0.726375
SPIN2B	1.1985
PIR	-1.66377777777778
IPO9	-0.3633
EVC	-2.48616666666667
CXCL13	3.85516666666667
KIAA1199	2.8623
SORL1	1.226
NAT10	0.1035
CHD1	0.5715
SYN3	1.31975
SLC22A2	-0.08475
SERPINF1	-2.83133333333333
WDR34	-0.788
OR7A17	0.60575
C9orf11	0.593
RNF216L	-0.7534
LHB	-0.263
STK25	-0.460125
TAOK3	1.36175
LOC152573	-2.247
C3orf39	-0.55275
C14orf108	0.6016
CDC25B	-0.005
BMP3	0.5825
TMEM180	-0.161
MAP1LC3C	-0.3095
CRYGC	-0.042
POU3F1	-1.6712
C20orf32	-1.505
CCDC95	-0.4755
HIGD1B	1.323
USP6NL	1.265625
ABCD4	-0.394
DIMT1L	0.21275
TEK	-0.07475
SLC25A46	0.341
LARP7	-1.4047
CD160	0.686666666666667
MT1JP	-1.89083333333333
PHF20	0.38675
CPNE4	-1.6545
GTPBP1	-0.749714285714286
RAB33B	0.613
ALDOC	-2.06075
ZNF212	-0.913
NUDT1	-1.53783333333333
RFPL2	-2.403
ZNF83	0.0875
GDPD5	-1.171375
PDCD4	0.45485
CEP350	0.00275
OR10A2	0.4165
CST7	-0.0335
CIAO1	-0.39225
SELL	0.812875
OR8J3	0.065
LTBP4	-1.06166666666667
SIRT6	0.5735
CCL19	2.9675
PPIL1	-0.5405
GBP7	0.379333333333333
STK17A	-0.9872
ABR	0.76875
OR9G1	0.129
FOXE1	-0.83525
CNGA3	-1.225
GML	0.2295
CD38	-1.29725
ZDHHC6	0.989166666666667
NEFH	-4.182
CTDSP2	0.81725
PGBD5	-1.25916666666667
CCNY	0.199857142857143
RMND5B	-0.149666666666667
ZNF257	-4.075
FLJ22167	0.265125
EXOSC7	-0.278
ROR2	-0.929375
MAOA	2.728625
TNNT3	0.319166666666667
GYPC	-2.862
C7orf33	1.22
PLIN	0.522
LOC90826	0.36175
RNF4	0.4655
F8A1	0.381333333333333
PLEKHG4	0.4245
GRB2	-0.06525
HIST1H2AD	-1.7365
DUS3L	-0.0193333333333333
EIF1	-0.00883333333333333
RP5-1077B9.4	-0.782666666666667
FPGT	1.56775
GDF10	1.25433333333333
COQ9	0.61775
GCC2	0.777571428571429
RARRES3	-0.095625
PLXNA1	-0.308
KIAA0100	0.0665
