Hybridization REF	TCGA-AA-A00D-01A-01R-A002-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.212333333333333
CREB3L1	0.81275
RPS11	0.134375
PNMA1	-0.3525
MMP2	0.571833333333333
C10orf90	-2.48075
ZHX3	-0.5455
ERCC5	1.167
GPR98	-1.89
RXFP3	0.664
APBB2	2.055
PRO0478	-0.56
KLHL13	-1.403
PRSSL1	-0.5195
PDCL3	0.374666666666667
DECR1	1.08325
SALL1	-2.70483333333333
CADM4	-0.343833333333333
RPS18	-0.0706428571428571
HNRPD	-0.11425
CFHR5	0.2338
SLC10A7	0.502375
OR2K2	-0.1235
LMAN1	-0.86
SUHW1	-3.8805
CHD8	-0.0582
SUMO1	0.434
GP1BA	0.6735
DDB1	-0.098
MYO9B	0.0785
MMP7	5.20775
CRNKL1	-0.59675
C9orf45	-2.21216666666667
XAB2	0.14325
RTN1	0.70475
KLHL14	-1.458375
TBX10	0.902
CENPQ	-1.46575
UTY	2.74207142857143
ZBTB12	0.4055
DTNBP1	0.251
KBTBD8	0.148166666666667
ZEB1	0.354166666666667
ZG16	1.80675
MIER1	0.8129
ADAM5P	-0.945
CHD9	0.015
STK16	0.6205
KIAA1486	-0.224
TOB2	0.989166666666667
BANK1	3.91675
OR2V2	0.33925
GRM2	-0.069
PROSC	0.432375
SPIN2B	-0.082
PIR	-2.249
IPO9	-0.4658
EVC	-0.5305
CXCL13	6.04866666666667
KIAA1199	0.6873
SORL1	0.9285
NAT10	0.05375
CHD1	-0.0515
SYN3	-0.08625
SLC22A2	0.5545
SERPINF1	-0.234833333333333
WDR34	-0.47475
OR7A17	0.40025
C9orf11	0.098
RNF216L	-0.2174
LHB	0.0225
STK25	-0.106375
TAOK3	1.181125
LOC152573	0.261
C3orf39	-0.065625
C14orf108	1.1029
CDC25B	-0.516090909090909
BMP3	0.4045
TMEM180	0.599
MAP1LC3C	-0.184
CRYGC	-0.56
POU3F1	-1.6937
C20orf32	-0.9705
CCDC95	-0.546
HIGD1B	2.29
USP6NL	1.358375
ABCD4	0.9055
DIMT1L	-0.0198333333333333
TEK	1.000875
SLC25A46	0.1685
LARP7	-1.3621
CD160	1.4635
MT1JP	-1.596
PHF20	-0.02475
CPNE4	-0.861
GTPBP1	-0.295857142857143
RAB33B	0.622
ALDOC	-2.61575
ZNF212	-0.29025
NUDT1	-0.618166666666667
RFPL2	-1.21175
ZNF83	-2.30816666666667
GDPD5	-0.366625
PDCD4	0.4426
CEP350	-0.3635
OR10A2	0.344
CST7	1.627
CIAO1	-0.42125
SELL	1.79125
OR8J3	-0.2595
LTBP4	0.225333333333333
SIRT6	0.12875
CCL19	4.7205
PPIL1	-0.516666666666667
GBP7	0.758333333333333
STK17A	-0.5837
ABR	0.4845
OR9G1	0.3955
FOXE1	-0.842
CNGA3	0.21
GML	0.3875
CD38	0.897
ZDHHC6	0.617666666666667
NEFH	-3.167
CTDSP2	0.422333333333333
PGBD5	-2.30266666666667
CCNY	0.252357142857143
RMND5B	-0.20175
ZNF257	-2.98975
FLJ22167	0.086375
EXOSC7	-0.528166666666667
ROR2	-0.11575
MAOA	1.224125
TNNT3	-0.0785
GYPC	-1.76325
C7orf33	1.0355
PLIN	0.2395
LOC90826	0.000749999999999986
RNF4	0.1956
F8A1	1.33166666666667
PLEKHG4	0.7295
GRB2	-0.0409
HIST1H2AD	-1.4925
DUS3L	-0.00216666666666667
EIF1	-0.1385
RP5-1077B9.4	-1.03866666666667
FPGT	1.24675
GDF10	-1.2245
COQ9	0.227
GCC2	1.22542857142857
RARRES3	3.167625
PLXNA1	-0.2177
KIAA0100	-0.117
PMF1	-0.859
FNDC1	4.97425
HS2ST1	0.404166666666667
CRELD2	0.48475
C8G	-1.5755
CD82	0.61725
LIM2	-1.367
UNQ6490	0.275
MMP16	-0.28625
DRD3	0.24375
C5orf26	-0.81325
C11orf73	-0.40875
PTP4A2	0.479
OR4M2	0.8435
HPCA	-0.550666666666667
SEC14L1	-0.0515
CHFR	-1.083125
EMILIN1	0.871875
NDUFS4	-0.50225
COL18A1	-0.77475
PDZD3	2.422
C9orf16	0.6665
ERBB2IP	-0.270166666666667
EMX2	-0.31275
FUS	-0.6705
TF	-4.1967
CLCN4	1.90633333333333
CXorf56	0.4975
C11orf72	0.15875
ELAC2	-1.23366666666667
NPR1	-1.483
ASS1	0.342833333333333
USP42	0.09425
POLR2J	-0.9535
SEC23IP	0.621833333333333
UQCRC1	0.61975
LOC729603	0.549
C1orf71	-0.456875
POLG	-1.454
ADAM23	-3.12325
TFR2	-0.89725
RICTOR	-0.8023
MGC39606	-0.89225
C19orf55	-0.2235
SNAPC1	-1.141
GNA11	0.596125
CCDC52	-0.0581666666666667
FSIP1	-0.78
UPF3A	0.610125
IGSF11	-3.10533333333333
LAGE3	0.454
CHST6	-2.915
UNC13B	1.05625
TTLL4	-0.25525
ZNF687	0.072375
SDC2	-1.6717
COX7A2	-0.1585
LAMB4	-0.811
FAM24A	0.124
LRRTM3	-1.02016666666667
GPHB5	0.179
OR4C13	0.611
EIF3EIP	0.191214285714286
HABP4	-0.539
TMEM125	3.52575
CNTN2	-0.3815
ASNSD1	-0.12625
FUT4	2.216375
ACF	0.4275
LOC158381	-0.6045
CDH8	-0.113
AGPS	0.229166666666667
C4orf18	1.740375
PECI	-1.77075
UNG	-0.277375
GSTP1	0.636
DCUN1D5	-1.0015
DKFZP564J0863	0.423
SLC9A3R1	-0.1275
BCDO2	-0.086125
CHMP7	-0.04475
REM2	0.398
DNHD1	-0.206875
FKBP4	-0.4495
ZNF350	-1.20975
MGC11102	-0.253125
BST1	1.76225
KISS1R	0.2095
NCR2	0.1515
DEFB125	-0.129
UBE2W	1.4045
KRT15	-1.293
C10orf99	1.703
SCN11A	-0.138714285714286
GFI1	-0.4315
RDHE2	4.81366666666667
FHL1	-1.691
OSGEP	0.594
GATA1	-3.62816666666667
SMC6	-0.48275
TTTY14	-0.249
LPIN3	0.3265
RPL4	-1.3051
RBPMS	-0.5586
PRPF3	0.0926666666666667
EMR1	-2.3695
SPATA19	0.344
XCR1	0.021
IRX3	-2.8697
RBM6	0.11825
KLF4	-0.2175
UNC5CL	0.652
SEBOX	-0.1035
BTK	-0.38725
KRCC1	0.825
C6orf27	0.139
SYTL5	-1.39
PRND	0.462714285714286
LOC653319	-1.3245
PIGL	-0.79075
HUS1	0.157333333333333
SFRS6	-0.744333333333333
C17orf77	2.8615
UIMC1	-0.249333333333333
FXYD2	-2.0904
LOC283152	-0.52025
ZNF667	-2.103
ZCCHC12	-0.139
TFEC	3.3805
ATP7B	1.74983333333333
POLD2	-0.994666666666667
RG9MTD1	-0.041
ACOT2	-0.712166666666667
HIST1H4I	-0.90775
PPARGC1A	-0.345
ETFA	-1.0887
POLRMT	-0.24825
ZNF146	0.29525
MIA2	2.3205
KLHL6	0.561833333333333
HOXB5	2.73275
NENF	0.678
CUGBP1	-0.63125
PRSS22	2.60183333333333
CASC4	0.54
CUL4B	-0.0728
CENPJ	0.2365
PITX1	0.769
FLJ31033	1.80666666666667
CELSR3	-0.8505
ZNF568	-0.884
ITSN1	-0.500666666666667
EHBP1L1	-0.541666666666667
C19orf2	0.14175
DCTN1	-0.5395
LIN28B	-3.23983333333333
TNKS2	0.39425
C1QBP	-1.05525
CADPS2	1.0825
SRMS	0.65825
GJA9	0.2255
MGC24975	-0.166333333333333
TRIM45	-2.3425
TSP50	-0.56975
TCP1	-0.57025
TMED7	0.3445
CMA1	0.2235
CENPL	-0.409833333333333
PTCRA	0.0035
FST	-4.80125
VWCE	-4.015
PAWR	0.65775
ABCC12	0.234
LDLR	-0.6104
ASTN2	-1.0423
LOC441212	-0.380625
GPATCH8	0.066
TANC2	-2.10058333333333
KIF4A	-1.08
C18orf18	-0.545
PGM1	-2.292
KIAA0258	0.64975
CPD	0.61675
SNCAIP	0.554
DCT	-4.53116666666667
HLA-DOA	2.99613636363636
OR11L1	0.5595
UPK1B	-0.578
DNAJB4	-0.708125
UGT1A8	0.27025
HIST1H4L	-0.5775
PECR	-1.5545
HSPA2	2.31125
WFIKKN1	-1.502
SERP1	0.449375
SYDE2	0.46225
TACR2	0.789
NUP85	-0.39925
CD177	-0.123833333333333
LGR5	1.0995
PIGG	-0.0526666666666667
PTHR1	-3.09066666666667
RAB5A	0.1875
FLJ13224	0.2375
USP9Y	1.74066666666667
C7orf53	-0.015
LRP1B	-1.268
XAF1	3.0179
ABCG8	0.4025
ANKDD1A	0.147333333333333
DAND5	-1.982
SPAG6	-0.2365
LINCR	3.0035
ZDHHC22	-1.6095
CCDC60	-0.335
THOC7	-0.702833333333333
TCTA	0.7469
OR8K3	-0.03925
NY-REN-7	-0.8205
B2M	1.69133333333333
C6orf141	-1.35
LPPR4	0.69275
SQLE	-0.57075
SEPHS1	-0.41725
BTBD14B	0.0497142857142857
PLRG1	-0.137
SPG7	-0.456875
ZNF614	-1.61983333333333
PARD6G	-0.405333333333333
INPP5B	-0.7807
GRPEL2	-0.455875
PPID	-0.1368
TRIM56	0.49475
UBE2J1	0.658125
IL20RA	4.85075
LOC387856	0.15375
C1orf107	0.83175
UTS2R	0.28
C19orf22	0.675
SAFB2	0.188625
KIAA0652	-0.062875
KLRG1	-0.166666666666667
MS4A8B	1.76733333333333
FRAG1	0.51575
KIAA1546	0.23075
E2F4	-0.0541
CLEC4M	0.1504
BTBD14A	-0.78925
KIAA0999	0.1146
GYPA	-3.41066666666667
TAC1	1.2572
TRAIP	-0.585166666666667
KIAA0232	0.7378
ERCC8	-0.080625
GPX4	-0.475625
KIAA0368	-0.3555
GPR157	-0.168833333333333
CTAGE4	0.9685
C9orf30	-1.23233333333333
OR52A1	0.2625
HSP90B3P	0.192
ALG9	-0.3205
BTBD10	0.746
SDK2	-0.2725
BAIAP3	-2.21825
RABGGTB	-0.648125
ANKRD40	-0.473666666666667
KRT74	-0.0475
CALCOCO2	0.585928571428571
SNCA	-3.54825
TMSL8	-5.58675
C2orf53	-0.3195
ESRRB	-0.423
ARHGAP26	1.553
TDRD9	-3.18225
HRAS	-0.559833333333333
KLRC4	-1.2005
JAGN1	0.0115
BSDC1	0.1555
RNF43	2.0091
NDUFAF1	-0.99375
PHF12	0.198
OR1L3	0.4025
FOLR2	2.16675
LYZL6	0.415
tcag7.1260	-2.3315
WSB1	-0.807
PROS1	-0.3814
OSTN	0.412
PSMB8	1.934
SOCS4	0.365375
DDIT4L	-0.169
MAS1	-0.157
MGC34796	0.66125
CSHL1	0.296
TBCCD1	-0.616
ZBTB7C	-0.1525
AP2S1	-0.67575
P15RS	-0.594
VAT1	-1.1133
SHANK3	0.535666666666667
TUFM	0.0108333333333333
THEG	-0.611
KRT34	-2.092
SGSM3	-0.290125
TOMM22	0.277375
SOCS3	0.568166666666667
CPO	-0.1375
POP4	0.40675
BHLHB3	0.17525
MALL	2.73525
OR1B1	0.287
PARK2	0.919833333333333
GPR124	0.681125
LCE1E	-0.475
RUVBL2	-0.40875
CGRRF1	0.2645
ACPL2	-0.08675
WNT10B	-1.273875
BAIAP2L2	1.954
