Hybridization REF	TCGA-AA-A00U-01A-01R-A002-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.0935833333333333
CREB3L1	0.88725
RPS11	0.381
PNMA1	-1.49275
MMP2	-0.872833333333333
C10orf90	-2.05425
ZHX3	-0.120666666666667
ERCC5	0.2925
GPR98	-1.49125
RXFP3	0.4375
APBB2	1.213
PRO0478	-0.406625
KLHL13	0.42075
PRSSL1	-0.7155
PDCL3	0.581666666666667
DECR1	0.30475
SALL1	-2.24983333333333
CADM4	-0.611333333333333
RPS18	0.103642857142857
HNRPD	0.154833333333333
CFHR5	-0.287
SLC10A7	0.528
OR2K2	-0.018
LMAN1	-0.788375
SUHW1	-2.68475
CHD8	-0.0826
SUMO1	0.2865
GP1BA	-0.2064
DDB1	-0.144833333333333
MYO9B	-0.0879
MMP7	6.52725
CRNKL1	0.497
C9orf45	-1.199
XAB2	0.2655
RTN1	-0.057375
KLHL14	-1.211875
TBX10	0.9505
CENPQ	-0.917
UTY	1.68492857142857
ZBTB12	0.2595
DTNBP1	0.02525
KBTBD8	0.773
ZEB1	0.0111666666666667
ZG16	4.1115
MIER1	0.3948
ADAM5P	0.0265
CHD9	-0.0269375
STK16	0.47675
KIAA1486	0.0105
TOB2	0.291666666666667
BANK1	2.25275
OR2V2	0.06275
GRM2	-0.074
PROSC	0.00475000000000001
SPIN2B	-0.125
PIR	-2.56944444444444
IPO9	-0.2239
EVC	-1.56133333333333
CXCL13	1.73433333333333
KIAA1199	2.0837
SORL1	0.767
NAT10	0.572
CHD1	0.54675
SYN3	-0.0705
SLC22A2	0.0895
SERPINF1	-1.821
WDR34	0.0165
OR7A17	0.3585
C9orf11	0.052
RNF216L	0.0536
LHB	-0.168
STK25	0.067625
TAOK3	0.557
LOC152573	-1.49575
C3orf39	-0.094625
C14orf108	0.8572
CDC25B	0.696636363636364
BMP3	0.4405
TMEM180	-0.043
MAP1LC3C	-0.17325
CRYGC	-0.0115
POU3F1	-1.0946
C20orf32	-0.9715
CCDC95	-0.254
HIGD1B	1.57675
USP6NL	0.9215
ABCD4	0.0366666666666667
DIMT1L	-0.0949166666666667
TEK	0.112
SLC25A46	0.09575
LARP7	-1.2575
CD160	0.251666666666667
MT1JP	-1.303
PHF20	0.1665625
CPNE4	-0.77525
GTPBP1	-1.06692857142857
RAB33B	0.395333333333333
ALDOC	-1.635375
ZNF212	-0.565
NUDT1	-0.423666666666667
RFPL2	-0.97425
ZNF83	-0.677
GDPD5	0.048125
PDCD4	0.3801
CEP350	0.02975
OR10A2	0.03725
CST7	-0.00725000000000001
CIAO1	-0.07475
SELL	0.126625
OR8J3	1.103
LTBP4	-0.4295
SIRT6	0.462
CCL19	1.0605
PPIL1	-0.136333333333333
GBP7	0.0131666666666667
STK17A	-0.9342
ABR	0.5255
OR9G1	0.607
FOXE1	-0.473375
CNGA3	-0.055
GML	0.186
CD38	-2.41125
ZDHHC6	0.7595
NEFH	-3.5875
CTDSP2	0.60775
PGBD5	-1.75883333333333
CCNY	0.281714285714286
RMND5B	-0.154583333333333
ZNF257	-2.4505
FLJ22167	-0.100625
EXOSC7	0.511666666666667
ROR2	-0.337875
MAOA	2.2765
TNNT3	-0.127833333333333
GYPC	-2.252
C7orf33	0.0515
PLIN	0.0278333333333333
LOC90826	-0.1525
RNF4	0.1438
F8A1	-0.669833333333333
PLEKHG4	0.6165
GRB2	0.0203
HIST1H2AD	-1.88575
DUS3L	0.357166666666667
EIF1	0.175333333333333
RP5-1077B9.4	-0.481833333333333
FPGT	1.13725
GDF10	-1.27866666666667
COQ9	0.3075
GCC2	0.873571428571428
RARRES3	1.141375
PLXNA1	0.0346
KIAA0100	-0.1143
PMF1	-0.51625
FNDC1	3.32075
HS2ST1	0.07625
CRELD2	0.014
C8G	-1.7305
CD82	-0.60875
LIM2	-0.9095
UNQ6490	-0.0475
MMP16	-0.18325
DRD3	0.01075
C5orf26	-0.589
C11orf73	-0.187375
PTP4A2	0.640375
OR4M2	0.6615
HPCA	-0.601333333333333
SEC14L1	-0.103666666666667
CHFR	-0.0395
EMILIN1	0.062875
NDUFS4	-0.20375
COL18A1	-1.1055
PDZD3	1.5882
C9orf16	0.102333333333333
ERBB2IP	-0.425166666666667
EMX2	0.00574999999999999
FUS	-0.42925
TF	-3.6583
CLCN4	1.65116666666667
CXorf56	0.116
C11orf72	0.295
ELAC2	-0.976916666666667
NPR1	-1.435
ASS1	0.325
USP42	0.525625
POLR2J	-0.506
SEC23IP	0.8655
UQCRC1	0.6615
LOC729603	0.51425
C1orf71	0.358
POLG	-1.1275
ADAM23	-3.7375
TFR2	-1.112
RICTOR	-0.4143
MGC39606	-0.58975
C19orf55	-0.016
SNAPC1	-0.728333333333333
GNA11	0.811
CCDC52	0.749333333333333
FSIP1	-0.403
UPF3A	-0.017625
IGSF11	-2.19633333333333
LAGE3	-0.29675
CHST6	-1.9355
UNC13B	1.191
TTLL4	0.085875
ZNF687	-0.067875
SDC2	-1.9537
COX7A2	0.093
LAMB4	-0.21775
FAM24A	0.0385
LRRTM3	-0.3685
GPHB5	0.02525
OR4C13	0.061
EIF3EIP	-0.364571428571429
HABP4	-0.561
TMEM125	3.48475
CNTN2	-0.04775
ASNSD1	0.22225
FUT4	2.108125
ACF	0.71875
LOC158381	-0.7615
CDH8	-0.02875
AGPS	0.759666666666667
C4orf18	0.15375
PECI	-0.831333333333333
UNG	-0.051625
GSTP1	0.23475
DCUN1D5	-0.165166666666667
DKFZP564J0863	-0.221
SLC9A3R1	-0.68375
BCDO2	-0.06875
CHMP7	-0.258125
REM2	-0.113
DNHD1	-0.587375
FKBP4	-0.189125
ZNF350	-0.9665
MGC11102	0.276875
BST1	0.0685
KISS1R	0.1395
NCR2	0.18
DEFB125	-0.553
UBE2W	0.976
KRT15	-1.610125
C10orf99	2.8535
SCN11A	-0.0755
GFI1	-0.56625
RDHE2	2.06766666666667
FHL1	-1.9225
OSGEP	0.159833333333333
GATA1	-3.24233333333333
SMC6	-0.08
TTTY14	-0.594
LPIN3	0.16175
RPL4	-0.8268
RBPMS	-0.4091
PRPF3	0.275
EMR1	-2.54
SPATA19	0.0795
XCR1	0.099
IRX3	-2.3586
RBM6	0.1115
KLF4	1.2416
UNC5CL	1.99175
SEBOX	-0.0815
BTK	-2.6355
KRCC1	0.83725
C6orf27	0.2125
SYTL5	-0.791
PRND	0.477
LOC653319	-0.83
PIGL	-0.697125
HUS1	0.533333333333333
SFRS6	0.0944166666666667
C17orf77	0.2655
UIMC1	-0.0273333333333333
FXYD2	-1.7712
LOC283152	-0.94675
ZNF667	-1.89675
ZCCHC12	0.62525
TFEC	0.2969
ATP7B	0.581333333333333
POLD2	-0.693833333333333
RG9MTD1	0.312
ACOT2	-1.04766666666667
HIST1H4I	-0.61925
PPARGC1A	0.1995
ETFA	-1.0976
POLRMT	-0.034
ZNF146	0.624625
MIA2	0.0625
KLHL6	-1.81566666666667
HOXB5	2.19225
NENF	0.291666666666667
CUGBP1	0.46675
PRSS22	2.12133333333333
CASC4	0.2918
CUL4B	-0.4574
CENPJ	-0.1037
PITX1	0.384
FLJ31033	0.685
CELSR3	0.630833333333333
ZNF568	-1.21475
ITSN1	-1.06258333333333
EHBP1L1	-0.652833333333333
C19orf2	0.3755
DCTN1	-0.4725
LIN28B	-2.237
TNKS2	0.42925
C1QBP	-0.386875
CADPS2	0.52975
SRMS	0.30975
GJA9	0.259333333333333
MGC24975	-0.501333333333333
TRIM45	-1.29066666666667
TSP50	-0.02125
TCP1	0.135
TMED7	0.0992
CMA1	0.4355
CENPL	-0.309833333333333
PTCRA	-0.56
