Hybridization REF	TCGA-AA-A01F-01A-01R-A002-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.893
CREB3L1	1.4875
RPS11	0.822
PNMA1	-2.8685
MMP2	-1.54816666666667
C10orf90	-2.17025
ZHX3	0.418
ERCC5	1.245
GPR98	-1.874375
RXFP3	0.717
APBB2	0.44675
PRO0478	-0.598375
KLHL13	-2.8875
PRSSL1	-0.955166666666667
PDCL3	0.5935
DECR1	0.031625
SALL1	-3.0525
CADM4	0.3825
RPS18	0.702285714285715
HNRPD	-0.698916666666667
CFHR5	0.0344
SLC10A7	0.194875
OR2K2	-0.2245
LMAN1	-2.136875
SUHW1	-3.31925
CHD8	-0.7524
SUMO1	0.4768
GP1BA	-0.3992
DDB1	-0.6985
MYO9B	-0.144
MMP7	4.681
CRNKL1	-0.08775
C9orf45	-2.13783333333333
XAB2	0.21525
RTN1	0.192375
KLHL14	-1.706125
TBX10	2.891
CENPQ	-1.86225
UTY	2.43135714285714
ZBTB12	-0.683
DTNBP1	0.136
KBTBD8	-0.0973333333333333
ZEB1	-0.824166666666667
ZG16	-0.946
MIER1	0.2598
ADAM5P	0.8995
CHD9	0.1619375
STK16	0.5045
KIAA1486	-1.1055
TOB2	0.768083333333333
BANK1	2.1655
OR2V2	0.27425
GRM2	0.1335
PROSC	1.06675
SPIN2B	1.7965
PIR	-1.13766666666667
IPO9	-0.0546
EVC	-2.02433333333333
CXCL13	0.750833333333333
KIAA1199	2.2386
SORL1	1.31925
NAT10	-0.6205
CHD1	0.5215
SYN3	2.063
SLC22A2	0.07425
SERPINF1	-2.77383333333333
WDR34	-1.123
OR7A17	0.13025
C9orf11	0.4485
RNF216L	0.0111
LHB	-0.249
STK25	-0.410875
TAOK3	0.956875
LOC152573	-2.64325
C3orf39	-0.676875
C14orf108	0.7525
CDC25B	0.792181818181818
BMP3	-0.0135
TMEM180	0.3935
MAP1LC3C	-0.51575
CRYGC	-1.136
POU3F1	-1.8949
C20orf32	-1.6365
CCDC95	-0.3325
HIGD1B	1.31425
USP6NL	1.50325
ABCD4	0.2415
DIMT1L	0.0705
TEK	-0.331375
SLC25A46	0.3655
LARP7	-1.7579
CD160	0.135833333333333
MT1JP	-3.17283333333333
PHF20	0.291125
CPNE4	-1.64875
GTPBP1	-0.292428571428572
RAB33B	0.649333333333333
ALDOC	-1.184125
ZNF212	-0.07875
NUDT1	-0.923666666666667
RFPL2	-2.0815
ZNF83	-0.560666666666667
GDPD5	0.563625
PDCD4	0.37045
CEP350	0.66825
OR10A2	1.24275
CST7	-0.576
CIAO1	-0.18675
SELL	-0.1375
OR8J3	0.645
LTBP4	0.136833333333333
SIRT6	0.8835
CCL19	1.67775
PPIL1	-0.552333333333333
GBP7	-0.0758333333333333
STK17A	-0.2793
ABR	1.93025
OR9G1	0.601
FOXE1	-0.8765
CNGA3	1.311
GML	0.188
CD38	-4.16925
ZDHHC6	1.0675
NEFH	-4.044
CTDSP2	0.341333333333333
PGBD5	-2.62116666666667
CCNY	0.424928571428571
RMND5B	-0.01175
ZNF257	-3.76366666666667
FLJ22167	1.10075
EXOSC7	-0.884333333333333
ROR2	-1.065625
MAOA	2.248375
TNNT3	-0.427166666666667
GYPC	-3.0985
C7orf33	-0.4815
PLIN	0.856833333333333
LOC90826	-0.1855
RNF4	-0.383
F8A1	-0.0128333333333333
