Hybridization REF	TCGA-07-0249-20A-01R-0826-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.435666666666667
CREB3L1	1.7705
RPS11	-0.302125
PNMA1	1.66275
MMP2	2.83083333333333
C10orf90	3.625
ZHX3	1.04966666666667
ERCC5	1.176
GPR98	-1.7765
RXFP3	1.2635
APBB2	0.8505
PRO0478	-1.274375
KLHL13	0.63875
PRSSL1	-1.13166666666667
PDCL3	-0.536833333333333
DECR1	-0.0525
SALL1	2.08566666666667
CADM4	0.6045
RPS18	-0.465
HNRPD	-0.305333333333333
CFHR5	0.340833333333333
SLC10A7	0.096625
OR2K2	-0.2955
LMAN1	1.03
SUHW1	-3.566
CHD8	-1.8154
SUMO1	1.0605
GP1BA	-0.5717
DDB1	-0.659333333333333
MYO9B	0.6326
MMP7	4.71825
CRNKL1	-0.96875
C9orf45	-2.26316666666667
XAB2	0.098125
RTN1	2.998
KLHL14	-0.923375
TBX10	-1.4385
CENPQ	0.216
UTY	-0.553307692307692
ZBTB12	-0.5945
DTNBP1	-1.74275
KBTBD8	-0.517833333333333
ZEB1	0.7985
ZG16	-2.3055
MIER1	0.6637
ADAM5P	-0.066
CHD9	0.2605625
STK16	0.7855
KIAA1486	-0.605
TOB2	0.647583333333333
BANK1	2.522
OR2V2	0.60875
GRM2	-0.112166666666667
PROSC	-0.498875
SPIN2B	0.08075
PIR	-0.239777777777778
IPO9	-0.382
EVC	2.48333333333333
CXCL13	0.738166666666667
KIAA1199	-0.1402
SORL1	-5.40625
NAT10	-0.57275
CHD1	-0.92
SYN3	0.6255
SLC22A2	-1.40575
SERPINF1	-4.0785
WDR34	-1.08325
OR7A17	0.87075
C9orf11	-0.022
RNF216L	0.1207
LHB	1.093
STK25	-0.235625
TAOK3	1.214875
LOC152573	-3.476
C3orf39	1.14725
C14orf108	0.3446
CDC25B	-1.37763636363636
BMP3	0.5755
TMEM180	0.801
MAP1LC3C	0.35325
CRYGC	-0.993
POU3F1	-1.4277
C20orf32	-1.532
CCDC95	-0.0655
HIGD1B	0.167666666666667
USP6NL	-0.032125
ABCD4	-0.564
DIMT1L	0.210416666666667
TEK	0.390875
SLC25A46	0.38575
LARP7	-1.2835
CD160	0.206333333333333
MT1JP	3.78683333333333
PHF20	0.263625
CPNE4	0.982
GTPBP1	-0.626
RAB33B	1.1215
ALDOC	0.9235
ZNF212	-0.11075
NUDT1	-1.00633333333333
RFPL2	-2.082
ZNF83	-6.11616666666667
GDPD5	-2.088
PDCD4	0.3644
CEP350	-1.32175
OR10A2	0.0295
CST7	-2.004
CIAO1	0.25025
SELL	-0.192375
OR8J3	0.745
LTBP4	-0.0286666666666667
SIRT6	0.14775
CCL19	1.0215
PPIL1	-1.03483333333333
GBP7	-0.2625
STK17A	1.2956
ABR	1.60625
OR9G1	1.491
FOXE1	-0.6585
CNGA3	4.0715
GML	0.3255
CD38	-2.5005
ZDHHC6	0.0895
NEFH	-3.79625
CTDSP2	-0.574083333333333
PGBD5	-2.24666666666667
CCNY	1.03792857142857
RMND5B	-0.377333333333333
ZNF257	-4.2855
FLJ22167	0.40425
EXOSC7	-0.404833333333333
ROR2	-1.889875
MAOA	1.367875
TNNT3	-0.0463333333333333
GYPC	-0.77475
C7orf33	1.7295
PLIN	0.500833333333333
LOC90826	-0.228
RNF4	0.0347
F8A1	-1.17816666666667
PLEKHG4	0.0705
GRB2	-0.08575
HIST1H2AD	-1.2265
DUS3L	-0.735833333333333
EIF1	0.456
RP5-1077B9.4	-1.12533333333333
FPGT	1.372
GDF10	-3.09716666666667
COQ9	-0.34425
GCC2	-0.051
RARRES3	0.230375
PLXNA1	0.2757
KIAA0100	0.0883
PMF1	-0.94475
FNDC1	-0.312
HS2ST1	0.296666666666667
CRELD2	0.415
C8G	-2.575
CD82	3.37875
LIM2	-1.644
UNQ6490	0.7605
MMP16	1.0565
DRD3	0.59875
C5orf26	-0.694
C11orf73	-0.05425
PTP4A2	1.002875
OR4M2	-0.3825
HPCA	1.20116666666667
SEC14L1	-0.542333333333333
CHFR	-3.92875
EMILIN1	-0.749625
NDUFS4	0.43475
COL18A1	-2.873
PDZD3	0.0622
C9orf16	0.2475
ERBB2IP	0.0291666666666667
EMX2	-0.1825
FUS	-1.20925
TF	-4.3197
CLCN4	2.13383333333333
CXorf56	-0.58575
C11orf72	0.67175
ELAC2	-1.00358333333333
NPR1	-3.13925
ASS1	-0.0211666666666667
USP42	-0.56275
POLR2J	-0.7605
SEC23IP	0.811
UQCRC1	0.17675
LOC729603	0.1405
C1orf71	-0.4805
POLG	-1.2685
ADAM23	0.19375
TFR2	-0.52425
RICTOR	-1.0532
MGC39606	0.39425
C19orf55	0.192
SNAPC1	1.10883333333333
GNA11	0.25475
CCDC52	0.279
FSIP1	1.615
UPF3A	0.492625
IGSF11	-2.67633333333333
LAGE3	0.30325
CHST6	-0.998
UNC13B	-0.768625
TTLL4	-0.994
ZNF687	-0.135375
SDC2	0.1721
COX7A2	-0.615
LAMB4	-0.2185
FAM24A	0.291
LRRTM3	-1.57183333333333
GPHB5	0.572
OR4C13	1.7645
EIF3EIP	0.5195
HABP4	1.138
TMEM125	-3.74075
CNTN2	-0.109625
ASNSD1	0.1455
FUT4	-0.393125
ACF	-4.15225
LOC158381	0.823
CDH8	-0.9515
AGPS	-0.646166666666667
C4orf18	-2.07075
PECI	-0.170666666666667
UNG	-0.52125
GSTP1	-1.026
DCUN1D5	-1.06516666666667
DKFZP564J0863	0.35425
SLC9A3R1	-1.6765
BCDO2	-0.7135
CHMP7	0.323
REM2	-0.882
DNHD1	-0.31
FKBP4	-0.888125
ZNF350	-1.83225
MGC11102	0.74725
BST1	0.38075
KISS1R	1.416
NCR2	0.8125
DEFB125	0.749
UBE2W	1.21375
KRT15	-1.537
C10orf99	0.6935
SCN11A	0.011
GFI1	-4.68975
RDHE2	-2.02483333333333
FHL1	-0.936
OSGEP	-0.8305
GATA1	-3.383
SMC6	-0.6505
TTTY14	-0.63825
LPIN3	-0.763
RPL4	-0.3107
RBPMS	0.3609
PRPF3	-1.048
EMR1	1.499
SPATA19	0.4245
XCR1	0.661
IRX3	1.2435
RBM6	-1.41775
KLF4	-2.1995
UNC5CL	-2.73575
SEBOX	0.1975
BTK	-4.24975
KRCC1	1.14475
C6orf27	0.133
SYTL5	-0.608
PRND	-0.378285714285714
LOC653319	-0.5205
PIGL	0.362875
HUS1	0.623333333333333
SFRS6	-1.27541666666667
C17orf77	0.011
UIMC1	-0.197666666666667
FXYD2	-1.8115
LOC283152	0.83075
ZNF667	-4.16775
ZCCHC12	-1.4515
TFEC	-0.3927
ATP7B	-2.20416666666667
POLD2	-0.928666666666667
RG9MTD1	0.04475
ACOT2	-0.140333333333333
HIST1H4I	-1.4285
PPARGC1A	0.4178
ETFA	-0.5982
POLRMT	0.0435
ZNF146	-0.46425
MIA2	-0.6395
KLHL6	-5.209
HOXB5	-1.958375
NENF	0.557166666666667
CUGBP1	0.38925
PRSS22	-0.700333333333333
CASC4	2.1474
CUL4B	1.3459
CENPJ	-0.8647
PITX1	-0.837
FLJ31033	1.23016666666667
CELSR3	0.263833333333333
ZNF568	-3.05175
ITSN1	0.0690833333333333
EHBP1L1	0.176833333333333
C19orf2	-0.5695
DCTN1	-0.34075
LIN28B	-2.79516666666667
TNKS2	0.30975
C1QBP	-0.385625
CADPS2	1.73725
SRMS	-0.04425
GJA9	0.700166666666667
MGC24975	-2.25683333333333
TRIM45	-0.5025
TSP50	-0.02375
TCP1	-0.10625
TMED7	1.382
CMA1	0.619
CENPL	-0.377166666666667
PTCRA	-0.48
FST	-2.843
VWCE	-2.53775
PAWR	-2.172
ABCC12	0.819666666666667
LDLR	1.1847
ASTN2	1.7213
LOC441212	0.212
GPATCH8	-0.13025
TANC2	-0.146583333333333
KIF4A	-0.862
C18orf18	-0.6315
PGM1	0.43725
KIAA0258	0.56875
CPD	0.982875
SNCAIP	-1.8705
DCT	-4.21883333333333
HLA-DOA	1.74877272727273
OR11L1	0.7
UPK1B	0.155166666666667
DNAJB4	0.109125
UGT1A8	-0.13575
HIST1H4L	-0.1165
PECR	-0.118333333333333
HSPA2	1.9445
WFIKKN1	-3.661
SERP1	-0.19225
SYDE2	-1.8035
TACR2	0.298
NUP85	-0.34125
CD177	-0.775
LGR5	-2.33516666666667
PIGG	-0.0593333333333334
PTHR1	-2.89066666666667
RAB5A	0.7111
FLJ13224	0.317
USP9Y	-1.52666666666667
C7orf53	-0.009
LRP1B	1.5385
XAF1	-1.3565
ABCG8	-0.725
ANKDD1A	0.2685
DAND5	-1.5915
SPAG6	0.319
LINCR	1.27625
ZDHHC22	-1.493
CCDC60	1.713
THOC7	-1.15166666666667
TCTA	1.1605
OR8K3	0.173
NY-REN-7	-1.2585
B2M	2.68183333333333
C6orf141	-1.175125
LPPR4	6.3725
SQLE	0.041125
SEPHS1	-0.9045
BTBD14B	1.02071428571429
PLRG1	0.02775
SPG7	-0.3306875
ZNF614	-0.202166666666667
PARD6G	-0.454166666666667
INPP5B	-0.0153
GRPEL2	0.332875
PPID	-0.3471
TRIM56	-0.564
UBE2J1	0.766625
IL20RA	-2.63675
LOC387856	2.23225
C1orf107	0.222166666666667
UTS2R	1.605
C19orf22	-0.987
SAFB2	-0.338125
KIAA0652	0.420375
KLRG1	1.07983333333333
MS4A8B	-0.6305
FRAG1	-0.86075
KIAA1546	-0.446
E2F4	-0.6024
CLEC4M	0.305833333333333
BTBD14A	-0.177
KIAA0999	-0.2766
GYPA	-4.0082
TAC1	-0.919555555555556
TRAIP	-0.153666666666667
KIAA0232	0.5779
ERCC8	0.710875
GPX4	0.279125
KIAA0368	0.654
GPR157	-1.0075
CTAGE4	-2.186
C9orf30	1.6155
OR52A1	-0.002
HSP90B3P	0.354
ALG9	-0.7359
BTBD10	1.13825
SDK2	-0.00350000000000001
BAIAP3	-2.75075
RABGGTB	-0.24675
ANKRD40	-0.263166666666667
KRT74	0.295
CALCOCO2	0.508
SNCA	-1.87075
TMSL8	-2.55925
C2orf53	0.3565
ESRRB	-0.42425
ARHGAP26	-1.21075
TDRD9	-3.39975
HRAS	0.419333333333333
KLRC4	-1.798
JAGN1	0.0596666666666667
BSDC1	0.0295
RNF43	-1.8767
NDUFAF1	0.49175
PHF12	0.20825
OR1L3	0.545
FOLR2	0.19925
LYZL6	-0.0416666666666667
tcag7.1260	3.5915
WSB1	-1.6495
PROS1	1.4264
OSTN	0.733
PSMB8	0.311
SOCS4	0.564875
DDIT4L	6.43125
MAS1	-0.65
MGC34796	0.08575
CSHL1	0.370666666666667
TBCCD1	-0.855
ZBTB7C	0.144
AP2S1	0.954375
P15RS	-0.508
VAT1	0.5895
SHANK3	-1.1695
TUFM	-0.356333333333333
THEG	0.152
KRT34	4.999
SGSM3	-0.314875
TOMM22	0.424
SOCS3	1.70683333333333
CPO	-0.1865
POP4	0.78525
BHLHB3	3.40275
MALL	-2.33225
OR1B1	-0.0915
PARK2	-0.164166666666667
GPR124	-1.8965
LCE1E	0.568
RUVBL2	-1.14475
CGRRF1	1.4964
ACPL2	0.45075
WNT10B	-0.887125
BAIAP2L2	-2.37175
ISCA1	-0.159
C1orf125	-0.61825
RPAP1	-0.2475
RAI16	-0.255
RPL27	0.060875
NLRP9	-0.01
EPN1	0.856
LOC388610	-0.364625
SLC35A1	-0.0088
GAL	-5.25575
SLC14A2	0.3915
RDH11	0.630166666666667
FAM138F	-0.00149999999999999
AUH	-0.471
FLJ40243	0.9005
C14orf129	1.04833333333333
MBD2	-0.643
ABHD14B	-0.015125
PIGT	0.441375
ALS2CR4	0.888625
ALAS1	0.625
FOXO1	-1.6815
CRLF3	0.050375
C20orf107	0.352
FARS2	0.08275
CCDC28A	0.012
NPHP3	0.0245
OR13F1	0.5085
TSEN54	-1.594
DEFB106B	0.269111111111111
OR8B4	0.051
STH	-1.201
ZC3H14	-0.07125
CBX2	-0.63
TMEM49	-0.49325
C6orf21	0.3225
FLJ20920	0.065625
CRTAP	1.31164285714286
DDX50	0.23975
STYXL1	0.29925
BLVRB	0.7495
LOC147650	1.6975
MMP24	0.563
GRID1	0.2995
BANF1	-0.687833333333333
CTAGEP	-1.52225
HMBS	-1.618
SLC25A24	-0.963333333333333
C14orf50	1.2695
MRO	-1.37333333333333
SLC25A15	-0.94075
FAM84B	-2.5814
TDP1	1.119
C16orf78	-0.0643333333333333
C11orf57	-0.40225
RFK	0.495625
ZFYVE9	0.715375
STCH	1.1896
WIBG	-0.18775
LOC283871	-1.04916666666667
GBA2	-0.6848
NDUFB3	0.2075
HSD17B13	-1.40625
GRIN3A	0.738333333333333
FMNL1	-2.0865
SEPT7	-0.211
GNLY	1.5565
GRAMD1C	0.415
ZNF165	-2.28325
USP38	0.44325
FAM83A	-3.44216666666667
C14orf24	0.310666666666667
ARMCX3	0.842375
ARHGDIB	-3.96366666666667
AK1	0.573625
KIAA1045	-0.6075
DNAJB13	-0.445
NEU2	1.035
HIST1H4B	-0.0858333333333333
FAM20B	0.3783
HES2	-0.383428571428571
