Hybridization REF	TCGA-AA-A00L-01A-01R-A002-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.724833333333333
CREB3L1	0.136
RPS11	0.807625
PNMA1	-3.054
MMP2	-1.0965
C10orf90	-1.97175
ZHX3	0.0693333333333333
ERCC5	0.84525
GPR98	-1.649375
RXFP3	0.902
APBB2	0.456
PRO0478	-0.13625
KLHL13	1.6535
PRSSL1	-0.2605
PDCL3	0.261
DECR1	-0.02325
SALL1	-3.067
CADM4	-0.389666666666667
RPS18	0.3015
HNRPD	-0.446416666666667
CFHR5	0.1794
SLC10A7	0.57875
OR2K2	-1.47
LMAN1	-0.596875
SUHW1	-2.41
CHD8	-1.3873
SUMO1	0.1492
GP1BA	0.0649
DDB1	-0.608
MYO9B	-0.4122
MMP7	7.06575
CRNKL1	0.32425
C9orf45	-0.778333333333333
XAB2	0.03375
RTN1	-0.350625
KLHL14	-1.4605
TBX10	2.147
CENPQ	-1.60625
UTY	-0.185214285714286
ZBTB12	-0.203
DTNBP1	0.398
KBTBD8	-0.1935
ZEB1	-0.804
ZG16	5.2185
MIER1	0.38
ADAM5P	0.9065
CHD9	-0.2058125
STK16	0.486
KIAA1486	-0.6715
TOB2	0.411916666666667
BANK1	3.883
OR2V2	0.2105
GRM2	0.371
PROSC	0.372375
SPIN2B	2.2335
PIR	-0.120444444444444
IPO9	-0.2452
EVC	-1.60683333333333
CXCL13	1.07966666666667
KIAA1199	1.4043
SORL1	1.40625
NAT10	-0.00525
CHD1	0.07675
SYN3	2.89175
SLC22A2	-0.313
SERPINF1	-2.08933333333333
WDR34	-0.52125
OR7A17	0.35425
C9orf11	0.2775
RNF216L	0.2347
LHB	0.1765
STK25	-0.42
TAOK3	0.746625
LOC152573	-2.83825
C3orf39	-0.34025
C14orf108	-0.251
CDC25B	1.04927272727273
BMP3	0.6225
TMEM180	0.3895
MAP1LC3C	-0.18625
CRYGC	0.21
POU3F1	-1.0378
C20orf32	-0.4045
CCDC95	-0.292
HIGD1B	1.65325
USP6NL	0.998
ABCD4	-0.67
DIMT1L	-0.280583333333333
TEK	0.149125
SLC25A46	0.04175
LARP7	-1.3968
CD160	0.0583333333333333
MT1JP	-1.2485
PHF20	-0.3728125
CPNE4	-1.66275
GTPBP1	-0.413071428571429
RAB33B	0.0581666666666667
ALDOC	-1.74175
ZNF212	-0.66575
NUDT1	-0.260333333333333
RFPL2	1.7975
ZNF83	-0.53
GDPD5	2.067125
PDCD4	0.3629
CEP350	-0.34775
OR10A2	0.60475
CST7	-0.76225
CIAO1	-0.44525
SELL	0.1895
OR8J3	0.687
LTBP4	-0.148
SIRT6	0.5975
CCL19	1.53675
PPIL1	-0.397166666666667
GBP7	0.763
STK17A	-1.283
ABR	0.75775
OR9G1	0.191
FOXE1	-0.290875
CNGA3	0.028
GML	0.194
CD38	-2.3535
ZDHHC6	0.782833333333333
NEFH	-3.55625
CTDSP2	0.131416666666667
PGBD5	-0.0201666666666667
CCNY	0.0881428571428571
RMND5B	0.318666666666667
ZNF257	-2.91375
FLJ22167	-0.299125
EXOSC7	-0.159666666666667
ROR2	-1.076375
MAOA	2.40125
TNNT3	0.0611666666666666
GYPC	-1.83275
C7orf33	1.055
PLIN	0.54
LOC90826	-0.40825
RNF4	-0.1568
F8A1	0.524833333333333
PLEKHG4	-0.18075
GRB2	-0.04845
HIST1H2AD	-1.64125
DUS3L	0.0383333333333333
EIF1	-0.0653333333333333
RP5-1077B9.4	-0.713166666666667
FPGT	1.0695
GDF10	0.8725
COQ9	0.48125
GCC2	0.336285714285714
RARRES3	2.658625
PLXNA1	-0.2283
KIAA0100	0.1709
PMF1	-0.362
FNDC1	3.75675
HS2ST1	0.359
CRELD2	0.03475
C8G	-1.02
CD82	0.0375
LIM2	-0.337
UNQ6490	0.3415
MMP16	-0.32375
DRD3	0.18375
C5orf26	0.0655
C11orf73	-0.487625
PTP4A2	0.30875
OR4M2	0.9755
HPCA	-0.906
SEC14L1	-0.995166666666667
CHFR	0.384125
EMILIN1	0.19575
NDUFS4	0.2525
COL18A1	-1.090625
PDZD3	2.9466
C9orf16	0.315333333333333
ERBB2IP	0.285166666666667
EMX2	-0.37825
FUS	-1.73725
TF	-3.5852
CLCN4	2.00666666666667
CXorf56	0.3965
C11orf72	0.331
ELAC2	-1.34033333333333
NPR1	-1.6825
ASS1	1.0985
USP42	0.877625
POLR2J	-0.381
SEC23IP	0.337
UQCRC1	0.77475
LOC729603	0.6565
C1orf71	-0.585125
POLG	-0.986
ADAM23	-3.4325
TFR2	-1.008
RICTOR	-0.7384
MGC39606	-0.38325
C19orf55	0.000124999999999993
SNAPC1	-2.47883333333333
GNA11	0.770625
CCDC52	-0.1845
FSIP1	-0.4895
UPF3A	0.466375
IGSF11	-2.38416666666667
LAGE3	-0.236
CHST6	-3.298
UNC13B	0.92225
TTLL4	-0.069125
ZNF687	-0.23275
SDC2	-2.2095
COX7A2	0.33525
LAMB4	-0.5295
FAM24A	-0.255
LRRTM3	-1.286
GPHB5	0.60825
OR4C13	0.521
EIF3EIP	0.946857142857143
HABP4	-0.3805
TMEM125	3.89525
CNTN2	-0.254
ASNSD1	-0.12075
FUT4	1.810875
ACF	1.53625
LOC158381	-0.3175
CDH8	-0.1945
AGPS	0.1245
C4orf18	-0.303625
PECI	-1.6055
UNG	-0.481875
GSTP1	0.00600000000000001
DCUN1D5	-0.995833333333333
DKFZP564J0863	-1.3075
SLC9A3R1	0.27325
BCDO2	0.5205
CHMP7	-1.0655
REM2	0.2315
DNHD1	0.039875
FKBP4	-1.303125
ZNF350	0.00125
MGC11102	0.052625
BST1	1.19575
KISS1R	1.0455
NCR2	0.383
DEFB125	0.207
UBE2W	0.331125
KRT15	-0.149375
C10orf99	3.632
SCN11A	0.14775
GFI1	-2.39925
RDHE2	-0.416333333333333
FHL1	-2.091
OSGEP	-0.693166666666667
GATA1	-3.19316666666667
SMC6	-0.45975
TTTY14	0.19325
LPIN3	0.29925
RPL4	-0.3477
RBPMS	-0.8907
PRPF3	-0.281833333333333
EMR1	-2.286
SPATA19	0.09625
XCR1	0.497
IRX3	-2.255
RBM6	0.24075
KLF4	0.3968
UNC5CL	3.17825
SEBOX	0.08
BTK	-2.988
KRCC1	0.7245
C6orf27	0.239
SYTL5	-0.4765
PRND	1.0235
LOC653319	-0.6135
PIGL	0.0215
HUS1	1.07083333333333
SFRS6	-0.44525
C17orf77	0.7565
UIMC1	0.262166666666667
FXYD2	-1.0993
LOC283152	-1.01275
ZNF667	-2.295
ZCCHC12	-0.925
TFEC	0.0353
ATP7B	0.816333333333333
POLD2	-0.628166666666667
RG9MTD1	-0.2915
ACOT2	-1.90916666666667
HIST1H4I	-0.754125
PPARGC1A	1.6836
ETFA	-0.6094
POLRMT	0.1235
ZNF146	-0.5765
MIA2	-0.345
KLHL6	-2.38033333333333
HOXB5	1.849875
NENF	-0.0775
CUGBP1	-0.66
PRSS22	1.56116666666667
CASC4	0.8148
CUL4B	1.0265
CENPJ	-0.0382
PITX1	0.607833333333333
FLJ31033	-0.0876666666666666
CELSR3	0.494166666666667
ZNF568	-1.05
ITSN1	-0.603833333333333
EHBP1L1	-0.163166666666667
C19orf2	0.103
DCTN1	-0.6995
LIN28B	-3.64066666666667
TNKS2	-0.16725
C1QBP	-0.815625
CADPS2	-2.1305
SRMS	0.82875
GJA9	0.0681666666666667
MGC24975	-0.468833333333333
TRIM45	-2.015
TSP50	0.14075
TCP1	-0.5925
TMED7	-0.1153
CMA1	0.322
CENPL	-0.847
PTCRA	-0.043
FST	-4.30525
VWCE	-3.889
PAWR	0.7355
ABCC12	0.868833333333333
LDLR	-0.8352
ASTN2	-0.0597000000000001
LOC441212	0.608
GPATCH8	0.1845
TANC2	-2.39758333333333
KIF4A	-0.769
C18orf18	-0.0445
PGM1	-0.761
KIAA0258	0.62125
CPD	1.4255
SNCAIP	-0.565
DCT	-3.91333333333333
HLA-DOA	0.969181818181818
OR11L1	0.609
UPK1B	-1.1035
DNAJB4	-1.422125
UGT1A8	1.43375
HIST1H4L	0.3935
PECR	-0.905333333333333
HSPA2	-0.089
WFIKKN1	-1.359
SERP1	-0.138875
SYDE2	0.6125
TACR2	0.572
NUP85	0.018
CD177	0.467833333333333
LGR5	1.45783333333333
PIGG	0.148916666666667
PTHR1	-2.18233333333333
RAB5A	-0.2181
FLJ13224	0.0825
USP9Y	-1.39133333333333
C7orf53	-0.505
LRP1B	-0.625
XAF1	0.1584
ABCG8	-0.39
ANKDD1A	-0.363
DAND5	-1.7215
SPAG6	0.174666666666667
LINCR	2.539
ZDHHC22	-1.079875
CCDC60	-0.4005
THOC7	-0.766166666666667
TCTA	0.3225
OR8K3	0.45075
NY-REN-7	-0.0775
B2M	1.7995
C6orf141	-2.15475
LPPR4	1.157
SQLE	-1.443625
SEPHS1	-0.5625
BTBD14B	0.3685
PLRG1	0.00775
SPG7	-0.537875
ZNF614	-0.818666666666667
PARD6G	-1.034
INPP5B	-0.8458
GRPEL2	0.457875
PPID	0.2296
TRIM56	0.58575
UBE2J1	0.24025
IL20RA	3.84575
LOC387856	-0.28525
C1orf107	0.793333333333333
UTS2R	0.66875
C19orf22	0.15125
SAFB2	0.084375
KIAA0652	-0.595625
KLRG1	-1.88066666666667
MS4A8B	2.43933333333333
FRAG1	0.35525
KIAA1546	-0.573
E2F4	-0.1948
CLEC4M	0.015
BTBD14A	-0.6115
KIAA0999	0.5616
GYPA	-2.86216666666667
TAC1	-0.3822
TRAIP	-0.615166666666667
KIAA0232	0.9471
ERCC8	-0.368375
GPX4	-0.194625
KIAA0368	0.01075
GPR157	0.349
CTAGE4	1.7345
C9orf30	-0.902166666666667
OR52A1	1.0165
HSP90B3P	-0.5875
ALG9	-0.2705
BTBD10	0.3775
SDK2	-0.0405
