Hybridization REF	TCGA-AA-A00J-01A-02R-A002-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.703
CREB3L1	1.981
RPS11	1.377875
PNMA1	-1.6385
MMP2	0.0855
C10orf90	-2.769
ZHX3	-0.3235
ERCC5	0.37275
GPR98	-0.6095
RXFP3	1.082
APBB2	0.49325
PRO0478	-0.73825
KLHL13	-1.722
PRSSL1	-0.744833333333333
PDCL3	0.0546666666666667
DECR1	-0.357875
SALL1	-4.89566666666667
CADM4	-0.327666666666667
RPS18	0.356357142857143
HNRPD	-0.249
CFHR5	0.456166666666667
SLC10A7	0.562625
OR2K2	0.3975
LMAN1	-1.029125
SUHW1	-3.06425
CHD8	-1.3968
SUMO1	0.7139
GP1BA	0.5867
DDB1	-1.31133333333333
MYO9B	-0.0799
MMP7	5.10625
CRNKL1	0.186125
C9orf45	-0.994833333333333
XAB2	-0.07325
RTN1	0.323875
KLHL14	-1.59525
TBX10	-0.988
CENPQ	-1.06275
UTY	1.56871428571429
ZBTB12	0.047
DTNBP1	0.029125
KBTBD8	-0.436166666666667
ZEB1	-0.616
ZG16	4.46425
MIER1	0.254
ADAM5P	-1.0485
CHD9	-0.276375
STK16	0.558
KIAA1486	-0.5375
TOB2	0.843083333333333
BANK1	1.84475
OR2V2	0.0795
GRM2	0.349833333333333
PROSC	-0.9525
SPIN2B	0.06825
PIR	-1.968
IPO9	-0.4794
EVC	-0.677
CXCL13	3.45833333333333
KIAA1199	2.0589
SORL1	1.129
NAT10	-0.39625
CHD1	-0.66975
SYN3	-0.9305
SLC22A2	-0.46325
SERPINF1	-0.803833333333333
WDR34	-0.573
OR7A17	0.233
C9orf11	-0.275
RNF216L	-0.0416
LHB	0.1385
STK25	-0.13675
TAOK3	1.47475
LOC152573	-1.38475
C3orf39	0.6335
C14orf108	0.5008
CDC25B	0.143727272727273
BMP3	0.2265
TMEM180	0.372
MAP1LC3C	-1.04025
CRYGC	-0.871
POU3F1	-1.6946
C20orf32	-1.263
CCDC95	-0.1585
HIGD1B	3.41475
USP6NL	0.232375
ABCD4	0.569666666666667
DIMT1L	-0.366666666666667
TEK	0.48225
SLC25A46	-0.56
LARP7	-1.3846
CD160	0.490166666666667
MT1JP	2.20983333333333
PHF20	-0.78075
CPNE4	-1.47525
GTPBP1	-0.187071428571429
RAB33B	1.2615
ALDOC	-1.338
ZNF212	-0.6525
NUDT1	-0.589666666666667
RFPL2	-0.54375
ZNF83	-1.6695
GDPD5	0.779625
PDCD4	0.4912
CEP350	-0.5755
OR10A2	0.39
CST7	0.133
CIAO1	-1.16325
SELL	0.0465
OR8J3	3.7915
LTBP4	0.0658333333333333
SIRT6	0.48225
CCL19	2.53575
PPIL1	-0.479333333333333
GBP7	0.867
STK17A	-0.5742
ABR	0.551
OR9G1	-0.2815
FOXE1	-0.888875
CNGA3	0.4945
GML	0.2735
CD38	-2.25475
ZDHHC6	0.547666666666667
NEFH	-3.612
CTDSP2	0.755166666666667
PGBD5	-2.08466666666667
CCNY	0.459428571428571
RMND5B	-0.312583333333333
ZNF257	-4.03125
FLJ22167	0.132875
EXOSC7	-0.411666666666667
ROR2	0.06975
