Hybridization REF	TCGA-AA-A01Q-01A-01R-A002-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-1.076
CREB3L1	2.647
RPS11	0.846125
PNMA1	-1.83975
MMP2	-1.77733333333333
C10orf90	-2.01275
ZHX3	-0.528666666666667
ERCC5	0.891
GPR98	-0.388857142857143
RXFP3	1.215
APBB2	-0.10525
PRO0478	0.132
KLHL13	-0.675
PRSSL1	-0.688833333333333
PDCL3	0.0541666666666667
DECR1	-0.16175
SALL1	-4.08133333333333
CADM4	0.466166666666667
RPS18	0.7325
HNRPD	-0.566666666666667
CFHR5	0.569666666666667
SLC10A7	0.0735
OR2K2	-0.2495
LMAN1	-1.350375
SUHW1	-2.7175
CHD8	-0.5216
SUMO1	1.0727
GP1BA	0.5266
DDB1	-0.849
MYO9B	0.0763
MMP7	5.27175
CRNKL1	-0.27575
C9orf45	-1.4425
XAB2	0.187125
RTN1	-0.442
KLHL14	-1.427875
TBX10	0.036
CENPQ	-1.328
UTY	-1.23992857142857
ZBTB12	0.5495
DTNBP1	0.511875
KBTBD8	-0.378166666666667
ZEB1	-1.49033333333333
ZG16	3.824
MIER1	0.8912
ADAM5P	0.556
CHD9	-0.6165625
STK16	0.85475
KIAA1486	0.0905
TOB2	1.00141666666667
BANK1	0.55725
OR2V2	0.08625
GRM2	0.432
PROSC	-1.011875
SPIN2B	-0.02575
PIR	-1.463
IPO9	-0.7354
EVC	-1.33616666666667
CXCL13	4.15683333333333
KIAA1199	0.3216
SORL1	1.27775
NAT10	0.16725
CHD1	-0.371
SYN3	-0.5995
SLC22A2	-0.46975
SERPINF1	-2.16066666666667
WDR34	-0.301
OR7A17	0.12725
C9orf11	0.014
RNF216L	0.0663
LHB	0.4235
STK25	-0.6805
TAOK3	0.828125
LOC152573	-1.768
C3orf39	0.323375
C14orf108	0.8165
CDC25B	0.331636363636364
BMP3	0.3905
TMEM180	0.3165
MAP1LC3C	-0.62825
CRYGC	-0.413
POU3F1	-1.3055
C20orf32	-0.764
CCDC95	-0.172
HIGD1B	2.26125
USP6NL	-0.371875
ABCD4	0.684666666666667
DIMT1L	-0.597666666666667
TEK	-0.022375
SLC25A46	-0.7155
LARP7	-1.4189
CD160	1.47833333333333
MT1JP	-0.986666666666667
PHF20	-0.5553125
CPNE4	-1.88725
GTPBP1	-0.105857142857143
RAB33B	0.5395
ALDOC	-0.490125
ZNF212	0.0235
NUDT1	-1.26133333333333
RFPL2	-0.8155
ZNF83	-2.84933333333333
GDPD5	-1.8565
PDCD4	1.07635
CEP350	-0.2635
OR10A2	0.87425
CST7	-0.3365
CIAO1	-0.73675
SELL	0.413625
OR8J3	2.4445
LTBP4	0.529333333333333
SIRT6	0.613
CCL19	3.5275
PPIL1	-1.06983333333333
GBP7	0.294666666666667
STK17A	-1.4989
ABR	1.8195
OR9G1	0.638
FOXE1	-0.54275
CNGA3	-0.714
GML	0.325
CD38	-1.453
ZDHHC6	-0.120333333333333
NEFH	-3.3165
CTDSP2	0.162166666666667
PGBD5	-2.48966666666667
CCNY	0.454142857142857
RMND5B	-0.214916666666667
ZNF257	-3.798
FLJ22167	0.23825
EXOSC7	-0.2965
ROR2	-0.92525
MAOA	4.753875
TNNT3	-0.274333333333333
GYPC	-1.743
C7orf33	1.528
PLIN	0.530666666666667
LOC90826	-0.36575
RNF4	-0.0883
F8A1	0.011
PLEKHG4	0.36575
GRB2	-0.67815
HIST1H2AD	-1.4925
DUS3L	-0.4865
EIF1	-0.423666666666667
RP5-1077B9.4	-0.951
FPGT	0.8475
GDF10	-2.174
COQ9	0.979
GCC2	0.149785714285714
RARRES3	2.569125
PLXNA1	-0.0227
KIAA0100	-0.0977
PMF1	-0.01425
FNDC1	2.75575
HS2ST1	0.462
CRELD2	0.0095
C8G	1.9055
CD82	-0.45025
LIM2	-1.4575
UNQ6490	-0.0475
MMP16	-0.95125
DRD3	0.07875
C5orf26	-0.4495
C11orf73	-1.051875
PTP4A2	-0.43725
OR4M2	0.705
HPCA	-0.275166666666667
SEC14L1	-0.618
CHFR	-2.107
EMILIN1	0.2845
NDUFS4	0.08325
COL18A1	-1.291625
PDZD3	2.936
C9orf16	0.482166666666667
ERBB2IP	0.4295
EMX2	-0.377
