Hybridization REF	TCGA-AA-A029-01A-01R-A00A-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-1.07683333333333
CREB3L1	1.984
RPS11	1.351375
PNMA1	-0.67775
MMP2	-1.796
C10orf90	-1.38425
ZHX3	-0.171166666666667
ERCC5	0.245
GPR98	-1.036875
RXFP3	0.449
APBB2	-0.96325
PRO0478	-0.909375
KLHL13	-3.2845
PRSSL1	0.00249999999999999
PDCL3	0.282333333333333
DECR1	0.282625
SALL1	-2.16833333333333
CADM4	-0.805166666666667
RPS18	0.276714285714286
HNRPD	-0.939833333333334
CFHR5	0.7956
SLC10A7	0.63275
OR2K2	-0.269
LMAN1	-0.122625
SUHW1	-1.74425
CHD8	-0.4504
SUMO1	0.368
GP1BA	0.2842
DDB1	-0.728
MYO9B	-0.0513
MMP7	7.9415
CRNKL1	0.3545
C9orf45	-1.182
XAB2	0.364
RTN1	0.237
KLHL14	-0.893
TBX10	-0.589
CENPQ	-1.695
UTY	1.702
ZBTB12	-0.3875
DTNBP1	-0.157
KBTBD8	-0.0998333333333333
ZEB1	-0.916666666666667
ZG16	4.93475
MIER1	0.458
ADAM5P	0.1105
CHD9	-0.5485625
STK16	0.6935
KIAA1486	0.5285
TOB2	1.13233333333333
BANK1	0.7385
OR2V2	-0.03225
GRM2	0.152833333333333
PROSC	0.51475
SPIN2B	1.03325
PIR	-2.45711111111111
IPO9	-0.6284
EVC	-1.93566666666667
CXCL13	1.0195
KIAA1199	3.0446
SORL1	1.83125
NAT10	-0.394
CHD1	0.33225
SYN3	-0.008
SLC22A2	-0.4165
SERPINF1	-3.08183333333333
WDR34	-0.54825
OR7A17	0.17125
C9orf11	-0.042
RNF216L	-0.1582
LHB	-0.0685
STK25	-0.56825
TAOK3	1.5025
LOC152573	-2.25975
C3orf39	-0.642375
C14orf108	0.7456
CDC25B	0.321090909090909
BMP3	-0.183
TMEM180	-0.0035
MAP1LC3C	-0.57925
CRYGC	-0.261
POU3F1	-1.1859
C20orf32	-0.737
CCDC95	-0.5075
HIGD1B	0.35625
USP6NL	0.808875
ABCD4	-0.256833333333333
DIMT1L	-0.300916666666667
TEK	-0.36325
SLC25A46	0.53875
LARP7	-1.5989
CD160	0.128333333333333
MT1JP	0.00283333333333332
PHF20	-0.6701875
CPNE4	-0.4165
GTPBP1	-0.413571428571429
RAB33B	-0.176666666666667
ALDOC	-1.819375
ZNF212	-0.397
NUDT1	-0.585166666666667
RFPL2	-0.8585
ZNF83	-2.86833333333333
GDPD5	-1.6985
PDCD4	0.40015
CEP350	-0.68725
OR10A2	0.388
CST7	-0.2905
CIAO1	-0.5025
SELL	-0.0602857142857143
OR8J3	3.1575
LTBP4	0.474
SIRT6	1.47075
CCL19	1.13325
PPIL1	-0.505333333333333
GBP7	0.350666666666667
STK17A	-0.0918
ABR	1.04725
OR9G1	0.278
FOXE1	-0.166625
CNGA3	0.2865
GML	0.0985
CD38	-2.6335
ZDHHC6	0.851
NEFH	-3.93575
CTDSP2	0.4255
PGBD5	-1.755
CCNY	-0.119857142857143
RMND5B	-0.0975
ZNF257	-2.5515
FLJ22167	0.241125
EXOSC7	-0.448
ROR2	-0.641
MAOA	3.78025
TNNT3	-0.193833333333333
GYPC	-2.9195
C7orf33	-0.4055
PLIN	0.405666666666667
LOC90826	-0.25375
RNF4	-0.0745
F8A1	-0.271666666666667
PLEKHG4	-2.93025
GRB2	-0.39275
HIST1H2AD	-0.86675
DUS3L	0.0471666666666667
EIF1	-0.0308333333333333
RP5-1077B9.4	-1.05616666666667
FPGT	0.84275
GDF10	-1.1935
COQ9	-0.06225
GCC2	1.01492857142857
RARRES3	1.50575
PLXNA1	-0.309
KIAA0100	-1.5135
PMF1	-0.56525
FNDC1	1.15275
HS2ST1	-0.193916666666667
CRELD2	-0.161
C8G	-0.745
CD82	0.07925
LIM2	-0.5735
UNQ6490	-0.2815
MMP16	-0.20375
DRD3	0.174
C5orf26	0.40075
C11orf73	-0.635625
PTP4A2	0.309625
OR4M2	0.7305
HPCA	-1.16816666666667
SEC14L1	-1.3955
CHFR	-2.683625
EMILIN1	-0.65975
NDUFS4	-0.0905
COL18A1	-2.11375
PDZD3	3.348
C9orf16	0.357
ERBB2IP	0.521166666666667
EMX2	0.5455
FUS	-1.39875
TF	-4.5835
CLCN4	-0.368166666666667
CXorf56	-0.7875
C11orf72	0.7225
ELAC2	-0.827416666666667
NPR1	-2.334
ASS1	0.898333333333333
USP42	-0.33725
POLR2J	-0.162
SEC23IP	0.431333333333333
UQCRC1	0.239
LOC729603	-0.141
C1orf71	-0.438
POLG	-1.5565
ADAM23	-4.849
TFR2	-0.6095
RICTOR	-0.6642
MGC39606	-1.33
C19orf55	-0.10425
SNAPC1	-2.04066666666667
GNA11	1.598125
CCDC52	0.688333333333333
FSIP1	2.73
UPF3A	-1.019875
IGSF11	-1.57866666666667
LAGE3	-1.077
CHST6	-1.208
UNC13B	1.139125
TTLL4	-0.444
ZNF687	-0.314125
SDC2	-2.4866
COX7A2	0.2485
LAMB4	0.02
FAM24A	0.588
LRRTM3	-0.6642
GPHB5	0.47925
OR4C13	0.2645
EIF3EIP	0.553857142857143
HABP4	0.135
TMEM125	4.14425
CNTN2	-0.3395
ASNSD1	-0.11875
FUT4	2.265625
ACF	1.205
LOC158381	-0.9955
CDH8	-0.3295
AGPS	0.269833333333333
C4orf18	1.746875
PECI	-2.62875
UNG	-0.059125
GSTP1	0.918625
DCUN1D5	-0.374166666666667
DKFZP564J0863	-0.3335
SLC9A3R1	-0.130875
BCDO2	-0.374625
CHMP7	0.222625
REM2	-0.011
DNHD1	-0.836625
FKBP4	-0.55075
ZNF350	-3.2115
MGC11102	-0.256375
BST1	-1.75225
KISS1R	-0.1295
NCR2	0.4615
DEFB125	0.4525
UBE2W	0.6985
KRT15	-1.94975
C10orf99	3.69
SCN11A	-0.0276666666666667
GFI1	-1.0105
RDHE2	4.8605
FHL1	-1.86716666666667
OSGEP	-0.533666666666667
GATA1	-3.35316666666667
SMC6	-0.6455
TTTY14	-0.72225
LPIN3	0.198
RPL4	-0.3243
RBPMS	-2.3025
PRPF3	-0.721
EMR1	-1.9225
SPATA19	-0.32975
XCR1	0.125
IRX3	-3.0585
RBM6	-0.57025
KLF4	1.6376
UNC5CL	2.216
SEBOX	-0.5705
BTK	-2.13075
KRCC1	1.62175
C6orf27	0.3045
SYTL5	0.8765
PRND	0.274428571428571
LOC653319	-1.1115
PIGL	0.477875
HUS1	1.30083333333333
SFRS6	-0.26575
C17orf77	0.407
UIMC1	-0.307666666666667
FXYD2	-1.9186
LOC283152	-0.494
ZNF667	-1.90875
ZCCHC12	-0.389
TFEC	0.0513333333333333
ATP7B	0.841166666666667
POLD2	-0.854833333333333
RG9MTD1	0.24575
ACOT2	-1.50533333333333
HIST1H4I	-0.711875
PPARGC1A	0.1702
ETFA	0.6533
POLRMT	0.2725
ZNF146	0.224375
MIA2	0.9315
KLHL6	-2.64633333333333
HOXB5	2.2845
NENF	0.278166666666667
CUGBP1	-0.211
PRSS22	1.7395
CASC4	0.5774
CUL4B	-0.4569
CENPJ	-1.2029
PITX1	0.865333333333333
FLJ31033	0.704833333333333
CELSR3	-1.76783333333333
ZNF568	-1.2045
ITSN1	-0.497166666666667
EHBP1L1	-0.427
C19orf2	0.46825
DCTN1	-0.879
LIN28B	-2.5305
TNKS2	0.706
C1QBP	0.2855
CADPS2	0.93675
SRMS	0.28975
GJA9	0.05
MGC24975	-0.303
TRIM45	-2.5455
TSP50	0.0165
TCP1	-0.6585
TMED7	0.4617
CMA1	0.3
CENPL	-1.25416666666667
PTCRA	-0.104
FST	-6.17675
VWCE	-3.3745
PAWR	0.92
ABCC12	0.678
LDLR	0.5129
ASTN2	0.0988
LOC441212	0.28975
GPATCH8	-0.215
TANC2	-2.38409090909091
KIF4A	-1.41025
C18orf18	1.45625
PGM1	-1.38275
KIAA0258	1.23925
CPD	0.75675
SNCAIP	-1.25666666666667
DCT	-4.84016666666667
HLA-DOA	1.00209090909091
OR11L1	0.184
UPK1B	0.459166666666667
DNAJB4	-1.007875
UGT1A8	3.55675
HIST1H4L	-0.734
PECR	-0.5285
HSPA2	-0.13725
WFIKKN1	-3.264
SERP1	0.63375
SYDE2	0.37975
TACR2	0.3855
NUP85	-0.31025
CD177	0.434
LGR5	-0.539666666666667
PIGG	-0.659833333333333
PTHR1	-2.2035
RAB5A	0.4693
FLJ13224	-0.1215
USP9Y	-0.9004
C7orf53	0.614
LRP1B	0.0575
XAF1	0.0013
ABCG8	0.2765
ANKDD1A	-0.433166666666667
DAND5	-1.724
SPAG6	-0.110833333333333
LINCR	-0.1575
ZDHHC22	-0.910875
CCDC60	0.056
THOC7	-1.07933333333333
TCTA	0.5735
OR8K3	0.67225
NY-REN-7	-0.2315
B2M	1.9085
C6orf141	-1.147125
LPPR4	0.452
SQLE	-0.359125
SEPHS1	-0.73125
BTBD14B	0.548571428571429
PLRG1	0.1225
SPG7	-0.6213125
ZNF614	-0.889
PARD6G	-1.02966666666667
INPP5B	-1.45722222222222
GRPEL2	0.71875
PPID	-0.1742
TRIM56	-0.165
UBE2J1	0.41575
IL20RA	5.30825
LOC387856	0.028
C1orf107	0.256
UTS2R	0.41775
C19orf22	0.982
SAFB2	-0.173625
KIAA0652	-0.017625
KLRG1	-1.3645
MS4A8B	3.252
FRAG1	0.21675
KIAA1546	0.1645
E2F4	-0.449
CLEC4M	-0.521833333333333
BTBD14A	0.47825
KIAA0999	0.0562
GYPA	-2.697
TAC1	0.3326
TRAIP	-1.03683333333333
KIAA0232	0.5644
ERCC8	-0.205375
GPX4	0.32575
KIAA0368	0.102875
GPR157	0.126333333333333
CTAGE4	1.702
C9orf30	-1.40316666666667
OR52A1	0.7445
HSP90B3P	0.0525
ALG9	-0.3542
BTBD10	0.49375
SDK2	-0.3755
BAIAP3	-1.971
RABGGTB	0.358
ANKRD40	-0.303666666666667
KRT74	0.00950000000000001
CALCOCO2	0.878
SNCA	-5.17425
TMSL8	-5.128875
C2orf53	0.0695
ESRRB	-0.0335
ARHGAP26	2.1845
TDRD9	-3.50925
HRAS	0.108333333333333
KLRC4	-0.9485
JAGN1	-0.302833333333333
BSDC1	0.01
RNF43	1.3175
NDUFAF1	0.30575
PHF12	0.4865
OR1L3	0.15825
FOLR2	0.40925
LYZL6	-0.195
tcag7.1260	3.422
WSB1	-1.38783333333333
PROS1	-1.9464
OSTN	0.0915
PSMB8	1.1855
SOCS4	0.041375
DDIT4L	-0.4045
MAS1	-0.6335
MGC34796	0.9955
CSHL1	0.214333333333333
TBCCD1	-0.9045
ZBTB7C	-0.0705
AP2S1	0.010875
P15RS	-0.0614
VAT1	-1.6256
SHANK3	-0.536666666666667
TUFM	-0.160666666666667
THEG	-0.3575
KRT34	-0.95125
SGSM3	-0.500875
TOMM22	0.37675
SOCS3	0.157333333333333
CPO	-0.2135
POP4	0.84075
BHLHB3	2.6555
MALL	3.8275
OR1B1	0.641
PARK2	0.0208333333333333
GPR124	-0.971875
LCE1E	0.2295
RUVBL2	0.2095
CGRRF1	-0.3
ACPL2	0.1135
WNT10B	-1.443875
BAIAP2L2	2.175125
ISCA1	0.455
C1orf125	3.208375
RPAP1	-0.9145
RAI16	-0.7625
RPL27	0.2
NLRP9	-0.4875
EPN1	0.767
LOC388610	-0.224875
SLC35A1	1.3702
GAL	0.7645
SLC14A2	0.45
RDH11	-0.472666666666667
FAM138F	0.193
AUH	1.01725
FLJ40243	0.1435
C14orf129	2.68183333333333
MBD2	-0.475
ABHD14B	0.293125
PIGT	-0.134875
ALS2CR4	-0.95075
ALAS1	1.7638
FOXO1	0.587833333333333
CRLF3	-0.343875
C20orf107	-0.203
FARS2	-0.1115
CCDC28A	0.6425
NPHP3	-1.841
OR13F1	0.564
TSEN54	-0.3655
DEFB106B	0.2585
OR8B4	0.768
STH	-0.1525
ZC3H14	-0.50125
CBX2	-0.3715
TMEM49	-1.28575
C6orf21	0.3835
FLJ20920	0.581375
CRTAP	-0.507142857142857
DDX50	-0.5645
STYXL1	0.6165
BLVRB	-0.465166666666667
LOC147650	-2.61233333333333
MMP24	0.43725
GRID1	0.4465
BANF1	-0.7175
CTAGEP	0.98
HMBS	-1.65975
SLC25A24	1.70016666666667
C14orf50	2.0415
MRO	-0.513333333333333
SLC25A15	-0.7005
FAM84B	1.4025
TDP1	0.0985
C16orf78	-0.296333333333333
C11orf57	0.323375
RFK	1.24325
ZFYVE9	0.658375
STCH	-0.9317
WIBG	1.41725
LOC283871	-0.201666666666667
GBA2	-0.1827
NDUFB3	0.2315
HSD17B13	-0.01125
GRIN3A	0.414
FMNL1	-2.65066666666667
SEPT7	-0.7312
GNLY	1.9555
GRAMD1C	0.0018
ZNF165	1.17825
USP38	0.5985
FAM83A	-2.24783333333333
C14orf24	1.30275
ARMCX3	-0.26625
ARHGDIB	-0.209833333333333
AK1	-0.027875
KIAA1045	-0.015
DNAJB13	-0.521666666666667
NEU2	-0.523
HIST1H4B	-0.228166666666667
FAM20B	-0.8841
HES2	2.249
FAM73B	-0.0808
LOC388381	0.28275
INTS7	-0.349090909090909
AMPH	0.34875
ZNF775	-0.736375
UCKL1	0.0988333333333333
C10orf97	1.20025
C1orf161	1.103
ALDH1L1	-0.809
FLJ39378	-0.975625
SLC23A1	-2.869
RBM4B	-1.49325
THAP4	0.154833333333333
OGFRL1	-1.0045
KIAA0831	0.558875
PPP1R15A	-0.124666666666667
C1orf96	-0.497928571428571
C12orf11	-0.324
BMF	-0.21425
MAN1A1	-0.156625
KIAA1600	0.0783333333333334
NLGN4X	-1.43425
ALOX12	-0.3235
RB1CC1	-0.3366
NEIL2	0.8683
EIF4E	0.476727272727273
ABHD5	-0.4625
EXOC4	0.772166666666667
CIP29	0.281333333333333
BATF2	3.05725
SLC29A4	-0.61875
HTR4	0.3445
EMB	-2.38475
TRAF6	0.56875
LMNB1	0.60675
FAM19A5	-2.065
SHE	-0.00725000000000001
PIK3C2B	2.50275
C15orf15	0.2411
USP15	0.4344
TCEAL2	-1.25375
C5orf39	-1.60883333333333
PTGER2	-0.6455
SLC31A1	0.041125
IFT172	0.833
ADAM29	-0.053
GFOD1	0.54725
ST7L	-0.226
C15orf26	-1.769
PKN3	-1.7505
CNTD1	1.4265
COMMD1	-0.164875
NTRK2	0.245583333333333
FOXN3	-0.08975
MFGE8	-1.6711
PFKFB2	1.22766666666667
TAS2R4	-1.05525
ENTHD1	-0.3555
PRMT5	-1.07475
MGC16384	-0.30075
LOC442229	0.54375
TSKU	0.052
KRTCAP3	4.055625
PDLIM1	1.5599
KCNS2	0.33925
RNF126	0.8895
CEP63	-0.97625
CLIC4	-1.225375
hCG_1990170	-0.1125
ACR	1.7886
KLK7	2.548
ALOX5AP	1.1655
RIPK3	4.11275
TAS2R9	0.707
C19orf18	-0.6955
BIRC6	0.00778571428571429
ZNF16	0.675
RFT1	-0.9035
SLC8A2	-0.145
TACC1	1.5535
ITGAD	-0.732666666666667
SAMHD1	0.462
SH3PXD2B	0.0372
EPC2	0.6325
C20orf85	0.574875
ATP13A2	0.189
KRT4	0.36875
CAPNS1	0.45375
MDM2	1.01883333333333
PCDH20	1.37975
KCNK9	0.6415
OR2C1	-0.00399999999999999
KLHDC3	-1.13783333333333
IPPK	0.4125
EFHD2	1.122875
GALR3	0.382
NBEA	-3.239
ABCA6	-0.0995
CLDN3	2.8695
AKT2	0.236571428571429
EGFR	0.8752
RBM16	-0.13425
ZDHHC3	1.8247
SLC25A4	-0.190833333333333
CYB5B	0.479833333333333
CPXM1	-1.74825
NDRG1	1.39146153846154
FLJ43826	0.5275
OR5L2	0.3194
FARP2	0.6632
MRPL46	-0.0785833333333333
LDHAL6B	0.133666666666667
MAPKAPK3	-0.1215
