Hybridization REF	TCGA-AA-A01K-01A-01R-A00A-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.165333333333333
CREB3L1	0.55975
RPS11	1.063375
PNMA1	-0.68875
MMP2	0.335833333333333
C10orf90	-1.6775
ZHX3	-0.652833333333333
ERCC5	0.48475
GPR98	-1.026625
RXFP3	-0.2595
APBB2	0.1925
PRO0478	-0.378375
KLHL13	-1.893
PRSSL1	-0.290166666666667
PDCL3	0.628
DECR1	0.529125
SALL1	-1.85966666666667
CADM4	-0.3265
RPS18	0.480428571428571
HNRPD	0.0635833333333333
CFHR5	0.637666666666667
SLC10A7	0.53975
OR2K2	-0.2165
LMAN1	-1.188625
SUHW1	-1.05975
CHD8	-0.4336
SUMO1	1.0855
GP1BA	0.524
DDB1	-0.6925
MYO9B	-0.0156
MMP7	8.75375
CRNKL1	-0.414125
C9orf45	-1.38016666666667
XAB2	-0.0485
RTN1	0.287
KLHL14	-0.763571428571429
TBX10	-1.1475
CENPQ	-1.452
UTY	-0.530307692307692
ZBTB12	0.136
DTNBP1	1.0245
KBTBD8	-0.159166666666667
ZEB1	0.176166666666667
ZG16	1.57325
MIER1	0.0435
ADAM5P	-0.6125
CHD9	0.0795
STK16	0.36075
KIAA1486	0.064
TOB2	0.956416666666667
BANK1	2.73175
OR2V2	0.64125
GRM2	-0.0118333333333333
PROSC	-0.820625
SPIN2B	0.37725
PIR	-1.26344444444444
IPO9	-0.4258
EVC	0.404166666666667
CXCL13	2.42183333333333
KIAA1199	2.324
SORL1	0.89625
NAT10	-0.277
CHD1	0.04625
SYN3	1.412
SLC22A2	0.13
SERPINF1	-0.142
WDR34	-0.7465
OR7A17	0.22525
C9orf11	-0.0565
RNF216L	0.0683
LHB	-0.3805
STK25	-0.351875
TAOK3	1.1585
LOC152573	-0.935
C3orf39	-0.69725
C14orf108	0.044
CDC25B	-1.00590909090909
BMP3	0.2995
TMEM180	0.1955
MAP1LC3C	-0.24725
CRYGC	-0.8055
POU3F1	-1.5536
C20orf32	-1.098
CCDC95	-0.552
HIGD1B	1.9885
USP6NL	0.88425
ABCD4	0.156666666666667
DIMT1L	0.0546666666666667
TEK	0.60325
SLC25A46	0.16325
LARP7	-1.4494
CD160	0.134666666666667
MT1JP	-2.24633333333333
PHF20	-0.033375
CPNE4	-0.8735
GTPBP1	-0.266357142857143
RAB33B	0.959666666666667
ALDOC	-2.1155
ZNF212	0.149
NUDT1	-0.670833333333333
RFPL2	-0.678
ZNF83	-0.946
GDPD5	-0.43925
PDCD4	0.9634
CEP350	-0.32275
OR10A2	0.31475
CST7	-0.01725
CIAO1	-0.1505
SELL	0.427125
OR8J3	-0.2575
LTBP4	-0.301
SIRT6	0.698
CCL19	3.58075
PPIL1	-0.245833333333333
GBP7	0.175333333333333
STK17A	-0.9406
ABR	1.869
OR9G1	-0.703
FOXE1	-0.51625
CNGA3	1.09
GML	-0.067
CD38	-1.5045
ZDHHC6	0.605333333333333
NEFH	-3.521
CTDSP2	0.476916666666667
PGBD5	0.397666666666667
CCNY	0.00121428571428571
RMND5B	-0.4325
ZNF257	-2.90975
FLJ22167	0.14025
EXOSC7	-0.701166666666667
ROR2	-0.116
MAOA	1.1285
TNNT3	-0.340333333333333
GYPC	-2.22125
C7orf33	-0.655
PLIN	-0.122333333333333
LOC90826	-0.9325
RNF4	-0.5839
F8A1	-0.409
PLEKHG4	0.41125
GRB2	-0.06295
HIST1H2AD	-2.355
DUS3L	-0.217333333333333
EIF1	0.105
RP5-1077B9.4	-1.1275
FPGT	0.5105
GDF10	-0.494
COQ9	0.42775
GCC2	0.916642857142857
RARRES3	2.012875
PLXNA1	-0.2617
KIAA0100	-0.2802
PMF1	-0.266
FNDC1	5.03225
HS2ST1	-0.0428333333333334
CRELD2	-0.05025
C8G	-1.32
CD82	0.059
LIM2	-0.5795
UNQ6490	0.6255
MMP16	-0.36725
DRD3	-0.6
C5orf26	0.9185
C11orf73	-0.209375
PTP4A2	-0.1635
OR4M2	-0.364
HPCA	-0.319833333333333
SEC14L1	-0.558166666666667
CHFR	-0.932
EMILIN1	0.691625
NDUFS4	0.308
COL18A1	-0.66075
PDZD3	3.2782
C9orf16	-0.0528333333333333
ERBB2IP	0.472666666666667
EMX2	1.00375
FUS	-0.805
TF	-5.0814
CLCN4	1.115
CXorf56	-0.31525
C11orf72	-0.0995
ELAC2	-1.02066666666667
NPR1	-1.32975
ASS1	0.635166666666667
USP42	-0.222625
POLR2J	-1.061
SEC23IP	0.851333333333333
UQCRC1	-0.25925
LOC729603	0.3235
C1orf71	-0.707125
POLG	-1.2585
ADAM23	-2.70075
TFR2	-1.81275
RICTOR	-0.00180000000000001
MGC39606	0.305
C19orf55	-0.30425
SNAPC1	-1.683
GNA11	1.18775
CCDC52	0.254833333333333
FSIP1	-0.353
UPF3A	-0.235
IGSF11	-1.60983333333333
LAGE3	-0.158
CHST6	-0.3225
UNC13B	0.69725
TTLL4	-0.383
ZNF687	-0.052875
SDC2	-0.6191
COX7A2	0.439
LAMB4	-0.28775
FAM24A	0.072
LRRTM3	-0.4156
GPHB5	-0.59125
OR4C13	0.695
EIF3EIP	0.635571428571429
HABP4	-0.683
TMEM125	2.944
CNTN2	-0.173875
ASNSD1	0.21425
FUT4	2.790625
ACF	0.46725
LOC158381	-0.0135
CDH8	-0.242333333333333
AGPS	-0.262333333333333
C4orf18	1.5335
PECI	-0.0421666666666667
UNG	0.292125
GSTP1	0.927
DCUN1D5	-0.767333333333333
DKFZP564J0863	-1.30275
SLC9A3R1	0.203625
BCDO2	0.562625
CHMP7	-0.251125
REM2	-0.1375
DNHD1	-0.3735
FKBP4	-1.54625
ZNF350	0.6185
MGC11102	-0.1605
BST1	-0.00800000000000001
KISS1R	-0.3995
NCR2	-0.065
DEFB125	0.3115
UBE2W	0.67425
KRT15	0.204875
C10orf99	2.817
SCN11A	-0.403
GFI1	-0.7745
RDHE2	1.73216666666667
FHL1	-1.01516666666667
OSGEP	-1.11516666666667
GATA1	-3.9395
SMC6	-1.02
TTTY14	-0.368
LPIN3	0.15025
RPL4	-0.7038
RBPMS	-0.0806
PRPF3	-0.3965
EMR1	-2.113
SPATA19	-0.21675
XCR1	-0.4075
IRX3	-2.6376
RBM6	-0.2525
KLF4	-1.0297
UNC5CL	3.83475
SEBOX	0.1615
BTK	-1.01625
KRCC1	1.28225
C6orf27	0.226
SYTL5	-0.4615
PRND	0.519
LOC653319	-0.257
PIGL	-0.863875
HUS1	0.244666666666667
SFRS6	0.677
C17orf77	1.4505
UIMC1	0.431666666666667
FXYD2	-0.5782
LOC283152	0.91175
ZNF667	-1.1525
ZCCHC12	-0.39475
TFEC	1.1212
ATP7B	0.792
POLD2	-1.81366666666667
RG9MTD1	0.6765
ACOT2	-1.0745
HIST1H4I	-0.71275
PPARGC1A	-0.0435
ETFA	-0.4508
POLRMT	0.39
ZNF146	0.232625
MIA2	0.1735
KLHL6	-0.7865
HOXB5	1.692375
NENF	0.774833333333333
CUGBP1	0.002
PRSS22	2.42133333333333
CASC4	1.124
CUL4B	0.0499
CENPJ	-0.3298
PITX1	0.176333333333333
FLJ31033	0.772
CELSR3	-0.0406666666666667
ZNF568	-0.72225
ITSN1	-0.961583333333333
EHBP1L1	-0.1695
C19orf2	0.312
DCTN1	-1.251
LIN28B	-2.91183333333333
TNKS2	0.50575
C1QBP	0.534
CADPS2	1.51125
SRMS	-0.0375
GJA9	0.171333333333333
MGC24975	-0.0225
TRIM45	-2.59733333333333
TSP50	-0.345
TCP1	-0.45425
TMED7	0.5573
CMA1	-0.1205
CENPL	-0.9825
PTCRA	-0.3135
FST	-6.1855
VWCE	-4.35675
PAWR	0.4425
ABCC12	0.219
LDLR	-0.8771
ASTN2	0.2281
LOC441212	0.2885
GPATCH8	0.30675
TANC2	-1.1895
KIF4A	-1.76425
C18orf18	-0.22075
PGM1	-1.66775
KIAA0258	0.71425
CPD	0.73825
SNCAIP	-0.983333333333333
DCT	-5.07666666666667
HLA-DOA	1.42536363636364
OR11L1	-0.0455
UPK1B	0.4094
DNAJB4	-1.221
UGT1A8	1.0795
HIST1H4L	-0.5045
PECR	-1.2435
HSPA2	0.64775
WFIKKN1	-2.2295
SERP1	0.50575
SYDE2	-0.236
TACR2	-0.328
NUP85	-0.1575
CD177	0.3385
LGR5	1.699
PIGG	-0.5635
PTHR1	-1.96516666666667
RAB5A	-0.4416
FLJ13224	-0.183
USP9Y	-0.529166666666667
C7orf53	1.094
LRP1B	-0.441
XAF1	2.3387
ABCG8	0.352
ANKDD1A	0.121
DAND5	-1.563
SPAG6	0.191166666666667
LINCR	0.31775
ZDHHC22	-1.061375
CCDC60	0.336
THOC7	-1.52683333333333
TCTA	-0.2308
OR8K3	-0.01425
NY-REN-7	0.442666666666667
B2M	1.268
C6orf141	-1.449375
LPPR4	2.24975
SQLE	-0.442
SEPHS1	-0.239
BTBD14B	0.168785714285714
PLRG1	-0.80525
SPG7	-0.0146875
ZNF614	-1.2175
PARD6G	0.32
INPP5B	-0.9844
GRPEL2	0.448
PPID	-0.3087
TRIM56	0.038
UBE2J1	0.0395
IL20RA	5.27075
LOC387856	0.12525
C1orf107	0.64575
UTS2R	-0.04275
C19orf22	0.29675
SAFB2	-0.299625
KIAA0652	-0.375875
KLRG1	-0.759833333333333
MS4A8B	3.58616666666667
FRAG1	0.26575
KIAA1546	0.09325
E2F4	-0.4762
CLEC4M	0.132666666666667
BTBD14A	0.146
KIAA0999	1.0779
GYPA	-1.84033333333333
TAC1	3.6291
TRAIP	-1.79216666666667
KIAA0232	0.6407
ERCC8	-0.723428571428571
GPX4	-0.6555
KIAA0368	0.798
GPR157	-0.0846666666666667
CTAGE4	1.287
C9orf30	-0.716666666666667
OR52A1	0.5375
HSP90B3P	-0.105
ALG9	-0.0779
BTBD10	0.3455
SDK2	-0.418
BAIAP3	-2.034
RABGGTB	-0.4205
ANKRD40	-0.515
KRT74	0.283
CALCOCO2	0.875285714285714
SNCA	-4.59175
TMSL8	-2.695875
C2orf53	0.895
ESRRB	-0.64025
ARHGAP26	2.91975
TDRD9	-2.7165
HRAS	-0.7555
KLRC4	-1.459
JAGN1	-0.698
BSDC1	0.52725
RNF43	1.93
NDUFAF1	0.904
PHF12	0.29525
OR1L3	-0.07175
FOLR2	0.592083333333333
LYZL6	-0.361666666666667
tcag7.1260	-0.8915
WSB1	-0.710333333333333
PROS1	0.5654
OSTN	-0.234
