Hybridization REF	TCGA-AA-A02F-01A-01R-A00A-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.22425
CREB3L1	0.68325
RPS11	0.871875
PNMA1	-1.82975
MMP2	-0.712833333333333
C10orf90	-1.202
ZHX3	-0.2045
ERCC5	1.279
GPR98	-1.17242857142857
RXFP3	0.316
APBB2	0.2495
PRO0478	-0.3935
KLHL13	-3.53175
PRSSL1	-0.920666666666667
PDCL3	0.0376666666666667
DECR1	-0.183375
SALL1	-2.12816666666667
CADM4	-0.827166666666667
RPS18	0.588071428571429
HNRPD	-0.713083333333333
CFHR5	0.7212
SLC10A7	0.249
OR2K2	0.117
LMAN1	-1.11375
SUHW1	-2.11925
CHD8	0.1358
SUMO1	1.3633
GP1BA	0.074
DDB1	-1.25583333333333
MYO9B	-0.6726
MMP7	7.06775
CRNKL1	0.64375
C9orf45	-1.28633333333333
XAB2	-0.324375
RTN1	-0.170125
KLHL14	-0.878
TBX10	0.0105
CENPQ	-0.785
UTY	-0.2655
ZBTB12	-0.2955
DTNBP1	1.047875
KBTBD8	0.809666666666667
ZEB1	-0.668333333333333
ZG16	-0.251
MIER1	0.4028
ADAM5P	0.077
CHD9	0.463
STK16	-0.864
KIAA1486	0.266
TOB2	0.800416666666667
BANK1	0.461
OR2V2	-0.112
GRM2	-0.258833333333333
PROSC	0.8345
SPIN2B	0.45075
PIR	-1.589
IPO9	0.0479
EVC	-0.797166666666667
CXCL13	0.154666666666667
KIAA1199	2.3068
SORL1	0.77675
NAT10	0.8645
CHD1	0.256
SYN3	0.099
SLC22A2	-0.09025
SERPINF1	-1.95916666666667
WDR34	-0.35825
OR7A17	-0.269
C9orf11	0.3885
RNF216L	-0.3647
LHB	-0.4385
STK25	-1.10175
TAOK3	0.970875
LOC152573	-0.95625
C3orf39	-0.38825
C14orf108	0.9288
CDC25B	-0.291272727272727
BMP3	0.024
TMEM180	-0.0175
MAP1LC3C	-0.15
CRYGC	-0.957
POU3F1	-1.2443
C20orf32	-0.878
CCDC95	-0.046
HIGD1B	2.1615
USP6NL	2.096625
ABCD4	0.701166666666667
DIMT1L	-0.0224166666666667
TEK	0.693625
SLC25A46	0.1605
LARP7	-2.1479
CD160	-0.448
MT1JP	-2.04866666666667
PHF20	0.221125
CPNE4	-2.12066666666667
GTPBP1	-0.803857142857143
RAB33B	0.7274
ALDOC	-2.295375
ZNF212	0.19275
NUDT1	-0.540166666666667
RFPL2	-1.5045
ZNF83	-0.493
GDPD5	-0.89775
PDCD4	1.3576
CEP350	-0.28425
OR10A2	0.33075
CST7	-0.628666666666667
CIAO1	-0.75825
SELL	0.211125
OR8J3	0.442
LTBP4	0.287833333333333
SIRT6	0.826
CCL19	0.169
PPIL1	-0.548666666666667
GBP7	-0.0658333333333333
STK17A	-1.1359
ABR	1.12875
OR9G1	-1.057
FOXE1	-0.174125
CNGA3	-0.5155
GML	0.016
CD38	-3.56125
ZDHHC6	0.915666666666667
NEFH	-4.41225
CTDSP2	1.03308333333333
PGBD5	-0.549166666666667
CCNY	0.324785714285714
RMND5B	-0.0745
ZNF257	-1.821
FLJ22167	0.1045
EXOSC7	-0.251166666666667
ROR2	1.233375
MAOA	2.43525
TNNT3	-0.473333333333333
GYPC	-2.70275
C7orf33	0.105
PLIN	0.443666666666667
LOC90826	-0.3675
RNF4	-0.8419
F8A1	0.357
PLEKHG4	-0.032
GRB2	-0.97345
HIST1H2AD	-0.57225
DUS3L	-0.7875
EIF1	-1.126
RP5-1077B9.4	-1.42
FPGT	0.71275
GDF10	0.293666666666667
COQ9	0.30825
GCC2	0.366857142857143
RARRES3	-0.546875
PLXNA1	-0.1401
KIAA0100	-1.4037
PMF1	-0.10675
FNDC1	3.44525
HS2ST1	-0.1125
CRELD2	-0.86775
C8G	-0.651
CD82	-0.552
LIM2	-0.5535
UNQ6490	-0.8005
MMP16	-0.274
DRD3	-0.5145
C5orf26	0.07175
C11orf73	-0.565875
PTP4A2	-0.028375
OR4M2	0.04
HPCA	-1.189
SEC14L1	-0.859166666666667
CHFR	-0.562125
EMILIN1	-0.053875
NDUFS4	-0.29825
COL18A1	-1.43175
PDZD3	1.013
C9orf16	-0.230166666666667
ERBB2IP	0.221666666666667
EMX2	0.9385
FUS	-0.2865
TF	-5.64822222222222
CLCN4	-0.3214
CXorf56	-0.3135
C11orf72	0.132
ELAC2	-1.34433333333333
NPR1	-1.47975
ASS1	-1.22216666666667
USP42	-0.428875
POLR2J	-0.911
SEC23IP	0.960166666666667
UQCRC1	0.603
LOC729603	0.36
C1orf71	-0.390625
POLG	-0.924
ADAM23	-4.569
TFR2	-1.36575
RICTOR	-0.0568
MGC39606	-0.05775
C19orf55	-0.244625
SNAPC1	-1.0785
GNA11	-0.024375
CCDC52	0.918833333333333
FSIP1	-0.4665
UPF3A	-0.00975000000000001
IGSF11	-1.6725
LAGE3	-0.12575
CHST6	-2.538
UNC13B	0.474625
TTLL4	-1.071125
ZNF687	0.00462499999999996
SDC2	-1.5303
COX7A2	0.97775
LAMB4	0.109
FAM24A	0.896
LRRTM3	-0.1826
GPHB5	-0.1925
OR4C13	-0.134
EIF3EIP	-0.0370714285714286
HABP4	-1.3425
TMEM125	4.316
CNTN2	-0.659625
ASNSD1	-0.1955
FUT4	1.190875
ACF	-0.477
LOC158381	0.1275
CDH8	0.1605
AGPS	0.540166666666667
C4orf18	0.480875
PECI	-2.41791666666667
UNG	0.574375
GSTP1	0.3075
DCUN1D5	-1.3055
DKFZP564J0863	-0.8195
SLC9A3R1	-1.364
BCDO2	-0.886625
CHMP7	-0.2495
REM2	-0.315
DNHD1	-0.91675
FKBP4	-0.47
ZNF350	1.226
MGC11102	-0.278
BST1	0.04675
KISS1R	-0.2625
NCR2	-0.0945
DEFB125	1.39
UBE2W	0.466375
KRT15	-1.641125
C10orf99	3.217
SCN11A	0.094625
GFI1	-0.8115
RDHE2	1.771
FHL1	-1.7575
OSGEP	0.549166666666667
GATA1	-3.92916666666667
SMC6	-0.34825
TTTY14	-0.704
LPIN3	-0.08725
RPL4	-0.1724
RBPMS	0.4681
PRPF3	-0.285166666666667
EMR1	-2.2595
SPATA19	-0.11325
XCR1	-0.0325
IRX3	-2.7909
RBM6	-0.30775
KLF4	-0.4245
UNC5CL	2.6115
SEBOX	-0.695
BTK	-2.482
KRCC1	1.594
C6orf27	-0.078
SYTL5	-0.491
PRND	0.6725
LOC653319	-0.411
PIGL	-1.617125
HUS1	0.4025
SFRS6	0.942
C17orf77	0.3305
UIMC1	0.326833333333333
FXYD2	-2.2125
LOC283152	-0.5815
ZNF667	-1.772
ZCCHC12	-1.00425
TFEC	0.0219
ATP7B	0.8545
POLD2	-1.2755
RG9MTD1	0.6995
ACOT2	0.190666666666667
HIST1H4I	-0.63675
PPARGC1A	-0.1371
ETFA	0.0924
POLRMT	0.15725
ZNF146	0.96625
MIA2	-0.311
KLHL6	-2.42233333333333
HOXB5	2.17
NENF	0.304833333333333
CUGBP1	0.52625
PRSS22	1.553
CASC4	0.8388
CUL4B	0.0977
CENPJ	0.5177
PITX1	0.448833333333333
FLJ31033	0.0263333333333333
CELSR3	-0.798833333333333
ZNF568	-0.7075
ITSN1	-1.07091666666667
EHBP1L1	-1.23266666666667
C19orf2	1.1125
DCTN1	-0.993
LIN28B	-2.9326
TNKS2	0.1055
C1QBP	-0.91
CADPS2	1.399
SRMS	0.1725
GJA9	0.176166666666667
MGC24975	-0.891166666666667
TRIM45	-1.18333333333333
TSP50	0.3455
TCP1	-0.53375
TMED7	0.2993
CMA1	-0.3235
CENPL	0.077
PTCRA	-0.4125
FST	-6.2945
VWCE	-4.348
PAWR	1.33125
ABCC12	0.0955
LDLR	-1.1931
ASTN2	0.1145
LOC441212	0.268375
GPATCH8	-0.411
TANC2	-1.745
KIF4A	-0.59025
C18orf18	0.162
PGM1	-1.102
KIAA0258	1.01675
CPD	-0.05625
SNCAIP	1.48975
DCT	-5.53033333333333
HLA-DOA	0.272863636363636
OR11L1	0.0735
UPK1B	0.0328333333333333
DNAJB4	-0.971
UGT1A8	0.4835
HIST1H4L	0.138
PECR	-1.25166666666667
HSPA2	1.4505
WFIKKN1	-1.4375
SERP1	0.084375
SYDE2	0.9065
TACR2	-0.072
NUP85	-0.649
CD177	-0.2545
LGR5	3.1985
PIGG	-1.02033333333333
PTHR1	-2.19166666666667
