Hybridization REF	TCGA-AV-A03E-20A-01R-A00A-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.511083333333333
CREB3L1	1.56475
RPS11	-0.747
PNMA1	1.54375
MMP2	2.95116666666667
C10orf90	3.58725
ZHX3	0.918
ERCC5	0.997
GPR98	-1.212125
RXFP3	0.485
APBB2	0.94775
PRO0478	-1.6445
KLHL13	0.67425
PRSSL1	-0.961166666666667
PDCL3	-0.471166666666667
DECR1	-0.010375
SALL1	2.51466666666667
CADM4	0.310333333333333
RPS18	-0.843
HNRPD	-0.139416666666667
CFHR5	0.2078
SLC10A7	0.552
OR2K2	0.1455
LMAN1	1.1905
SUHW1	-2.01925
CHD8	-1.4957
SUMO1	0.5081
GP1BA	-0.2977
DDB1	-0.505333333333333
MYO9B	0.2379
MMP7	4.30225
CRNKL1	-0.485875
C9orf45	-1.50183333333333
XAB2	0.34625
RTN1	2.33225
KLHL14	-0.763875
TBX10	-1.314
CENPQ	0.463
UTY	-0.157785714285714
ZBTB12	-0.029
DTNBP1	-1.68625
KBTBD8	-0.104
ZEB1	0.332166666666667
ZG16	-1.236
MIER1	0.4687
ADAM5P	0.056
CHD9	0.2711875
STK16	0.59625
KIAA1486	0.247
TOB2	-0.00774999999999998
BANK1	2.268
OR2V2	0.144
GRM2	-0.206333333333333
PROSC	-0.437375
SPIN2B	0.1505
PIR	-0.0931111111111111
IPO9	-0.4669
EVC	2.49383333333333
CXCL13	0.041
KIAA1199	0.0806
SORL1	-7.0275
NAT10	-0.90325
CHD1	-0.4775
SYN3	0.58725
SLC22A2	-0.73075
SERPINF1	-5.53733333333333
WDR34	-1.05325
OR7A17	0.5295
C9orf11	0.899
RNF216L	0.2614
LHB	0.361
STK25	-0.63325
TAOK3	1.096125
LOC152573	-1.8965
C3orf39	0.736125
C14orf108	0.6272
CDC25B	-1.51618181818182
BMP3	1.5115
TMEM180	0.254
MAP1LC3C	0.59275
CRYGC	-0.2705
POU3F1	-1.7513
C20orf32	-0.4785
CCDC95	0.0125
HIGD1B	0.04125
