Hybridization REF	TCGA-AA-A00O-01A-02R-A00A-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.663916666666667
CREB3L1	-0.76075
RPS11	1.2355
PNMA1	-1.01175
MMP2	0.107166666666667
C10orf90	-1.36875
ZHX3	0.836833333333333
ERCC5	0.53225
GPR98	-1.39175
RXFP3	-0.696
APBB2	0.80575
PRO0478	0.109125
KLHL13	-2.93725
PRSSL1	-0.999666666666667
PDCL3	0.265666666666667
DECR1	0.077625
SALL1	-1.178
CADM4	0.219666666666667
RPS18	0.199571428571429
HNRPD	-0.555833333333333
CFHR5	0.455333333333333
SLC10A7	0.565125
OR2K2	-0.391
LMAN1	-0.947375
SUHW1	-2.376
CHD8	-0.7217
SUMO1	0.7828
GP1BA	0.3065
DDB1	-0.400833333333333
MYO9B	-0.0551
MMP7	6.861
CRNKL1	0.053875
C9orf45	-0.8225
XAB2	-0.52925
RTN1	0.544875
KLHL14	-1.312125
TBX10	0.2435
CENPQ	-2.13925
UTY	-0.198857142857143
ZBTB12	0.3405
DTNBP1	0.191375
KBTBD8	-0.783666666666667
ZEB1	1.26566666666667
ZG16	-0.23425
MIER1	0.6922
ADAM5P	1.578
CHD9	0.4084375
STK16	0.13525
KIAA1486	-0.439
TOB2	1.356
BANK1	3.187
OR2V2	0.73725
GRM2	-0.358666666666667
PROSC	0.770375
SPIN2B	0.066
PIR	-2.07344444444444
IPO9	-0.2269
EVC	-0.227333333333333
CXCL13	0.486666666666667
KIAA1199	1.6584
SORL1	3.19175
NAT10	-0.522
CHD1	-0.8905
SYN3	0.69475
SLC22A2	-0.482
SERPINF1	-0.574833333333333
WDR34	-1.4455
OR7A17	-0.11
C9orf11	-0.626
RNF216L	0.0753
LHB	-1.0275
STK25	0.383375
TAOK3	1.3815
LOC152573	0.52775
C3orf39	-0.142
C14orf108	0.1073
CDC25B	2.68672727272727
BMP3	-0.5335
TMEM180	-0.3385
MAP1LC3C	-0.49125
CRYGC	-0.2025
POU3F1	-2.0646
C20orf32	-0.9645
CCDC95	-0.7415
HIGD1B	3.7665
USP6NL	0.691625
ABCD4	-0.302666666666667
DIMT1L	-1.3345
TEK	1.8455
SLC25A46	-0.89325
LARP7	-1.7588
CD160	-0.0556666666666667
MT1JP	0.966
PHF20	0.8044375
CPNE4	-0.78325
GTPBP1	-0.617785714285714
RAB33B	0.7205
ALDOC	-1.488
ZNF212	-0.12075
NUDT1	-1.82016666666667
RFPL2	-0.0395
ZNF83	0.189833333333333
GDPD5	2.221
PDCD4	1.2616
CEP350	0.1325
OR10A2	-0.25575
CST7	3.59975
CIAO1	-0.8915
SELL	0.0265
OR8J3	-0.407
LTBP4	-0.495833333333333
SIRT6	-0.17775
CCL19	1.93525
PPIL1	-1.56316666666667
GBP7	0.0115
STK17A	-1.8023
ABR	0.99325
OR9G1	0.2945
FOXE1	-0.478375
CNGA3	1.6435
GML	-0.576
CD38	-2.80175
ZDHHC6	0.623333333333333
NEFH	-3.6525
CTDSP2	1.35433333333333
PGBD5	-1.3095
CCNY	0.494428571428571
RMND5B	-0.95825
ZNF257	-2.049
FLJ22167	0.123
EXOSC7	-0.552333333333333
ROR2	-0.0685
MAOA	2.448875
TNNT3	-0.478
GYPC	-1.8825
C7orf33	0.923
PLIN	0.422
LOC90826	0.09975
RNF4	0.1139
F8A1	0.232
PLEKHG4	0.2775
GRB2	-0.1032
HIST1H2AD	-1.1075
DUS3L	-1.504
EIF1	0.39
RP5-1077B9.4	-1.07316666666667
FPGT	1.012
GDF10	4.967
COQ9	0.5135
GCC2	1.13792857142857
RARRES3	1.1035
PLXNA1	-0.0792
KIAA0100	-0.1095
PMF1	-0.111
FNDC1	4.53975
HS2ST1	0.368166666666667
CRELD2	0.808
C8G	-0.613
CD82	0.9735
LIM2	-0.8895
UNQ6490	0.281
MMP16	0.0925
DRD3	-0.5955
C5orf26	-0.446
C11orf73	-0.399
PTP4A2	0.601875
OR4M2	0.4845
HPCA	-0.447666666666667
SEC14L1	-0.271666666666667
CHFR	0.078625
EMILIN1	0.2215
NDUFS4	-0.9705
COL18A1	0.439
PDZD3	0.6132
C9orf16	0.411166666666667
ERBB2IP	0.202833333333333
EMX2	0.67875
FUS	-0.93875
TF	-5.3917
CLCN4	3.02666666666667
CXorf56	-0.32125
C11orf72	0.08175
ELAC2	-1.786
NPR1	-0.47425
ASS1	1.83666666666667
USP42	-0.157125
POLR2J	-1.187
SEC23IP	0.542833333333333
UQCRC1	0.28975
LOC729603	0.75925
C1orf71	-0.010875
POLG	-2.035
ADAM23	-4.22625
TFR2	-2.41975
RICTOR	0.0952
MGC39606	-0.271
C19orf55	-0.736625
SNAPC1	-2.07766666666667
GNA11	0.5645
CCDC52	-1.18866666666667
FSIP1	-0.623
UPF3A	0.292625
IGSF11	-1.35433333333333
LAGE3	-0.34525
CHST6	-3.18
UNC13B	0.42225
TTLL4	0.663375
ZNF687	0.202625
SDC2	-0.7833
COX7A2	0.42275
LAMB4	-0.841
FAM24A	1.752
LRRTM3	-0.0902
GPHB5	-1.06075
OR4C13	-0.22
EIF3EIP	0.0425
HABP4	0.1615
TMEM125	3.70225
CNTN2	-0.1845
ASNSD1	-0.10075
FUT4	0.9775
ACF	0.039
LOC158381	0.534
CDH8	-0.16275
AGPS	-0.203166666666667
C4orf18	1.19525
PECI	-1.854
UNG	-0.1935
GSTP1	0.147375
DCUN1D5	-1.45
DKFZP564J0863	-1.64725
SLC9A3R1	-0.3395
BCDO2	0.44775
CHMP7	0.2385
REM2	-0.2285
DNHD1	-0.457875
FKBP4	-1.170625
ZNF350	1.09525
MGC11102	-0.266875
BST1	-0.0875
KISS1R	-1.274
NCR2	-0.481
DEFB125	0.2905
UBE2W	0.634875
KRT15	-1.27475
C10orf99	3.3105
SCN11A	-0.372625
GFI1	-1.86425
RDHE2	0.503333333333333
FHL1	-0.2665
OSGEP	-1.0665
GATA1	-4.544
SMC6	-0.42925
TTTY14	-0.6865
LPIN3	0.227
RPL4	-0.7672
RBPMS	-0.0653
PRPF3	-0.377
EMR1	-2.1975
SPATA19	-0.09
XCR1	-0.4805
IRX3	-2.806
RBM6	0.20825
KLF4	0.3172
UNC5CL	1.727
SEBOX	-0.322
BTK	-1.30875
KRCC1	1.27025
C6orf27	-0.4945
SYTL5	-1.003
PRND	0.658125
LOC653319	-0.4585
PIGL	-1.24925
HUS1	-0.378166666666667
SFRS6	-1.49525
C17orf77	0.5135
UIMC1	-0.514
FXYD2	-2.4751
LOC283152	0.5895
ZNF667	-0.98025
ZCCHC12	0.01275
TFEC	0.7739
ATP7B	0.881833333333333
POLD2	-2.0525
RG9MTD1	-0.988
ACOT2	-0.436333333333333
HIST1H4I	-0.66275
PPARGC1A	2.425
ETFA	-0.2426
POLRMT	-0.65975
ZNF146	0.428
MIA2	0.123
KLHL6	-1.11383333333333
HOXB5	0.025875
NENF	0.449166666666667
CUGBP1	-0.70775
PRSS22	2.51433333333333
CASC4	1.5256
CUL4B	0.1046
CENPJ	-1.345
PITX1	-0.8535
FLJ31033	0.766
CELSR3	0.824
ZNF568	0.70775
ITSN1	-0.225083333333333
EHBP1L1	0.136
C19orf2	1.04875
DCTN1	-0.95075
LIN28B	-2.40966666666667
TNKS2	0.828
C1QBP	-1.1505
CADPS2	1.86925
SRMS	-0.08675
GJA9	0.1205
MGC24975	-2.25716666666667
TRIM45	-1.80683333333333
TSP50	0.43825
TCP1	-1.1365
TMED7	-0.1225
CMA1	0.317
CENPL	-1.22266666666667
PTCRA	-0.444
FST	-5.70375
VWCE	-4.689
PAWR	0.40575
ABCC12	-0.811666666666667
LDLR	-0.2883
ASTN2	-0.3017
LOC441212	0.280625
GPATCH8	0.14325
TANC2	-1.06491666666667
KIF4A	-2.6795
C18orf18	-0.58625
PGM1	-0.11275
KIAA0258	1.04725
CPD	1.026375
SNCAIP	-0.53725
DCT	-5.1254
HLA-DOA	0.991272727272727
OR11L1	-0.1745
UPK1B	0.1214
DNAJB4	-0.866375
UGT1A8	1.16025
HIST1H4L	-1.194
PECR	-0.501
HSPA2	0.6845
WFIKKN1	-3.238
SERP1	0.576625
SYDE2	0.78175
TACR2	-0.019
NUP85	-0.54525
CD177	-0.226
LGR5	2.46033333333333
PIGG	1.31316666666667
PTHR1	-1.39166666666667
RAB5A	-0.6328
FLJ13224	-0.2675
USP9Y	-0.466666666666667
C7orf53	0.7165
LRP1B	-0.029
XAF1	2.7631
ABCG8	-0.0915
ANKDD1A	0.563
DAND5	-2.2895
SPAG6	-0.2714
LINCR	3.0655
ZDHHC22	-1.259
CCDC60	0.7045
THOC7	-0.823
TCTA	0.3857
OR8K3	-0.2305
NY-REN-7	-0.4755
B2M	1.41266666666667
C6orf141	-3.5925
LPPR4	2.28975
SQLE	-0.548125
SEPHS1	-0.3365
BTBD14B	-0.425142857142857
PLRG1	-0.40275
SPG7	0.3086875
ZNF614	-0.283666666666667
PARD6G	-0.307666666666667
INPP5B	-0.6964
GRPEL2	-0.264125
PPID	-0.0551
TRIM56	0.68
UBE2J1	0.306375
IL20RA	4.85125
LOC387856	-0.118
C1orf107	0.919333333333333
UTS2R	-0.7545
C19orf22	-0.3445
SAFB2	-0.790625
KIAA0652	0.1
KLRG1	-0.434166666666667
MS4A8B	4.47216666666667
FRAG1	0.84
KIAA1546	-0.20925
E2F4	-0.4486
CLEC4M	-0.0664
BTBD14A	-0.837
KIAA0999	1.0499
GYPA	-2.38675
TAC1	1.4578
TRAIP	-1.74566666666667
KIAA0232	1.1245
ERCC8	-1.497
GPX4	-0.930375
KIAA0368	0.803375
GPR157	0.845166666666667
CTAGE4	1.363
C9orf30	-1.15383333333333
OR52A1	0.2405
HSP90B3P	0.222
ALG9	-0.8373
BTBD10	0.661
SDK2	-0.16825
BAIAP3	0.77875
RABGGTB	-0.276375
ANKRD40	-0.219833333333333
KRT74	0.0635
CALCOCO2	0.669642857142857
SNCA	-2.73375
TMSL8	-3.745375
C2orf53	0.00950000000000001
ESRRB	-0.78125
ARHGAP26	0.883375
TDRD9	-2.05975
HRAS	-0.279666666666667
KLRC4	-1.8225
JAGN1	0.262833333333333
BSDC1	0.85
RNF43	2.1239
NDUFAF1	0.366
PHF12	0.3655
OR1L3	-0.2545
FOLR2	0.645583333333333
LYZL6	-0.470333333333333
tcag7.1260	-1.9465
WSB1	-1.11483333333333
PROS1	0.0905
OSTN	-0.774
PSMB8	1.29525
SOCS4	-0.039375
DDIT4L	1.20225
MAS1	-0.292
MGC34796	0.5655
CSHL1	-0.0738333333333333
TBCCD1	-0.117
ZBTB7C	-0.339
AP2S1	-0.062125
P15RS	-0.9084
VAT1	-1.0092
SHANK3	1.631
TUFM	-0.296
THEG	-1.04825
