Hybridization REF	TCGA-AA-A02W-01A-01R-A00A-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.0605
CREB3L1	1.13425
RPS11	0.36275
PNMA1	-1.29425
MMP2	-0.865833333333333
C10orf90	-2.22375
ZHX3	-0.9365
ERCC5	1.0935
GPR98	-2.201375
RXFP3	0.503
APBB2	-0.30175
PRO0478	-0.024625
KLHL13	-4.0365
PRSSL1	-0.635333333333333
PDCL3	0.528666666666667
DECR1	0.420625
SALL1	-2.82016666666667
CADM4	-0.253833333333333
RPS18	1.00285714285714
HNRPD	-0.6655
CFHR5	-0.0258333333333333
SLC10A7	-0.5915
OR2K2	0.14
LMAN1	-1.506125
SUHW1	-1.54775
CHD8	0.0037
SUMO1	0.213
GP1BA	0.2085
DDB1	-0.052
MYO9B	-0.3489
MMP7	7.683
CRNKL1	1.122
C9orf45	-1.55483333333333
XAB2	-0.0875
RTN1	0.151375
KLHL14	-1.0485
TBX10	1.221
CENPQ	-0.94275
UTY	-0.811692307692308
ZBTB12	0.3805
DTNBP1	0.319875
KBTBD8	-0.153166666666667
ZEB1	-0.495
ZG16	0.02275
MIER1	-0.3754
ADAM5P	0.6705
CHD9	-0.106125
STK16	0.39225
KIAA1486	-0.152
TOB2	0.59025
BANK1	2.32925
OR2V2	0.21
GRM2	0.028
PROSC	-0.356
SPIN2B	0.725
PIR	-1.58555555555556
IPO9	-0.5247
EVC	-0.920166666666667
CXCL13	1.95966666666667
KIAA1199	1.4136
SORL1	2.58425
NAT10	0.4495
CHD1	-0.58175
SYN3	0.263
SLC22A2	-0.43875
SERPINF1	-1.4795
WDR34	-0.8985
OR7A17	0.2625
C9orf11	-0.0945
RNF216L	-0.4862
LHB	0.1725
STK25	0.41675
TAOK3	1.060375
LOC152573	-1.65825
C3orf39	0.227875
C14orf108	0.3498
CDC25B	0.100636363636364
BMP3	0.2235
TMEM180	0.353
MAP1LC3C	-0.3765
CRYGC	-0.7415
POU3F1	-1.1303
C20orf32	-0.8015
CCDC95	-0.082
HIGD1B	1.615
USP6NL	0.5555
ABCD4	0.327666666666667
DIMT1L	-0.705
TEK	-0.2815
SLC25A46	-1.21625
LARP7	-1.9958
CD160	0.012
MT1JP	-1.93683333333333
PHF20	-0.135625
CPNE4	-1.52025
GTPBP1	-0.604214285714286
RAB33B	0.33
ALDOC	-0.90525
ZNF212	0.033
NUDT1	-0.802
RFPL2	-0.596
ZNF83	-0.376666666666667
GDPD5	1.872875
PDCD4	0.61
CEP350	-0.56625
OR10A2	0.13875
CST7	0.12125
CIAO1	-0.426
SELL	0.42225
OR8J3	0.2605
LTBP4	0.21
SIRT6	0.19575
CCL19	2.74225
PPIL1	-0.487
GBP7	-0.123333333333333
STK17A	-1.7162
ABR	0.92675
OR9G1	-0.678
FOXE1	-0.369875
CNGA3	-0.254
GML	0.347
CD38	-2.557
ZDHHC6	0.321333333333333
NEFH	-4.108
CTDSP2	1.33116666666667
PGBD5	-0.972333333333333
CCNY	0.1105
RMND5B	-0.478083333333333
ZNF257	-3.00075
FLJ22167	0.202375
EXOSC7	0.046
ROR2	-0.60925
MAOA	2.88875
TNNT3	0.309166666666667
GYPC	-2.32225
C7orf33	0.271
PLIN	0.211833333333333
LOC90826	-0.40375
RNF4	-0.6331
F8A1	0.390833333333333
PLEKHG4	-0.27
GRB2	-0.24195
HIST1H2AD	-1.93175
DUS3L	-0.1275
EIF1	-0.0721666666666667
RP5-1077B9.4	-0.791833333333333
FPGT	0.47425
GDF10	-1.50483333333333
COQ9	0.0795
GCC2	0.642142857142857
RARRES3	1.375875
PLXNA1	0.2152
KIAA0100	-0.2254
PMF1	-0.00375
FNDC1	4.08825
HS2ST1	-0.146666666666667
CRELD2	-0.12375
C8G	-1.977
CD82	-0.26675
LIM2	-0.9405
UNQ6490	-0.4375
MMP16	-0.3745
DRD3	0.226
C5orf26	-0.642
C11orf73	-0.263875
PTP4A2	-0.073875
OR4M2	0.3255
HPCA	-0.494
SEC14L1	-1.379
CHFR	-1.2975
EMILIN1	0.427875
NDUFS4	-1.156
COL18A1	-1.604875
PDZD3	3.3069
C9orf16	0.351166666666667
ERBB2IP	-1.52766666666667
EMX2	0.75425
FUS	-0.411
TF	-4.4986
CLCN4	0.092
CXorf56	0.4495
C11orf72	0.2145
ELAC2	-1.09566666666667
NPR1	-1.8845
ASS1	-0.233833333333333
USP42	0.063875
POLR2J	0.003
SEC23IP	0.520833333333333
UQCRC1	0.125
LOC729603	0.59525
C1orf71	-0.837875
POLG	-1.1295
ADAM23	-4.37125
TFR2	-1.134
RICTOR	0.3199
MGC39606	0.8665
C19orf55	-0.167125
SNAPC1	-1.26866666666667
GNA11	0.512875
CCDC52	0.565
FSIP1	2.541
UPF3A	0.377
IGSF11	-2.00183333333333
LAGE3	-0.1445
CHST6	-3.737
UNC13B	1.369125
TTLL4	-0.264375
ZNF687	-0.068375
SDC2	-2.0954
COX7A2	-0.05975
LAMB4	-0.4125
FAM24A	0.1685
LRRTM3	-1.52583333333333
GPHB5	0.159
OR4C13	0.063
EIF3EIP	0.0857142857142858
HABP4	-0.4525
TMEM125	4.09975
CNTN2	0.118625
ASNSD1	-0.14675
FUT4	1.51
ACF	1.0115
LOC158381	-0.483
CDH8	-0.0165
AGPS	-0.100666666666667
C4orf18	0.068125
PECI	-1.61708333333333
UNG	0.167375
GSTP1	0.9695
DCUN1D5	-0.800833333333333
DKFZP564J0863	-0.012
SLC9A3R1	-0.59175
BCDO2	-0.091875
CHMP7	-1.114125
REM2	-0.1655
DNHD1	-0.373125
FKBP4	-0.62375
ZNF350	1.03575
MGC11102	-0.4905
BST1	-0.30675
KISS1R	-0.0465
NCR2	0.249
DEFB125	-1.106
UBE2W	0.957
KRT15	-0.90125
C10orf99	3.5915
SCN11A	0.124875
GFI1	-2.1985
RDHE2	0.118666666666667
FHL1	-1.56716666666667
OSGEP	-0.079
GATA1	-4.16016666666667
SMC6	-0.86775
TTTY14	-0.33675
LPIN3	0.317
RPL4	-0.6694
RBPMS	-0.5777
PRPF3	0.115333333333333
EMR1	-1.925
SPATA19	-0.047
XCR1	-0.0705
IRX3	-2.8393
RBM6	0.089
KLF4	-1.5236
UNC5CL	2.39675
SEBOX	-0.0185
BTK	-2.16575
KRCC1	0.4575
C6orf27	0.3075
SYTL5	0.03
PRND	0.426571428571429
LOC653319	-1.108
PIGL	-0.39475
HUS1	0.1685
SFRS6	-0.0225
C17orf77	0.6745
UIMC1	-0.374333333333333
FXYD2	-0.7524
LOC283152	0.861
ZNF667	-2.3885
ZCCHC12	-0.29825
TFEC	0.6689
ATP7B	1.667
POLD2	-0.759666666666667
RG9MTD1	0.37325
ACOT2	-0.633333333333333
HIST1H4I	-0.982625
PPARGC1A	-0.8902
ETFA	-1.5033
POLRMT	-0.20625
ZNF146	-0.00287499999999998
MIA2	-0.752
KLHL6	-2.3075
HOXB5	2.937375
NENF	0.474166666666667
CUGBP1	-1.01925
PRSS22	1.219
CASC4	0.156
CUL4B	0.5737
CENPJ	-0.1513
PITX1	0.412166666666667
FLJ31033	-0.0148333333333333
CELSR3	1.12233333333333
ZNF568	-0.7765
ITSN1	-1.25158333333333
EHBP1L1	-0.0226666666666667
C19orf2	-0.01025
DCTN1	-0.34925
LIN28B	-3.78133333333333
TNKS2	0.4155
C1QBP	-0.548125
CADPS2	-0.49625
SRMS	0.20525
GJA9	-0.1125
MGC24975	-0.241833333333333
TRIM45	-2.05433333333333
TSP50	0.11075
TCP1	-0.49575
TMED7	-0.3266
CMA1	-0.0455
CENPL	-1.292
PTCRA	-0.2135
FST	-5.669
VWCE	-1.1665
PAWR	0.61125
ABCC12	-0.2415
LDLR	-1.4444
ASTN2	-0.6576
LOC441212	0.064625
GPATCH8	0.216
TANC2	-1.99425
KIF4A	-1.255
C18orf18	-0.81
PGM1	-2.54925
KIAA0258	0.907
CPD	0.78125
SNCAIP	-0.882
DCT	-5.07633333333333
HLA-DOA	1.33818181818182
OR11L1	0.4555
UPK1B	-0.235166666666667
DNAJB4	-1.20325
UGT1A8	1.04375
HIST1H4L	-0.684
PECR	-1.65
HSPA2	0.05
WFIKKN1	-1.902
SERP1	0.136875
SYDE2	-0.06975
TACR2	0.8795
NUP85	-0.24275
CD177	0.110166666666667
LGR5	4.00666666666667
PIGG	-0.0661666666666667
PTHR1	-2.42266666666667
RAB5A	0.0779
FLJ13224	0.317
USP9Y	-1.4995
C7orf53	0.447
LRP1B	-0.594
XAF1	1.5704
ABCG8	-0.197
ANKDD1A	-0.320166666666667
DAND5	-2.631
SPAG6	0.202166666666667
LINCR	0.598
ZDHHC22	-1.306875
CCDC60	-0.042
THOC7	-0.872
TCTA	-0.0144
OR8K3	-0.09125
NY-REN-7	-0.45075
B2M	0.0686666666666667
C6orf141	-1.046
LPPR4	0.4815
SQLE	0.3925
SEPHS1	-0.77675
BTBD14B	-0.0189285714285714
PLRG1	-0.373
SPG7	-0.34325
ZNF614	-0.8335
PARD6G	-0.766166666666667
INPP5B	-1.1009
GRPEL2	-0.447
PPID	0.0408
TRIM56	0.2565
UBE2J1	-0.0975
IL20RA	5.0965
LOC387856	0.2905
C1orf107	0.904166666666667
UTS2R	0.516
C19orf22	0.477
SAFB2	-0.310375
KIAA0652	0.10975
KLRG1	-1.06766666666667
MS4A8B	4.16716666666667
FRAG1	0.99025
KIAA1546	-0.75375
E2F4	-0.3598
CLEC4M	-0.011
BTBD14A	-2.08325
KIAA0999	0.065
GYPA	-3.79683333333333
TAC1	1.8297
TRAIP	-0.761
KIAA0232	-0.2472
ERCC8	-1.444125
GPX4	-0.18525
KIAA0368	-0.27725
GPR157	1.14316666666667
CTAGE4	0.5085
C9orf30	-1.802
OR52A1	0.603
HSP90B3P	0.6435
ALG9	-0.4426
BTBD10	0.33875
SDK2	-0.0485
BAIAP3	-0.86325
RABGGTB	-0.908875
ANKRD40	-0.461166666666667
KRT74	0.63
CALCOCO2	0.488928571428571
SNCA	-5.469
TMSL8	-4.853125
C2orf53	-0.063
ESRRB	-0.12225
ARHGAP26	1.87525
TDRD9	-3.19775
HRAS	0.174666666666667
KLRC4	-1.613
JAGN1	0.4485
BSDC1	-0.0265
RNF43	2.0087
NDUFAF1	-0.7555
PHF12	0.661
OR1L3	0.4295
FOLR2	0.5725
LYZL6	0.0765
tcag7.1260	-1.367
WSB1	-0.835666666666667
PROS1	-0.116
OSTN	0.3315
PSMB8	1.026
SOCS4	-0.00812499999999999
DDIT4L	1.12175
MAS1	-1.2075
MGC34796	1.07525
CSHL1	0.103833333333333
TBCCD1	0.0388333333333333
ZBTB7C	0.126
AP2S1	-1.24175
P15RS	-0.023
VAT1	-1.1993
SHANK3	0.573166666666667
TUFM	-0.3615
THEG	-0.54375
KRT34	-1.20375
SGSM3	-0.642
TOMM22	-0.103
SOCS3	0.00866666666666666
CPO	0.152
POP4	-0.3685
BHLHB3	-1.0765
MALL	2.5485
OR1B1	0.179
PARK2	-0.118833333333333
GPR124	0.095875
LCE1E	0.984
RUVBL2	-0.622
CGRRF1	-0.0901
ACPL2	0.96825
WNT10B	-1.497625
BAIAP2L2	0.964
ISCA1	0.285
C1orf125	0.67675
RPAP1	-0.94275
RAI16	-1.104
RPL27	0.11825
NLRP9	-0.0415
EPN1	0.261
LOC388610	-0.065125
SLC35A1	0.6971
GAL	0.03225
SLC14A2	0.0675
RDH11	-0.713666666666667
FAM138F	-0.087
AUH	0.1715
FLJ40243	0.02825
C14orf129	0.914666666666667
MBD2	-1.086
ABHD14B	-0.164875
PIGT	0.95025
ALS2CR4	-0.289625
ALAS1	0.2054
FOXO1	0.691833333333333
CRLF3	-0.218125
C20orf107	-0.097
FARS2	-0.15875
CCDC28A	0.80475
NPHP3	-0.053
OR13F1	0.193
TSEN54	0.4665
DEFB106B	0.1882
OR8B4	0.321
STH	-0.66
ZC3H14	-0.305875
CBX2	0.077
TMEM49	-0.8225
C6orf21	0.4785
FLJ20920	1.441875
CRTAP	-0.117428571428571
DDX50	-0.2895
STYXL1	-0.10025
BLVRB	-1.888
LOC147650	-1.65183333333333
MMP24	0.103
GRID1	0.817166666666667
BANF1	0.579833333333333
CTAGEP	-0.0225
HMBS	-0.87575
SLC25A24	-0.518666666666667
C14orf50	2.7145
MRO	-0.618
SLC25A15	0.4645
FAM84B	1.4314
TDP1	0.171
C16orf78	0.162166666666667
C11orf57	0.41775
RFK	0.185875
ZFYVE9	0.123625
STCH	-1.8546
WIBG	0.51225
LOC283871	-0.635
GBA2	0.0118
NDUFB3	-0.27625
HSD17B13	-0.47375
GRIN3A	0.438
FMNL1	-2.085
SEPT7	-0.9346
GNLY	3.2015
GRAMD1C	0.529166666666667
ZNF165	0.33
USP38	0.207
FAM83A	-3.3085
C14orf24	1.139
ARMCX3	0.497625
ARHGDIB	-1.3005
AK1	-0.7045
KIAA1045	-0.0325
DNAJB13	-0.153333333333333
NEU2	0.2645
HIST1H4B	-0.550833333333333
FAM20B	-1.2704
HES2	2.22207142857143
FAM73B	-0.3451
LOC388381	-0.0205
INTS7	-1.00945454545455
AMPH	-0.93875
ZNF775	0.3325
UCKL1	0.862666666666667
C10orf97	-0.539
C1orf161	0.32625
ALDH1L1	-0.12275
FLJ39378	-0.830125
SLC23A1	-1.236
RBM4B	-0.13425
THAP4	0.383666666666667
OGFRL1	-1.604
KIAA0831	0.3735
PPP1R15A	-0.738
