Hybridization REF	TCGA-AA-3855-01A-01R-1022-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.669416666666667
CREB3L1	1.719
RPS11	1.181875
PNMA1	-1.7665
MMP2	-1.02533333333333
C10orf90	-2.13533333333333
ZHX3	-0.748666666666667
ERCC5	0.68375
GPR98	-1.317125
RXFP3	0.423
APBB2	-0.408
PRO0478	-0.73575
KLHL13	-2.52475
PRSSL1	-0.286833333333333
PDCL3	-0.064
DECR1	-0.0575
SALL1	-1.75066666666667
CADM4	-0.941833333333333
RPS18	1.2225
HNRPD	-0.631666666666667
CFHR5	0.9165
SLC10A7	0.39675
OR2K2	-0.2365
LMAN1	-0.3215
SUHW1	-3.05925
CHD8	-1.03
SUMO1	0.1193
GP1BA	0.0932
DDB1	-1.03866666666667
MYO9B	-0.3758
MMP7	6.22925
CRNKL1	-0.3545
C9orf45	-1.63583333333333
XAB2	-0.019375
RTN1	0.632625
KLHL14	-1.20225
TBX10	3.037
CENPQ	-1.0325
UTY	1.74607142857143
ZBTB12	0.696
DTNBP1	0.328875
KBTBD8	0.0513333333333333
ZEB1	-0.943833333333333
ZG16	5.586
MIER1	0.1812
ADAM5P	-0.1025
CHD9	0.057625
STK16	0.80575
KIAA1486	-0.039
TOB2	0.872
BANK1	3.9065
OR2V2	0.2935
GRM2	-0.3495
PROSC	0.197875
SPIN2B	0.43425
PIR	-1.05155555555556
IPO9	-0.2466
EVC	-1.50083333333333
CXCL13	2.28966666666667
KIAA1199	0.8011
SORL1	0.94875
NAT10	-0.58075
CHD1	0.1
SYN3	-0.264
SLC22A2	-0.3125
SERPINF1	-1.33883333333333
WDR34	-0.73375
OR7A17	0.60125
C9orf11	0.0945
RNF216L	-0.1982
LHB	-0.588
STK25	-0.28475
TAOK3	0.4815
LOC152573	-1.01525
C3orf39	-1.52575
C14orf108	0.8765
CDC25B	-0.798636363636364
BMP3	-0.3585
TMEM180	-0.2775
MAP1LC3C	-0.264
CRYGC	-0.3815
POU3F1	-1.22011111111111
C20orf32	-1.333
CCDC95	-0.267
HIGD1B	2.10975
USP6NL	0.958375
ABCD4	0.463
DIMT1L	-0.09825
TEK	0.366
SLC25A46	0.18375
LARP7	-1.4571
CD160	0.408166666666667
MT1JP	0.588
PHF20	-0.105375
CPNE4	-1.13525
GTPBP1	-0.7535
RAB33B	0.828333333333333
ALDOC	-1.744
ZNF212	-0.45375
NUDT1	-0.624333333333333
RFPL2	-0.72325
ZNF83	-0.148
GDPD5	-2.207875
PDCD4	0.6181
CEP350	-0.308
OR10A2	0.11325
CST7	0.58825
CIAO1	-0.4465
SELL	0.893
OR8J3	2.701
LTBP4	0.328333333333333
SIRT6	0.81725
CCL19	2.5375
PPIL1	0.1505
GBP7	0.157
STK17A	-0.8806
ABR	0.4955
OR9G1	0.384
FOXE1	-0.732375
CNGA3	0.3785
GML	0.1225
CD38	0.538
ZDHHC6	1.1295
NEFH	-3.27225
CTDSP2	0.0926666666666667
PGBD5	-1.547
CCNY	0.087
RMND5B	0.0974166666666667
ZNF257	-2.71625
FLJ22167	0.506625
EXOSC7	-0.435
ROR2	-0.607
MAOA	2.7085
TNNT3	-0.470333333333333
GYPC	-2.1065
C7orf33	0.9215
PLIN	0.557
LOC90826	0.2095
RNF4	-0.4101
F8A1	-0.141833333333333
PLEKHG4	0.68875
GRB2	-0.46875
HIST1H2AD	-0.847
DUS3L	0.4485
EIF1	-0.207166666666667
RP5-1077B9.4	-0.700833333333333
FPGT	1.14775
GDF10	-1.664
COQ9	0.13325
GCC2	0.345071428571429
RARRES3	1.495375
PLXNA1	-0.5115
KIAA0100	-0.4482
PMF1	0.01825
FNDC1	4.111
HS2ST1	0.297416666666667
CRELD2	0.25225
C8G	0.416
CD82	0.1305
LIM2	-0.387
UNQ6490	-0.3315
MMP16	-1.1465
DRD3	0.72625
C5orf26	0.2215
C11orf73	-0.439875
PTP4A2	0.29675
OR4M2	0.3315
HPCA	-1.3305
SEC14L1	-0.236333333333333
CHFR	0.06475
EMILIN1	0.381375
NDUFS4	0.21775
COL18A1	-1.230375
PDZD3	3.4748
C9orf16	0.999166666666666
ERBB2IP	-0.0175
EMX2	0.62275
FUS	-1.555
TF	-3.8415
CLCN4	-0.674
CXorf56	-0.28875
C11orf72	0.827
ELAC2	-1.211
NPR1	-1.9365
ASS1	0.800666666666667
USP42	-0.086125
POLR2J	0.099
SEC23IP	0.656833333333333
UQCRC1	0.23025
LOC729603	0.129
C1orf71	-0.191
POLG	-1.394
ADAM23	-3.63025
TFR2	-1.038
RICTOR	-0.6102
MGC39606	0.3465
C19orf55	-0.00225
SNAPC1	-1.3775
GNA11	0.81375
CCDC52	0.2245
FSIP1	0.7845
UPF3A	0.226
IGSF11	-2.13166666666667
LAGE3	0.1435
CHST6	-1.335
UNC13B	0.953
TTLL4	-0.319625
ZNF687	-0.34
SDC2	-1.4482
COX7A2	0.94475
LAMB4	0.01625
FAM24A	0.3595
LRRTM3	-1.0254
GPHB5	0.37525
OR4C13	0.127
EIF3EIP	0.430214285714286
HABP4	-0.96
TMEM125	3.6495
CNTN2	-0.4755
ASNSD1	-0.36625
FUT4	1.747625
ACF	1.357
LOC158381	0.245
CDH8	-0.188
AGPS	0.0236666666666667
C4orf18	1.86025
PECI	-0.826416666666666
UNG	-0.611
GSTP1	1.65425
DCUN1D5	-1.28933333333333
DKFZP564J0863	-0.09375
SLC9A3R1	-0.103625
BCDO2	-0.014125
CHMP7	0.014
REM2	0.308
DNHD1	-0.2125
FKBP4	-0.89375
ZNF350	-0.0625
MGC11102	-0.50925
BST1	0.2775
KISS1R	0.9125
NCR2	-0.0655
DEFB125	-0.7075
UBE2W	0.58875
KRT15	-0.978625
C10orf99	3.145
SCN11A	-0.029
GFI1	-0.3875
RDHE2	3.56016666666667
FHL1	-0.474166666666667
OSGEP	0.571
GATA1	-2.79816666666667
SMC6	-0.56075
TTTY14	0.64875
LPIN3	0.59725
RPL4	-0.3867
RBPMS	-0.648
PRPF3	-0.835833333333333
EMR1	-1.4985
SPATA19	-0.103
XCR1	0.2925
IRX3	-2.0999
RBM6	-0.62
KLF4	1.4919
UNC5CL	4.4705
SEBOX	0.479
BTK	-1.09875
KRCC1	1.08875
C6orf27	0.487
SYTL5	-1.056
PRND	1.1865
LOC653319	-0.5465
PIGL	-0.16075
HUS1	0.445666666666667
SFRS6	0.747666666666666
C17orf77	0.9455
UIMC1	-0.1585
FXYD2	-1.052
LOC283152	-0.18375
ZNF667	-2.12375
ZCCHC12	-0.09375
TFEC	2.9546
ATP7B	1.075
POLD2	-1.34283333333333
RG9MTD1	0.0915
ACOT2	-0.450166666666667
HIST1H4I	-0.013125
PPARGC1A	-0.3094
ETFA	-0.3156
POLRMT	-0.12025
ZNF146	-0.4025
MIA2	-0.6515
KLHL6	-0.438333333333333
HOXB5	2.613125
NENF	1.59933333333333
CUGBP1	-1.074
PRSS22	2.52866666666667
CASC4	1.0307
CUL4B	-0.3076
CENPJ	-0.2013
PITX1	0.487
FLJ31033	0.502166666666667
CELSR3	0.136
ZNF568	-1.07675
ITSN1	-1.07636363636364
EHBP1L1	-0.434666666666667
C19orf2	0.001
DCTN1	-1.398
LIN28B	-3.03583333333333
TNKS2	0.21675
C1QBP	-0.09575
CADPS2	0.6445
SRMS	0.442
GJA9	-0.200333333333333
MGC24975	-0.2265
TRIM45	-1.92066666666667
TSP50	-0.90025
TCP1	-1.0545
TMED7	0.7476
CMA1	0.088
CENPL	-0.344333333333333
PTCRA	-0.6325
FST	-4.584
VWCE	-1.41875
PAWR	0.69675
ABCC12	0.2782
LDLR	-1.2417
ASTN2	-0.0693
LOC441212	-0.46175
GPATCH8	-0.0175
TANC2	-2.39325
KIF4A	-1.11625
C18orf18	0.544
PGM1	-0.1845
KIAA0258	1.0375
CPD	0.832125
SNCAIP	-0.74125
DCT	-4.22433333333333
HLA-DOA	1.9685
OR11L1	0.74
UPK1B	-0.357
DNAJB4	-0.837625
UGT1A8	2.63925
HIST1H4L	0.065
PECR	-0.134166666666667
HSPA2	1.3465
WFIKKN1	-0.662
SERP1	0.39075
SYDE2	-0.00774999999999999
TACR2	0.4345
NUP85	-0.46625
CD177	2.03216666666667
LGR5	0.999833333333333
PIGG	-0.1955
PTHR1	-2.29283333333333
RAB5A	0.1594
FLJ13224	0.0025
USP9Y	1.0705
C7orf53	0.1005
LRP1B	-1.34425
XAF1	1.3409
ABCG8	-0.0845
ANKDD1A	0.0995
DAND5	-1.7785
SPAG6	-0.339833333333333
LINCR	2.778
ZDHHC22	-1.312125
CCDC60	0.2445
THOC7	-1.02833333333333
TCTA	-0.0613
OR8K3	0.4465
NY-REN-7	-0.56075
B2M	1.9505
C6orf141	-1.832
LPPR4	1.186
SQLE	-0.920125
SEPHS1	-0.29875
BTBD14B	0.282642857142857
PLRG1	0.04325
SPG7	-0.6130625
ZNF614	-0.0425
PARD6G	-0.485166666666667
INPP5B	-0.9794
GRPEL2	0.241
PPID	-0.4905
TRIM56	0.1705
UBE2J1	0.660625
IL20RA	4.6525
LOC387856	-0.0935
C1orf107	0.735
UTS2R	0.9155
C19orf22	0.3465
SAFB2	-0.3955
KIAA0652	-0.533375
KLRG1	-0.62
MS4A8B	4.50033333333333
FRAG1	0.59975
KIAA1546	-0.1325
E2F4	-0.297
CLEC4M	0.175833333333333
BTBD14A	-0.59325
KIAA0999	0.1143
GYPA	-2.99116666666667
TAC1	6.7524
TRAIP	-0.679833333333333
KIAA0232	0.3603
ERCC8	-0.49625
GPX4	0.384625
KIAA0368	-0.5115
GPR157	-0.696666666666667
CTAGE4	1.3715
C9orf30	-1.18133333333333
OR52A1	0.9905
HSP90B3P	-0.2875
ALG9	-0.5745
BTBD10	0.55925
SDK2	-0.36875
BAIAP3	-2.15575
RABGGTB	-0.604125
ANKRD40	-0.402166666666667
KRT74	0.1625
CALCOCO2	0.562071428571429
SNCA	-3.5065
TMSL8	-3.912875
C2orf53	1.205
ESRRB	-0.55575
ARHGAP26	0.797
TDRD9	-2.55075
HRAS	-0.671333333333333
KLRC4	-2.0245
JAGN1	0.251166666666667
BSDC1	-0.0005
RNF43	1.5603
NDUFAF1	-0.65375
PHF12	0.0486666666666667
OR1L3	0.39825
FOLR2	1.48341666666667
LYZL6	-0.297
tcag7.1260	3.0705
WSB1	-1.047
PROS1	-0.9684
OSTN	0.2475
PSMB8	1.9095
SOCS4	-0.398
DDIT4L	-1.34875
MAS1	0.2535
MGC34796	0.83875
CSHL1	0.154833333333333
TBCCD1	-1.57883333333333
ZBTB7C	-0.052
AP2S1	-0.516875
P15RS	-0.1488
VAT1	-2.2437
SHANK3	0.712
TUFM	-0.0636666666666667
THEG	-0.3595
KRT34	-1.746
SGSM3	-0.337375
TOMM22	0.370875
SOCS3	1.21733333333333
CPO	0.015
POP4	0.224
BHLHB3	0.3535
MALL	3.09475
OR1B1	0.586
PARK2	0.149
GPR124	0.282125
