Hybridization REF	TCGA-AA-A02J-01A-01R-A00A-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.249166666666667
CREB3L1	0.013
RPS11	0.64125
PNMA1	-2.294
MMP2	-1.8405
C10orf90	-2.07475
ZHX3	-0.09
ERCC5	0.2625
GPR98	-1.922625
RXFP3	0.4525
APBB2	1.05325
PRO0478	-0.65775
KLHL13	-0.69525
PRSSL1	-0.517833333333333
PDCL3	0.344166666666667
DECR1	0.90775
SALL1	-4.21566666666667
CADM4	-0.3745
RPS18	0.396357142857143
HNRPD	-0.309
CFHR5	0.215
SLC10A7	0.042875
OR2K2	0.00499999999999998
LMAN1	-1.134125
SUHW1	-2.6115
CHD8	-0.5201
SUMO1	0.4813
GP1BA	-0.1489
DDB1	-0.411
MYO9B	-0.524
MMP7	7.651
CRNKL1	1.07025
C9orf45	-2.08066666666667
XAB2	0.1115
RTN1	-0.708625
KLHL14	-2.072375
TBX10	0.7145
CENPQ	-1.16
UTY	-0.800076923076923
ZBTB12	0.807
DTNBP1	0.341875
KBTBD8	0.782833333333333
ZEB1	-2.184
ZG16	5.367
MIER1	-0.3143
ADAM5P	0.00799999999999999
CHD9	-0.68775
STK16	0.53875
KIAA1486	-0.268
TOB2	0.69425
BANK1	0.77325
OR2V2	0.03525
GRM2	0.203666666666667
PROSC	0.29325
SPIN2B	1.03675
PIR	-1.16222222222222
IPO9	-0.4335
EVC	-1.90083333333333
CXCL13	0.930833333333334
KIAA1199	2.5468
SORL1	1.5525
NAT10	0.09675
CHD1	-0.11375
SYN3	1.787
SLC22A2	-0.15925
SERPINF1	-2.7265
WDR34	-0.26825
OR7A17	0.46325
C9orf11	0.566
RNF216L	-0.0429
LHB	0.18
STK25	0.125625
TAOK3	0.4765
LOC152573	-2.396
C3orf39	0.15325
C14orf108	0.4786
CDC25B	0.434909090909091
BMP3	0.7925
TMEM180	0.296
MAP1LC3C	-0.122
CRYGC	0.2945
POU3F1	-1.1601
C20orf32	-1.053
CCDC95	-0.3455
HIGD1B	1.91025
USP6NL	1.29775
ABCD4	-0.4995
DIMT1L	-0.397166666666667
TEK	-0.440625
SLC25A46	-0.3795
LARP7	-1.698
CD160	0.296
MT1JP	-1.156
PHF20	-0.0515625
CPNE4	-1.588
GTPBP1	-0.342785714285714
RAB33B	0.579
ALDOC	-1.044
ZNF212	0.0135
NUDT1	-0.158666666666667
RFPL2	-0.858
ZNF83	-1.25716666666667
GDPD5	1.04475
PDCD4	1.18065
CEP350	-0.55
OR10A2	0.59625
CST7	-0.97275
CIAO1	-0.411
SELL	-0.22775
OR8J3	1.0475
LTBP4	-1.11966666666667
SIRT6	0.4755
CCL19	1.30075
PPIL1	-0.234666666666667
GBP7	-0.1425
STK17A	-1.7086
ABR	0.0755
OR9G1	0.045
FOXE1	-0.236625
CNGA3	-0.6665
GML	0.303
CD38	-3.92925
ZDHHC6	0.796666666666667
NEFH	-4.613
CTDSP2	0.572
PGBD5	-1.49116666666667
CCNY	0.384714285714286
RMND5B	-0.0211666666666667
ZNF257	-3.46933333333333
FLJ22167	-0.198625
EXOSC7	0.0875
ROR2	-0.74975
MAOA	3.162
TNNT3	-0.0851666666666667
