Hybridization REF	TCGA-AA-A02R-01A-01R-A00A-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.299583333333333
CREB3L1	2.2165
RPS11	0.71675
PNMA1	0.22425
MMP2	-0.638833333333333
C10orf90	-2.435
ZHX3	-1.41733333333333
ERCC5	0.2045
GPR98	-1.79575
RXFP3	0.6565
APBB2	1.27975
PRO0478	-1.38475
KLHL13	-1.02125
PRSSL1	0.295666666666667
PDCL3	-0.390333333333333
DECR1	0.61175
SALL1	-5.47533333333333
CADM4	0.438166666666667
RPS18	0.830785714285714
HNRPD	-0.32225
CFHR5	0.9145
SLC10A7	-0.409125
OR2K2	-0.8255
LMAN1	-1.042
SUHW1	-3.2635
CHD8	-0.777
SUMO1	-0.0826
GP1BA	0.3209
DDB1	-0.163166666666667
MYO9B	0.4263
MMP7	3.91925
CRNKL1	0.319
C9orf45	-2.57366666666667
XAB2	0.314
RTN1	0.399875
KLHL14	-1.464
TBX10	-0.9715
CENPQ	-1.296
UTY	-1.17323076923077
ZBTB12	-0.0455
DTNBP1	-0.709
KBTBD8	-0.039
ZEB1	-0.908166666666667
ZG16	2.63375
MIER1	0.7815
ADAM5P	0.798
CHD9	-0.60675
STK16	-0.0455
KIAA1486	0.012
TOB2	1.6285
BANK1	4.42275
OR2V2	-0.14825
GRM2	0.2255
PROSC	-0.326625
SPIN2B	-0.18475
PIR	-2.58355555555556
IPO9	-0.4502
EVC	-1.13666666666667
CXCL13	6.56433333333333
KIAA1199	0.8089
SORL1	0.72525
NAT10	0.50525
CHD1	-0.05525
SYN3	-0.752
SLC22A2	-0.407
SERPINF1	-1.144
WDR34	-0.58275
OR7A17	0.39375
C9orf11	0.385
RNF216L	-0.3167
LHB	0.408
STK25	0.288625
TAOK3	1.639375
LOC152573	-1.66125
C3orf39	0.619875
C14orf108	0.835
CDC25B	0.469363636363636
BMP3	-0.072
TMEM180	0.599
MAP1LC3C	-0.2655
CRYGC	-0.3345
POU3F1	-1.339
C20orf32	-1.196
CCDC95	0.01
HIGD1B	1.349
USP6NL	0.47025
ABCD4	-0.1045
DIMT1L	-0.0655833333333333
TEK	0.02625
SLC25A46	-0.15775
LARP7	-1.4044
CD160	1.07316666666667
MT1JP	1.298
PHF20	-0.68725
CPNE4	-1.809
