Hybridization REF	TCGA-AA-A01D-01A-01R-A00A-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.26275
CREB3L1	2.75425
RPS11	0.818125
PNMA1	-0.37825
MMP2	1.28633333333333
C10orf90	-1.81166666666667
ZHX3	-0.883666666666667
ERCC5	1.14725
GPR98	-2.022625
RXFP3	0.881
APBB2	0.79725
PRO0478	-0.287375
KLHL13	-1.979
PRSSL1	-0.291833333333333
PDCL3	-0.3215
DECR1	0.4435
SALL1	-3.45133333333333
CADM4	0.682833333333333
RPS18	0.1725
HNRPD	-0.6995
CFHR5	0.598166666666667
SLC10A7	0.0604999999999999
OR2K2	0.3115
LMAN1	-1.288875
SUHW1	-2.7345
CHD8	-0.0638
SUMO1	0.3414
GP1BA	0.6222
DDB1	-0.7805
MYO9B	-0.0799
MMP7	7.4855
CRNKL1	0.325
C9orf45	-1.1545
XAB2	-0.2295
RTN1	1.174
KLHL14	-0.6185
TBX10	1.7805
CENPQ	-1.76525
UTY	-0.808307692307692
ZBTB12	0.862
DTNBP1	-0.0175
KBTBD8	-0.666333333333333
ZEB1	0.753333333333333
ZG16	5.73475
MIER1	0.2067
ADAM5P	0.915
CHD9	-0.514
STK16	0.339
KIAA1486	0.075
TOB2	1.12558333333333
BANK1	2.07275
OR2V2	-0.55525
GRM2	0.153166666666667
PROSC	0.902375
SPIN2B	0.13375
PIR	-2.24377777777778
IPO9	-0.359
EVC	-0.3865
CXCL13	2.61466666666667
KIAA1199	2.1037
SORL1	1.84375
NAT10	0.5475
CHD1	-0.851
SYN3	-0.33125
SLC22A2	-0.3925
SERPINF1	0.2885
WDR34	-0.6865
OR7A17	0.23075
C9orf11	0.298
RNF216L	-1.1629
LHB	0.1295
STK25	0.751125
TAOK3	1.15525
LOC152573	0.705
C3orf39	-1.548375
C14orf108	0.659
CDC25B	0.0613636363636364
BMP3	0.4815
TMEM180	0.2375
MAP1LC3C	-0.3165
CRYGC	-3.6055
POU3F1	-1.5857
C20orf32	-1.4135
CCDC95	-0.4845
HIGD1B	3.0055
USP6NL	0.15075
ABCD4	0.508833333333333
DIMT1L	-0.980333333333333
TEK	1.039625
SLC25A46	-1.07375
LARP7	-1.7737
CD160	0.369666666666667
MT1JP	0.607
PHF20	-0.855875
CPNE4	-2.13775
GTPBP1	-0.301571428571429
RAB33B	0.335333333333333
ALDOC	-1.71675
ZNF212	-0.22075
NUDT1	-1.5065
RFPL2	-0.831
ZNF83	-0.296833333333333
GDPD5	0.89875
PDCD4	0.00169999999999998
CEP350	-0.05925
OR10A2	0.35375
CST7	0.01625
CIAO1	-0.81375
SELL	0.78325
OR8J3	3.518
LTBP4	0.3215
SIRT6	0.4785
CCL19	5.0815
PPIL1	-0.981
GBP7	-0.06575
STK17A	-0.9638
ABR	0.9945
OR9G1	0.893
FOXE1	-0.2895
CNGA3	1.1665
GML	0.199
CD38	-2.5425
ZDHHC6	-0.0131666666666667
NEFH	-3.617
CTDSP2	0.581833333333333
PGBD5	-1.0845
CCNY	0.173857142857143
RMND5B	-0.650666666666667
ZNF257	-3.529
FLJ22167	-0.46525
EXOSC7	-0.918833333333333
ROR2	0.314375
MAOA	3.353375
TNNT3	0.0933333333333333
GYPC	-1.318
C7orf33	1.097
PLIN	0.356833333333333
LOC90826	-0.07225
RNF4	-0.205
F8A1	0.469
PLEKHG4	-1.625
GRB2	-0.39885
HIST1H2AD	0.76475
DUS3L	0.00766666666666667
EIF1	-0.729
RP5-1077B9.4	-1.02383333333333
FPGT	0.62475
GDF10	-1.5315
COQ9	0.31625
GCC2	0.711642857142857
RARRES3	1.231
PLXNA1	-0.0987
KIAA0100	-0.5016
PMF1	0.23525
FNDC1	6.0275
HS2ST1	0.303916666666667
CRELD2	0.27775
C8G	3.0105
CD82	1.76075
LIM2	-1.9585
UNQ6490	-0.6375
MMP16	-0.5465
DRD3	0.35525
C5orf26	-0.78575
C11orf73	-0.396625
PTP4A2	0.1825
OR4M2	0.6885
HPCA	-0.164833333333333
SEC14L1	-0.8995
CHFR	-0.434375
EMILIN1	1.26625
NDUFS4	-1.05725
COL18A1	0.165
PDZD3	2.923
C9orf16	0.630333333333333
ERBB2IP	-0.577
EMX2	0.62975
FUS	-1.05925
TF	-4.7548
CLCN4	0.895166666666667
CXorf56	-0.023
C11orf72	1.0975
ELAC2	-1.14708333333333
NPR1	-0.778
ASS1	0.480666666666667
USP42	-0.700125
POLR2J	-1.2115
SEC23IP	0.6025
UQCRC1	0.45
LOC729603	0.07175
C1orf71	-0.383125
POLG	-1.6585
ADAM23	-3.436
TFR2	-0.64875
RICTOR	-0.2488
MGC39606	-0.52125
C19orf55	-0.20975
SNAPC1	-1.54666666666667
GNA11	1.343375
CCDC52	-0.271833333333333
FSIP1	-0.8405
UPF3A	0.369125
IGSF11	-1.86883333333333
LAGE3	-0.2115
CHST6	-0.768
UNC13B	1.070375
TTLL4	-0.624375
ZNF687	0.142875
SDC2	-0.661
COX7A2	-0.335
LAMB4	0.2605
FAM24A	-0.5585
LRRTM3	-2.62683333333333
GPHB5	0.22325
OR4C13	-0.8985
EIF3EIP	0.385428571428572
HABP4	-0.6745
TMEM125	4.0995
CNTN2	0.11
ASNSD1	-0.10575
FUT4	0.890875
ACF	0.56825
LOC158381	0.208
CDH8	-0.147
AGPS	-0.3715
C4orf18	1.74225
PECI	-1.44191666666667
UNG	-0.932625
GSTP1	0.799875
DCUN1D5	-1.31933333333333
DKFZP564J0863	-0.55075
SLC9A3R1	-0.112125
BCDO2	-0.670125
CHMP7	0.20725
REM2	-0.113
DNHD1	-0.36875
FKBP4	-0.74325
ZNF350	0.4605
MGC11102	-0.810875
BST1	2.47075
KISS1R	0.59
NCR2	0.3655
DEFB125	0.6255
UBE2W	1.36625
KRT15	-1.632625
C10orf99	3.0825
SCN11A	-0.0115
GFI1	-1.776
RDHE2	4.1255
FHL1	0.0526666666666667
OSGEP	0.375833333333333
GATA1	-3.65233333333333
SMC6	-1.5365
TTTY14	-0.5855
LPIN3	-0.4745
RPL4	-0.7978
RBPMS	0.9686
PRPF3	-0.1375
EMR1	-1.7315
SPATA19	-0.2515
XCR1	0.121
IRX3	-2.7934
RBM6	-0.3835
KLF4	0.5285
UNC5CL	3.55325
SEBOX	0.1005
BTK	-0.9665
KRCC1	0.66625
C6orf27	0.377
SYTL5	-0.4345
PRND	2.612875
LOC653319	-1.5525
PIGL	-1.880375
HUS1	0.107333333333333
SFRS6	-0.114333333333333
C17orf77	0.151
UIMC1	-0.6915
FXYD2	-1.7186
LOC283152	-0.6745
ZNF667	-2.04025
ZCCHC12	-0.935
TFEC	1.7243
ATP7B	2.20866666666667
POLD2	-1.37283333333333
RG9MTD1	0.198
ACOT2	-0.3885
HIST1H4I	-0.363125
PPARGC1A	1.586
ETFA	-0.6204
POLRMT	-0.2065
ZNF146	-0.6375
MIA2	-0.0785
KLHL6	-0.873333333333333
HOXB5	1.399375
NENF	0.490333333333333
CUGBP1	-0.243
PRSS22	1.469
CASC4	0.8598
CUL4B	-0.0652
CENPJ	-0.4605
PITX1	-0.021
FLJ31033	0.715833333333333
CELSR3	-2.298
ZNF568	-1.29525
ITSN1	-0.820833333333333
EHBP1L1	0.0431666666666667
C19orf2	-0.996
DCTN1	-0.5935
LIN28B	-3.9504
TNKS2	0.244
C1QBP	-0.897125
CADPS2	1.1315
SRMS	0.40875
GJA9	-0.0035
MGC24975	-1.11183333333333
TRIM45	-1.93566666666667
TSP50	0.217666666666667
TCP1	-1.6525
TMED7	-0.067
CMA1	0.31
CENPL	-0.732666666666667
PTCRA	1.1555
FST	-5.80625
VWCE	-2.14175
PAWR	0.07125
ABCC12	0.87125
LDLR	-0.2374
ASTN2	-0.597
LOC441212	-0.599125
GPATCH8	-0.18375
TANC2	-1.692
KIF4A	-1.075
C18orf18	-0.1915
PGM1	-1.37025
KIAA0258	0.4175
CPD	0.66975
SNCAIP	-0.202
DCT	-5.32016666666667
HLA-DOA	1.93827272727273
OR11L1	0.544
UPK1B	-0.4954
DNAJB4	-0.969
UGT1A8	2.9235
HIST1H4L	-1.254
PECR	-1.9415
HSPA2	1.78675
WFIKKN1	-2.688
SERP1	0.3855
SYDE2	0.405
TACR2	2.3245
NUP85	-0.93325
CD177	2.58266666666667
LGR5	2.19016666666667
PIGG	0.225916666666667
PTHR1	-2.19633333333333
RAB5A	0.067
FLJ13224	0.0315
USP9Y	-1.676
C7orf53	-0.7505
LRP1B	-0.628
XAF1	1.454
ABCG8	0.951
ANKDD1A	-0.367166666666667
DAND5	-0.647
SPAG6	-0.809666666666667
LINCR	0.10075
ZDHHC22	-1.461
CCDC60	0.2205
THOC7	-0.912166666666667
TCTA	0.7645
OR8K3	0.09025
NY-REN-7	-0.5435
B2M	1.034
C6orf141	-1.87525
LPPR4	1.848
SQLE	-0.339
SEPHS1	-1.1175
BTBD14B	0.294785714285714
PLRG1	-0.3555
SPG7	-0.4121875
ZNF614	-0.562333333333333
PARD6G	-0.0375
INPP5B	-1.3041
GRPEL2	-0.86875
PPID	-0.1364
TRIM56	0.1005
UBE2J1	-0.21
IL20RA	1.551
LOC387856	1.1955
C1orf107	1.12433333333333
UTS2R	1.01075
C19orf22	-0.1375
SAFB2	-0.41225
KIAA0652	0.422875
KLRG1	-1.91466666666667
MS4A8B	6.372
FRAG1	0.49625
KIAA1546	-0.0425
E2F4	-0.2731
CLEC4M	0.321333333333333
BTBD14A	-0.479
KIAA0999	0.4709
GYPA	-3.595
TAC1	1.6144
TRAIP	-1.1985
KIAA0232	0.5269
ERCC8	-1.422625
GPX4	-0.450125
KIAA0368	-0.0765
GPR157	0.379166666666667
CTAGE4	0.873
C9orf30	-1.05366666666667
OR52A1	0.5435
HSP90B3P	-0.2545
ALG9	-0.8307
BTBD10	0.743
SDK2	-0.3585
BAIAP3	-0.9405
RABGGTB	-0.965
ANKRD40	-0.914666666666667
KRT74	0.5115
CALCOCO2	-0.258214285714286
SNCA	-3.40725
TMSL8	-3.762125
C2orf53	0.1155
ESRRB	-0.01975
ARHGAP26	0.907375
TDRD9	-2.95825
HRAS	0.117666666666667
KLRC4	-1.862
JAGN1	0.326833333333333
BSDC1	0.03075
RNF43	0.4489
NDUFAF1	-0.33025
PHF12	0.019
OR1L3	0.21625
FOLR2	1.31633333333333
LYZL6	0.258833333333333
tcag7.1260	1.741
WSB1	-1.49916666666667
PROS1	-0.6676
OSTN	0.541
PSMB8	0.9765
SOCS4	-0.02275
DDIT4L	0.57525
MAS1	0.1155
MGC34796	1.296
CSHL1	0.214333333333333
TBCCD1	-0.0978333333333333
ZBTB7C	0.21
AP2S1	-0.079125
P15RS	-0.5556
VAT1	-1.1342
SHANK3	0.990166666666667
TUFM	-0.126666666666667
THEG	0.22275
KRT34	-1.8
SGSM3	0.363375
