Hybridization REF	TCGA-AY-4070-01A-01R-1113-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.27075
CREB3L1	0.63375
RPS11	0.2285
PNMA1	-0.116
MMP2	-0.9175
C10orf90	-2.39033333333333
ZHX3	-0.00833333333333334
ERCC5	0.7545
GPR98	-0.333625
RXFP3	0.3305
APBB2	-0.0905
PRO0478	-0.51025
KLHL13	-1.6375
PRSSL1	-0.409
PDCL3	0.4455
DECR1	-0.394875
SALL1	-2.28633333333333
CADM4	0.5425
RPS18	0.424285714285714
HNRPD	-0.82325
CFHR5	0.65425
SLC10A7	0.12
OR2K2	0.9815
LMAN1	-0.590875
SUHW1	-1.061
CHD8	-0.6439
SUMO1	0.6932
GP1BA	0.5181
DDB1	0.362833333333333
MYO9B	-0.3009
MMP7	5.01775
CRNKL1	0.60275
C9orf45	-2.05133333333333
XAB2	-1.0385
RTN1	0.526625
KLHL14	-1.00175
TBX10	0.927
CENPQ	-0.92025
UTY	-1.05507692307692
ZBTB12	0.0695
DTNBP1	0.21525
KBTBD8	-0.375166666666667
ZEB1	-0.519
ZG16	4.94975
MIER1	-0.00600000000000001
ADAM5P	0.953
CHD9	0.044375
STK16	-0.0655
KIAA1486	-0.2815
TOB2	0.660666666666667
BANK1	3.398
OR2V2	0.18
GRM2	0.0341666666666667
PROSC	0.768625
SPIN2B	0.81775
PIR	-2.45277777777778
IPO9	-0.5454
EVC	-1.13333333333333
CXCL13	4.00666666666667
KIAA1199	0.6419
SORL1	2.7265
NAT10	0.08825
CHD1	-0.4935
SYN3	0.12275
SLC22A2	-0.2475
SERPINF1	-1.25316666666667
WDR34	-1.35525
OR7A17	0.111
C9orf11	-0.117
RNF216L	-0.0419
LHB	-0.128
STK25	0.1375
TAOK3	0.383125
LOC152573	-1.503
C3orf39	-0.25775
C14orf108	0.0679999999999999
CDC25B	-0.276272727272727
BMP3	0.8685
TMEM180	-0.074
MAP1LC3C	0.0085
CRYGC	-0.093
POU3F1	-1.316
C20orf32	-0.5455
CCDC95	-0.89
HIGD1B	2.10325
USP6NL	1.92475
ABCD4	0.437
DIMT1L	-0.649
TEK	0.96975
SLC25A46	-0.171
LARP7	-1.5533
CD160	0.501166666666667
MT1JP	-1.45833333333333
PHF20	-0.3710625
CPNE4	-1.5075
GTPBP1	-0.698142857142857
RAB33B	0.992
ALDOC	-1.405125
ZNF212	-0.01925
NUDT1	-0.671
RFPL2	-0.4395
ZNF83	-0.335333333333333
GDPD5	1.490375
PDCD4	0.802
CEP350	-0.56625
OR10A2	0.2475
CST7	0.886
CIAO1	0.09525
SELL	0.78075
