Hybridization REF	AGARS_p_TCGA_B12_RNA_ReDo_HT_HG-U133A_96-HTA_A04_443068
Composite Element REF	Signal
AACS	5.35128610126621
FSTL1	9.00118722355744
ELMO2	4.75553533635915
CREB3L1	4.66125804401856
RPS11	9.82498174923456
PNMA1	7.06164064829348
MMP2	8.98377941787135
SAMD4A	4.02492642272914
SMARCD3	4.19110380633987
A4GNT	3.84745119795381
C9orf39	3.48000124818223
PKNOX2	4.06051074022025
RALYL	3.05884773455737
ZHX3	4.24894398911739
ERCC5	6.15699868237973
RXFP3	3.04248599781792
APBB2	4.72628646020894
BBOX1	4.73171046061108
PRO0478	3.12803602655064
GCSH	5.938532574967
XDH	3.97125287261844
EDN1	3.89757942010728
MTERF	5.84932167287436
PDCL3	5.57910286299377
CLK4	7.51202885502314
KCNG1	3.64363196200829
CXCR4	5.68633092562343
DECR1	8.5279810275878
SALL1	3.31342876606041
PTPRR	3.29169387532094
CADM4	3.67295767505731
IRAK1	8.35409774965745
CFHR5	3.31087692282915
HNRPD	7.64870844309872
TMSB10	11.4394432372435
CXCL3	3.63659088043711
LMAN1	3.50185005911027
SUHW1	3.57730780480124
CHD8	5.52437013783663
SUMO1	6.7315074566706
GP1BA	3.4094630618352
OR7A10	4.27556429441901
DDB1	7.10393894911534
CHRNA10	3.79412539404895
STYK1	3.36117127807670
MYO9B	4.38332961411953
CCNI	9.83586344259234
MMP7	4.8418752663554
EP300	5.99716233507416
CRNKL1	5.15763512901760
C9orf45	3.41752252793134
XAB2	4.82884230237315
RTN1	3.76679557671796
HIC2	4.34728627418971
TBX10	3.68590111493862
CENPQ	3.80504624794861
UTY	3.42451359689028
OR2W1	2.99150740081224
ATP5G2	9.25823663420877
ZEB1	4.16907400966129
ZG16	3.63237035848252
ERG	4.26172364673539
PARN	6.26886691457623
SOD2	5.13298883309066
JOSD3	7.0165840526944
ADAM5P	3.34918064874981
CHD9	6.28491275259275
hCG_40738	3.76748860241031
STK16	3.99150445984268
PDE1C	3.81017690162816
SEMA4D	5.6709209304045
AGPAT1	5.20219109696953
TOB2	6.2193546652444
BANK1	3.96388659405803
MAP3K3	5.51882061274183
MAX	5.01533320559861
GRM2	3.47800400944496
OSBPL8	6.26164388680486
