Hybridization REF	AGARS_p_TCGA_B12_RNA_ReDo_HT_HG-U133A_96-HTA_B01_443100
Composite Element REF	Signal
AACS	6.71405975134031
FSTL1	6.68512796719733
ELMO2	5.5325012297245
CREB3L1	3.47117184818580
RPS11	10.3368919622822
PNMA1	8.17205326401277
MMP2	5.94117963818568
SAMD4A	3.6910648986385
SMARCD3	6.94917598896102
A4GNT	3.74046089398956
C9orf39	3.12281251597756
PKNOX2	3.59033885247097
RALYL	3.23029931105343
ZHX3	4.07161604164833
ERCC5	6.32144591255115
RXFP3	2.93169588154396
APBB2	4.02215341675559
BBOX1	3.11098853266251
PRO0478	2.89134336043771
GCSH	8.53932331330562
XDH	3.47452464029945
EDN1	3.45185666297643
MTERF	6.51825550230917
PDCL3	7.50536151845194
CLK4	5.5705302308422
KCNG1	3.85347984870919
CXCR4	9.00628909233314
DECR1	9.11731224251789
SALL1	3.19781450398365
PTPRR	3.55830696119251
CADM4	3.16493990861611
IRAK1	9.32099895185147
CFHR5	3.27190309388298
HNRPD	8.38064165595412
TMSB10	12.0729441352672
CXCL3	4.07069994425606
LMAN1	3.86093133356719
SUHW1	3.59346566849901
CHD8	5.54202001204665
SUMO1	8.10940457991414
GP1BA	3.13959522316428
OR7A10	3.88322900058833
DDB1	7.161058053224
CHRNA10	3.45067953838388
STYK1	3.80565473203891
MYO9B	4.95322196046936
CCNI	9.7914154037606
MMP7	5.77044724190843
EP300	6.44130671618107
CRNKL1	6.9541890316189
C9orf45	3.10178993400562
XAB2	4.45588868191986
RTN1	5.18733228709508
HIC2	4.02196575153128
TBX10	3.38790162622679
CENPQ	4.74409996086001
UTY	3.08232709016083
OR2W1	2.80237032231117
ATP5G2	10.1727468829291
ZEB1	3.7794807150556
ZG16	3.56281443612006
ERG	3.67975304454788
PARN	7.22348090648226
SOD2	9.24166259636674
JOSD3	7.46235461202367
ADAM5P	3.18560032940571
CHD9	6.40844869774322
hCG_40738	3.58281949656779
STK16	5.07068946372266
PDE1C	3.78038697699503
SEMA4D	6.8053433871546
