Hybridization REF	AGARS_p_TCGA_B12_RNA_ReDo_HT_HG-U133A_96-HTA_C03_443104
Composite Element REF	Signal
AACS	5.63795092167694
FSTL1	8.6944337709876
ELMO2	5.12528244608713
CREB3L1	3.79410218547664
RPS11	10.1990477371303
PNMA1	7.58391428705082
MMP2	7.10201941741428
SAMD4A	3.99753415643446
SMARCD3	6.17775711914705
A4GNT	3.84953271556553
C9orf39	3.53356440803122
PKNOX2	3.83392602764749
RALYL	3.28835553163437
ZHX3	4.25028728445775
ERCC5	6.953384323814
RXFP3	3.10756175063992
APBB2	3.66346505160425
BBOX1	7.09951379719186
PRO0478	3.08950964130339
GCSH	7.50114958387885
XDH	3.7575456616622
EDN1	4.08981639484673
MTERF	6.32661340361104
PDCL3	6.76145140613905
CLK4	5.39196148944328
KCNG1	3.89766536558988
CXCR4	6.6994988515223
DECR1	7.66468565929927
SALL1	3.03926664792928
PTPRR	3.23920124327899
CADM4	3.47697741505937
IRAK1	8.458039075558
CFHR5	3.23135362359342
HNRPD	8.78354862330412
TMSB10	11.2099707454020
CXCL3	4.11205239414494
LMAN1	3.93576844723985
SUHW1	3.49935298613113
CHD8	5.30509401064744
SUMO1	7.08586709311861
GP1BA	3.23786449876728
OR7A10	3.75065475525637
DDB1	7.52424075393802
CHRNA10	3.59645264611327
STYK1	3.45615685729096
MYO9B	4.52677084121882
CCNI	10.0911223571833
MMP7	7.40514808673615
EP300	6.01901902031684
CRNKL1	6.87644041152347
C9orf45	3.31644658248515
XAB2	4.22364720144501
RTN1	5.03773025782244
HIC2	4.13288123828113
TBX10	3.39801767421917
CENPQ	4.61251038453009
UTY	3.17915283238031
OR2W1	2.80084550610388
ATP5G2	10.0750108063196
ZEB1	3.66859731608355
ZG16	3.47754904318297
ERG	3.91073549412506
PARN	5.98380811557492
SOD2	5.31206876955577
JOSD3	8.1688370494799
ADAM5P	3.24086308438226
CHD9	6.24649242840754
hCG_40738	3.93123662111045
STK16	4.59102782920472
PDE1C	3.45606646807663
SEMA4D	5.04853144133307
AGPAT1	5.88873563229628
TOB2	5.60579168997687
BANK1	5.96090642364576
MAP3K3	5.56008940833965
MAX	4.80303070069126
GRM2	3.52185451925862
OSBPL8	7.01497768822129
PROSC	5.57539359654946
NR4A2	5.77565287610301
RICS	5.13450606900369
PIR	3.45026936953417
PPCS	8.60419474309673
IPO9	6.17644558433335
LONP1	7.07911477467929
EVC	4.26373755750295
CXCL13	4.685432463627
SCYL3	4.84206188131191
KIAA1199	6.21597224570251
SORL1	7.15611548885117
NAT10	7.15581278890236
CHD1	6.12224900509064
SYN3	3.38032075138739
DMC1	3.80547013742877
SLC22A2	3.69788682575611
SERPINF1	7.64067334130614
C20orf27	5.80480880755066
OR7A17	3.13753044660098
RPS6KA5	4.90822978750225
LHB	3.26627084008127
TAOK3	4.73239828656969
STK25	5.38404790378281
SLC12A4	3.67140144589519
BRCA1	4.35587449250465
GBL	4.81990337422921
C14orf108	7.41129943333615
CDC25B	7.56572280603466
BMP3	3.43721094294373
MAP1LC3C	3.49066973740043
TMEM180	3.96015071632584
CRYGC	3.64455649823412
SLK	6.32395908679996
POU3F1	3.24001696707581
C20orf32	3.86796981626235
USP52	6.83394387677253
HIGD1B	4.21613259787029
BAZ1B	5.74936555369293
USP6NL	5.01232138601282
SLCO2B1	4.23541798084644
ABCD4	4.750251971557
DIMT1L	5.85777279807206
SLC25A46	5.96258751475235
LARP7	7.47049814435086
TEK	3.50339364529603
CD160	3.69698450061486
TERF2IP	7.20160676243138
PHF20	6.4852959670072
COL1A1	7.39762685132246
KIAA0090	5.85674370782214
GTPBP1	4.26436929068921
GRK5	4.10773637159692
AP1S2	5.42521846490052
RAB33B	4.4827826045065
CA11	4.68729227163075
ALDOC	4.27115922001206
NUDT1	5.22304570919918
ZNF212	5.75794712636714
ACBD3	6.2741041147693
ZNF83	7.17906488031055
PRDM2	4.78169448425144
GDPD5	4.1279387641312
PDCD4	5.54152146305212
CEP350	5.96374498445133
FOXP3	3.51807308778412
SMYD3	5.4220551391235
CST7	4.26911768808026
SELL	3.73099391562097
CIAO1	6.01459126793031
LGI2	3.94837186605709
WDR45	5.8145980135889
ANKRD6	6.77160734167284
LTBP4	3.87667187778174
PSCD3	3.60373510819695
PYY	3.28189749216777
KCNC1	3.13891437346091
SIRT6	4.28470904165579
CCL19	4.65046212714797
ARHGEF9	4.37261109902189
ABR	4.43974808824125
C10orf22	6.65833876473211
STK17A	4.51319181780986
FOXE1	3.20233549938076
GML	3.13158397961689
CNGA3	3.22806063032804
CD38	3.51438731640619
ZDHHC6	7.39447119916567
NEFH	3.34828186725433
PGBD5	3.35162997237181
CTDSP2	7.61019693180454
RMND5B	4.41006802467241
ZNF257	4.26757481885077
DUSP4	3.50313301700475
FLJ22167	5.38359672412913
EXOSC7	6.31130374483668
ROR2	3.59073117443820
FOXM1	5.86278177585546
ZBTB48	4.67440770148382
BUD31	7.07339909293875
MAOA	3.75739814846486
CCDC41	5.10349448298284
TNNT3	3.66546105412899
FBXO11	5.47083534582758
GYPC	5.32999528664778
PLIN	3.5099193398571
RFXAP	3.63246865567616
C6orf15	3.53073863396191
RNF4	9.93818894164625
F8A1	7.2425972961081
PPP1R3D	4.31819468451586
GRB2	7.4142847068308
TPM3	2.96188831354009
SYT13	4.33126973908563
EPB42	3.57107870826318
RP5-1077B9.4	5.17582925936112
EIF1	10.2369068792471
CETN3	7.52318611753651
FPGT	5.06128251674215
PRY	3.44216369371236
NTHL1	4.76721367536175
POLR2B	8.7262634856935
RPS28	11.9528699032154
GDF10	3.28117488934507
COQ9	6.90272949970444
P2RX3	3.06761062435175
GCC2	7.18823295954242
RARRES3	4.66375439622918
PLXNA1	6.14842661876202
WBP4	5.62994842474749
KIAA0100	6.22739384235359
PMF1	5.96686106097752
HS2ST1	5.9508390338736
CRELD2	6.12294992427483
C8G	3.19387828976291
CD82	5.34938450172464
PMM1	4.94568619085643
CBLL1	4.76064087332592
LIM2	3.40032598969829
VAX2	3.86111464782474
SETDB1	4.93721054302531
LRAP	3.08255546731725
GCLM	5.28999380867882
CPEB3	3.58933957718283
PPM1A	5.76937580809753
INTS1	3.9323664295243
MMP16	3.29345958067597
CAMTA1	4.91424907374011
SAMSN1	4.66797093362004
DRD3	2.77102554393289
GMPPA	4.77154870902684
C11orf73	6.18612497240013
AIPL1	3.64027186009218
PTP4A2	8.56954888902435
IL24	3.3886294670713
BDKRB1	3.37355711622581
HPCA	3.61462369578432
MLF1	7.46577961445808
SEC14L1	6.2614875101152
CHFR	5.34183436198878
EMILIN1	3.59138355179013
THADA	6.06070434142143
TAF12	4.96307660407806
NDUFS4	8.22910029262754
ID1	4.57817410735776
PIK3CB	4.31229233900542
COL18A1	7.73153086572484
PDZD3	3.22642645206118
TBC1D17	5.23158888483708
COX8A	9.5000808437598
CDCA4	6.39452261794784
C2orf44	4.66667780813767
C9orf16	7.50600206499841
ERBB2IP	7.8321674336937
EMX2	9.03440186245539
FUS	6.46682652461666
NIPSNAP3B	3.66059865560958
TF	4.09201896635902
CXorf56	5.49891541369779
CLCN4	3.54026818666241
PWP2	5.85101363190162
MMP15	3.84120066065206
MTMR14	6.28859167649219
NPR1	7.06167673669429
DNAL4	5.20641643466407
ELAC2	4.40525419006223
ASS1	10.8798818769836
IPP	5.16508640068106
TMEM59	9.59451254891821
POLR2J	8.46376918563638
SEC23IP	4.7200471516861
RGS4	3.95353414729786
UQCRC1	8.67147617116838
SNX6	6.52220687423347
DDX18	6.66463347411173
POLG	4.37923622906203
ADAM23	3.92732586292971
ZNHIT2	4.24165648712714
TFR2	3.96111342067575
NCDN	4.36877273372558
RAG1	3.46418438620617
POMT1	5.61556004424731
CYP1A1	3.23401338445520
SNAPC1	4.99641133591179
GNA11	5.73264660197168
CCDC52	3.01182252853608
CAPN1	6.74102736391708
DDHD2	6.53235473615781
UPF3A	6.71262061500033
LAGE3	6.55458182598628
GNRHR	3.10599911779736
UNC13B	4.56703857192633
TTLL4	4.214363295924
PPBP	2.90709833569333
HTR3A	3.11459973326496
SDC2	6.19947196060294
ANKRD49	7.47089925257092
BTF3	10.1031709305222
COX7A2	9.71237344681361
SARS	7.31860459176671
C13orf18	3.75721175160064
CACNB1	3.6779063838142
QKI	6.0289258608124
SETMAR	5.83799204084222
LAMB4	3.41215309145407
MAN2B1	7.07025592870432
EML3	5.50632622723358
ACADL	3.16629841601731
OFD1	7.31730730262593
CGA	3.58391577864971
EIF3EIP	10.610795858359
PEX16	5.29187510881537
GNG12	7.45445769626777
HABP4	4.65840643319917
CNTN2	3.74935266301925
ASNSD1	7.0667578272474
FUT4	3.99188881105370
DBH	3.38984583253816
CD53	6.99775362045267
HIST1H2BJ	3.49135182888091
TFAP2B	3.32660586089025
ACF	3.51261593869433
TMEM11	5.46450362285457
CDH8	3.50107120571353
C3orf32	3.56915621168180
AGPS	4.13863756929275
C4orf18	3.35934367234098
PCCB	5.48481515178165
IPO13	4.03664484011885
PECI	6.6796735930186
UNG	7.09343932612924
C6orf105	3.75100357320672
GSTP1	8.72254876138846
SUV420H1	7.87068473057303
ARHGAP15	4.20337294797968
LTBR	6.15267492480394
TDRKH	3.32912759381312
PSG4	3.05019690659870
SLC9A3R1	6.46296912007883
NBPF3	9.90206951154144
SLC9A3	3.64819133753747
OSBP	6.3213709010996
PRR5	4.08629661089762
CHMP7	5.69619869571883
ADRA1A	3.11592440883265
ASAH1	6.6520658303622
FKBP4	5.63767647352990
ZNF350	5.37170952151729
DOM3Z	5.48110997395288
GIPR	3.94170845059947
AHI1	4.64616457808744
BST1	3.78811829821918
NCR2	3.55765160260379
NADSYN1	5.05747040176059
UBE2W	6.12007378327238
RGS14	3.76204620394487
KRT15	3.6310683429577
SCN11A	4.01530189499648
GFI1	3.58314533464541
FHL1	5.82502329989213
SMC6	5.80030619546569
GATA1	3.74333191122099
OSGEP	4.46738900281633
ARMC6	4.82622348075377
HK3	3.45899102562372
PSMD5	6.56599525611695
RSU1	6.86378899164882
RPL4	11.4395523011573
MAD2L1	8.49525424883306
RBPMS	4.78734922012085
EIF4A3	9.4981333909846
E4F1	4.72743264228353
DLEC1	3.44730296880658
PRPF3	5.12946005976363
EMR1	3.09283777522068
CHMP2B	8.21351854589094
CAMSAP1	4.70881520365828
RPS21	9.89759788358584
XCR1	3.1526333065888
ARID5A	4.51981894964472
RBM6	6.33843580793034
UBE2N	7.15996092853886
KLF4	4.38409732330353
MGC4172	4.74565586154142
LMO4	7.51371374316571
KLKB1	3.10270300392267
HDAC3	6.35161892016545
HP	3.56381107204584
SCHIP1	5.84628854727017
BTK	4.25897699507464
KRCC1	7.42667988508698
PRND	3.38993823596984
C6orf27	3.66752652200424
PIGL	3.72578468006756
CLCA1	3.75425222401504
C1orf112	3.88566193276617
OLFML2A	6.55614911248778
HUS1	3.98388411825008
SFRS6	7.13983016665993
CXCR7	5.33532915099999
UIMC1	5.40853758511512
FXYD2	3.48280377241035
GOT2	6.97980074360951
ZNF667	4.44381796221098
TFEC	4.06829873244228
ATP7B	4.16868435858313
RAB38	4.18432451504092
POLD2	6.42564247527742
PPM1H	4.52023607859692
DCX	3.41192030219074
NFYC	4.79118435555707
ZNF228	4.71624790547131
KIN	5.44273270483913
PLSCR4	7.50073431339551
HIST1H4I	4.04627257247797
PPARGC1A	4.51647480384154
HIG2	7.1519999117625
KCNK10	4.04830410023597
EXOC1	8.27942454111099
OR6A2	3.54278911710554
ETFA	7.5380663484367
PDAP1	5.18117865040605
C19orf6	3.72335847383959
POLRMT	4.25958969773606
ZNF146	8.22135405874671
MIA2	3.29458625555119
LY6G6E	3.15423605546638
EIF4E2	7.51517465993758
NENF	4.55821317321767
HOXB5	3.60805489311233
ZNF324	4.56300979050497
CUGBP1	4.3910622225145
ENTPD7	3.99885500121301
TTC13	5.26064350075329
GJB5	3.20998457335873
PRSS22	4.11111353686186
CYP3A5	3.45015053848479
MBOAT5	4.18772946763934
CUL4B	5.23283340240436
CENPJ	4.38648444370848
KIAA0664	6.14963658129372
PITX1	3.44446998881135
PDGFRB	5.57582092646572
RDX	5.98938124603773
CELSR3	4.43223590507944
JUND	6.24776225580667
ITSN1	5.14406974039108
CHRNB1	3.94488288947229
EHBP1L1	4.48235364140217
C19orf2	11.0134237181394
FETUB	3.14753614188344
CAMK2B	3.26449414376471
DCTN1	6.16192147128772
TNKS2	6.73929586474093
MRTO4	7.47698359336237
C1QBP	5.58641811523679
TTC3	7.92915815778966
NDUFB8	8.19304883670253
CADPS2	5.23953050160765
EDG2	4.95340661626014
MYF5	3.03192663314621
SEMA3G	3.39980531118160
IL23A	4.30532492653755
GJA9	3.73302939388049
R3HDM2	6.68702149712748
C5	4.10765768305061
SLC2A10	5.1922326045872
TRIM45	5.03281589846716
TSP50	3.64824532794176
PAQR3	4.84458442615718
ANKRD26	3.57852886700013
TCP1	7.90452244693883
TMED7	6.1240340430969
CMA1	3.00446017581639
PTCRA	4.25753588855327
HCRTR1	3.43258165844618
FST	5.34730276714195
PAWR	4.21837033713788
LDLR	4.15871753822003
ASTN2	3.68055794242395
SCRN1	6.58587200220074
GPATCH8	6.75346140534052
KIF4A	7.5889005685622
TANC2	4.28944947091875
ZMYM5	4.13802769417468
PGM1	8.08183252809699
ZNF586	6.10791623781469
POLR3G	3.48157625933888
CPD	4.93228748348161
SNCAIP	5.46571747307686
DCT	3.62196119135596
HLA-DOA	3.55870061730253
TANK	6.55344520420883
RCAN1	4.09970030888118
UPK1B	3.96569296861562
DNAJB4	4.84372001482787
UGT1A8	3.19471312673036
LIMD2	3.63558794121112
HIST1H4L	3.4547339179124
PECR	4.07679244163047
