Hybridization REF	AGARS_p_TCGA_B12_RNA_ReDo_HT_HG-U133A_96-HTA_D05_443142
Composite Element REF	Signal
AACS	4.98613186451258
FSTL1	8.04642129758143
ELMO2	4.68065998500667
CREB3L1	4.44302825906056
RPS11	9.97651456697962
PNMA1	6.0721308046189
MMP2	5.99660631955951
SAMD4A	3.65458763017654
SMARCD3	7.8572221741989
A4GNT	4.25235561839734
C9orf39	4.09566615336653
PKNOX2	4.46081482156086
RALYL	3.42511535686188
ZHX3	4.50178483670357
ERCC5	6.3156110520742
RXFP3	2.98755625605708
APBB2	3.72660421948621
BBOX1	6.08302250459947
PRO0478	3.11359672472502
GCSH	7.83430775781517
XDH	3.81941772773479
EDN1	5.04137875154981
MTERF	6.07902067010792
PDCL3	6.28269424194767
CLK4	6.93709081265561
KCNG1	3.76774266884668
CXCR4	6.13680654425623
DECR1	7.88056591658564
SALL1	3.54439308124992
PTPRR	3.60918009110089
CADM4	3.55898852198736
IRAK1	8.86809909715471
CFHR5	3.37579950215853
HNRPD	7.66960730970972
TMSB10	12.0001002624014
CXCL3	4.20782223428333
LMAN1	3.67534159233746
SUHW1	3.70895745791835
CHD8	5.37813395284098
SUMO1	7.51167690025305
GP1BA	3.41616754155012
OR7A10	4.28502948872309
DDB1	7.49646140649651
CHRNA10	3.60757865296146
STYK1	4.00015133679497
MYO9B	4.62568889119741
CCNI	9.90183205173784
MMP7	6.74198833073003
EP300	6.75026986408257
CRNKL1	4.73929813124627
C9orf45	3.31041280641631
XAB2	5.53693465264934
RTN1	3.61552389960650
HIC2	4.34349289274464
TBX10	3.62882541207376
CENPQ	3.95929846896628
UTY	3.51469021947378
OR2W1	3.02472491689602
ATP5G2	10.1779713357677
ZEB1	3.52858264047107
ZG16	3.60169780394194
ERG	4.27938188881782
PARN	5.64340714887063
SOD2	5.42022778916357
JOSD3	6.24893863426429
ADAM5P	3.41953526540773
CHD9	5.92051923273507
hCG_40738	3.69092385204887
STK16	4.18101724787102
PDE1C	3.89086151781321
SEMA4D	5.001969060884
AGPAT1	6.17499758730969
TOB2	6.8974212707336
BANK1	3.86256244728656
MAP3K3	5.65028352342229
MAX	4.77360577307215
GRM2	3.65489809433512
OSBPL8	5.61453608203617
PROSC	4.93536318249754
NR4A2	6.90351183811814
RICS	4.82708341022575
PIR	4.34468519447756
PPCS	8.6751342688523
IPO9	6.60619824855916
LONP1	7.1463265912534
EVC	4.69730230901401
CXCL13	3.86127180989193
SCYL3	5.01330750758776
KIAA1199	4.08941831376633
SORL1	6.29744570033446
NAT10	6.61626356186368
CHD1	5.31757408511574
SYN3	3.46666934983725
DMC1	4.06559034426861
SLC22A2	3.59636392183849
SERPINF1	5.65921341558987
C20orf27	5.04206244451017
OR7A17	3.14781854015076
RPS6KA5	4.36443994280034
LHB	3.77954163113904
TAOK3	4.63072405038642
STK25	5.37725740408046
SLC12A4	3.92107846880249
BRCA1	3.98794582263812
GBL	4.35117986343581
C14orf108	5.58787970012938
CDC25B	5.95328422559692
BMP3	3.61726286696924
MAP1LC3C	3.51949060664652
TMEM180	4.46324646151775
CRYGC	3.45354745977309
SLK	5.93073427006579
POU3F1	3.68166907751676
C20orf32	3.84156338800146
USP52	5.33347245040087
HIGD1B	4.07759011108053
BAZ1B	6.51675707456518
USP6NL	4.97432469375889
SLCO2B1	3.96613408523256
ABCD4	4.186201611759
DIMT1L	5.16297624652294
SLC25A46	5.9328956890152
LARP7	6.74807560865225
TEK	3.51289703691773
CD160	3.63035267761975
TERF2IP	6.5975727188378
PHF20	6.40442853408775
COL1A1	5.917569666364
KIAA0090	4.84434622107078
GTPBP1	4.57328613945014
GRK5	3.72039019169357
AP1S2	4.54758296193157
RAB33B	4.28678602414939
CA11	4.40514769711348
ALDOC	4.00659539844977
NUDT1	5.24914456470399
ZNF212	5.04488534324959
ACBD3	7.61926141832887
ZNF83	6.06764082005098
PRDM2	4.65114182438506
GDPD5	4.78075961318489
PDCD4	5.46249540790135
CEP350	6.29021069868035
FOXP3	3.35509497445735
SMYD3	4.92991853549834
CST7	3.82647410401335
SELL	5.6636928407127
CIAO1	6.32678852078761
LGI2	3.93573185489973
WDR45	5.69345792454173
ANKRD6	6.2868181669306
LTBP4	4.25950723368656
PSCD3	3.86714137095817
PYY	3.13571335620186
KCNC1	3.1253311677397
SIRT6	4.3306159005833
CCL19	3.94260461584116
ARHGEF9	5.0155494684293
ABR	4.43659781567804
C10orf22	5.66429406159275
STK17A	4.36044163886354
FOXE1	3.7813873305471
GML	3.18598891617202
CNGA3	2.98503393099318
CD38	3.76285209635507
ZDHHC6	6.81555011201249
NEFH	3.67521353994696
PGBD5	3.53943620539909
CTDSP2	5.91256585269471
RMND5B	5.20867121825853
ZNF257	3.53403768333184
DUSP4	7.85651206131819
FLJ22167	4.45405525423822
EXOSC7	6.21385134481392
ROR2	3.79218261581163
FOXM1	4.9984285128633
ZBTB48	4.41281041167519
BUD31	6.5113137589093
MAOA	3.79867390335116
CCDC41	4.45330957369388
TNNT3	4.09683722025408
FBXO11	5.68419193621682
GYPC	5.54245403467405
PLIN	3.59729252639224
RFXAP	3.73176327838194
C6orf15	3.89825069260882
RNF4	7.52972090425132
F8A1	9.28324254724416
PPP1R3D	4.68196605045005
GRB2	6.97286044673287
TPM3	3.29250826387320
SYT13	4.46993737395735
EPB42	3.49110737030479
RP5-1077B9.4	4.45738902070336
EIF1	9.18099327866148
CETN3	5.22524436518337
FPGT	4.54931206528906
PRY	3.36710275843092
NTHL1	5.06414277993697
POLR2B	6.89438537749259
RPS28	12.1889606363726
GDF10	3.36859957579011
COQ9	5.55460828924545
P2RX3	3.15578222209313
GCC2	5.70018145646134
RARRES3	7.48262309682482
PLXNA1	6.7526091123488
WBP4	4.14618082374719
KIAA0100	5.46482191659596
PMF1	5.65716217736187
HS2ST1	5.04413676866801
CRELD2	7.0764499589193
C8G	3.05678223402000
CD82	5.65752747674104
PMM1	5.21809343387591
CBLL1	4.10810948521948
LIM2	3.77362458550103
VAX2	3.39472186477304
SETDB1	4.70897881588979
LRAP	3.34771908413801
GCLM	4.72175527965113
CPEB3	3.37526260197995
PPM1A	4.87668836283269
INTS1	4.4557862380569
MMP16	3.28669819175751
CAMTA1	3.41362418474013
SAMSN1	3.61183575740050
DRD3	2.91408534861705
GMPPA	5.90432545398991
C11orf73	5.14120939514534
AIPL1	3.88358019611495
PTP4A2	9.17944505601973
IL24	3.54149558578286
BDKRB1	3.48642248419044
HPCA	3.54683583376547
MLF1	5.80016012627348
SEC14L1	6.47092617941897
CHFR	5.1583673044259
EMILIN1	3.50822070115065
THADA	6.50669994662641
TAF12	4.04251388517468
NDUFS4	5.65465973548014
ID1	4.29132838877476
PIK3CB	4.87058672181436
COL18A1	7.13134235070288
PDZD3	3.65704569829154
TBC1D17	4.12103703503055
COX8A	9.20958187277925
CDCA4	6.27051291671662
C2orf44	4.37821308340297
C9orf16	8.23660869698263
ERBB2IP	7.05989793826611
EMX2	7.95348032986435
FUS	6.09188035519956
NIPSNAP3B	3.42983322537588
TF	3.65501267172132
CXorf56	5.62690934836141
CLCN4	3.6167760866042
PWP2	4.12590419378377
MMP15	4.77575051917283
MTMR14	5.41889592533014
NPR1	6.99735041146942
DNAL4	5.89292490950598
ELAC2	4.46184448635925
ASS1	10.6170084519248
IPP	5.32526001985544
TMEM59	8.42272374542607
POLR2J	8.21809092036212
SEC23IP	4.33652058863157
RGS4	3.61604656175446
UQCRC1	7.96464898372668
SNX6	5.74010725212827
DDX18	6.09736991079645
POLG	4.18859956017197
ADAM23	4.25403728500685
ZNHIT2	4.5674790603489
TFR2	3.61410456285976
NCDN	4.78486544767184
RAG1	3.37199859261661
POMT1	4.62556962009205
CYP1A1	3.60972139834212
SNAPC1	5.81334309941906
GNA11	5.25202970768119
CCDC52	2.72382444376012
CAPN1	6.35528764157082
DDHD2	5.74271002353693
UPF3A	5.0215806904017
LAGE3	7.229533960983
GNRHR	3.04470578079486
UNC13B	5.53297212004168
TTLL4	4.35475690451697
PPBP	3.1914032588569
HTR3A	5.89989695469304
SDC2	4.92833918167979
ANKRD49	5.49464369965523
BTF3	8.77949113509433
COX7A2	10.3940715617351
SARS	6.75230877136826
C13orf18	3.59132727674653
CACNB1	4.31266113902255
QKI	5.36608417895952
SETMAR	5.11787483179888
LAMB4	3.41092797379609
MAN2B1	5.91065233645044
EML3	5.88650976955861
ACADL	3.49285975314955
OFD1	8.25551891457144
CGA	3.73110416053872
EIF3EIP	10.5858277725455
PEX16	5.25000385865261
GNG12	7.0653135712677
HABP4	4.33624788748404
CNTN2	4.42373620300223
ASNSD1	6.710347276145
FUT4	3.63296414462637
DBH	3.64624534712365
CD53	4.08511079219262
HIST1H2BJ	3.49244355626215
TFAP2B	3.16743131575438
ACF	3.82038642249775
TMEM11	5.5663770643809
CDH8	3.42756323913574
C3orf32	3.61419197810582
AGPS	4.60928697084584
C4orf18	2.99384590840188
PCCB	6.23495860469662
IPO13	4.76033387435914
PECI	5.87757724629932
UNG	6.50746125016511
C6orf105	3.65053257640163
GSTP1	8.186043642553
SUV420H1	6.88956857594624
ARHGAP15	3.44488800049645
LTBR	5.16832903725035
TDRKH	3.37994730776269
PSG4	4.14050059894971
SLC9A3R1	5.74660944623143
NBPF3	9.34628742323337
SLC9A3	3.83923752934665
OSBP	5.65010774700307
PRR5	4.29136900296369
CHMP7	5.55797803409366
ADRA1A	3.2773647389742
ASAH1	6.18940910206564
FKBP4	4.99178053884917
ZNF350	3.97481935897974
DOM3Z	5.22716774008363
GIPR	3.98711487456477
AHI1	4.17371586478754
BST1	5.78228319612663
NCR2	3.53463974449615
NADSYN1	5.12724325694012
UBE2W	5.97772965081583
RGS14	4.24623812575576
KRT15	4.28870741137738
SCN11A	4.09387997106539
GFI1	3.89408899717439
FHL1	4.47249984428444
