Hybridization REF	APEEK_p_TCGA_GBM16-Ov15_Expr_HT_HG-U133A_96-HTA_A01_464132
Composite Element REF	Signal
AACS	6.56966094704492
FSTL1	9.45634689436693
ELMO2	5.3399319407363
CREB3L1	4.94845296691444
RPS11	10.0430790306975
PNMA1	8.22874208050984
MMP2	9.20469710234194
SAMD4A	4.17411772579721
SMARCD3	6.43409445381588
A4GNT	3.46926110560863
C9orf39	3.32287602694052
PKNOX2	4.26016379845102
RALYL	3.10079914675338
ZHX3	4.45184685547662
ERCC5	6.37220655507562
RXFP3	2.97858548349729
APBB2	4.98692563253337
BBOX1	4.06967117894011
PRO0478	3.06941043096199
GCSH	8.31223582658009
XDH	3.60109701511749
EDN1	6.24169939671516
MTERF	6.62980205238816
PDCL3	7.21331666386104
CLK4	6.42228270537981
KCNG1	3.6051651304315
CXCR4	6.9220454464747
DECR1	7.24806031414456
SALL1	3.17403678328405
PTPRR	3.49232558141392
CADM4	3.30667752646764
IRAK1	8.9410963359182
CFHR5	3.14667183675967
HNRPD	7.84173420972776
TMSB10	11.4179351607427
CXCL3	3.99519498102402
LMAN1	3.92213993037445
SUHW1	3.38884752444576
CHD8	5.34031615766976
SUMO1	8.1877578550653
GP1BA	3.22693278536993
OR7A10	3.85917048224638
DDB1	7.21119690365708
CHRNA10	3.43996147097357
STYK1	3.45901654916308
MYO9B	4.38262006903613
CCNI	9.67751126173657
MMP7	8.55475886297674
EP300	5.92601614603497
CRNKL1	5.66704991300753
C9orf45	3.01307591055289
XAB2	3.86491251096557
RTN1	4.56031184078671
HIC2	4.12326054514321
TBX10	3.43295319040837
CENPQ	4.68145011463823
UTY	3.0418865398163
OR2W1	2.96147972291203
ATP5G2	9.53532343824946
ZEB1	4.27107513429199
ZG16	3.43997782521059
ERG	4.66775778469375
PARN	7.03603489810988
SOD2	5.8658026373633
JOSD3	7.82257258135453
ADAM5P	3.17105857136667
CHD9	6.28622947395865
hCG_40738	3.79651308738617
STK16	4.49087266088559
PDE1C	3.70122247661550
SEMA4D	5.13161914510413
AGPAT1	5.99026794312415
TOB2	6.35925170166614
BANK1	5.06481922515082
MAP3K3	5.2493306438105
MAX	5.31421479702184
GRM2	3.48747366330287
OSBPL8	7.69293299723337
PROSC	5.77073969796371
NR4A2	8.54110867116755
RICS	4.80240069569993
PIR	5.81775638789568
PPCS	8.85231328431443
IPO9	6.29157697466336
LONP1	6.28243238410383
EVC	4.68391833100012
CXCL13	3.97409760908137
SCYL3	5.28451857485175
KIAA1199	6.99475213331827
SORL1	6.46060212663756
NAT10	7.06586558541652
CHD1	6.73598089829542
SYN3	3.29963187860965
DMC1	3.82164262305324
SLC22A2	3.81268703401578
SERPINF1	9.24861224015266
C20orf27	5.59061617290889
OR7A17	3.21959528826327
RPS6KA5	5.10012267995262
LHB	3.29020015031012
TAOK3	5.20420768455358
STK25	5.41492764117798
SLC12A4	3.73425800869494
BRCA1	3.51167907158750
GBL	4.84814218636146
C14orf108	8.40804500760514
CDC25B	6.05563792251246
BMP3	3.17040188783404
MAP1LC3C	3.36353578265391
TMEM180	3.32955124092212
CRYGC	3.46579518051713
SLK	6.24210384777876
POU3F1	3.19098840713949
C20orf32	3.83346322405483
USP52	4.67084833694170
HIGD1B	4.04690300835843
BAZ1B	6.51976113214817
USP6NL	5.09867564158877
SLCO2B1	4.69495974619433
ABCD4	4.52781117112836
DIMT1L	6.34591304788471
SLC25A46	7.83044160823605
LARP7	6.52759643630978
TEK	4.24087618277969
CD160	3.72977465029505
TERF2IP	7.13152337993565
PHF20	6.39297637530251
COL1A1	9.20133440081963
KIAA0090	5.10274881042088
GTPBP1	4.28928946493898
GRK5	4.74473982687553
AP1S2	6.43566746351495
RAB33B	4.19846287718714
CA11	4.26690861194287
ALDOC	5.5867543639537
NUDT1	4.96933689341515
ZNF212	6.12868679206506
ACBD3	7.69757890233102
ZNF83	7.37540155234996
PRDM2	4.68360441321543
GDPD5	4.80790486688217
PDCD4	5.63087899221135
CEP350	6.43118628531058
FOXP3	3.17551071906319
SMYD3	6.74953598621607
CST7	4.55584040090182
SELL	4.59093157724165
CIAO1	6.20979632334207
LGI2	3.83500574346711
WDR45	6.50407241677932
ANKRD6	7.8743668002455
LTBP4	3.61261071905364
PSCD3	3.17841228773591
PYY	2.95118945219505
KCNC1	3.13922766669646
SIRT6	3.79404743557042
CCL19	4.73646293890794
ARHGEF9	4.56596749063801
ABR	4.91193374968646
C10orf22	7.16958695860492
STK17A	5.15387422024954
FOXE1	3.13860116840531
GML	3.40500469848523
CNGA3	3.21306801792636
CD38	3.7811060324473
ZDHHC6	6.96846659012602
NEFH	3.33078014008632
PGBD5	3.60394389700067
CTDSP2	6.9900191964117
RMND5B	5.05018411671738
ZNF257	3.74629073197324
DUSP4	5.65179701004579
FLJ22167	5.00411980388959
EXOSC7	6.51638138266967
ROR2	4.070013472275
FOXM1	4.42831812545358
ZBTB48	4.07601129922332
BUD31	7.11224699765659
MAOA	7.13854023782597
CCDC41	4.47967604937711
TNNT3	3.61981227527076
FBXO11	5.79214636545947
GYPC	8.01051444724814
PLIN	8.28023512004687
RFXAP	3.29849921025536
C6orf15	3.69480686125173
RNF4	8.54876289033724
F8A1	7.71591424495444
PPP1R3D	4.69489674553636
GRB2	7.51770458572539
TPM3	3.02469871230781
SYT13	4.32833704643647
EPB42	3.75759265925057
RP5-1077B9.4	4.7443100299921
EIF1	10.1129955706795
CETN3	7.53703647169942
FPGT	5.05415101336101
PRY	3.39289962216624
NTHL1	3.65131813187275
POLR2B	8.82814374944951
RPS28	11.443518016988
GDF10	3.17034518940803
COQ9	6.9905047018415
P2RX3	2.80799799382804
GCC2	7.31801107119477
RARRES3	6.70932113155403
PLXNA1	6.29160212596517
WBP4	4.66550670363953
KIAA0100	6.10804549782233
PMF1	5.96058619559678
HS2ST1	6.16381886703475
CRELD2	7.10955060385778
C8G	3.07236047428630
CD82	5.78666587111727
PMM1	5.25714063410974
CBLL1	4.95838836601718
LIM2	3.34291684775136
VAX2	3.39543738272028
SETDB1	4.88731080638065
LRAP	5.42877546725177
GCLM	6.81431421755282
CPEB3	3.7304968799855
PPM1A	6.3502303862634
INTS1	3.67482769860019
MMP16	3.23897946146927
CAMTA1	3.53630413908536
SAMSN1	6.20721321269637
DRD3	2.82498339963396
GMPPA	5.01703894645534
C11orf73	6.0326719849807
AIPL1	3.68251877192341
PTP4A2	8.5125307064141
IL24	3.46037965068736
BDKRB1	3.74243465088678
HPCA	3.40672856906096
MLF1	5.36037304880422
SEC14L1	6.87002958201963
CHFR	5.50997743234211
EMILIN1	4.53764344384924
THADA	6.60699081003963
TAF12	4.51608508812677
NDUFS4	7.91049360084938
ID1	7.04751852483845
PIK3CB	3.94006558752513
COL18A1	7.14859496684421
PDZD3	3.17699805893284
TBC1D17	4.06640950466982
COX8A	9.18540750918346
CDCA4	5.78368619409488
C2orf44	3.98546387571108
C9orf16	7.66938207468584
ERBB2IP	7.7169914803229
EMX2	8.11800938319756
FUS	6.37680502262408
NIPSNAP3B	3.86513308768188
TF	3.76327174453228
CXorf56	5.59227931923351
CLCN4	3.64982168098535
PWP2	5.2954732855176
MMP15	3.57853704387241
MTMR14	5.96318546411247
NPR1	7.13467949563752
DNAL4	4.82479058137579
ELAC2	4.40336537136889
ASS1	10.3259113501996
IPP	4.64088942632436
TMEM59	9.26841364185342
POLR2J	8.3409817737123
SEC23IP	5.13634971556247
RGS4	5.79977310474637
UQCRC1	8.32323237190859
SNX6	7.24670131740403
DDX18	6.80108438926062
POLG	4.34770489349093
ADAM23	3.90037910652866
ZNHIT2	4.37128810494219
TFR2	3.13586832444767
NCDN	4.43504770092816
RAG1	3.3886914722806
POMT1	5.13076645446757
CYP1A1	3.30583631749743
SNAPC1	6.03284817615664
GNA11	5.67793777390772
CCDC52	3.00486783054346
CAPN1	6.33514388836059
DDHD2	6.97257309810421
UPF3A	5.47817921469592
LAGE3	6.05902438994762
GNRHR	3.23059352328659
UNC13B	6.25500003449035
TTLL4	4.41355768980149
PPBP	3.32798100117716
HTR3A	3.3351329817978
SDC2	6.3235313203293
ANKRD49	6.64118476737542
BTF3	10.0424026665160
COX7A2	10.4366351748556
SARS	8.3631137096529
C13orf18	4.46568882985565
CACNB1	3.73882919787448
QKI	6.63105390653255
SETMAR	5.68004118068173
LAMB4	3.27630377091908
MAN2B1	6.55955412355153
EML3	4.94972654347306
ACADL	3.30860567083674
OFD1	8.78573461605876
CGA	3.43808254271945
EIF3EIP	10.5821852905706
PEX16	5.19046146085999
GNG12	8.3126765094138
HABP4	5.27273954716364
CNTN2	3.45323207012718
ASNSD1	7.33677349262363
FUT4	4.57489571239834
DBH	3.27398592227674
CD53	7.675496553916
HIST1H2BJ	2.98418487217249
TFAP2B	3.17889594868843
ACF	3.39685390078272
TMEM11	5.96443015415235
CDH8	3.42478254300207
C3orf32	3.73691251934389
AGPS	5.02813893584192
C4orf18	3.32869505798413
PCCB	6.61194277818543
IPO13	4.94131577777401
PECI	7.53191611778024
UNG	6.98312286722495
C6orf105	3.68487294075908
GSTP1	8.4088345277032
SUV420H1	7.75704069704391
ARHGAP15	4.802654801239
LTBR	6.05773050747976
TDRKH	3.23310441844129
PSG4	3.46205637396061
SLC9A3R1	5.49039002827593
NBPF3	8.53169247574166
SLC9A3	3.58237780994429
OSBP	6.38121828567035
PRR5	4.61347407242699
CHMP7	5.85494426461621
ADRA1A	2.97665842452337
ASAH1	7.67418353805257
FKBP4	5.94908851498874
ZNF350	5.75575189549214
DOM3Z	4.82248768429664
GIPR	4.29508492658824
AHI1	4.61155213080405
BST1	4.27987592629477
NCR2	3.65789628074832
NADSYN1	4.93922820651735
