Hybridization REF	APEEK_p_TCGA_GBM16-Ov15_Expr_HT_HG-U133A_96-HTA_B03_464078
Composite Element REF	Signal
AACS	5.24323820706293
FSTL1	8.4117850836301
ELMO2	4.47340935363956
CREB3L1	4.05725256432211
RPS11	10.068209333037
PNMA1	6.32425362639395
MMP2	5.8312697401472
SAMD4A	3.56155599010996
SMARCD3	5.9177220720465
A4GNT	3.67953797847636
C9orf39	3.64011858594125
PKNOX2	3.80550300408229
RALYL	3.54622894876144
ZHX3	4.45071817055712
ERCC5	5.90545696995281
RXFP3	3.25806550648085
APBB2	5.296451217733
BBOX1	7.21674408229269
PRO0478	3.20923544250401
GCSH	6.95631925488417
XDH	3.73844330317778
EDN1	4.01910659848618
MTERF	5.92508805719281
PDCL3	6.22102446178134
CLK4	6.0948030516756
KCNG1	3.69140201229637
CXCR4	4.94985760539867
DECR1	7.74282482370856
SALL1	3.39846501949904
PTPRR	3.37930419261079
CADM4	3.55471284949923
IRAK1	8.00872592706365
CFHR5	3.40345964351193
HNRPD	8.287691527947
TMSB10	11.4107238372715
CXCL3	3.93262234361388
LMAN1	3.52523737998306
SUHW1	3.56876041273354
CHD8	5.93818238947149
SUMO1	7.49407465441128
GP1BA	3.26307387531226
OR7A10	4.28201843299895
DDB1	7.99973400431058
CHRNA10	3.48126607622494
STYK1	4.76692353565253
MYO9B	4.44939918388914
CCNI	9.54045514784135
MMP7	10.3576753570469
EP300	5.82867362695999
CRNKL1	5.18122764403157
C9orf45	3.56039651240182
XAB2	4.52603184447863
RTN1	5.36043065395616
HIC2	3.93280298802331
TBX10	3.5422541052324
CENPQ	4.32780383626636
UTY	3.30661815164628
OR2W1	2.92729918465319
ATP5G2	9.60224260508116
ZEB1	3.38773311532521
ZG16	3.77158296206477
ERG	3.66691083176446
PARN	7.99180570507842
SOD2	4.48723811654793
JOSD3	6.28676487719225
ADAM5P	3.43467836219364
CHD9	6.81963864700083
hCG_40738	3.65051855256317
STK16	4.6166984736325
PDE1C	3.73707101567938
SEMA4D	5.12126490051375
AGPAT1	6.04206561828203
TOB2	6.52961118094084
BANK1	3.40160648932202
MAP3K3	6.17824449563306
MAX	4.93603984891846
GRM2	3.87820642783718
OSBPL8	7.13037920108205
PROSC	5.79661744766011
NR4A2	5.37012930609697
RICS	4.92115439772556
PIR	5.31738680427551
PPCS	8.63274065769461
IPO9	7.1797445086499
LONP1	6.44566001799825
EVC	3.98576195573016
CXCL13	4.27431572767865
SCYL3	4.79212282707184
KIAA1199	3.94535997617689
SORL1	6.41050336843124
NAT10	6.4520382154189
CHD1	5.21224269884477
SYN3	3.69042059539515
DMC1	4.1009946326154
SLC22A2	3.39768337968655
SERPINF1	5.76268596667307
C20orf27	4.77130417915773
OR7A17	3.23259863678309
RPS6KA5	4.17705571346413
LHB	3.49192170431049
TAOK3	4.23617773442344
STK25	5.31879019785712
SLC12A4	3.87789556802673
BRCA1	3.42920890724453
GBL	5.94612079101738
C14orf108	7.21053223228613
CDC25B	6.14854035284495
BMP3	3.2588742298196
MAP1LC3C	3.42824898126133
TMEM180	4.0409388246764
CRYGC	3.60664636980253
SLK	4.43997845909202
POU3F1	3.45158542331132
C20orf32	4.18491044349022
USP52	5.07012389329634
HIGD1B	3.71605925594645
BAZ1B	7.4220768319839
USP6NL	4.9818422210892
