Hybridization REF	BONES_p_TCGA_Batch8_9_RNA_HT_HG-U133A_96-HTA_A11_297970
Composite Element REF	Signal
AACS	5.87527380353706
FSTL1	7.49802537912995
ELMO2	5.23768203986326
CREB3L1	3.78761336298097
RPS11	10.1957048634355
PNMA1	7.26960954568618
MMP2	6.95138993254793
SAMD4A	3.718063625376
SMARCD3	8.35942544892042
A4GNT	3.44022083493428
C9orf39	3.54093775280786
PKNOX2	4.00092050139054
RALYL	3.67954914595119
ZHX3	4.44008380631514
ERCC5	5.9704406894657
RXFP3	2.96445280539057
APBB2	3.99999337865275
BBOX1	7.19555619143805
PRO0478	3.00597946701787
GCSH	9.2950407723472
XDH	3.85838269067192
EDN1	3.50421138241626
MTERF	5.94878766024050
PDCL3	7.49008736721419
CLK4	6.76350072103772
KCNG1	3.56699863694615
CXCR4	7.44298043803988
DECR1	9.35773145945008
SALL1	4.0579320819442
PTPRR	3.45900603952509
CADM4	3.20952818079034
IRAK1	8.86961935123204
CFHR5	3.27913728686666
HNRPD	7.41531006603097
TMSB10	12.0045858444958
CXCL3	3.84598010928477
LMAN1	4.27007285428662
SUHW1	3.56620760369829
CHD8	4.88533889602036
SUMO1	7.49632559376119
GP1BA	3.18940276749679
OR7A10	3.88472548572295
DDB1	6.87925258438638
CHRNA10	3.61167718098954
STYK1	3.92114640539553
MYO9B	3.95484867614251
CCNI	10.1161578435525
MMP7	7.59813112271745
EP300	5.89739504931376
CRNKL1	5.73145235067176
C9orf45	3.06847587453222
XAB2	4.15987410774096
RTN1	4.34867926390507
HIC2	3.99817755313267
TBX10	3.43066157171458
CENPQ	3.70625443909441
UTY	3.10181413404764
OR2W1	2.97592893796749
ATP5G2	9.84737769347348
ZEB1	3.48772425754718
ZG16	3.30504347981874
ERG	4.25487738379912
PARN	6.5199179057506
SOD2	6.0521569025146
JOSD3	6.91564035228904
ADAM5P	3.39726739399309
CHD9	5.59345404235782
hCG_40738	3.64752254496582
STK16	4.65766136033449
PDE1C	3.68582820223906
SEMA4D	6.03966692906693
AGPAT1	5.81645402389345
TOB2	6.06010729342791
BANK1	3.33141094132320
MAP3K3	4.82234384385805
MAX	4.86283605902108
GRM2	3.55978597244804
OSBPL8	6.48062295446138
PROSC	5.35972597154405
NR4A2	5.4264930656025
RICS	3.94032282833992
PIR	5.29167392419639
PPCS	9.42183870609908
IPO9	6.08010835922704
LONP1	6.59636528686866
EVC	4.11156123373452
CXCL13	4.71705739457441
SCYL3	5.81819197131172
KIAA1199	5.24911504450626
SORL1	7.75464604379571
NAT10	5.81273177967694
CHD1	6.47913758986746
SYN3	3.40908141509865
DMC1	4.01682613658639
SLC22A2	3.44893031767134
SERPINF1	6.48339093486367
C20orf27	5.34256682435969
OR7A17	3.19106810287368
RPS6KA5	3.88453825376974
LHB	3.26782024611742
TAOK3	4.20764055262363
STK25	4.69096891601575
SLC12A4	3.67828269744674
BRCA1	3.72684376599599
GBL	4.86479673246368
C14orf108	8.13395604178888
CDC25B	7.66544348789923
BMP3	3.27480780676571
MAP1LC3C	3.24419018259207
TMEM180	3.51152357165236
CRYGC	3.74377812408835
SLK	5.10441991301396
POU3F1	3.45276809218756
C20orf32	3.94955682195676
USP52	5.05611673163027
HIGD1B	4.20476216643298
BAZ1B	5.98879102500746
USP6NL	4.73157084668248
SLCO2B1	4.20866720004777
ABCD4	4.2938494996411
DIMT1L	6.72125786698687
SLC25A46	8.68957191789943
LARP7	6.63465874554621
TEK	3.83564085028407
CD160	3.61598607865846
TERF2IP	7.65723066440978
PHF20	6.04845527690926
COL1A1	7.12459054719392
KIAA0090	6.1025734245184
GTPBP1	4.24366140099142
GRK5	3.81578334872153
AP1S2	5.23114440515515
RAB33B	4.97732779394008
CA11	5.47984291252816
ALDOC	4.44113305543083
NUDT1	4.89217961884701
ZNF212	4.9308543486855
ACBD3	7.25477173154246
ZNF83	6.76242695271124
PRDM2	5.11271199850936
GDPD5	4.46266651630839
PDCD4	4.78829417220986
CEP350	5.4900023854188
FOXP3	3.20359668683812
SMYD3	6.66725536909454
CST7	4.04602255318094
SELL	4.33867436867978
CIAO1	6.15924989097156
LGI2	3.86706678848427
WDR45	6.34651102793676
ANKRD6	8.20913085746544
LTBP4	3.62377122159696
PSCD3	3.20863014268772
PYY	3.28382949342477
KCNC1	3.06454575777882
SIRT6	4.0182665795047
CCL19	3.89813128376711
ARHGEF9	4.40447544130403
ABR	4.19517948712748
C10orf22	6.73396643794972
STK17A	5.19167659811012
FOXE1	3.29496717894231
GML	3.16663906885855
CNGA3	2.98039596089612
CD38	5.40699501399907
ZDHHC6	6.5868222684368
NEFH	6.51316976555938
PGBD5	4.17100602324104
CTDSP2	5.78009346574913
RMND5B	5.25370483008713
ZNF257	3.63396270263946
DUSP4	4.07061020222369
FLJ22167	6.14864430385016
EXOSC7	6.7254214928303
ROR2	3.65178387421907
FOXM1	5.5249287947666
ZBTB48	4.80604775328196
BUD31	7.25330967881732
MAOA	3.96212783318866
CCDC41	4.54039377615978
TNNT3	4.36008740044396
FBXO11	5.02644897788146
GYPC	6.15492083636478
PLIN	3.62065063825022
RFXAP	4.10957483347548
C6orf15	3.5789937234659
RNF4	8.9534997789705
F8A1	8.30600841022985
PPP1R3D	4.80112278455757
GRB2	7.51359869966726
TPM3	3.00439793747868
SYT13	3.87821821710768
EPB42	3.48245421607826
RP5-1077B9.4	5.09293291789941
EIF1	10.2212819197423
CETN3	8.77243378827422
FPGT	6.21327616538631
PRY	3.60731947615601
NTHL1	4.33669300940975
POLR2B	9.03494652499818
RPS28	11.5715497900569
GDF10	3.29442485502136
COQ9	8.07350108316345
P2RX3	2.94944372255788
GCC2	6.96278500573912
RARRES3	7.81009264522119
PLXNA1	5.57400514144662
WBP4	4.70125103641176
KIAA0100	5.91028909437469
PMF1	6.51762914410147
HS2ST1	6.28373611232978
CRELD2	6.96457072710352
C8G	3.00400198391499
CD82	4.85153813208852
PMM1	5.19110199859066
CBLL1	4.62778489207868
LIM2	3.56681798700503
VAX2	3.32768160308834
SETDB1	4.71779720620551
LRAP	6.3105083597652
GCLM	7.3369592269307
