Hybridization REF	BONES_p_TCGA_Batch8_9_RNA_HT_HG-U133A_96-HTA_D04_298068
Composite Element REF	Signal
AACS	6.65367026729928
FSTL1	8.9550896334176
ELMO2	5.49629486953791
CREB3L1	4.19532008684390
RPS11	9.9991807860711
PNMA1	8.98685638509157
MMP2	6.11362168127301
SAMD4A	3.51367085891310
SMARCD3	5.86109940408693
A4GNT	3.61804041040236
C9orf39	3.37152594791429
PKNOX2	4.07292075411966
RALYL	3.37966035387311
ZHX3	4.39363096862243
ERCC5	7.50024366136953
RXFP3	3.21555966042632
APBB2	4.89975279391776
BBOX1	3.29601955800382
PRO0478	3.30096734871624
GCSH	9.01689583017599
XDH	4.07285584083556
EDN1	6.07440854399694
MTERF	6.69081592718139
PDCL3	7.5981572535431
CLK4	5.91488691342735
KCNG1	4.34785476670601
CXCR4	6.73543423931901
DECR1	7.57894145329971
SALL1	4.33678479532119
PTPRR	3.35929165466207
CADM4	3.46769534360868
IRAK1	8.00426042066721
CFHR5	3.18425882537586
HNRPD	8.47213823558658
TMSB10	12.2397230683322
CXCL3	3.49951089820441
LMAN1	4.53744201713245
SUHW1	3.27570082638935
CHD8	6.63258147839812
SUMO1	7.92566508175244
GP1BA	3.37192908793564
OR7A10	3.55898630396326
DDB1	7.80666495925434
CHRNA10	3.74790459386965
STYK1	3.44184922385262
MYO9B	4.05416741232022
CCNI	10.2963268591934
MMP7	4.36655514125161
EP300	6.23201067693372
CRNKL1	6.82791695935712
C9orf45	3.41434949064014
XAB2	4.79171953596897
RTN1	4.73230708539732
HIC2	4.60346312819728
TBX10	3.45605731600966
CENPQ	4.33131211487743
UTY	3.11140076661916
OR2W1	3.13233953494483
ATP5G2	10.6365624496364
ZEB1	3.73612875910324
ZG16	3.57608755405198
ERG	3.58523042481146
PARN	7.4602852755252
SOD2	4.43497086386893
JOSD3	8.07595158290407
ADAM5P	3.41748042116171
CHD9	6.66092523303461
hCG_40738	4.97344977488063
STK16	4.95674277802035
PDE1C	3.79277252433144
SEMA4D	5.86877829109586
AGPAT1	6.08057196058439
TOB2	5.80240868340052
BANK1	3.29164933616334
MAP3K3	5.06447898637406
MAX	5.3072986602857
GRM2	3.67731823079320
OSBPL8	6.61152883042662
PROSC	6.18731839134738
NR4A2	3.39820103992081
RICS	5.24136335868672
PIR	3.88197389918126
PPCS	9.22580464627693
IPO9	6.29007848686554
LONP1	6.82700149271214
EVC	4.25566081400221
CXCL13	4.03858514476818
SCYL3	6.09513041813443
KIAA1199	2.48196100067956
SORL1	6.37560809696463
NAT10	7.83735440708711
CHD1	6.33348391547821
SYN3	3.67922493186977
DMC1	3.74110289015747
SLC22A2	3.67471759317263
SERPINF1	6.64752825401013
C20orf27	5.86562407082344
OR7A17	2.98303333816666
RPS6KA5	4.66614683736296
LHB	3.25449235719408
TAOK3	4.77497994370428
STK25	6.44211318566235
SLC12A4	3.68424010077795
BRCA1	4.40105553576863
GBL	6.70510459285714
C14orf108	8.32639108251016
CDC25B	7.32054290097534
BMP3	3.33205307994915
MAP1LC3C	3.4198865181833
TMEM180	3.7467914784922
CRYGC	3.4650311247011
SLK	5.59703570182892
POU3F1	3.32696800411947
C20orf32	3.88492684938952
USP52	5.6944770250739
HIGD1B	4.08304507315575
BAZ1B	6.7686672343429
USP6NL	5.11127451357555
SLCO2B1	3.98585287872198
ABCD4	4.56057621901893
DIMT1L	6.08498400085774
SLC25A46	6.90916933084322
LARP7	7.12234775783525
TEK	4.19728959550483
CD160	3.79632048622454
TERF2IP	8.38753250648434
PHF20	6.43353412250494
COL1A1	6.34039956324549
KIAA0090	6.64782289785536
GTPBP1	4.42372799743628
GRK5	3.86262865606017
AP1S2	4.63282317997791
RAB33B	3.80613706583264
CA11	4.95732216256192
ALDOC	4.09124199108776
NUDT1	5.89476319030187
ZNF212	5.75690615922403
ACBD3	6.65024210173107
ZNF83	5.89742339427843
PRDM2	5.17704384807606
GDPD5	4.20940309004074
PDCD4	6.39383570539002
CEP350	5.79439196831067
FOXP3	3.30118217663627
SMYD3	6.64097446162987
CST7	3.76025335753397
SELL	3.41861069676074
CIAO1	6.4169456741835
LGI2	3.84827239645686
WDR45	5.60927806450284
ANKRD6	6.66137679327455
LTBP4	3.87856483474108
PSCD3	3.51042349501732
PYY	3.46008362949245
KCNC1	3.11066729385154
SIRT6	4.26483027700822
CCL19	3.84432706334385
ARHGEF9	4.4447203301872
ABR	4.79874953610058
C10orf22	6.47729025107322
STK17A	5.20244311910679
FOXE1	3.54154450406562
GML	2.98344630881843
CNGA3	2.90964528161395
CD38	3.28441690696132
ZDHHC6	7.17658863027733
NEFH	5.19030621836399
PGBD5	6.31466787427208
CTDSP2	7.24722637802072
RMND5B	5.78762053631093
ZNF257	3.15427082767238
DUSP4	5.09883817264573
FLJ22167	6.45575087630765
EXOSC7	7.74707882952412
ROR2	3.73132369275903
FOXM1	6.55555783505394
ZBTB48	4.95121942818062
BUD31	7.6862835789691
MAOA	5.25190044932537
CCDC41	5.5393440226846
TNNT3	4.07924354797757
FBXO11	6.36507142294743
GYPC	5.77927410220895
PLIN	3.4358550059092
RFXAP	3.83728914584104
C6orf15	3.85229442261571
RNF4	8.28623102532166
F8A1	7.03100870925547
PPP1R3D	4.51076766839123
GRB2	7.19462656904019
TPM3	3.04006659735981
SYT13	4.32530243526956
EPB42	3.65940115291724
RP5-1077B9.4	5.30349022063582
EIF1	10.3846258086351
CETN3	7.46261946663954
FPGT	4.50320254675436
PRY	3.76150669696853
NTHL1	5.43769429888371
