Hybridization REF	BONES_p_TCGA_Batch8_9_RNA_HT_HG-U133A_96-HTA_E05_298058
Composite Element REF	Signal
AACS	5.74024254196033
FSTL1	8.90743093269089
ELMO2	5.42983565112108
CREB3L1	3.76747324586776
RPS11	9.7305346092962
PNMA1	8.33577428389068
MMP2	7.24292519905198
SAMD4A	4.12376226107515
SMARCD3	6.4001071842474
A4GNT	3.49708946553555
C9orf39	3.77326589989103
PKNOX2	3.8745835912808
RALYL	3.64007322956051
ZHX3	4.10971685548537
ERCC5	5.34875097815301
RXFP3	3.13245172015999
APBB2	4.65780744063485
BBOX1	6.3402850491439
PRO0478	3.2571281142711
GCSH	9.16993509105588
XDH	3.43902098069603
EDN1	3.94148727745595
MTERF	5.8382287962329
PDCL3	6.12838237230276
CLK4	5.83545899289597
KCNG1	3.86639273127036
CXCR4	7.84358067188263
DECR1	8.3146140822503
SALL1	3.17317677449757
PTPRR	4.03851749584314
CADM4	3.55056995987186
IRAK1	9.03237335232216
CFHR5	3.31769841954063
HNRPD	8.00094061038597
TMSB10	12.1432302967345
CXCL3	3.91316681104495
LMAN1	4.34680099960069
SUHW1	3.66260775147339
CHD8	5.72121217443916
SUMO1	7.52245306443286
GP1BA	3.45603123856894
OR7A10	3.58087050991153
DDB1	7.63265336084059
CHRNA10	3.49737470149761
STYK1	4.26225517134912
MYO9B	4.32488577676071
CCNI	10.4508931978337
MMP7	10.8942767518749
EP300	5.82967628768313
CRNKL1	5.73716367018534
C9orf45	3.52293634196147
XAB2	4.279178245704
RTN1	3.87911569653169
HIC2	3.90851384036373
TBX10	3.27045018108777
CENPQ	3.96341427277092
UTY	3.12038882107491
OR2W1	3.08722018367381
ATP5G2	10.3940731322363
ZEB1	3.65096034753135
ZG16	3.34117619895535
ERG	4.99590634196833
PARN	7.53885141392679
SOD2	4.64225578121662
JOSD3	7.6193165022932
ADAM5P	3.05343060039075
CHD9	6.14150207753609
hCG_40738	3.56196856545156
STK16	5.04439978956319
PDE1C	3.76216992029032
SEMA4D	5.05596536306438
AGPAT1	6.11546234745872
TOB2	5.40692730480795
BANK1	4.36309218155615
MAP3K3	5.26499645365413
MAX	5.45709702057192
GRM2	3.64694361841783
OSBPL8	7.05650492353886
PROSC	4.90562112632176
NR4A2	5.87212061360833
RICS	5.81274372467345
PIR	5.07903776568528
PPCS	9.05026633540457
IPO9	6.15705467380511
LONP1	7.63306173599937
EVC	4.03631600323032
CXCL13	4.02790414100109
SCYL3	5.38252759145576
KIAA1199	7.72788203377640
SORL1	8.53985633723776
NAT10	7.22526084281809
CHD1	5.90324141974242
SYN3	3.34606053658002
DMC1	3.90648163169836
SLC22A2	3.66759700908294
SERPINF1	7.60898559023778
C20orf27	6.70516862618296
OR7A17	3.24450669076038
RPS6KA5	4.37746355079992
LHB	3.22726661827556
TAOK3	4.65613208031242
