Hybridization REF	BONES_p_TCGA_Batch8_9_RNA_HT_HG-U133A_96-HTA_F02_298040
Composite Element REF	Signal
AACS	6.22853072152441
FSTL1	7.15839920341159
ELMO2	5.01529508825392
CREB3L1	3.77318207634554
RPS11	10.3732935844931
PNMA1	7.19686608013633
MMP2	6.5244031396355
SAMD4A	3.66179190387863
SMARCD3	8.11570125372949
A4GNT	3.84652930119672
C9orf39	3.71336711016485
PKNOX2	3.81271474319931
RALYL	3.59807499664841
ZHX3	4.23143361086109
ERCC5	7.01792520326602
RXFP3	3.22334788617273
APBB2	4.03847965124897
BBOX1	8.49948668938585
PRO0478	2.96423429865454
GCSH	8.4646095623976
XDH	3.6446225060122
EDN1	3.91186437237847
MTERF	6.5680351952353
PDCL3	6.20170307131023
CLK4	6.02273573489802
KCNG1	3.55009127159778
CXCR4	6.55058134968465
DECR1	7.46260723597036
SALL1	3.17750728627514
PTPRR	3.49167098196142
CADM4	3.70978944853568
IRAK1	8.78802228547647
CFHR5	3.33575248021206
HNRPD	6.99667113587315
TMSB10	11.8672813794752
CXCL3	4.50403009386956
LMAN1	3.56583307028286
SUHW1	3.71295189039271
CHD8	6.18474340549708
SUMO1	6.37804661306817
GP1BA	3.05128346631811
OR7A10	3.51882601425915
DDB1	8.39669270297437
CHRNA10	3.72355669088291
STYK1	3.60960260319493
MYO9B	4.49975928884405
CCNI	9.9438791614682
MMP7	10.1282291155153
EP300	6.08699691560386
CRNKL1	5.79286008150538
C9orf45	3.49717439644874
XAB2	5.02126433144299
RTN1	4.13054699746116
HIC2	4.00305495872081
TBX10	3.71566334674974
CENPQ	3.65489044823714
UTY	3.21881729144711
OR2W1	2.88111956332279
ATP5G2	10.5682879551452
ZEB1	3.52749633510299
ZG16	4.42782381862986
ERG	4.03948052432744
PARN	6.55780676607957
SOD2	5.81221658206769
JOSD3	6.92105467207352
ADAM5P	3.40897300227955
CHD9	6.38228192321697
hCG_40738	3.82645480446597
STK16	4.94893083465644
PDE1C	3.51100568065521
SEMA4D	5.08159542262742
AGPAT1	6.70216930269201
TOB2	6.57683859972457
BANK1	4.28793228924903
MAP3K3	5.94234876606622
MAX	4.8008208258375
GRM2	3.78764046204035
OSBPL8	6.76128217259734
PROSC	5.91059662087139
NR4A2	4.83490306297865
RICS	5.05141093069041
PIR	3.62480727828479
PPCS	8.67984086560649
IPO9	5.6069116525286
LONP1	6.64635929520318
EVC	4.06923586245418
CXCL13	4.24700684100354
SCYL3	5.38944727492977
KIAA1199	4.30500770347872
SORL1	8.84297771959347
NAT10	6.87729930083208
CHD1	5.04456738408021
SYN3	3.56696160322957
DMC1	3.79222522122553
SLC22A2	3.7048268008943
SERPINF1	7.23639804945801
C20orf27	6.18700842096793
OR7A17	3.10279061158537
RPS6KA5	4.2757765456269
LHB	3.60978608911863
TAOK3	4.99034862724147
STK25	4.82280663018753
SLC12A4	3.98388446607921
BRCA1	3.80194561958173
GBL	5.51638186361784
C14orf108	6.6952149079056
CDC25B	6.31412917211806
BMP3	3.49938583521268
MAP1LC3C	3.70080226492934
TMEM180	3.77694229672331
CRYGC	4.09342659152048
SLK	5.0283365926765
POU3F1	3.26042140161718
C20orf32	3.98159393335405
USP52	5.45829433389926
HIGD1B	4.38496432752134
BAZ1B	6.91374277993623
USP6NL	5.15175161569482
SLCO2B1	4.01830173157474
ABCD4	4.62260038345805
DIMT1L	5.60256340667148
SLC25A46	5.7542868901796
LARP7	6.0921369125157
TEK	3.73622457142327
CD160	3.34249073287411
TERF2IP	7.96301317211813
PHF20	6.22491433149266
COL1A1	7.18183924173495
KIAA0090	5.46906443770608
GTPBP1	4.93340692391016
GRK5	3.9413996942648
AP1S2	4.15621673483246
RAB33B	4.57249912534273
CA11	3.88830141950089
ALDOC	5.4839006323538
NUDT1	5.08370687302574
ZNF212	5.82788266163919
ACBD3	7.78799838089562
ZNF83	6.04337295241304
PRDM2	4.943900617861
GDPD5	5.24587805281011
PDCD4	5.15580368067846
CEP350	6.22779072113304
FOXP3	3.3299396002725
SMYD3	5.50391949060459
CST7	4.77630159641384
SELL	3.86437735897479
CIAO1	6.35135337219215
LGI2	3.89477872994432
WDR45	6.89023848193003
ANKRD6	5.65291858738956
LTBP4	4.1299041435187
PSCD3	3.42961655157624
PYY	3.35977448895293
KCNC1	2.97745034551088
SIRT6	4.38589728004952
CCL19	4.57242441357837
ARHGEF9	4.88339290868845
ABR	4.21344037743518
C10orf22	5.91852735159395
STK17A	4.10622409811011
FOXE1	3.4810102912901
GML	3.38858900460799
CNGA3	2.90792166436216
CD38	3.76133594799680
ZDHHC6	6.49174363477451
NEFH	3.26854357079994
PGBD5	3.29628162251620
CTDSP2	6.86815977602765
RMND5B	5.56415844668716
ZNF257	4.30586191706936
DUSP4	3.69556602671685
FLJ22167	5.18437098034808
EXOSC7	6.87796088970441
ROR2	3.58373344794321
FOXM1	5.36491478074575
ZBTB48	4.9710517121109
BUD31	7.60112706050145
MAOA	4.26878783409563
CCDC41	4.6673806645323
TNNT3	3.73622157738459
FBXO11	4.93761385257221
GYPC	6.83997579412115
PLIN	3.3449866365339
RFXAP	3.9083630244214
C6orf15	3.9927251388885
RNF4	7.69702980001533
F8A1	8.2977767624381
PPP1R3D	4.90800433800567
GRB2	7.18558611452022
TPM3	3.39355176278206
SYT13	3.41775325636122
EPB42	3.20655340988029
RP5-1077B9.4	5.31194782814636
EIF1	9.81374802340828
CETN3	5.93114065662154
FPGT	4.53699249718218
PRY	3.61913041752647
NTHL1	5.70662406380593
POLR2B	8.08403108798016
RPS28	12.6181200801691
GDF10	3.17187694466606
COQ9	8.96899621529766
P2RX3	3.38266412902226
GCC2	5.05361852566554
RARRES3	9.070727455294
PLXNA1	6.33306210443671
WBP4	4.51811524091832
KIAA0100	6.33149035296668
PMF1	6.45560628538648
HS2ST1	5.04580264696793
CRELD2	6.54896673951246
C8G	3.30102234994377
CD82	5.84878910862949
PMM1	4.90682170917951
CBLL1	4.19107232105074
LIM2	3.71513816227417
VAX2	3.87852012059956
SETDB1	5.03312721357192
LRAP	5.21187938506312
GCLM	5.49278617876556
CPEB3	3.992183491681
PPM1A	4.94776524750029
INTS1	4.73508008626577
MMP16	3.2351063398917
CAMTA1	3.19223666883343
SAMSN1	4.37506396456708
DRD3	2.88352398447331
GMPPA	5.66860943414053
C11orf73	3.88771101863915
AIPL1	4.1723605119487
PTP4A2	9.7145117550008
IL24	3.23592204504530
BDKRB1	3.61999860782780
HPCA	3.61241758013224
MLF1	4.80050093138616
SEC14L1	4.87152026232911
CHFR	4.94074713063379
EMILIN1	3.71067791794153
THADA	6.0150389612268
TAF12	4.86718483633595
NDUFS4	6.8732240518151
ID1	4.46498215851918
PIK3CB	4.79999468184273
COL18A1	7.18951105463332
PDZD3	3.08104793229515
TBC1D17	4.35691628381167
COX8A	10.2303418267439
CDCA4	6.3216584008844
C2orf44	4.87271836710243
C9orf16	9.82324059451221
ERBB2IP	6.10867567394558
EMX2	8.65408268282848
FUS	5.66262078911726
NIPSNAP3B	3.69584751852387
TF	3.69907252283747
CXorf56	5.02040132025924
CLCN4	3.6843466992888
PWP2	5.3203426446889
MMP15	4.75837562540653
MTMR14	5.95693593205537
NPR1	7.3986895533318
DNAL4	5.95501085652727
ELAC2	4.77445922813584
ASS1	10.6078555007873
IPP	5.74546588961201
TMEM59	9.23895016973277
POLR2J	9.7366792834375
SEC23IP	4.72456880845848
RGS4	4.19363484247055
UQCRC1	10.1269901904929
SNX6	7.39618743885827
DDX18	6.6129640839707
POLG	4.71943415346933
ADAM23	4.0335940603069
ZNHIT2	5.2677118232706
TFR2	3.61843759499435
NCDN	4.83914293649789
RAG1	3.57045055285461
POMT1	3.46842281330985
CYP1A1	3.45382900390488
SNAPC1	5.51649812813247
GNA11	5.55358218981123
CCDC52	2.71629197597330
CAPN1	7.19250819475659
DDHD2	6.43947925461056
UPF3A	6.62254240864834
LAGE3	6.26525505571756
GNRHR	3.11371244316733
UNC13B	5.91409986012253
TTLL4	4.23901020986627
PPBP	2.89764265654008
HTR3A	4.86278451843372
SDC2	3.95866678433457
ANKRD49	6.58051770579154
BTF3	9.83827708532907
COX7A2	10.4936467154238
SARS	7.90398386841281
C13orf18	3.68608284609783
CACNB1	3.99732697864278
QKI	5.36313082492917
SETMAR	4.48082113405241
LAMB4	3.27028634268312
MAN2B1	7.44054491096537
EML3	5.70467844039685
ACADL	3.39958955575898
OFD1	8.5884380931399
CGA	3.49746448859001
EIF3EIP	10.9765756601191
PEX16	5.30593926953756
GNG12	7.11200449506052
HABP4	4.82985297336972
CNTN2	3.62646012539091
ASNSD1	6.60959798193366
FUT4	3.87222368574707
DBH	3.64466628950563
CD53	5.76561622337221
HIST1H2BJ	3.77219343641064
TFAP2B	3.4726479574365
ACF	4.01908657138919
TMEM11	5.93865882551631
CDH8	3.30317050305818
C3orf32	3.52577790234949
AGPS	5.00253726337541
C4orf18	3.27960505545933
PCCB	7.52095803347606
IPO13	5.25089183649593
PECI	7.01551646109283
UNG	7.03575575147904
C6orf105	3.71941608330086
GSTP1	8.37703851472459
SUV420H1	7.51687739550791
ARHGAP15	4.16235029725492
LTBR	6.5843778705782
TDRKH	3.50065080735412
PSG4	3.44203647080547
SLC9A3R1	5.90720682557757
NBPF3	9.66304607763546
SLC9A3	3.980650817009
OSBP	5.66235284186542
PRR5	4.71157991346327
CHMP7	5.80306736856533
ADRA1A	3.24221784729866
ASAH1	6.43969293070837
FKBP4	6.04722594591009
ZNF350	4.13031352265312
DOM3Z	5.66164448696904
GIPR	3.59331862510669
AHI1	4.40268369801133
BST1	4.39828651561093
NCR2	3.69404134297502
NADSYN1	5.6123190322
UBE2W	5.23614283717303
RGS14	3.88944779642892
KRT15	3.9003865697688
SCN11A	3.98425563891816
GFI1	3.72112954862366
FHL1	4.06036857356213
SMC6	5.32828156998009
GATA1	3.78903328574975
OSGEP	4.78718947541556
ARMC6	5.42102685718142
HK3	3.25993415685353
PSMD5	6.79902810724494
RSU1	6.6583482450467
RPL4	12.013696827202
MAD2L1	5.71119369814038
RBPMS	5.1034733526272
EIF4A3	8.75865468128363
E4F1	5.51018393762305
DLEC1	3.68149579719860
PRPF3	4.99875052107575
EMR1	3.36582942168588
CHMP2B	5.33352554386208
CAMSAP1	3.75941146933088
RPS21	10.1759303492272
XCR1	3.72198760407439
ARID5A	4.63234583861289
RBM6	5.98791200424181
UBE2N	6.93469042731356
KLF4	3.81550340151216
MGC4172	5.26791723409138
LMO4	7.51997343814332
KLKB1	3.33954680595505
HDAC3	5.14986415985126
HP	6.14628820827461
SCHIP1	4.90436413802998
BTK	4.20754046901843
