Hybridization REF	BONES_p_TCGA_Batch8_9_RNA_HT_HG-U133A_96-HTA_G05_297928
Composite Element REF	Signal
AACS	5.95471460627211
FSTL1	6.30973598551999
ELMO2	5.31482398423288
CREB3L1	3.84424592755016
RPS11	10.2267049941151
PNMA1	7.38376532339762
MMP2	4.91045160389847
SAMD4A	3.59154129284874
SMARCD3	7.26646587579458
A4GNT	3.59021399518477
C9orf39	3.13935805534522
PKNOX2	3.9938478946557
RALYL	3.38804593583014
ZHX3	4.48893920020858
ERCC5	5.64430520099233
RXFP3	3.20594027381995
APBB2	3.95698200167522
BBOX1	4.29474132888563
PRO0478	3.68508924544806
GCSH	7.70289111232306
XDH	3.63495436798583
EDN1	4.07642859182732
MTERF	5.92552637061711
PDCL3	6.99877023001676
CLK4	6.74089317675659
KCNG1	4.80035744950663
CXCR4	5.62432381824957
DECR1	8.0376954084245
SALL1	3.07150524377941
PTPRR	3.47558427371766
CADM4	3.63251935488369
IRAK1	8.60615384681644
CFHR5	3.77757137586131
HNRPD	6.91932181510896
TMSB10	11.5029597240930
CXCL3	4.38078352348516
LMAN1	3.72116199442608
SUHW1	3.43197229690298
CHD8	5.99381093261477
SUMO1	6.54269502323859
GP1BA	3.33131922295286
OR7A10	3.54461063652420
DDB1	7.38726796516013
CHRNA10	3.85054998352082
STYK1	3.26544951339666
MYO9B	4.32177151338511
CCNI	10.2508646645583
MMP7	10.2092605834384
EP300	6.02328448032494
CRNKL1	6.56199617500829
C9orf45	3.46867512268162
XAB2	4.40526367015102
RTN1	3.72808824795312
HIC2	3.83394995507282
TBX10	3.56259297144814
CENPQ	4.19847561686269
UTY	3.23988779299066
OR2W1	3.03977501270460
ATP5G2	10.5607384138833
ZEB1	3.19388776217497
ZG16	3.91515889716394
ERG	3.79635257169909
PARN	6.48391944737154
SOD2	5.18748513148685
JOSD3	8.97543194160057
ADAM5P	3.35815980587597
CHD9	5.29238539060088
hCG_40738	3.60781318138382
STK16	4.00899599579841
PDE1C	3.49182826946495
SEMA4D	5.48060988942737
AGPAT1	7.09818343983895
TOB2	5.80593708854246
BANK1	3.50696707183982
MAP3K3	5.05098036126871
MAX	4.74104228426433
GRM2	3.96556870962971
OSBPL8	5.91126323692194
PROSC	6.87525514589083
NR4A2	7.67657468593636
RICS	5.51018913006494
PIR	4.94908227937069
PPCS	8.70292523874184
IPO9	6.94733783164337
LONP1	6.82406791473813
EVC	3.61352488150668
CXCL13	4.34943242324232
SCYL3	6.00678986651196
KIAA1199	3.44118613121155
SORL1	9.00091311083461
NAT10	6.94031807831546
CHD1	5.91489247765939
SYN3	3.60774377487467
DMC1	4.02598876531139
SLC22A2	3.74011343002261
SERPINF1	3.77775295400635
C20orf27	6.71782428952148
OR7A17	3.06732324125946
RPS6KA5	4.33940041690181
LHB	3.65027059296912
TAOK3	4.19336683754197
STK25	5.68697257071161
SLC12A4	3.43076147719494
BRCA1	3.66998330788406
GBL	5.54643927968887
C14orf108	6.49692799771609
CDC25B	7.72889049991406
BMP3	3.5892293802851
MAP1LC3C	3.65806860406966
TMEM180	3.56219641585346
CRYGC	3.78452252598481
SLK	5.6635144560143
POU3F1	3.27698950041379
C20orf32	4.04526240167571
USP52	5.54104011713448
HIGD1B	3.85174808843828
BAZ1B	6.43976216258436
USP6NL	5.49044083286938
SLCO2B1	3.99236219031224
ABCD4	4.05516408589356
DIMT1L	6.2064809741174
