Hybridization REF	BONES_p_TCGA_Batch8_9_RNA_HT_HG-U133A_96-HTA_H10_298006
Composite Element REF	Signal
AACS	6.26363470102512
FSTL1	8.47479184919443
ELMO2	5.56412692350443
CREB3L1	3.96869623247995
RPS11	10.1510072454462
PNMA1	7.91691069523827
MMP2	7.7893193118494
SAMD4A	3.68820430627183
SMARCD3	7.84368676157873
A4GNT	3.70381625475673
C9orf39	3.25860283686543
PKNOX2	4.45160579635090
RALYL	3.24354882289646
ZHX3	4.14361100261345
ERCC5	6.50607472629662
RXFP3	2.98453728050735
APBB2	3.91542973544158
BBOX1	6.64817279158684
PRO0478	2.67868813780796
GCSH	7.45822510939602
XDH	4.23022248642149
EDN1	5.55510631686739
MTERF	5.78140814302627
PDCL3	7.37311300095352
CLK4	5.33547145581179
KCNG1	3.58577414513438
CXCR4	7.75643813040983
DECR1	8.61083944176522
SALL1	3.37227485058373
PTPRR	3.72751594658427
CADM4	3.60801257955743
IRAK1	8.93090856573377
CFHR5	3.09878935101113
HNRPD	8.1087106047718
TMSB10	12.3387241432007
CXCL3	5.17545604852806
LMAN1	3.81077861805786
SUHW1	3.60724677186063
CHD8	5.82538652594336
SUMO1	7.8634602631946
GP1BA	3.36621227457727
OR7A10	3.44078453085732
DDB1	7.35921402685438
CHRNA10	3.74387158121807
STYK1	3.81858832084805
MYO9B	4.39004178903298
CCNI	10.3032881406062
MMP7	9.37664845712521
EP300	5.69976390619003
CRNKL1	6.68942613947118
C9orf45	3.42152491041468
XAB2	4.45682663914185
RTN1	3.87561859840776
HIC2	3.86845098025737
TBX10	3.73936962735981
CENPQ	4.20948445232021
UTY	3.11239305238553
OR2W1	2.84429344091807
ATP5G2	10.5999772934621
ZEB1	3.17058419408608
ZG16	3.34248924084408
ERG	3.79272407771587
PARN	7.43235354444143
SOD2	6.2541581324942
JOSD3	7.51719395632713
ADAM5P	3.10561570758147
CHD9	5.2947207188333
hCG_40738	3.83109274453631
STK16	4.79406469391728
PDE1C	3.83052565169758
SEMA4D	6.42632145186843
AGPAT1	6.82206030296005
TOB2	5.80987526254642
BANK1	4.24384194338762
MAP3K3	5.05798280157525
MAX	5.06163339754696
GRM2	3.66367351586426
OSBPL8	6.37164000290801
PROSC	5.42380402534619
NR4A2	7.23031939620818
RICS	5.39273719592299
PIR	5.29443929907114
PPCS	8.23416969697648
IPO9	6.08564475002453
LONP1	6.56919179812359
EVC	4.14123029186075
CXCL13	4.44455959099392
SCYL3	5.53383765317681
KIAA1199	5.69594498195012
SORL1	8.70600796999878
NAT10	6.53441414943133
CHD1	6.07143290143592
SYN3	3.63742972406368
DMC1	3.80317017164077
SLC22A2	3.44886051638632
SERPINF1	7.22511518577606
C20orf27	5.87282186612507
OR7A17	3.33176477469955
RPS6KA5	4.39477798382979
LHB	3.79577611276422
TAOK3	4.74453946938588
STK25	5.88887709018334
SLC12A4	3.70401759714798
BRCA1	3.59517312366038
GBL	6.0333920810886
C14orf108	7.49873309324577
CDC25B	7.50402318141392
BMP3	3.25178172362644
MAP1LC3C	3.51110150209245
TMEM180	3.58784205430782
CRYGC	3.72032046283757
SLK	5.42546333296991
POU3F1	3.31547202635479
C20orf32	3.77641405578953
USP52	5.27346567487403
HIGD1B	4.17001733406193
BAZ1B	6.30212095796589
USP6NL	4.39655800930801
SLCO2B1	4.33009392971694
ABCD4	4.40200990232648
DIMT1L	5.90658282849325
SLC25A46	7.51610096259144
LARP7	7.251100667552
TEK	3.65420705112166
CD160	3.67295282085986
TERF2IP	7.89530679329352
PHF20	5.71389912595723
COL1A1	7.21765956611083
KIAA0090	5.6226586910324
GTPBP1	4.39216593905894
GRK5	3.94963064347486
AP1S2	4.68992100109184
RAB33B	4.38298543601628
CA11	3.86115204637494
ALDOC	4.90030631487803
NUDT1	5.27587243201656
ZNF212	5.68047756942023
ACBD3	7.11747839483754
ZNF83	5.18165122541123
PRDM2	4.53019782370794
GDPD5	6.29057520297196
PDCD4	5.50865050457848
CEP350	5.26091852895869
FOXP3	3.2841956133264
SMYD3	6.9463517864561
CST7	4.99794006973139
SELL	4.27895359556486
CIAO1	6.39667271528114
LGI2	3.87377141887454
WDR45	7.1022765813496
