Hybridization REF	CELLS_p_TCGA_B13__RNA_HT_HG-U133A_96-HTA_A02_451976
Composite Element REF	Signal
AACS	6.7900617794963
FSTL1	8.79077702435614
ELMO2	5.42659965803926
CREB3L1	4.60953564981712
RPS11	10.1041997711290
PNMA1	8.05400821858558
MMP2	9.34041708595383
SAMD4A	3.79465066088897
SMARCD3	6.74593041499058
A4GNT	3.47751458142384
C9orf39	3.16706266564517
PKNOX2	4.26250881711701
RALYL	3.08289764052337
ZHX3	4.49361434615303
ERCC5	6.9569138712742
RXFP3	2.95541764678707
APBB2	4.29709300624131
BBOX1	6.01341247236611
PRO0478	3.06518437044259
GCSH	8.10054957913892
XDH	3.36626417675118
EDN1	3.6336641056787
MTERF	6.72499453731939
PDCL3	7.07489488056461
CLK4	6.23880734578184
KCNG1	4.08687547176135
CXCR4	7.70352585835105
DECR1	8.30934867174065
SALL1	3.08513267959446
PTPRR	3.75853513608492
CADM4	3.69792552360375
IRAK1	7.66278049069344
CFHR5	3.19347166919154
HNRPD	8.4735176139731
TMSB10	11.6198921829903
CXCL3	3.8379139155443
LMAN1	4.41901066985808
SUHW1	3.66865422678909
CHD8	5.21998988812548
SUMO1	8.46211093278898
GP1BA	3.20197162546414
OR7A10	3.69184988412824
DDB1	7.4275099155483
CHRNA10	3.61848453285920
STYK1	3.56270009845774
MYO9B	4.50621265159435
CCNI	9.81251753622425
MMP7	10.2595188708851
EP300	7.00942167872175
CRNKL1	7.02494095981317
C9orf45	3.27175209899523
XAB2	4.48294726291861
RTN1	3.94493399111766
HIC2	3.93098659501385
TBX10	3.43383818749533
CENPQ	4.06846242561801
UTY	3.02771418560436
OR2W1	2.84468191894658
ATP5G2	10.1856721578021
ZEB1	4.20777100832814
ZG16	3.25588379120317
ERG	3.64971085626167
PARN	6.7830323910922
SOD2	5.68804493930976
JOSD3	7.53451282192902
ADAM5P	3.1482065729411
CHD9	6.21139848834539
hCG_40738	3.64391177349671
STK16	4.99354932138212
PDE1C	3.57956085965107
SEMA4D	4.83799271431778
AGPAT1	6.01464847146914
TOB2	6.31417717248809
BANK1	4.58555720879075
MAP3K3	4.91872559910552
MAX	5.12083997589973
GRM2	3.65424890552615
OSBPL8	7.31853963778429
PROSC	5.62489895455273
NR4A2	6.64422344293448
RICS	4.28433217824597
PIR	3.97691044653849
PPCS	8.54258923409761
IPO9	6.66034828754592
LONP1	7.69926541907283
EVC	4.45031896349670
CXCL13	4.37356640865763
SCYL3	5.82190669098257
KIAA1199	6.34147471018069
SORL1	7.09663505829551
NAT10	6.79553793431065
CHD1	6.75747628147157
SYN3	3.20370466053579
DMC1	3.74417419699525
SLC22A2	3.52890546422101
SERPINF1	9.19241458128038
C20orf27	5.52300875380253
OR7A17	3.141107870228
RPS6KA5	4.72868855172341
LHB	3.23086950343991
TAOK3	5.24860442315768
STK25	5.68846461403414
SLC12A4	3.60041986431828
BRCA1	4.45234670159162
GBL	5.12048137310045
C14orf108	8.03051324204079
CDC25B	6.42030528691765
BMP3	3.07760461600632
MAP1LC3C	3.2330897860462
TMEM180	3.28433104849615
CRYGC	3.66598674926309
SLK	6.43369482145185
POU3F1	3.15066861340067
C20orf32	3.88014334715735
USP52	6.27996927428112
HIGD1B	3.88628648254978
BAZ1B	6.55371049215859
USP6NL	6.03931585235011
SLCO2B1	4.49976768131661
ABCD4	4.50935846402975
DIMT1L	5.92559862520948
SLC25A46	7.40737773168747
LARP7	7.47112929341024
TEK	3.50198668867194
CD160	3.77876546004095
TERF2IP	7.79097076454219
PHF20	6.31151870219528
COL1A1	9.11799670515604
KIAA0090	5.73218078140418
GTPBP1	4.3378603252043
GRK5	3.85134444575660
AP1S2	5.17354981289663
RAB33B	4.5942824553229
CA11	4.6862981144504
ALDOC	5.34315236393253
NUDT1	5.71727175200776
ZNF212	5.82760970412452
ACBD3	7.73497376139546
ZNF83	7.5249161248692
PRDM2	4.65617966295183
GDPD5	4.54726841022578
PDCD4	5.95898620006842
CEP350	6.5128241157531
FOXP3	3.36268683177115
SMYD3	7.52825926746378
CST7	5.54557243898999
SELL	4.56014854815775
CIAO1	6.461520539089
LGI2	3.85263484786205
WDR45	7.91917803635774
ANKRD6	7.0590371016975
LTBP4	3.90893587627727
PSCD3	3.48153795200789
PYY	3.22492419092696
KCNC1	3.02512232297789
SIRT6	3.79621966981222
CCL19	3.9067401602736
ARHGEF9	4.98244651993439
ABR	4.44084205398186
C10orf22	6.49591820078202
STK17A	5.02756638772958
FOXE1	3.54771026938795
GML	3.16725504322131
CNGA3	2.90520317021462
CD38	3.64845962358349
ZDHHC6	7.40617930892882
NEFH	5.04618496238582
PGBD5	3.49374711661739
CTDSP2	6.9926273012983
RMND5B	5.53095611540331
ZNF257	3.96957096416132
DUSP4	4.18740991957063
FLJ22167	5.99945118497841
EXOSC7	6.42736745390032
ROR2	3.74198822789906
FOXM1	4.91138293541983
ZBTB48	4.59154300484956
BUD31	7.76747728707902
MAOA	3.83384584858348
CCDC41	5.22880151964584
TNNT3	3.94141930691378
FBXO11	5.99404659257648
GYPC	6.56119423422692
PLIN	3.24417537179369
RFXAP	3.50509421694733
C6orf15	4.60840384798968
RNF4	8.8102730205073
F8A1	6.8408895005739
PPP1R3D	4.45811732286104
GRB2	7.34457806310616
TPM3	3.06958891156822
SYT13	4.31581638762523
EPB42	3.76258824631995
RP5-1077B9.4	5.28178290729065
EIF1	10.1735748210154
CETN3	7.85018788705632
FPGT	5.80733526676361
PRY	3.57478602319054
NTHL1	4.87463377409041
POLR2B	8.57868283778673
RPS28	11.5338839809181
GDF10	3.24473299507973
COQ9	7.11447693714119
P2RX3	2.92304116452183
GCC2	7.44283747156752
RARRES3	5.24780295642074
PLXNA1	6.19011236787347
WBP4	5.3036446185752
KIAA0100	5.84549445369352
PMF1	7.01013673466997
HS2ST1	6.01553534682623
CRELD2	6.64440279842121
C8G	3.11835402476841
CD82	5.66368502395125
PMM1	4.74736981147015
CBLL1	4.99169759961172
LIM2	3.2775672193923
VAX2	3.43117301992222
SETDB1	5.77185786361009
LRAP	5.17945173819657
GCLM	5.83608590422431
CPEB3	3.1367363084329
PPM1A	6.04958851420878
INTS1	4.27697346118996
MMP16	3.20278505740008
CAMTA1	4.33544692150082
SAMSN1	5.81376387360671
DRD3	2.68490931473563
GMPPA	5.4717075835861
C11orf73	6.06489666800638
AIPL1	3.69652824468218
PTP4A2	8.85493370992972
IL24	3.28852704676826
BDKRB1	3.46227934050586
HPCA	3.72728523797585
MLF1	7.48486394100433
SEC14L1	6.47115571970138
CHFR	6.1509043939798
EMILIN1	3.99476361179668
THADA	6.33490351586806
TAF12	4.79574995864962
NDUFS4	8.42234353765547
ID1	6.32275420056373
PIK3CB	4.29052627024765
COL18A1	7.1890264140308
PDZD3	3.09514603582855
TBC1D17	4.15254604368245
COX8A	9.22214572798677
CDCA4	5.34391166550146
C2orf44	4.51833631453853
C9orf16	7.31014400267815
ERBB2IP	8.78156382685673
EMX2	8.87792588963174
FUS	6.8827882770282
NIPSNAP3B	3.45559512381956
TF	3.15081160451321
CXorf56	5.89216423651378
CLCN4	3.67256572693947
PWP2	5.48931046692707
MMP15	3.51042349501732
MTMR14	6.26748680914867
NPR1	6.33601614634768
DNAL4	5.43912855432396
ELAC2	4.45422510700219
ASS1	10.2404189783461
IPP	5.36335651364237
TMEM59	9.98076350065528
POLR2J	8.47859127678604
SEC23IP	5.0154126702173
RGS4	4.87492311194402
UQCRC1	8.15620639448638
SNX6	7.10283641530211
DDX18	7.12918804008514
POLG	4.6053411552479
ADAM23	4.20468919297488
ZNHIT2	4.34203993397545
TFR2	3.3129056611422
NCDN	4.17701981276016
RAG1	3.27894707522771
POMT1	4.70302708492588
CYP1A1	3.20933347479531
SNAPC1	6.22033300775291
GNA11	5.21937992589972
CCDC52	2.80589960815969
CAPN1	6.1204229948219
DDHD2	6.90708980655687
UPF3A	6.5648543403188
LAGE3	6.04681377162847
GNRHR	3.02460048313142
UNC13B	5.42741490005104
TTLL4	5.02713944353733
PPBP	3.37529283277967
HTR3A	3.89864345398127
