Hybridization REF	CELLS_p_TCGA_B13__RNA_HT_HG-U133A_96-HTA_B12_452008
Composite Element REF	Signal
AACS	6.73936251911521
FSTL1	8.63155609817647
ELMO2	5.85075407582783
CREB3L1	4.00379135888012
RPS11	10.0134339414936
PNMA1	7.83127582972447
MMP2	7.77017136552456
SAMD4A	4.01718901633017
SMARCD3	5.72415523895605
A4GNT	3.70845477042617
C9orf39	3.29459018166405
PKNOX2	3.9612769299827
RALYL	3.28238091185415
ZHX3	4.51029756330195
ERCC5	6.15662936218225
RXFP3	3.14280945702814
APBB2	4.23371123947432
BBOX1	7.45138821753979
PRO0478	3.08923256966544
GCSH	8.27265427220617
XDH	4.23610224433021
EDN1	3.63380598573434
MTERF	6.4000176455878
PDCL3	7.46435654094481
CLK4	5.14378255990906
KCNG1	3.42573927201323
CXCR4	7.92640133128132
DECR1	8.57767983243661
SALL1	3.2228184822884
PTPRR	3.09133772335547
CADM4	3.52700479586362
IRAK1	9.04747692166993
CFHR5	3.35490456771966
HNRPD	7.89255754646672
TMSB10	11.5583611522119
CXCL3	4.03747003983049
LMAN1	3.99689297180049
SUHW1	3.56425940929334
CHD8	5.1895268898147
SUMO1	8.19353573758275
GP1BA	3.24833138079394
OR7A10	3.67678094186072
DDB1	7.4501073591007
CHRNA10	3.56063533888516
STYK1	3.22955640373365
MYO9B	4.96607721429643
CCNI	10.2511604931629
MMP7	10.7761805923845
EP300	6.74539551569036
CRNKL1	5.15228577083125
C9orf45	3.18133411979622
XAB2	4.75077158238076
RTN1	3.70183955966408
HIC2	3.93002929453192
TBX10	3.60180399285102
CENPQ	4.00770912641985
UTY	3.13056490715791
OR2W1	2.81802575297904
ATP5G2	10.0293118316333
ZEB1	3.49780774782316
ZG16	3.42520027743396
ERG	3.86926643495619
PARN	6.44836513262792
SOD2	5.81415625725818
JOSD3	8.18756683316143
ADAM5P	3.23635060207787
CHD9	5.0077330754754
hCG_40738	3.90521327163621
STK16	5.34202867237419
PDE1C	3.66959163198209
SEMA4D	4.88134505183214
AGPAT1	6.15314084307819
TOB2	5.83609447828234
BANK1	3.44404123675550
MAP3K3	5.55920622197027
MAX	4.81093292926067
GRM2	3.87582301779062
OSBPL8	6.20055666827039
PROSC	5.58137495730391
NR4A2	4.54379661109236
RICS	4.03608857396262
