Hybridization REF	CELLS_p_TCGA_B13__RNA_HT_HG-U133A_96-HTA_C08_452026
Composite Element REF	Signal
AACS	6.20228123805803
FSTL1	8.38639195036583
ELMO2	4.69387411409967
CREB3L1	4.24252737453729
RPS11	9.94121743612278
PNMA1	7.38484183764003
MMP2	8.21862871253396
SAMD4A	3.96357108365321
SMARCD3	7.63485790137901
A4GNT	3.86186167763469
C9orf39	3.60324396760001
PKNOX2	4.79157587353294
RALYL	3.41356763195805
ZHX3	4.5197746870804
ERCC5	6.44031044790781
RXFP3	3.06784249142206
APBB2	3.74066387717198
BBOX1	3.38674860256518
PRO0478	3.07696104372739
GCSH	7.98933593962107
XDH	3.57153891177025
EDN1	5.35043314671449
MTERF	5.99749608274741
PDCL3	6.60898389881092
CLK4	6.66441104206051
KCNG1	3.70138621177647
CXCR4	6.22476245826083
DECR1	7.51818993660976
SALL1	3.3513711667822
PTPRR	5.72189782784162
CADM4	3.64333403851928
IRAK1	7.76693313716853
CFHR5	3.24606237846093
HNRPD	7.88632686284357
TMSB10	10.9207993320863
CXCL3	3.96072502283041
LMAN1	3.84312757053721
SUHW1	3.48638369150884
CHD8	5.27603961422615
SUMO1	6.95912677366799
GP1BA	3.15551928991469
OR7A10	3.726481780791
DDB1	7.09366482292348
CHRNA10	3.78282168809106
STYK1	3.23029681871546
MYO9B	4.15593613020477
CCNI	10.2231236536372
MMP7	10.279273906279
EP300	6.61534327508385
CRNKL1	5.51891219573329
C9orf45	3.03108967158159
XAB2	4.16492794316209
RTN1	4.10278836940805
HIC2	3.92272248975613
TBX10	3.58499483309721
CENPQ	3.22288744988063
UTY	3.12494450274087
OR2W1	3.04370302137319
ATP5G2	10.3330062632463
ZEB1	4.51294741666038
ZG16	3.31992978662031
ERG	3.81858286007851
PARN	6.07106180347553
SOD2	5.63605657534576
JOSD3	8.3569635529494
ADAM5P	3.48412369134923
CHD9	6.56294622755953
hCG_40738	3.93705263696771
STK16	4.92857295123002
PDE1C	3.51108545184204
SEMA4D	5.26667303661464
AGPAT1	5.46921302818668
TOB2	6.1998506903509
BANK1	5.62275821058625
MAP3K3	5.62155737453584
MAX	5.08391069233256
GRM2	3.78130878074529
OSBPL8	6.36948392842697
PROSC	5.94248148429238
NR4A2	4.75092028563869
RICS	4.79693790731186
PIR	3.24002483073909
PPCS	8.43758433249343
IPO9	5.73020838398642
LONP1	6.69717173599862
EVC	4.9460278647234
CXCL13	4.16269802916285
SCYL3	5.00028941776954
KIAA1199	5.59059321718633
SORL1	8.92577825001869
NAT10	6.56288336035339
CHD1	6.25622568025698
SYN3	3.47132096609380
DMC1	3.85202899902871
SLC22A2	3.82356258088912
SERPINF1	8.31789697361031
C20orf27	5.3468055975625
OR7A17	3.46469717475418
RPS6KA5	4.53984841135428
LHB	3.60759005296267
TAOK3	4.66446497141936
STK25	5.17042374134938
SLC12A4	3.8703823116844
BRCA1	3.67318709816089
GBL	5.42128669340679
C14orf108	7.33526671783079
CDC25B	5.5083359324661
BMP3	3.3462132864986
MAP1LC3C	3.35574816363518
TMEM180	3.5184687503506
CRYGC	3.72196831464658
SLK	5.32722299933091
POU3F1	3.37687124657100
C20orf32	4.23969714178349
USP52	5.78336367631916
HIGD1B	4.02299625420109
BAZ1B	5.90133933603459
